key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	recordedBy	samplingProtocol	class	recordedByIDs	identifiedByIDs	publishedByGbifRegion	recordNumber	identifier	catalogNumber	locality	gbifID	occurrenceRemarks	occurrenceID	verbatimDepth	networkKeys	continent	higherGeography	institutionKey	otherCatalogNumbers	countryCode	gbifRegion	country	institutionCode	dynamicProperties	fieldNumber	collectionCode	higherClassification	decimalLatitude	decimalLongitude	geodeticDatum	modified	collectionKey	identifiedBy	collectionID
1275071132	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:04.543+00:00	111	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117452	1	54	354	9477065	3254684	2117433	2117452	2117452	Pallenopsis ovalis Loman, 1908	Pallenopsis ovalis Loman, 1908	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis ovalis	Pallenopsis	ovalis	SPECIES	ACCEPTED	NE	{}	1901.0	8.0	2.0	1901-08-02T00:00	214.0	214.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:04.543+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071132'}]	[]	[]	[]	False	SS.Pieter Faure	Dredge on sand	Pycnogonida	[]	[]	AFRICA	PF.13239	urn:catalog:IZIKO:SAM-A-10106	SAM-A-10106	Cave Rock N. ¾ E. 5 ½ miles.	1275071132	Sev	urn:catalog:IZIKO:SAM-A-10106	0-43 fms																				
1055560381	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:19:00.426+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 130', 'http://purl.org/dc/terms/created': '1187778256000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/9a9606a7-00ca-41ce-9634-027b1232fe1b'}]}	PRESERVED_SPECIMEN		PRESENT	2117452	1	54	354	9477065	3254684	2117433	2117452	2117452	Pallenopsis ovalis Loman, 1908	Pallenopsis ovalis Loman, 1908	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis ovalis	Pallenopsis	ovalis	SPECIES	ACCEPTED	NE	{}							['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:19:00.426+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '1208097'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 130', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/9a9606a7-00ca-41ce-9634-027b1232fe1b'}]	[]	[]	False			Pycnogonida	[]	[]	EUROPE		1208097	1923.10.6.13	Andaman Is.; Port Blair, Andamans	1055560381		37244128-230f-4eca-ba29-41d82aa52930		['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	ASIA	Asia; India	1d808a7c-1f9e-4379-9616-edb749ecf10e	NHMUK:ecatalogue:1208097	IN	ASIA	India	NHMUK	"{""associatedMediaCount"": 1, ""barcode"": ""011181809"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1294699284000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Pallenopsis ovalis Loman, 1908"", ""determinationTypes"": null, ""donorName"": ""Zoological Survey of India"", ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1055560381"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": null, ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"	8	ZOO	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Pallenopsidae							
1056356952	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:17:57.567+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1935 - 1962: page 56', 'http://purl.org/dc/terms/created': '1187778989000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/e09628d1-0148-4607-b655-1c8dc2596b0e'}]}	PRESERVED_SPECIMEN		PRESENT	2117452	1	54	354	9477065	3254684	2117433	2117452	2117452	Pallenopsis ovalis Loman, 1908	Pallenopsis ovalis Loman, 1908	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis ovalis	Pallenopsis	ovalis	SPECIES	ACCEPTED	NE	{}							['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:17:57.567+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '1228209'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1935 - 1962: page 56', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/e09628d1-0148-4607-b655-1c8dc2596b0e'}]	[]	[]	False			Pycnogonida	[]	[]	EUROPE		1228209	1940.7.26.2-10	as Ceylon  Pearl Bank	1056356952		2447578d-ca02-49c9-a2ac-b210016996e2		['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	ASIA	Asia; Sri Lanka	1d808a7c-1f9e-4379-9616-edb749ecf10e	NHMUK:ecatalogue:1228209	LK	ASIA	Sri Lanka	NHMUK	"{""associatedMediaCount"": 1, ""barcode"": ""011112594"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1295886356000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Pallenopsis ovalis Loman, 1908"", ""determinationTypes"": null, ""donorName"": ""D Burt"", ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1056356952"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": ""CR03"", ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"		ZOO	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Pallenopsidae							
1275071133	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:04.537+00:00	111	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117452	1	54	354	9477065	3254684	2117433	2117452	2117452	Pallenopsis ovalis Loman, 1908	Pallenopsis ovalis Loman, 1908	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis ovalis	Pallenopsis	ovalis	SPECIES	ACCEPTED	NE	{}							['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:04.537+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071133'}]	[]	[]	[]	False	SS.Pieter Faure	Shrimp trawl over fine sand.	Pycnogonida	[]	[]	AFRICA	PF.729	urn:catalog:IZIKO:SAM-A-10107	SAM-A-10107	"Lat.33° 52 '30 ""S Long.25° 50 '33 ""E."	1275071133		urn:catalog:IZIKO:SAM-A-10107	0-25 fms																				
90239521	8598edb6-f762-11e1-a439-00145eb45e9a	ff6a9550-c5c3-11d9-b4b2-b8a03c50a862	60022950-f762-11e1-a439-00145eb45e9a	ff6a9550-c5c3-11d9-b4b2-b8a03c50a862	IN	DWC_ARCHIVE	2024-07-16T20:02:33.066+00:00	2024-07-16T20:02:52.299+00:00	304	{}	OCCURRENCE		PRESENT	2117452	1	54	354	9477065	3254684	2117433	2117452	2117452	Pallenopsis ovalis Loman, 1908	Pallenopsis ovalis Loman, 1908	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis ovalis	Pallenopsis	ovalis	SPECIES	ACCEPTED	NE	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-07-16T20:02:52.299+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '90239521'}]	[]	[]	[]	False			Pycnogonida	[]	[]	ASIA			36212	Andaman & Nicobar Islands	90239521				['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']					IN	ASIA	India	NCL			INDOBIS-DATASET1		10.0	93.0	WGS84				
90239588	8598edb6-f762-11e1-a439-00145eb45e9a	ff6a9550-c5c3-11d9-b4b2-b8a03c50a862	60022950-f762-11e1-a439-00145eb45e9a	ff6a9550-c5c3-11d9-b4b2-b8a03c50a862	IN	DWC_ARCHIVE	2024-07-16T20:02:33.066+00:00	2024-07-16T20:02:52.318+00:00	304	{}	OCCURRENCE		PRESENT	2117452	1	54	354	9477065	3254684	2117433	2117452	2117452	Pallenopsis ovalis Loman, 1908	Pallenopsis ovalis Loman, 1908	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis ovalis	Pallenopsis	ovalis	SPECIES	ACCEPTED	NE	{'level0': {'gid': 'IND', 'name': 'India'}, 'level1': {'gid': 'IND.1_1', 'name': 'Andaman and Nicobar'}, 'level2': {'gid': 'IND.1.2_1', 'name': 'North and Middle Andaman'}, 'level3': {'gid': 'IND.1.2.1_1', 'name': 'n.a. ( 2178)'}}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-07-16T20:02:52.318+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '90239588'}]	[]	[]	[]	False			Pycnogonida	[]	[]	ASIA			67089	Andaman Islands	90239588				['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	ASIA				IN	ASIA	India	NCL			INDOBIS-DATASET1		12.5	92.75	WGS84				
1019678890	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:40.932+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1908', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Pallenopsis;Pallenopsidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Loman, 1908', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|220232', 'http://rs.tdwg.org/dwc/terms/family': 'Pallenopsidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Pallenopsis', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'ovalis', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|25323', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arnaud F.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Pallenopsis ovalis Loman, 1908'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117452	1	54	354	9477065	3254684	2117433	2117452	2117452	Pallenopsis ovalis Loman, 1908	Pallenopsis ovalis Loman, 1908	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis ovalis	Pallenopsis	ovalis	SPECIES	ACCEPTED	NE	{}							['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2024-07-24T12:24:40.932+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-4971'}]	[]	[]	[]	False			Pycnogonida	[]	[]	EUROPE		http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-4971	2009-4971		1019678890		http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-4971		['17abcf75-2f1e-46dd-bf75-a5b21dd02655']			6a6ac6c5-1b8a-48db-91a2-f8661274ff80					MNHN			IU					2019-11-18T12:20:59.000+00:00	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	Arnaud F.	10.15468/qgvvhd
1019678957	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:43.014+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1908', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Pallenopsis;Pallenopsidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Loman, 1908', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|231540', 'http://rs.tdwg.org/dwc/terms/family': 'Pallenopsidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Pallenopsis', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'ovalis', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|25323', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arnaud F.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Pallenopsis ovalis Loman, 1908'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117452	1	54	354	9477065	3254684	2117433	2117452	2117452	Pallenopsis ovalis Loman, 1908	Pallenopsis ovalis Loman, 1908	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis ovalis	Pallenopsis	ovalis	SPECIES	ACCEPTED	NE	{}							['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2024-07-24T12:24:43.014+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-5479'}]	[]	[]	[]	False			Pycnogonida	[]	[]	EUROPE		http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-5479	2009-5479		1019678957		http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-5479		['17abcf75-2f1e-46dd-bf75-a5b21dd02655']			6a6ac6c5-1b8a-48db-91a2-f8661274ff80					MNHN			IU					2016-06-29T17:14:39.000+00:00	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	Arnaud F.	10.15468/qgvvhd
1019678985	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:43.011+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1908', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Pallenopsis;Pallenopsidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Loman, 1908', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|231541', 'http://rs.tdwg.org/dwc/terms/family': 'Pallenopsidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Pallenopsis', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'ovalis', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|25323', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arnaud F.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Pallenopsis ovalis Loman, 1908'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117452	1	54	354	9477065	3254684	2117433	2117452	2117452	Pallenopsis ovalis Loman, 1908	Pallenopsis ovalis Loman, 1908	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis ovalis	Pallenopsis	ovalis	SPECIES	ACCEPTED	NE	{}							['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2024-07-24T12:24:43.011+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-5480'}]	[]	[]	[]	False			Pycnogonida	[]	[]	EUROPE		http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-5480	2009-5480		1019678985		http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-5480		['17abcf75-2f1e-46dd-bf75-a5b21dd02655']			6a6ac6c5-1b8a-48db-91a2-f8661274ff80					MNHN			IU					2016-06-29T17:12:56.000+00:00	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	Arnaud F.	10.15468/qgvvhd
318009253	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.158+00:00	124	{}	OCCURRENCE		PRESENT	2117452	1	54	354	9477065	3254684	2117433	2117452	2117452	Pallenopsis ovalis Loman, 1908	Pallenopsis ovalis Loman, 1908	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis ovalis	Pallenopsis	ovalis	SPECIES	ACCEPTED	NE	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:22.158+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37236'}]	[]	[]	[]	False			Pycnogonida	[]	[]	EUROPE			37236		318009253									ZA	AFRICA	South Africa	BAS			SOMBASE Pycnogonids		-35.45	23.49	WGS84				
