key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionCode	locality	fieldNumber	gbifID	collectionCode	occurrenceID	collectionID	sex	waterBody	higherGeography	datasetName	identifiedBy	preparations	institutionID	locationID	higherClassification	verbatimEventDate	verbatimDepth	rightsHolder	nomenclaturalCode	typeStatus	otherCatalogNumbers	dynamicProperties	stateProvince
462401296	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:43.495+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1907', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Pallenopsis;Pallenopsidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Carpenter, 1907', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|117447', 'http://rs.tdwg.org/dwc/terms/family': 'Pallenopsidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Pallenopsis', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'spinipes', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|16267', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Pallenopsis spinipes Carpenter, 1907'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117505	1	54	354	9477065	3254684	2117433	2117505	2117505	Pallenopsis spinipes Carpenter, 1907	Pallenopsis spinipes Carpenter, 1907	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis spinipes	Pallenopsis	spinipes	SPECIES	ACCEPTED	NE	-18.816166	168.997162	200.0	50.0	OCEANIA	{}	1994.0	9.0	25.0	1994-09-25	268.0	268.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-06-19T19:23:01.000+00:00	2024-07-24T12:24:43.495+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20555'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Bouchet & Richer de Forges-IRD coll.	WGS84	Pycnogonida	VU	[]	[]	OCEANIA	Vanuatu	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20555	2008-20555	MNHN	W Erromango	MUSORSTOM 8/CP1001	462401296	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20555	10.15468/qgvvhd																	
462401533	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:43.495+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1907', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Pallenopsis;Pallenopsidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Carpenter, 1907', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|117448', 'http://rs.tdwg.org/dwc/terms/family': 'Pallenopsidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Pallenopsis', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'spinipes', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|16267', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Pallenopsis spinipes Carpenter, 1907'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117505	1	54	354	9477065	3254684	2117433	2117505	2117505	Pallenopsis spinipes Carpenter, 1907	Pallenopsis spinipes Carpenter, 1907	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis spinipes	Pallenopsis	spinipes	SPECIES	ACCEPTED	NE	-18.816166	168.997162	200.0	50.0	OCEANIA	{}	1994.0	9.0	25.0	1994-09-25	268.0	268.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-06-19T19:23:01.000+00:00	2024-07-24T12:24:43.495+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20556'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Bouchet & Richer de Forges-IRD coll.	WGS84	Pycnogonida	VU	[]	[]	OCEANIA	Vanuatu	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20556	2008-20556	MNHN	W Erromango	MUSORSTOM 8/CP1001	462401533	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20556	10.15468/qgvvhd																	
1321524104	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:38.161+00:00	395	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117505	1	54	354	9477065	3254684	2117433	2117505	2117505	Pallenopsis spinipes Carpenter, 1907	Pallenopsis spinipes Carpenter, 1907	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis spinipes	Pallenopsis	spinipes	SPECIES	ACCEPTED	NE	-9.35	46.23	0.2	0.0	AFRICA	{}	1987.0	4.0	12.0	1987-04-12	102.0	102.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2018-10-23T10:20:00.000+00:00	2024-07-02T12:38:38.161+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3bf1b0fa6-6470-4ef5-baa8-1022b6e26740'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	B. Kensley	WGS84	Pycnogonida	SC	[]	[]	AFRICA	Seychelles	NORTH_AMERICA	http://n2t.net/ark:/65665/3bf1b0fa6-6470-4ef5-baa8-1022b6e26740	USNM 234382	USNM	Aldabra Atoll, Passe Houareau	Seychelles/K-AL-123	1321524104	IZ	http://n2t.net/ark:/65665/3bf1b0fa6-6470-4ef5-baa8-1022b6e26740	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	MALE	Indian Ocean	Indian Ocean, Seychelles	NMNH Extant Biology	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	K-AL-123	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Pallenopsidae								
1321848342	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:10.418+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117505	1	54	354	9477065	3254684	2117433	2117505	2117505	Pallenopsis spinipes Carpenter, 1907	Pallenopsis spinipes Carpenter, 1907	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis spinipes	Pallenopsis	spinipes	SPECIES	ACCEPTED	NE	-9.37	46.22	11.0	0.0	AFRICA	{}	1986.0	3.0	22.0	1986-03-22	81.0	81.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2017-11-21T16:47:00.000+00:00	2024-07-02T12:38:10.418+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3cd81fd7d-e0fe-40b6-b1a7-2ab8ea95df7c'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	B. Kensley	WGS84	Pycnogonida	SC	[]	[]	AFRICA	Seychelles	NORTH_AMERICA	http://n2t.net/ark:/65665/3cd81fd7d-e0fe-40b6-b1a7-2ab8ea95df7c	USNM 234353	USNM	Aldabra Atoll, Picard Island, Passe Dubois		1321848342	IZ	http://n2t.net/ark:/65665/3cd81fd7d-e0fe-40b6-b1a7-2ab8ea95df7c	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	MALE	Indian Ocean	Indian Ocean, Seychelles	NMNH Extant Biology	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Pallenopsidae	22 MAR 1986							
1322494593	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:54.170+00:00	395	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117505	1	54	354	9477065	3254684	2117433	2117505	2117505	Pallenopsis spinipes Carpenter, 1907	Pallenopsis spinipes Carpenter, 1907	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis spinipes	Pallenopsis	spinipes	SPECIES	ACCEPTED	NE			6.0	0.0	AFRICA	{}	1986.0	3.0	21.0	1986-03-21	80.0	80.0	['CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T10:21:00.000+00:00	2024-07-02T12:39:54.170+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3ea18f0a6-f4cd-4030-92b8-4ae69e143184'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	B. Kensley		Pycnogonida	SC	[]	[]	AFRICA	Seychelles	NORTH_AMERICA	http://n2t.net/ark:/65665/3ea18f0a6-f4cd-4030-92b8-4ae69e143184	USNM 234370	USNM	Aldabra Atoll, Ile Polymnie, Grande Passe, Between Iles Picard And Polymnie, Patch Reefs		1322494593	IZ	http://n2t.net/ark:/65665/3ea18f0a6-f4cd-4030-92b8-4ae69e143184	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	FEMALE	Indian Ocean	Indian Ocean, Seychelles	NMNH Extant Biology	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	K-AL-105	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Pallenopsidae	21 MAR 1986							
1321124784	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:15.278+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117505	1	54	354	9477065	3254684	2117433	2117505	2117505	Pallenopsis spinipes Carpenter, 1907	Pallenopsis spinipes Carpenter, 1907	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis spinipes	Pallenopsis	spinipes	SPECIES	ACCEPTED	NE	-9.37	46.22			AFRICA	{}	1983.0	4.0	12.0	1983-04-12	102.0	102.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2018-12-14T15:11:00.000+00:00	2024-07-02T12:39:15.278+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3ad74fa31-3f36-4724-81b5-73076b994114'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	B. Kensley	WGS84	Pycnogonida	SC	[]	[]	AFRICA	Seychelles	NORTH_AMERICA	http://n2t.net/ark:/65665/3ad74fa31-3f36-4724-81b5-73076b994114	USNM 234332	USNM	Aldabra Atoll, Picard Island, reef crest in front of station	Kensley/AL-042	1321124784	IZ	http://n2t.net/ark:/65665/3ad74fa31-3f36-4724-81b5-73076b994114	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	MALE	Indian Ocean	Indian Ocean, Seychelles	NMNH Extant Biology	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	K-AL-042	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Pallenopsidae		Intertidal						
2434363468	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:34.839+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117505	1	54	354	9477065	3254684	2117433	2117505	2117505	Pallenopsis spinipes Carpenter, 1907	Pallenopsis spinipes Carpenter, 1907	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis spinipes	Pallenopsis	spinipes	SPECIES	ACCEPTED	NE	-16.7	43.316667				{}	1964.0	10.0	15.0	1964-10-15	289.0	289.0	['COORDINATE_ROUNDED', 'COUNTRY_COORDINATE_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:34.839+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.200941@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False		WGS84	Pycnogonida	MZ	[]	[]	AFRICA	Mozambique	EUROPE	ZMA.PYC.200941@CRS	ZMA.PYC.200941				2434363468	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.200941						Stock J.H.	WholeOrganism (wet specimen)	Naturalis Biodiversity Center		Animalia|Pallenopsidae	15 okt 1964		Naturalis Biodiversity Center	ICZN				
1056222771	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:19:03.811+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 31', 'http://purl.org/dc/terms/created': '1187777819000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/99572617-d196-4497-8a2f-2f71531eb018'}]}	PRESERVED_SPECIMEN		PRESENT	2117505	1	54	354	9477065	3254684	2117433	2117505	2117505	Pallenopsis spinipes Carpenter, 1907	Pallenopsis spinipes Carpenter, 1907	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis spinipes	Pallenopsis	spinipes	SPECIES	ACCEPTED	NE						{}							['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-07-23T06:19:03.811+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '1202751'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 31', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/99572617-d196-4497-8a2f-2f71531eb018'}]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e		False			Pycnogonida		[]	[]			EUROPE	1202751	1908.1.6.1-7	NHMUK	Amirantes and Maldive Islands		1056222771	ZOO	a514c426-f17a-4e7e-adea-587b1e55803d		MALE								Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Pallensopsidae					TYPE	NHMUK:ecatalogue:1202751	"{""associatedMediaCount"": 1, ""barcode"": ""011098919"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1294367314000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Pallenopsis spinipes Carpenter, 1907"", ""determinationTypes"": null, ""donorName"": ""Mr John S. Gardiner"", ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1056222771"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": null, ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"	
1055904871	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:17:53.918+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 31', 'http://purl.org/dc/terms/created': '1187777819000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/99572617-d196-4497-8a2f-2f71531eb018'}]}	PRESERVED_SPECIMEN		PRESENT	2117505	1	54	354	9477065	3254684	2117433	2117505	2117505	Pallenopsis spinipes Carpenter, 1907	Pallenopsis spinipes Carpenter, 1907	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis spinipes	Pallenopsis	spinipes	SPECIES	ACCEPTED	NE						{}							['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-07-23T06:17:53.918+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '1202761'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 31', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/99572617-d196-4497-8a2f-2f71531eb018'}]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e		False			Pycnogonida		[]	[]			EUROPE	1202761	1908.1.6.16-18	NHMUK	Amirantes Islands		1055904871	ZOO	50270fd4-1b58-427a-b68b-ed82736fd14f										Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Pallensopsidae					TYPE	NHMUK:ecatalogue:1202761	"{""associatedMediaCount"": 1, ""barcode"": ""011098920"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1294367343000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Pallenopsis spinipes Carpenter, 1907"", ""determinationTypes"": null, ""donorName"": ""Mr John S. Gardiner"", ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1055904871"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": ""slide"", ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": null, ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"	
1019679147	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:43.006+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1907', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Pallenopsis;Pallenopsidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Carpenter, 1907', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|231506', 'http://rs.tdwg.org/dwc/terms/family': 'Pallenopsidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Pallenopsis', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'spinipes', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|16267', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arnaud F.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Pallenopsis spinipes Carpenter, 1907'}]}	PRESERVED_SPECIMEN	6.0	PRESENT	2117505	1	54	354	9477065	3254684	2117433	2117505	2117505	Pallenopsis spinipes Carpenter, 1907	Pallenopsis spinipes Carpenter, 1907	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis spinipes	Pallenopsis	spinipes	SPECIES	ACCEPTED	NE						{}							['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2014-11-14T16:19:06.000+00:00	2024-07-24T12:24:43.006+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-5464'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False			Pycnogonida		[]	[]			EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-5464	2009-5464	MNHN			1019679147	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-5464	10.15468/qgvvhd					Arnaud F.												
