key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	habitat	scientificNameID	locality	identificationVerificationStatus	fieldNumber	collectionCode	gbifID	occurrenceID	verbatimIdentification	catalogNumber	institutionCode	identificationRemarks	occurrenceRemarks	modified	institutionKey	preparations	rightsHolder	nomenclaturalCode	institutionID	verbatimEventDate	higherClassification	recordedBy	typeStatus	references	datasetID	bibliographicCitation	associatedSequences	taxonConceptID	taxonID	sex
3696578787	2931765e-0682-4a38-85eb-032964cc3792	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2024-07-02T10:01:43.848+00:00	2024-07-02T10:03:33.446+00:00	118	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117912	1	54	354	9477065	6314	2117901	2117912	2117912	Pantopipetta armoricana Stock, 1978	Pantopipetta armoricana Stock, 1978	Animalia	Arthropoda	Pantopoda	Austrodecidae	Pantopipetta	Pantopipetta armoricana	Pantopipetta	armoricana	SPECIES	ACCEPTED	NE	36.53	-11.63	180.0	0.0	{}	1987.0	9.0	22.0	1987-09-22	265.0	265.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'REFERENCES_URI_INVALID', 'INSTITUTION_MATCH_NONE']	2024-07-02T10:03:33.446+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'SeamountsOnline_urn:lsid:marinespecies.org:taxname:134638_24244'}]	[]	[]	[]	False	Jan H. Stock	WGS84	Pycnogonida	PT	[]	[]	EUROPE	Portugal	NORTH_AMERICA	SCSD_SeamountsOnline_Gorringe_Ridge_536726	SeamountsOnline_urn:lsid:marinespecies.org:taxname:134638_24244	benthic/near bottom	urn:lsid:marinespecies.org:taxname:134638	Gorringe Ridge	Validated	Station DW05	SeamountsOnline	3696578787	SeamountsOnline_urn:lsid:marinespecies.org:taxname:134638_24244	Pantopipetta armoricana Stock, 1978	24244	SCSD	WoRMS Match Type: exact	NA | NA																	
3696578783	2931765e-0682-4a38-85eb-032964cc3792	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2024-07-02T10:01:43.848+00:00	2024-07-02T10:03:33.446+00:00	118	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117912	1	54	354	9477065	6314	2117901	2117912	2117912	Pantopipetta armoricana Stock, 1978	Pantopipetta armoricana Stock, 1978	Animalia	Arthropoda	Pantopoda	Austrodecidae	Pantopipetta	Pantopipetta armoricana	Pantopipetta	armoricana	SPECIES	ACCEPTED	NE	36.45	-11.58	522.5	22.5	{}	1987.0	9.0	23.0	1987-09-23	266.0	266.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'REFERENCES_URI_INVALID', 'INSTITUTION_MATCH_NONE']	2024-07-02T10:03:33.446+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'SeamountsOnline_urn:lsid:marinespecies.org:taxname:134638_24245'}]	[]	[]	[]	False	Jan H. Stock	WGS84	Pycnogonida	PT	[]	[]	EUROPE	Portugal	NORTH_AMERICA	SCSD_SeamountsOnline_Gorringe_Ridge_537790	SeamountsOnline_urn:lsid:marinespecies.org:taxname:134638_24245	benthic/near bottom	urn:lsid:marinespecies.org:taxname:134638	Gorringe Ridge	Validated	Station DE10	SeamountsOnline	3696578783	SeamountsOnline_urn:lsid:marinespecies.org:taxname:134638_24245	Pantopipetta armoricana Stock, 1978	24245	SCSD	WoRMS Match Type: exact	NA | NA																	
2434400670	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:31.281+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117912	1	54	354	9477065	6314	2117901	2117912	2117912	Pantopipetta armoricana Stock, 1978	Pantopipetta armoricana Stock, 1978	Animalia	Arthropoda	Pantopoda	Austrodecidae	Pantopipetta	Pantopipetta armoricana	Pantopipetta	armoricana	SPECIES	ACCEPTED	NE					{}	1987.0	9.0	23.0	1987-09-23	266.0	266.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:31.281+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3415@CRS'}]	[]	[]	[]	False	Stock J.H.		Pycnogonida		[]	[]			EUROPE		ZMA.PYC.3415@CRS						Chelicerata and Myriapoda	2434400670	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3415		ZMA.PYC.3415				2019-03-08T00:00:00.000+00:00	0e919a55-08d3-4bd2-aec1-200858fafd92	WholeOrganism (wet specimen)	Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center	23 sep 1987	Animalia|Austrodecidae									
2434398504	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:19.153+00:00	393	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117912	1	54	354	9477065	6314	2117901	2117912	2117912	Pantopipetta armoricana Stock, 1978	Pantopipetta armoricana Stock, 1978	Animalia	Arthropoda	Pantopoda	Austrodecidae	Pantopipetta	Pantopipetta armoricana	Pantopipetta	armoricana	SPECIES	ACCEPTED	NE	36.475	-11.618333			{}	1987.0	9.0	22.0	1987-09-22	265.0	265.0	['COORDINATE_ROUNDED', 'COUNTRY_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:19.153+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3427@CRS'}]	[]	[]	[]	False	Stock J.H.	WGS84	Pycnogonida	PT	[]	[]	EUROPE	Portugal	EUROPE		ZMA.PYC.3427@CRS						Chelicerata and Myriapoda	2434398504	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3427		ZMA.PYC.3427				2019-03-08T00:00:00.000+00:00	0e919a55-08d3-4bd2-aec1-200858fafd92	WholeOrganism (wet specimen)	Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center	22 sep 1987	Animalia|Austrodecidae									
3696578781	2931765e-0682-4a38-85eb-032964cc3792	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2024-07-02T10:01:43.848+00:00	2024-07-02T10:03:33.446+00:00	118	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117912	1	54	354	9477065	6314	2117901	2117912	2117912	Pantopipetta armoricana Stock, 1978	Pantopipetta armoricana Stock, 1978	Animalia	Arthropoda	Pantopoda	Austrodecidae	Pantopipetta	Pantopipetta armoricana	Pantopipetta	armoricana	SPECIES	ACCEPTED	NE	42.66	-11.59	680.0	5.0	{}	1987.0	10.0	19.0	1987-10-19	292.0	292.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'REFERENCES_URI_INVALID', 'INSTITUTION_MATCH_NONE']	2024-07-02T10:03:33.446+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'SeamountsOnline_urn:lsid:marinespecies.org:taxname:134638_24246'}]	[]	[]	[]	False	Jan H. Stock	WGS84	Pycnogonida	ES	[]	[]	EUROPE	Spain	NORTH_AMERICA	SCSD_SeamountsOnline_Galicia_Bank_537853	SeamountsOnline_urn:lsid:marinespecies.org:taxname:134638_24246	benthic/near bottom	urn:lsid:marinespecies.org:taxname:134638	Galicia Bank	Validated	Station DW111	SeamountsOnline	3696578781	SeamountsOnline_urn:lsid:marinespecies.org:taxname:134638_24246	Pantopipetta armoricana Stock, 1978	24246	SCSD	WoRMS Match Type: exact	NA | NA																	
3696578782	2931765e-0682-4a38-85eb-032964cc3792	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2024-07-02T10:01:43.848+00:00	2024-07-02T10:03:33.446+00:00	118	{}	PRESERVED_SPECIMEN	3.0	PRESENT	2117912	1	54	354	9477065	6314	2117901	2117912	2117912	Pantopipetta armoricana Stock, 1978	Pantopipetta armoricana Stock, 1978	Animalia	Arthropoda	Pantopoda	Austrodecidae	Pantopipetta	Pantopipetta armoricana	Pantopipetta	armoricana	SPECIES	ACCEPTED	NE	42.87	-11.84	992.5	7.5	{}	1987.0	10.0	20.0	1987-10-20	293.0	293.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'REFERENCES_URI_INVALID', 'INSTITUTION_MATCH_NONE']	2024-07-02T10:03:33.446+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'SeamountsOnline_urn:lsid:marinespecies.org:taxname:134638_24247'}]	[]	[]	[]	False	Jan H. Stock	WGS84	Pycnogonida	ES	[]	[]	EUROPE	Spain	NORTH_AMERICA	SCSD_SeamountsOnline_Galicia_Bank_537856	SeamountsOnline_urn:lsid:marinespecies.org:taxname:134638_24247	benthic/near bottom	urn:lsid:marinespecies.org:taxname:134638	Galicia Bank	Validated	Station DW116	SeamountsOnline	3696578782	SeamountsOnline_urn:lsid:marinespecies.org:taxname:134638_24247	Pantopipetta armoricana Stock, 1978	24247	SCSD	WoRMS Match Type: exact	NA | NA																	
2434399397	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:25.771+00:00	393	{}	PRESERVED_SPECIMEN	3.0	PRESENT	2117912	1	54	354	9477065	6314	2117901	2117912	2117912	Pantopipetta armoricana Stock, 1978	Pantopipetta armoricana Stock, 1978	Animalia	Arthropoda	Pantopoda	Austrodecidae	Pantopipetta	Pantopipetta armoricana	Pantopipetta	armoricana	SPECIES	ACCEPTED	NE	42.873333	-11.843333			{}	1987.0	10.0	20.0	1987-10-20	293.0	293.0	['COORDINATE_ROUNDED', 'COUNTRY_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:25.771+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3433@CRS'}]	[]	[]	[]	False	Stock J.H.	WGS84	Pycnogonida	ES	[]	[]	EUROPE	Spain	EUROPE		ZMA.PYC.3433@CRS						Chelicerata and Myriapoda	2434399397	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3433		ZMA.PYC.3433				2019-03-08T00:00:00.000+00:00	0e919a55-08d3-4bd2-aec1-200858fafd92	WholeOrganism (wet specimen)	Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center	20 okt 1987	Animalia|Austrodecidae									
2434399535	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:25.236+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117912	1	54	354	9477065	6314	2117901	2117912	2117912	Pantopipetta armoricana Stock, 1978	Pantopipetta armoricana Stock, 1978	Animalia	Arthropoda	Pantopoda	Austrodecidae	Pantopipetta	Pantopipetta armoricana	Pantopipetta	armoricana	SPECIES	ACCEPTED	NE					{}	1987.0	10.0	19.0	1987-10-19	292.0	292.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:25.236+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3434@CRS'}]	[]	[]	[]	False	Stock J.H.		Pycnogonida		[]	[]			EUROPE		ZMA.PYC.3434@CRS						Chelicerata and Myriapoda	2434399535	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3434		ZMA.PYC.3434				2019-03-08T00:00:00.000+00:00	0e919a55-08d3-4bd2-aec1-200858fafd92	WholeOrganism (wet specimen)	Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center	19 okt 1987	Animalia|Austrodecidae									
201121001	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:47.868+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117912	1	54	354	9477065	6314	2117901	2117912	2117912	Pantopipetta armoricana Stock, 1978	Pantopipetta armoricana Stock, 1978	Animalia	Arthropoda	Pantopoda	Austrodecidae	Pantopipetta	Pantopipetta armoricana	Pantopipetta	armoricana	SPECIES	ACCEPTED	NE	48.6633	-9.94	1210.0	0.0	{}	1973.0	10.0	1.0	1973-10-01	274.0	274.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:47.868+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201121001'}]	[]	[]	[]	False	STOCK Jan	WGS84	Pycnogonida	IE	[]	[]	EUROPE	Ireland	EUROPE					Golfe de Gascogne			Biocean	201121001	201121001		30057	Ifremer											CABIOCH Louis								
201121004	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:47.864+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117912	1	54	354	9477065	6314	2117901	2117912	2117912	Pantopipetta armoricana Stock, 1978	Pantopipetta armoricana Stock, 1978	Animalia	Arthropoda	Pantopoda	Austrodecidae	Pantopipetta	Pantopipetta armoricana	Pantopipetta	armoricana	SPECIES	ACCEPTED	NE	48.6617	-9.8867	1050.0	0.0	{}	1973.0	10.0	1.0	1973-10-01	274.0	274.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:47.864+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201121004'}]	[]	[]	[]	False	STOCK Jan	WGS84	Pycnogonida	IE	[]	[]	EUROPE	Ireland	EUROPE					Golfe de Gascogne			Biocean	201121004	201121004		30139	Ifremer											CABIOCH Louis								
