key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	dateIdentified	decimalLatitude	decimalLongitude	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	rightsHolder	identifier	http://unknown.org/taxonRankID	locality	collectionCode	gbifID	language	occurrenceID	type	catalogNumber	institutionCode	taxonConceptID	http://unknown.org/species	coordinatePrecision	coordinateUncertaintyInMeters	otherCatalogNumbers	eventID	acceptedNameUsage	dynamicProperties	verbatimLocality	locationRemarks	nameAccordingTo	sex	verbatimTaxonRank	recordedBy	samplingProtocol	individualCount	modified	nomenclaturalCode	institutionID	verbatimEventDate	higherClassification	waterBody	higherGeography	vernacularName	county	collectionKey	collectionID
4141829856	793c3890-6c8a-11de-8226-b8a03c50a862	8cdd9232-84eb-4bad-9d9b-a36910cd524b	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:23:22.318+00:00	2024-07-02T07:38:10.325+00:00	374	{}	PRESERVED_SPECIMEN	PRESENT	2118040	1	54	354	9477065	2011	2118026	2118040	2118040	Parapallene nierstraszi Loman, 1908	Parapallene nierstraszi Loman, 1908	Animalia	Arthropoda	Pantopoda	Callipallenidae	Parapallene	Parapallene nierstraszi	Parapallene	nierstraszi	SPECIES	ACCEPTED	NE	1983-01-01T00:00:00	-19.08333	118.96333	Western Australia	{}	1983.0	4.0	28.0	1983-04-28	118.0	118.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:38:10.325+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'a51f5288-6ecf-4df1-b1ed-b59ca9d2c1bd'}]	[]	[]	[]	c0f3ae0e-60d2-4671-a35f-40c754780c9f	False	D. Staples	whole animal (ETOH)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	Board of the Museum and Art Gallery of the Northern Territory	a51f5288-6ecf-4df1-b1ed-b59ca9d2c1bd	7000	West of Port Hedland	Minor Invertebrate	4141829856	en	a51f5288-6ecf-4df1-b1ed-b59ca9d2c1bd	PhysicalObject	N000004	MAGNT	https://biodiversity.org.au/afd/taxa/dd3f5a00-4638-406f-a2f5-71c31d3444da	Parapallene nierstraszi																									
1100783952	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:20:19.869+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	2118040	1	54	354	9477065	2011	2118026	2118040	2118040	Parapallene nierstraszi Loman, 1908	Parapallene nierstraszi Loman, 1908	Animalia	Arthropoda	Pantopoda	Callipallenidae	Parapallene	Parapallene nierstraszi	Parapallene	nierstraszi	SPECIES	ACCEPTED	NE	2006-01-01T00:00:00	-19.97166	117.82332	Western Australia	{}	1983.0	6.0	25.0	1983-06-25	176.0	176.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:20:19.869+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '16b05d7b-6171-4c7a-8820-c2e163d8e01c'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	Arango, C - Australian Museum - Marine Invertebrates		WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		16b05d7b-6171-4c7a-8820-c2e163d8e01c	7000		Invertebrates - Marine & Other	1100783952		16b05d7b-6171-4c7a-8820-c2e163d8e01c		P.73394	AM	https://biodiversity.org.au/afd/taxa/dd3f5a00-4638-406f-a2f5-71c31d3444da	Parapallene nierstraszi	1e-05	10000.0	ecatalogue.irn:1197698|urn:catalog:AM:Invertebrates - Marine & Other:P.73394	urn:australianmuseum.net.au:Events:1066071	Parapallene nierstraszi Loman, 1908	{dcterms:type:PhysicalObject,dcterms:modified:2018/6/27,verbatimUncertainty:1km-10km}	North West Shelf	ecatalogue.LocCollectionEventLocal: [03-D1-S] Australia, Western Australia, North West Shelf (19° 58' 18 S, 117° 49' 24 E) 25/06/1983 - 25/06/1983, CSIRO North-West Shelf project;	Loman, 1908																
1100784006	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:20:02.669+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	2118040	1	54	354	9477065	2011	2118026	2118040	2118040	Parapallene nierstraszi Loman, 1908	Parapallene nierstraszi Loman, 1908	Animalia	Arthropoda	Pantopoda	Callipallenidae	Parapallene	Parapallene nierstraszi	Parapallene	nierstraszi	SPECIES	ACCEPTED	NE	2006-08-01T00:00:00	-19.06999	119.01333	Western Australia	{}	1983.0	6.0	30.0	1983-06-30	181.0	181.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:20:02.669+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'da39097c-8251-4f28-a535-30ede800014a'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	Arango, C - Australian Museum - Marine Invertebrates		WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		da39097c-8251-4f28-a535-30ede800014a	7000		Invertebrates - Marine & Other	1100784006		da39097c-8251-4f28-a535-30ede800014a		P.73452	AM	https://biodiversity.org.au/afd/taxa/dd3f5a00-4638-406f-a2f5-71c31d3444da	Parapallene nierstraszi	1e-05	10000.0	ecatalogue.irn:1197892|urn:catalog:AM:Invertebrates - Marine & Other:P.73452	urn:australianmuseum.net.au:Events:1066062	Parapallene cf. nierstraszi Loman, 1908	{dcterms:type:PhysicalObject,dcterms:modified:2018/7/4,verbatimUncertainty:1km-10km}	North West Shelf	ecatalogue.LocCollectionEventLocal: [03-B11-S] Australia, Western Australia, North West Shelf (19° 04' 12 S, 119° 00' 48 E) 30/06/1983 - 30/06/1983, CSIRO North-West Shelf project;	Loman, 1908	FEMALE	species														
1100783923	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:20.885+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	2118040	1	54	354	9477065	2011	2118026	2118040	2118040	Parapallene nierstraszi Loman, 1908	Parapallene nierstraszi Loman, 1908	Animalia	Arthropoda	Pantopoda	Callipallenidae	Parapallene	Parapallene nierstraszi	Parapallene	nierstraszi	SPECIES	ACCEPTED	NE	2006-01-01T00:00:00	-19.36749	118.93652	Western Australia	{}	1982.0	12.0	8.0	1982-12-08	342.0	342.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-02T07:19:20.885+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '56e14a19-68fb-4169-ae29-84178d63156d'}]	[]	[]	[]	9cfe8cbf-35ff-4d93-b932-cb05d91b7922	False	Arango, C - Australian Museum - Marine Invertebrates		WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		56e14a19-68fb-4169-ae29-84178d63156d	7000		Invertebrates - Marine & Other	1100783923		56e14a19-68fb-4169-ae29-84178d63156d		P.73429	AM	https://biodiversity.org.au/afd/taxa/dd3f5a00-4638-406f-a2f5-71c31d3444da	Parapallene nierstraszi	1e-05	5.0	ecatalogue.irn:1197761|urn:catalog:AM:Invertebrates - Marine & Other:P.73429	urn:australianmuseum.net.au:Events:1082438	Parapallene nierstraszi Loman, 1908	{dcterms:type:PhysicalObject,dcterms:modified:2018/6/27}	North West Shelf	ecatalogue.LocCollectionEventLocal: [06-B7-S] Australia, Western Australia, North West Shelf (19° 22' 00 S, 118° 56' 00 E) 08/12/1982 - 08/12/1982, epibenthic sled, Field Collected - Aquatic, CSIRO North-West Shelf project;	Loman, 1908	MALE		CSIRO Fisheries	epibenthic sled												
2434399915	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:17.201+00:00	393	{}	PRESERVED_SPECIMEN	PRESENT	2118040	1	54	354	9477065	2011	2118026	2118040	2118040	Parapallene nierstraszi Loman, 1908	Parapallene nierstraszi Loman, 1908	Animalia	Arthropoda	Pantopoda	Callipallenidae	Parapallene	Parapallene nierstraszi	Parapallene	nierstraszi	SPECIES	ACCEPTED	NE		11.233333	51.133333		{}	1964.0	12.0	17.0	1964-12-17	352.0	352.0	['COORDINATE_ROUNDED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:17.201+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.200948@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Stock J.H.	WholeOrganism (wet specimen)	WGS84	Pycnogonida	SO	[]	[]	AFRICA	Somalia	EUROPE	Naturalis Biodiversity Center	ZMA.PYC.200948@CRS			Chelicerata and Myriapoda	2434399915		https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.200948		ZMA.PYC.200948																	3.0	2019-03-08T00:00:00.000+00:00	ICZN	Naturalis Biodiversity Center	17 dec 1964	Animalia|Callipallenidae						
500826268	7c93d290-6c8b-11de-8226-b8a03c50a862	b36f3505-f2d9-499f-a669-fa418a127b9d	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:04.806+00:00	2024-07-02T17:15:32.069+00:00	380	{}	PRESERVED_SPECIMEN	PRESENT	2118040	1	54	354	9477065	2011	2118026	2118040	2118040	Parapallene nierstraszi Loman, 1908	Parapallene nierstraszi Loman, 1908	Animalia	Arthropoda	Pantopoda	Callipallenidae	Parapallene	Parapallene nierstraszi	Parapallene	nierstraszi	SPECIES	ACCEPTED	NE		-27.66667	113.05	Western Australia	{}	1963.0	8.0	22.0	1963-08-22	234.0	234.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-02T17:15:32.069+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'e0d8d04b-657e-455a-9c7d-3ae7b16af7d2'}]	[]	[]	[]	09d260e0-a509-40c7-bef5-b0f5444be84a	False	Child, C.A.	wet (in ethanol or some other preservative)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		e0d8d04b-657e-455a-9c7d-3ae7b16af7d2	7000		ARACH	500826268		e0d8d04b-657e-455a-9c7d-3ae7b16af7d2	PhysicalObject	6960	WAM	https://biodiversity.org.au/afd/taxa/dd3f5a00-4638-406f-a2f5-71c31d3444da	Parapallene nierstraszi			70/3963					NW. of Bluff Point, N. of Geraldton		MALE		Csiro		1.0	1992-09-11T00:00:00.000+00:00										
500826328	7c93d290-6c8b-11de-8226-b8a03c50a862	b36f3505-f2d9-499f-a669-fa418a127b9d	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:04.806+00:00	2024-07-02T17:15:06.778+00:00	380	{}	PRESERVED_SPECIMEN	PRESENT	2118040	1	54	354	9477065	2011	2118026	2118040	2118040	Parapallene nierstraszi Loman, 1908	Parapallene nierstraszi Loman, 1908	Animalia	Arthropoda	Pantopoda	Callipallenidae	Parapallene	Parapallene nierstraszi	Parapallene	nierstraszi	SPECIES	ACCEPTED	NE		-32.05	114.33333	Western Australia	{}	1963.0	10.0	12.0	1963-10-12	285.0	285.0	['RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-02T17:15:06.778+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5589e4bb-e1d8-4039-826f-8a64e051b542'}]	[]	[]	[]	09d260e0-a509-40c7-bef5-b0f5444be84a	False	Child, C.A.	wet (in ethanol or some other preservative)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		5589e4bb-e1d8-4039-826f-8a64e051b542	7000		ARACH	500826328		5589e4bb-e1d8-4039-826f-8a64e051b542	PhysicalObject	6981	WAM	https://biodiversity.org.au/afd/taxa/dd3f5a00-4638-406f-a2f5-71c31d3444da	Parapallene nierstraszi			70/3984					W. of Rottnest Island		MALE		Csiro		1.0	1992-09-11T00:00:00.000+00:00										
723290320	534abda8-18f5-11e2-98fb-00145eb45e9a	4fd82480-ea1c-11da-8db4-b8a03c50a862		82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-14T04:19:14.400+00:00	2024-01-24T18:21:03.909+00:00	301	{}	PRESERVED_SPECIMEN	PRESENT	2118040	1	54	354	9477065	2011	2118026	2118040	2118040	Parapallene nierstraszi Loman, 1908	Parapallene nierstraszi Loman, 1908	Animalia	Arthropoda	Pantopoda	Callipallenidae	Parapallene	Parapallene nierstraszi	Parapallene	nierstraszi	SPECIES	ACCEPTED	NE				Nagasaki	{}	1929.0	7.0	25.0	1929-07-25	206.0	206.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-24T18:21:03.909+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '189'}]	[]	[]	[]	ade773d3-c637-4fd1-be56-c1ebecb4908f	False				Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA		189		Tusima St,	Art	723290320	en	9a6892f0-f8b6-11e6-bf00-70e2840fc270	text	9049	SMBL																	2011-12-01T05:00:49.000+00:00				Animalia|Arthropoda|Pycnogonida|Pantopoda|Callipallenidae|Parapallene|nierstraszi	Pacific	Pacific|Japan|Nagasaki|Tsushima-shi|Tusima St,	チビオウマヅラウミグモ	Tsushima-shi		
774193492	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:37.631+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1908', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Parapallene;Callipallenidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Loman, 1908', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|171584', 'http://rs.tdwg.org/dwc/terms/family': 'Callipallenidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Parapallene', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'nierstraszi', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|22528', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arnaud F.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Parapallene nierstraszi Loman, 1908'}]}	PRESERVED_SPECIMEN	PRESENT	2118040	1	54	354	9477065	2011	2118026	2118040	2118040	Parapallene nierstraszi Loman, 1908	Parapallene nierstraszi Loman, 1908	Animalia	Arthropoda	Pantopoda	Callipallenidae	Parapallene	Parapallene nierstraszi	Parapallene	nierstraszi	SPECIES	ACCEPTED	NE					{}							['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2024-07-24T12:24:37.631+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3113'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	False	Arnaud F.			Pycnogonida		[]	[]			EUROPE		http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3113			IU	774193492		http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3113		2009-3113	MNHN																1.0	2016-06-29T17:14:41.000+00:00									0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	10.15468/qgvvhd
318009244	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.192+00:00	124	{}	OCCURRENCE	PRESENT	2118040	1	54	354	9477065	2011	2118026	2118040	2118040	Parapallene nierstraszi Loman, 1908	Parapallene nierstraszi Loman, 1908	Animalia	Arthropoda	Pantopoda	Callipallenidae	Parapallene	Parapallene nierstraszi	Parapallene	nierstraszi	SPECIES	ACCEPTED	NE		-35.45	23.49		{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:22.192+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37226'}]	[]	[]	[]		False			WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	EUROPE					SOMBASE Pycnogonids	318009244				37226	BAS																											
