key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	institutionID	islandGroup	locality	fieldNumber	collectionCode	gbifID	occurrenceID	verbatimDepth	catalogNumber	institutionCode	ownerInstitutionCode	collectionID	parentEventID	stateProvince	higherGeography	modified	vernacularName	county	language	type	higherClassification	sex	depth	depthAccuracy	datasetName	verbatimCoordinateSystem	locationID	typeStatus
4399691160	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.188+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117281	1	54	354	9477065	6316	2117279	2117281	2117281	Phoxichilidium ungellatum Hedgpeth, 1949	Phoxichilidium ungellatum Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Phoxichilidium	Phoxichilidium ungellatum	Phoxichilidium	ungellatum	SPECIES	ACCEPTED	NE	43.7248779	147.5764851	{}	Pacific Ocean	1987.0	7.0	19.0	1987-07-19	200.0	200.0	['COORDINATE_REPROJECTED']	2024-06-18T12:44:59.188+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '308cd36f-3ce8-496c-bfae-4b556373eb9f'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Tihookeanskii	Turpaeva, Elena	EtOH 75%	Dredge	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	RV Tihookeanskii__st.55	308cd36f-3ce8-496c-bfae-4b556373eb9f	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Kuril Islands	Kunashir - Shikotan Isls., Kuriles	55	OBFc	4399691160	308cd36f-3ce8-496c-bfae-4b556373eb9f	400.0 m	INV0001285	IORAS	IORAS	fd699988-ab5d-4737-9443-9085cea191d2																
4444205356	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.734+00:00	69	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117281	1	54	354	9477065	6316	2117279	2117281	2117281	Phoxichilidium ungellatum Hedgpeth, 1949	Phoxichilidium ungellatum Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Phoxichilidium	Phoxichilidium ungellatum	Phoxichilidium	ungellatum	SPECIES	ACCEPTED	NE	39.9785996	-142.3266474	{}	Pacific Ocean	1972.0	6.0	22.0	1972-06-22	174.0	174.0	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:58.734+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'd228fcbf-dc4f-4190-9e85-2821ed5f1f61'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Vityaz	Turpaeva, Elena	EtOH 75%	Sigsbee Trawl	WGS84	Pycnogonida		[]	[]			EUROPE	RV Vityaz_cruise 52_st.6669	d228fcbf-dc4f-4190-9e85-2821ed5f1f61	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86		West Pacific	6669	OBFc	4444205356	d228fcbf-dc4f-4190-9e85-2821ed5f1f61	425.0 m	INV0002519	IORAS	IORAS	fd699988-ab5d-4737-9443-9085cea191d2	cruise 52															
723290314	534abda8-18f5-11e2-98fb-00145eb45e9a	4fd82480-ea1c-11da-8db4-b8a03c50a862		82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-14T04:19:14.400+00:00	2024-01-24T18:21:03.870+00:00	301	{}	PRESERVED_SPECIMEN		PRESENT	2117281	1	54	354	9477065	6316	2117279	2117281	2117281	Phoxichilidium ungellatum Hedgpeth, 1949	Phoxichilidium ungellatum Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Phoxichilidium	Phoxichilidium ungellatum	Phoxichilidium	ungellatum	SPECIES	ACCEPTED	NE			{}	Pacific	1930.0	8.0	3.0	1930-08-03	215.0	215.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-24T18:21:03.870+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '183'}]	[]	[]	[]	ade773d3-c637-4fd1-be56-c1ebecb4908f		False						Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA		183			off Teradomari		Art	723290314	9a6799d6-f8b6-11e6-9a40-70e2840fc270		9043	SMBL				Niigata	Pacific|Japan|Niigata|Nagaoka-shi|off Teradomari	2011-12-01T05:00:47.000+00:00	ホソウミグモ	Nagaoka-shi	en	text	Animalia|Arthropoda|Pycnogonida|Pantopoda|Phoxichilidiidae|Phoxichilidium|ungellatum							
723290310	534abda8-18f5-11e2-98fb-00145eb45e9a	4fd82480-ea1c-11da-8db4-b8a03c50a862		82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-14T04:19:14.400+00:00	2024-01-24T18:21:03.814+00:00	301	{}	PRESERVED_SPECIMEN		PRESENT	2117281	1	54	354	9477065	6316	2117279	2117281	2117281	Phoxichilidium ungellatum Hedgpeth, 1949	Phoxichilidium ungellatum Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Phoxichilidium	Phoxichilidium ungellatum	Phoxichilidium	ungellatum	SPECIES	ACCEPTED	NE			{}	Pacific	1926.0	6.0	29.0	1926-06-29	180.0	180.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-24T18:21:03.814+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '179'}]	[]	[]	[]	ade773d3-c637-4fd1-be56-c1ebecb4908f		False						Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA		179			off Sioya-zaki		Art	723290310	9a66f1c0-f8b6-11e6-ab90-70e2840fc270		9039	SMBL				Fukushima	Pacific|Japan|Fukushima|Iwaki-shi|off Sioya-zaki	2011-12-01T05:00:46.000+00:00	ホソウミグモ	Iwaki-shi	en	text	Animalia|Arthropoda|Pycnogonida|Pantopoda|Phoxichilidiidae|Phoxichilidium|ungellatum							
723290316	534abda8-18f5-11e2-98fb-00145eb45e9a	4fd82480-ea1c-11da-8db4-b8a03c50a862		82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-14T04:19:14.400+00:00	2024-01-24T18:21:03.886+00:00	301	{}	PRESERVED_SPECIMEN		PRESENT	2117281	1	54	354	9477065	6316	2117279	2117281	2117281	Phoxichilidium ungellatum Hedgpeth, 1949	Phoxichilidium ungellatum Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Phoxichilidium	Phoxichilidium ungellatum	Phoxichilidium	ungellatum	SPECIES	ACCEPTED	NE			{}	Pacific	1926.0	7.0	4.0	1926-07-04	185.0	185.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-24T18:21:03.886+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '185'}]	[]	[]	[]	ade773d3-c637-4fd1-be56-c1ebecb4908f		False						Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA		185			off Kinkasan		Art	723290316	9a67eeae-f8b6-11e6-a4ab-70e2840fc270		9045	SMBL				Miyagi	Pacific|Japan|Miyagi|Ishinomaki-shi|off Kinkasan	2011-12-01T05:00:47.000+00:00	ホソウミグモ	Ishinomaki-shi	en	text	Animalia|Arthropoda|Pycnogonida|Pantopoda|Phoxichilidiidae|Phoxichilidium|ungellatum							
1322225926	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:49.834+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117281	1	54	354	9477065	6316	2117279	2117281	2117281	Phoxichilidium ungellatum Hedgpeth, 1949	Phoxichilidium ungellatum Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Phoxichilidium	Phoxichilidium ungellatum	Phoxichilidium	ungellatum	SPECIES	ACCEPTED	NE	46.7	151.75	{}	North Pacific Ocean	1906.0	6.0	24.0	1906-06-24	175.0	175.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:49.834+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3de385a1f-c6fa-42f3-9c53-3169033489dd'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	United States Fish Commission	Hedgpeth, J. W.	Alcohol (Ethanol)		WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	NORTH_AMERICA		http://n2t.net/ark:/65665/3de385a1f-c6fa-42f3-9c53-3169033489dd	urn:lsid:biocol.org:col:34871		Simushir Island, South of	USFC/A4803	IZ	1322225926	http://n2t.net/ark:/65665/3de385a1f-c6fa-42f3-9c53-3169033489dd		USNM 80540	USNM		urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6			North Pacific Ocean, Russia	2015-07-07T10:26:00.000+00:00					Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	FEMALE	419.0	0.0	NMNH Extant Biology	Degrees Minutes Seconds	4803	
1321807399	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:25.036+00:00	395	{}	PRESERVED_SPECIMEN	5.0	PRESENT	2117281	1	54	354	9477065	6316	2117279	2117281	2117281	Phoxichilidium ungellatum Hedgpeth, 1949	Phoxichilidium ungellatum Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Phoxichilidium	Phoxichilidium ungellatum	Phoxichilidium	ungellatum	SPECIES	ACCEPTED	NE	36.2167	133.45	{}	North Pacific Ocean, Sea of Japan	1906.0	7.0	26.0	1906-07-26	207.0	207.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:25.036+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3cbb18b3c-7894-4d7a-a761-ef9f83037b56'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	United States Fish Commission	Hedgpeth, J. W.	Alcohol (Ethanol)		WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA		http://n2t.net/ark:/65665/3cbb18b3c-7894-4d7a-a761-ef9f83037b56	urn:lsid:biocol.org:col:34871		Oki Islands, Dogo Island, West of	USFC/A4842	IZ	1321807399	http://n2t.net/ark:/65665/3cbb18b3c-7894-4d7a-a761-ef9f83037b56		USNM 80543	USNM		urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6			North Pacific Ocean, Sea of Japan, Japan	2014-01-08T16:24:00.000+00:00					Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae		150.0	0.0	NMNH Extant Biology	Degrees Minutes Seconds	4842	PARATYPE
1322765521	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:40:03.456+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117281	1	54	354	9477065	6316	2117279	2117281	2117281	Phoxichilidium ungellatum Hedgpeth, 1949	Phoxichilidium ungellatum Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Phoxichilidium	Phoxichilidium ungellatum	Phoxichilidium	ungellatum	SPECIES	ACCEPTED	NE	36.2167	133.45	{}	North Pacific Ocean, Sea of Japan	1906.0	7.0	26.0	1906-07-26	207.0	207.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:40:03.456+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3f61ba1ce-e867-4293-acd2-9fd4f831b995'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	United States Fish Commission	Hedgpeth, J. W.	Alcohol (Ethanol)		WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA		http://n2t.net/ark:/65665/3f61ba1ce-e867-4293-acd2-9fd4f831b995	urn:lsid:biocol.org:col:34871		Oki Islands, Dogo Island, West of	USFC/A4842	IZ	1322765521	http://n2t.net/ark:/65665/3f61ba1ce-e867-4293-acd2-9fd4f831b995		USNM 80542	USNM		urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6			North Pacific Ocean, Sea of Japan, Japan	2014-01-08T16:24:00.000+00:00					Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	MALE	150.0	0.0	NMNH Extant Biology	Degrees Minutes Seconds	4842	HOLOTYPE
1319572473	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:28.411+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117281	1	54	354	9477065	6316	2117279	2117281	2117281	Phoxichilidium ungellatum Hedgpeth, 1949	Phoxichilidium ungellatum Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Phoxichilidium	Phoxichilidium ungellatum	Phoxichilidium	ungellatum	SPECIES	ACCEPTED	NE	32.6056	132.408	{}	North Pacific Ocean	1906.0	8.0	23.0	1906-08-23	235.0	235.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:28.411+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/368d4bf99-0d46-497b-ab5e-41455a6803c2'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	United States Fish Commission	Hedgpeth, J. W.	Alcohol (Ethanol)		WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA		http://n2t.net/ark:/65665/368d4bf99-0d46-497b-ab5e-41455a6803c2	urn:lsid:biocol.org:col:34871		Shikoku Island, Okino Island, SW of	USFC/A4958	IZ	1319572473	http://n2t.net/ark:/65665/368d4bf99-0d46-497b-ab5e-41455a6803c2		USNM 80551	USNM		urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		Kochi	North Pacific Ocean, Japan, Kochi	2015-06-30T16:23:00.000+00:00					Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	FEMALE	741.0	0.0	NMNH Extant Biology	Degrees Minutes Seconds	4958	
1319880214	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:56.720+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117281	1	54	354	9477065	6316	2117279	2117281	2117281	Phoxichilidium ungellatum Hedgpeth, 1949	Phoxichilidium ungellatum Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Phoxichilidium	Phoxichilidium ungellatum	Phoxichilidium	ungellatum	SPECIES	ACCEPTED	NE	33.3944	135.55	{}	North Pacific Ocean	1906.0	8.0	29.0	1906-08-29	241.0	241.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:56.720+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/376754d36-b1c8-4ef6-a557-1807348a73ba'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	United States Fish Commission	Hedgpeth, J. W.	Alcohol (Ethanol)		WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA		http://n2t.net/ark:/65665/376754d36-b1c8-4ef6-a557-1807348a73ba	urn:lsid:biocol.org:col:34871		Honshu Island, Shiono Misaki	USFC/A4969	IZ	1319880214	http://n2t.net/ark:/65665/376754d36-b1c8-4ef6-a557-1807348a73ba		USNM 80552	USNM		urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		Wakayama	North Pacific Ocean, Japan, Wakayama	2015-06-30T17:06:00.000+00:00					Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	FEMALE	811.5	262.5	NMNH Extant Biology	Degrees Minutes Seconds	4969	
