key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	projectId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	organismQuantity	organismQuantityType	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	scientificNameID	institutionID	verbatimEventDate	footprintWKT	fieldNumber	language	gbifID	occurrenceID	type	catalogNumber	institutionCode	identificationRemarks	modified	datasetID	locality	collectionCode	recordedBy	vernacularName	http://unknown.org/taxonRankID	taxonConceptID	http://unknown.org/species	individualCount	dateIdentified	higherGeography	datasetName	rightsHolder	nomenclaturalCode	verbatimLocality	locationID	ownerInstitutionCode	higherClassification	continent
3386517329	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.951+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117245	1	54	354	9477065	2014	2117211	2117245	2117245	Pycnogonum gordonae Pushkin, 1984	Pycnogonum gordonae Pushkin, 1984	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum gordonae	Pycnogonum	gordonae	SPECIES	ACCEPTED	NE	-74.6768	-29.4526	59.0	577.2049999999999	3.785000000000025	{}	2012.0	2.0	29.0	2012-02-29	60.0	60.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.951+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR275_1282.5'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR275	JR275_1282.5	urn:lsid:marinespecies.org:taxname:173589	https://ror.org/01rhff309	29/02/2012	LINESTRING (-29.45447 -74.67694, -29.45068 -74.67659)	JR275_86	en	3386517329	JR275_1282.5	PhysicalObject	JR275_1282.5	BAS	4 mediadorsal tubercles and smaller one behind ocular tubercle, tubercles on trunk and coxa sharply pointed, similar to P. ganai but that only has 3 mediadorsal tubercles																				
3386516541	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.670+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117245	1	54	354	9477065	2014	2117211	2117245	2117245	Pycnogonum gordonae Pushkin, 1984	Pycnogonum gordonae Pushkin, 1984	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum gordonae	Pycnogonum	gordonae	SPECIES	ACCEPTED	NE	-74.7011	-29.5006	29.0	427.86	0.6899999999999977	{}	2012.0	2.0	29.0	2012-02-29	60.0	60.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.670+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR275_1358.3'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR275	JR275_1358.3	urn:lsid:marinespecies.org:taxname:173589	https://ror.org/01rhff309	29/02/2012	LINESTRING (-29.50091 -74.70134, -29.50021 -74.70085)	JR275_92	en	3386516541	JR275_1358.3	PhysicalObject	JR275_1358.3	BAS	pointed tubercles																				
3386516563	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.670+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117245	1	54	354	9477065	2014	2117211	2117245	2117245	Pycnogonum gordonae Pushkin, 1984	Pycnogonum gordonae Pushkin, 1984	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum gordonae	Pycnogonum	gordonae	SPECIES	ACCEPTED	NE	-70.8203	-10.5535	839.0	280.5	8.0	{}	2011.0	3.0	28.0	2011-03-28	87.0	87.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.670+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'ANTXXVII/3_PS77_1281_1.2'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	bottom trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	PS77	ANTXXVII/3_PS77_1281_1.2	urn:lsid:marinespecies.org:taxname:173589	https://ror.org/01rhff309	28/03/2011	LINESTRING (-10.542 -70.81383, -10.565 -70.82683333)	PS77_PS77/281-1	en	3386516563	ANTXXVII/3_PS77_1281_1.2	PhysicalObject	ANTXXVII/3_PS77_1281_1.2	BAS	sharp pointed tubercles, could be young P. gaini that hasn't had their tubercles worn down																				
240913292	7b52e794-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:55.654+00:00	2024-01-24T20:20:55.630+00:00	242		{}	HUMAN_OBSERVATION	PRESENT	2117245	1	54	354	9477065	2014	2117211	2117245	2117245	Pycnogonum gordonae Pushkin, 1984	Pycnogonum gordonae Pushkin, 1984	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum gordonae	Pycnogonum	gordonae	SPECIES	ACCEPTED	NE	-71.525	-12.425		504.0	0.0	{}	1996.0	2.0	28.0	1996-02-28	59.0	59.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_AND_ID_INCONSISTENT']	2024-01-24T20:20:55.630+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3758'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3758	urn:lsid:marinespecies.org:taxname:173589						240913292	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3758		3758	AWI		2010-05-11T18:09:00.000+00:00	IMIS:dasid:2432	Kapp Norvegia area	Weddell Sea macrozoobenthos EASIZ I																
240913293	7b52e794-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:55.654+00:00	2024-01-24T20:20:55.630+00:00	242		{}	HUMAN_OBSERVATION	PRESENT	2117245	1	54	354	9477065	2014	2117211	2117245	2117245	Pycnogonum gordonae Pushkin, 1984	Pycnogonum gordonae Pushkin, 1984	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum gordonae	Pycnogonum	gordonae	SPECIES	ACCEPTED	NE	-71.535	-13.735		362.0	0.0	{}	1996.0	2.0	25.0	1996-02-25	56.0	56.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_AND_ID_INCONSISTENT']	2024-01-24T20:20:55.630+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3759'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3759	urn:lsid:marinespecies.org:taxname:173589						240913293	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3759		3759	AWI		2010-05-11T18:09:00.000+00:00	IMIS:dasid:2432	Kapp Norvegia area	Weddell Sea macrozoobenthos EASIZ I																
240913294	7b52e794-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:55.654+00:00	2024-01-24T20:20:55.629+00:00	242		{}	HUMAN_OBSERVATION	PRESENT	2117245	1	54	354	9477065	2014	2117211	2117245	2117245	Pycnogonum gordonae Pushkin, 1984	Pycnogonum gordonae Pushkin, 1984	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum gordonae	Pycnogonum	gordonae	SPECIES	ACCEPTED	NE	-71.051667	-11.425		462.0	0.0	{}	1996.0	2.0	5.0	1996-02-05	36.0	36.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_AND_ID_INCONSISTENT']	2024-01-24T20:20:55.629+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3760'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3760	urn:lsid:marinespecies.org:taxname:173589						240913294	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3760		3760	AWI		2010-05-11T18:09:00.000+00:00	IMIS:dasid:2432	Kapp Norvegia area	Weddell Sea macrozoobenthos EASIZ I																
147204050	86b7940e-f762-11e1-a439-00145eb45e9a	f69d71e9-a6a9-4531-90f1-5ae6b99f8dc2		19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-23T08:46:34.124+00:00	2024-07-23T08:46:59.626+00:00	316		{}	PRESERVED_SPECIMEN	PRESENT	2117245	1	54	354	9477065	2014	2117211	2117245	2117245	Pycnogonum gordonae Pushkin, 1984	Pycnogonum gordonae Pushkin, 1984	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum gordonae	Pycnogonum	gordonae	SPECIES	ACCEPTED	NE	-68.781167	76.802167	500.0	798.0	0.0	{}	1993.0	1.0	18.0	1993-01-18	18.0	18.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_NONE']	2024-07-23T08:46:59.626+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': '6de921f6-eefe-447a-a27e-b111de80c4ca'}]	[]	[]	[]		True				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA		6de921f6-eefe-447a-a27e-b111de80c4ca							147204050	6de921f6-eefe-447a-a27e-b111de80c4ca	PhysicalObject	ABSD-5247	AADC				Prydz Bay	ABSD	UNKNOWN OR ANONYMOUS	Pycnogonid	7000	33017013	Pycnogonum gordonae											
1272732573	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:40.812+00:00	381		{}	PRESERVED_SPECIMEN	PRESENT	2117245	1	54	354	9477065	2014	2117211	2117245	2117245	Pycnogonum gordonae Pushkin, 1984	Pycnogonum gordonae Pushkin, 1984	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum gordonae	Pycnogonum	gordonae	SPECIES	ACCEPTED	NE	-68.7812	76.8022		798.0		{}	1993.0	1.0	18.0	1993-01-18	18.0	18.0	['RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-02T06:37:40.812+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'cec9cf1b-78fe-45fc-83c2-cc55eae7377a'}]	[]	[]	[]	22c8fe88-400b-4e8a-92cd-f1c76683f5ba	True	D A. Staples - Museum Victoria (Sciences)	Wet|ethanol 70%	Van Veen Grab	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	AA93 17	cec9cf1b-78fe-45fc-83c2-cc55eae7377a		urn:lsid:biocol.org:col:34978			AA93 17	en	1272732573	cec9cf1b-78fe-45fc-83c2-cc55eae7377a	PhysicalObject	J37988	NMV		2019-07-08T12:52:00.000+00:00		WSW of Davis Base	Invertebrates	O'Loughlin, P.M.|Australian National Antarctic Research Expeditions (ANARE)		7000	https://biodiversity.org.au/afd/taxa/98b1817f-7a9d-470c-9f8f-f697af4b6418	Pycnogonum gordonae	1.0	1994-01-01T00:00:00	Antarctica	AA93	Museums Victoria	ICZN	WSW of Davis Base	AA93 17	NMV	Arthropoda | Chelicerata | Pycnogonida | Pycnogonidae	
318009633	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.924+00:00	124		{}	OCCURRENCE	PRESENT	2117245	1	54	354	9477065	2014	2117211	2117245	2117245	Pycnogonum gordonae Pushkin, 1984	Pycnogonum gordonae Pushkin, 1984	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum gordonae	Pycnogonum	gordonae	SPECIES	ACCEPTED	NE	-71.535	-13.735		362.0	0.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:22.924+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:21623'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE									318009633			21623	BAS					SOMBASE Pycnogonids																
318009634	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.924+00:00	124		{}	OCCURRENCE	PRESENT	2117245	1	54	354	9477065	2014	2117211	2117245	2117245	Pycnogonum gordonae Pushkin, 1984	Pycnogonum gordonae Pushkin, 1984	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum gordonae	Pycnogonum	gordonae	SPECIES	ACCEPTED	NE	-71.525	-12.425		504.0	0.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:22.924+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:21624'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE									318009634			21624	BAS					SOMBASE Pycnogonids																
318009635	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.923+00:00	124		{}	OCCURRENCE	PRESENT	2117245	1	54	354	9477065	2014	2117211	2117245	2117245	Pycnogonum gordonae Pushkin, 1984	Pycnogonum gordonae Pushkin, 1984	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum gordonae	Pycnogonum	gordonae	SPECIES	ACCEPTED	NE	-71.0517	-11.425		462.0	0.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:22.923+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:21625'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE									318009635			21625	BAS					SOMBASE Pycnogonids																
