key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	dateIdentified	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	continent	gadm	year	month	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetName	recordedBy	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionID	institutionCode	dynamicProperties	locality	gbifID	collectionCode	occurrenceID	collectionID	networkKeys	sex	stateProvince	preparations	rightsHolder	nomenclaturalCode	verbatimEventDate	higherClassification	datasetID	eventID	http://unknown.org/language	originalNameUsage	county	associatedReferences	identificationVerificationStatus	nameAccordingTo	taxonID	http://unknown.org/orders	depth	depthAccuracy	typeStatus
4078737830	70bf8d53-be76-4390-920a-300eee146141	f314b0b0-e3dc-11d9-8d81-b8a03c50a862	c4e83f8a-f24c-4573-a197-f085ca242917	64795dcb-ad74-41b3-95e5-cc52ba754776	NO	EML	2024-01-23T16:50:02.693+00:00	2024-01-26T11:58:02.813+00:00	17	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117220	1	54	354	9477065	2014	2117211	2117220	2117220	Pycnogonum magnirostrum Möbius, 1902	Pycnogonum magnirostrum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum magnirostrum	Pycnogonum	magnirostrum	SPECIES	ACCEPTED	NE	1955-01-01T00:00:00	-46.4	51.76	10000.0	ANTARCTICA	{'level0': {'gid': 'ATF', 'name': 'French Southern Territories'}, 'level1': {'gid': 'ATF.1_1', 'name': 'Îles Crozet'}}	1908.0	1.0	1908-01-01/1908-01-31	1.0	31.0	['COUNTRY_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2009-05-18T00:00:00.000+00:00	2024-01-26T11:58:02.813+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:nhmo:F3203'}]	[]	[]	[]	a9ab29d6-f380-4193-967f-15a64abc09e7	35701276-4341-4879-a5ba-b503de15e45b	False	Crustacea Collection at NHM (Oslo)	Ring	Stock, J.H.	WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE	urn:catalog:nhmo:F3203	F3203	https://ror.org/01xtthb56	UiO	{Medium:Ethanol}	Crozet-øerne. Possession Isl.	4078737830	ZMO-Crustacea	urn:catalog:nhmo:F3203	urn:uuid:35701276-4341-4879-a5ba-b503de15e45b																					
2434361522	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:37.244+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1436/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1436_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1436/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN		PRESENT	2117220	1	54	354	9477065	2014	2117211	2117220	2117220	Pycnogonum magnirostrum Möbius, 1902	Pycnogonum magnirostrum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum magnirostrum	Pycnogonum	magnirostrum	SPECIES	ACCEPTED	NE						{}	1908.0	1.0	1908-01-01/1908-01-31	1.0	31.0	['TAXON_MATCH_HIGHERRANK', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2020-04-03T00:00:00.000+00:00	2024-07-23T00:33:37.244+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1436@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1436_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1436/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False		Ring			Pycnogonida		[]	[]			EUROPE	ZMA.PYC.P.1436@CRS	ZMA.PYC.P.1436	Naturalis Biodiversity Center			Possession Id.	2434361522	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1436		['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	FEMALE	Crozet Is.	WholeOrganism (microscopic slide)	Naturalis Biodiversity Center	ICZN	Jan. 1908	Animalia													
4547930840	f553f8f9-b147-4f09-86e5-0d1ce1a91ce0	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-03-21T10:09:14.312+00:00	2024-03-21T10:14:26.711+00:00	57	{}	HUMAN_OBSERVATION		PRESENT	2117220	1	54	354	9477065	2014	2117211	2117220	2117220	Pycnogonum magnirostrum Möbius, 1902	Pycnogonum magnirostrum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum magnirostrum	Pycnogonum	magnirostrum	SPECIES	ACCEPTED	NE		-49.13558	68.66923	1105902.0		{}						['COUNTRY_MISMATCH', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-03-21T10:14:26.711+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1fc8a9d5-cbc5-443a-8e63-35512ec7a35d'}]	[]	[]	[]			False				WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE	1fc8a9d5-cbc5-443a-8e63-35512ec7a35d						4547930840		1fc8a9d5-cbc5-443a-8e63-35512ec7a35d										EB6380B5-80AF-5935-E053-0514A8C08744	1fc8a9d5-cbc5-443a-8e63-35512ec7a35d	fr | en	Pycnogonum magnirostrum Möbius, 1902	TAAF : Îles sub-antarctiques	TaxREF	Probable	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	815669				
3935128688	91aa3d5b-6f77-4135-a823-cef438a60dfa	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-01-19T17:11:53.743+00:00	2024-01-26T10:11:37.076+00:00	10	{}	HUMAN_OBSERVATION		PRESENT	2117220	1	54	354	9477065	2014	2117211	2117220	2117220	Pycnogonum magnirostrum Möbius, 1902	Pycnogonum magnirostrum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum magnirostrum	Pycnogonum	magnirostrum	SPECIES	ACCEPTED	NE		-49.13558	68.66923	1105902.0		{}						['COUNTRY_MISMATCH', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-01-26T10:11:37.076+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '3d908adf-3cad-4550-9c25-1bd6510a22b0'}]	[]	[]	[]			False				WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE	3d908adf-3cad-4550-9c25-1bd6510a22b0						3935128688		3d908adf-3cad-4550-9c25-1bd6510a22b0										D2B0CE86-7C29-1275-E053-5514A8C0FBF9	3d908adf-3cad-4550-9c25-1bd6510a22b0		Pycnogonum magnirostrum Möbius, 1902	TAAF : Îles sub-antarctiques	TaxREF	Probable	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	815669	Pantopoda			
318009895	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.207+00:00	124	{}	OCCURRENCE		PRESENT	2117220	1	54	354	9477065	2014	2117211	2117220	2117220	Pycnogonum magnirostrum Möbius, 1902	Pycnogonum magnirostrum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum magnirostrum	Pycnogonum	magnirostrum	SPECIES	ACCEPTED	NE		-49.5	69.5		ANTARCTICA	{'level0': {'gid': 'ATF', 'name': 'French Southern Territories'}, 'level1': {'gid': 'ATF.4_1', 'name': 'Kerguelen'}}						['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:22.207+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37266'}]	[]	[]	[]			False				WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE		37266		BAS			318009895	SOMBASE Pycnogonids																					75.0	47.0	
318009915	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.902+00:00	124	{}	OCCURRENCE		PRESENT	2117220	1	54	354	9477065	2014	2117211	2117220	2117220	Pycnogonum magnirostrum Möbius, 1902	Pycnogonum magnirostrum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum magnirostrum	Pycnogonum	magnirostrum	SPECIES	ACCEPTED	NE		-45.8966	50.2316			{}						['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:23.902+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37858'}]	[]	[]	[]			False				WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE		37858		BAS			318009915	SOMBASE Pycnogonids																					168.0	0.0	
318009920	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.934+00:00	124	{}	OCCURRENCE		PRESENT	2117220	1	54	354	9477065	2014	2117211	2117220	2117220	Pycnogonum magnirostrum Möbius, 1902	Pycnogonum magnirostrum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum magnirostrum	Pycnogonum	magnirostrum	SPECIES	ACCEPTED	NE		-45.7316	50.25			{}						['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:23.934+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37876'}]	[]	[]	[]			False				WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE		37876		BAS			318009920	SOMBASE Pycnogonids																					173.0	0.0	
318009923	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:24.024+00:00	124	{}	OCCURRENCE		PRESENT	2117220	1	54	354	9477065	2014	2117211	2117220	2117220	Pycnogonum magnirostrum Möbius, 1902	Pycnogonum magnirostrum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum magnirostrum	Pycnogonum	magnirostrum	SPECIES	ACCEPTED	NE		-46.0	50.0			{}						['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:24.024+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37883'}]	[]	[]	[]			False				WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE		37883		BAS			318009923	SOMBASE Pycnogonids																					196.0	0.0	
318009925	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:24.025+00:00	124	{}	OCCURRENCE		PRESENT	2117220	1	54	354	9477065	2014	2117211	2117220	2117220	Pycnogonum magnirostrum Möbius, 1902	Pycnogonum magnirostrum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum magnirostrum	Pycnogonum	magnirostrum	SPECIES	ACCEPTED	NE		-45.795	49.7333			{}						['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:24.025+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37888'}]	[]	[]	[]			False				WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE		37888		BAS			318009925	SOMBASE Pycnogonids																					327.0	7.0	
318009929	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:24.064+00:00	124	{}	OCCURRENCE		PRESENT	2117220	1	54	354	9477065	2014	2117211	2117220	2117220	Pycnogonum magnirostrum Möbius, 1902	Pycnogonum magnirostrum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Pycnogonidae	Pycnogonum	Pycnogonum magnirostrum	Pycnogonum	magnirostrum	SPECIES	ACCEPTED	NE		-45.9333	49.6366			{}						['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:24.064+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37901'}]	[]	[]	[]			False				WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE		37901		BAS			318009929	SOMBASE Pycnogonids																					242.0	0.0	
