key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionCode	locality	fieldNumber	gbifID	collectionCode	occurrenceID	collectionID	verbatimLocality	depthAccuracy	identifiedBy	eventID	scientificNameID	identificationVerificationStatus	verbatimIdentification	identificationRemarks	occurrenceRemarks	sex	coordinateUncertaintyInMeters	datasetName	preparations	samplingProtocol	locationID	footprintWKT	language	continent	datasetID	originalNameUsage	county	associatedReferences	http://unknown.org/orders	nameAccordingTo	taxonID	http://unknown.org/language	rightsHolder	nomenclaturalCode	institutionID	higherClassification
462402561	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:43.517+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1908', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Scipiolus;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Loman, 1908', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|117477', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Scipiolus', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'plumosus', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|16270', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Scipiolus plumosus Loman, 1908'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118234	1	54	354	9477065	6313	2118231	2118234	2118234	Scipiolus plumosus Loman, 1908	Scipiolus plumosus Loman, 1908	Animalia	Arthropoda	Pantopoda	Ammotheidae	Scipiolus	Scipiolus plumosus	Scipiolus	plumosus	SPECIES	ACCEPTED	NE	-21.146667	167.918335	300.0	{}	1989.0	2.0	22.0	1989-02-22T08:58/1989-02-22T09:08	53.0	53.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-06-19T19:23:01.000+00:00	2024-07-24T12:24:43.517+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20587'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Bouchet, Métivier & Richer de Forges-IRD coll.	WGS84	Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20587	2008-20587	MNHN	SE Tiga	MUSORSTOM 6/DW472	462402561	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20587	10.15468/qgvvhd																														
462423026	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:43.516+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1908', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Scipiolus;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Loman, 1908', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|117478', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Scipiolus', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'plumosus', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|16270', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Scipiolus plumosus Loman, 1908'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118234	1	54	354	9477065	6313	2118231	2118234	2118234	Scipiolus plumosus Loman, 1908	Scipiolus plumosus Loman, 1908	Animalia	Arthropoda	Pantopoda	Ammotheidae	Scipiolus	Scipiolus plumosus	Scipiolus	plumosus	SPECIES	ACCEPTED	NE	-23.338333	168.09166	200.0	{}	1986.0	10.0	31.0	1986-10-31T17:08	304.0	304.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-06-19T19:23:01.000+00:00	2024-07-24T12:24:43.516+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20588'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Bouchet, Métivier & Richer de Forges-IRD coll.	WGS84	Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20588	2008-20588	MNHN	Ride de Norfolk	CHALCAL 2/DW83	462423026	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20588	10.15468/qgvvhd	Mont Antigonia																													
3696582537	2931765e-0682-4a38-85eb-032964cc3792	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2024-07-02T10:01:43.848+00:00	2024-07-02T10:03:45.201+00:00	118	{}	PRESERVED_SPECIMEN		PRESENT	2118234	1	54	354	9477065	6313	2118231	2118234	2118234	Scipiolus plumosus Loman, 1908	Scipiolus plumosus Loman, 1908	Animalia	Arthropoda	Pantopoda	Ammotheidae	Scipiolus	Scipiolus plumosus	Scipiolus	plumosus	SPECIES	ACCEPTED	NE	-23.33	168.09	200.0	{}	1986.0	10.0	31.0	1986-10-31	304.0	304.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'REFERENCES_URI_INVALID', 'INSTITUTION_MATCH_NONE']		2024-07-02T10:03:45.201+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'SeamountsOnline_urn:lsid:marinespecies.org:taxname:239921_19705'}]	[]	[]	[]			False		WGS84	Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	NORTH_AMERICA	SeamountsOnline_urn:lsid:marinespecies.org:taxname:239921_19705	19705	SCSD	Antigonia	Station DW 83	3696582537	SeamountsOnline	SeamountsOnline_urn:lsid:marinespecies.org:taxname:239921_19705			0.0	NA	SCSD_SeamountsOnline_Antigonia_535379	urn:lsid:marinespecies.org:taxname:239921	Validated	Scipiolus plumosus	WoRMS Match Type: exact	NA | NA																					
4081089132	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.249+00:00	166	{}	PRESERVED_SPECIMEN		PRESENT	2118234	1	54	354	9477065	6313	2118231	2118234	2118234	Scipiolus plumosus Loman, 1908	Scipiolus plumosus Loman, 1908	Animalia	Arthropoda	Pantopoda	Ammotheidae	Scipiolus	Scipiolus plumosus	Scipiolus	plumosus	SPECIES	ACCEPTED	NE	-28.705	167.945	475.0	{}	1977.0	1.0	30.0	1977-01-30	30.0	30.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']		2024-01-25T07:20:25.249+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5c878bda-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]			False	NZOI	WGS84	Pycnogonida	NF	[]	[]	OCEANIA	Norfolk Island	OCEANIA	5c878bda-fa36-11e2-96b3-aa6f927c92a3	8084	NIWA Invertebrate Collection			4081089132	NIWA	5c878bda-fa36-11e2-96b3-aa6f927c92a3						urn:lsid:marinespecies.org:taxname:239921					FEMALE	500.0	NIWA Invertebrate Collection	Specimen(s), None = 1	Trawl, Agassiz medium	P46	POINT (167.945 -28.705)	en													
3935107352	91aa3d5b-6f77-4135-a823-cef438a60dfa	1928bdf0-f5d2-11dc-8c12-b8a03c50a862		e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-01-19T17:11:53.743+00:00	2024-01-26T10:11:37.980+00:00	10	{}	HUMAN_OBSERVATION		PRESENT	2118234	1	54	354	9477065	6313	2118231	2118234	2118234	Scipiolus plumosus Loman, 1908	Scipiolus plumosus Loman, 1908	Animalia	Arthropoda	Pantopoda	Ammotheidae	Scipiolus	Scipiolus plumosus	Scipiolus	plumosus	SPECIES	ACCEPTED	NE				{}							['COUNTRY_MISMATCH', 'CONTINENT_DERIVED_FROM_COUNTRY', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-01-26T10:11:37.980+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '98cc784c-3595-4656-a85d-4bca9b731aee'}]	[]	[]	[]			False			Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	98cc784c-3595-4656-a85d-4bca9b731aee					3935107352		98cc784c-3595-4656-a85d-4bca9b731aee					98cc784c-3595-4656-a85d-4bca9b731aee		Probable												OCEANIA	D2B0CE86-7C29-1275-E053-5514A8C0FBF9	Scipiolus plumosus Loman, 1908	Province Nord|Province Sud|Îles Loyauté	TaxREF	Pantopoda	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	712087					
4548428976	f553f8f9-b147-4f09-86e5-0d1ce1a91ce0	1928bdf0-f5d2-11dc-8c12-b8a03c50a862		e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-03-21T10:09:14.312+00:00	2024-03-21T10:14:27.249+00:00	57	{}	HUMAN_OBSERVATION		PRESENT	2118234	1	54	354	9477065	6313	2118231	2118234	2118234	Scipiolus plumosus Loman, 1908	Scipiolus plumosus Loman, 1908	Animalia	Arthropoda	Pantopoda	Ammotheidae	Scipiolus	Scipiolus plumosus	Scipiolus	plumosus	SPECIES	ACCEPTED	NE				{}							['COUNTRY_MISMATCH', 'CONTINENT_DERIVED_FROM_COUNTRY', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-03-21T10:14:27.249+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'ba0f4058-b3c6-439e-9a17-eac37e05471e'}]	[]	[]	[]			False			Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	ba0f4058-b3c6-439e-9a17-eac37e05471e					4548428976		ba0f4058-b3c6-439e-9a17-eac37e05471e					ba0f4058-b3c6-439e-9a17-eac37e05471e		Probable												OCEANIA	EB6380B5-80AF-5935-E053-0514A8C08744	Scipiolus plumosus Loman, 1908	Province Nord|Province Sud|Îles Loyauté	TaxREF		Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	712087	fr | en				
3847046855	6ed43f52-25d1-4d56-a821-63a8564b81f6	1928bdf0-f5d2-11dc-8c12-b8a03c50a862		e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-01-23T18:06:52.356+00:00	2024-01-26T10:23:27.012+00:00	20	{}	HUMAN_OBSERVATION		PRESENT	2118234	1	54	354	9477065	6313	2118231	2118234	2118234	Scipiolus plumosus Loman, 1908	Scipiolus plumosus Loman, 1908	Animalia	Arthropoda	Pantopoda	Ammotheidae	Scipiolus	Scipiolus plumosus	Scipiolus	plumosus	SPECIES	ACCEPTED	NE				{}							['COUNTRY_MISMATCH', 'CONTINENT_DERIVED_FROM_COUNTRY', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-01-26T10:23:27.012+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'd96ed879-4896-432b-bc24-366f8dfc5745'}]	[]	[]	[]			False			Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	d96ed879-4896-432b-bc24-366f8dfc5745					3847046855		d96ed879-4896-432b-bc24-366f8dfc5745					d96ed879-4896-432b-bc24-366f8dfc5745		Invalid												OCEANIA	B6BB40E7-FCE6-5E23-E053-5014A8C0B867	Scipiolus plumosus Loman, 1908	Province Nord|Province Sud|Îles Loyauté			Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	712087					
318009816	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.551+00:00	124	{}	OCCURRENCE		PRESENT	2118234	1	54	354	9477065	6313	2118231	2118234	2118234	Scipiolus plumosus Loman, 1908	Scipiolus plumosus Loman, 1908	Animalia	Arthropoda	Pantopoda	Ammotheidae	Scipiolus	Scipiolus plumosus	Scipiolus	plumosus	SPECIES	ACCEPTED	NE	-28.705	167.945	462.5	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:23.551+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:34185'}]	[]	[]	[]			False		WGS84	Pycnogonida	NF	[]	[]	OCEANIA	Norfolk Island	EUROPE		34185	BAS			318009816	SOMBASE Pycnogonids				12.5																												
2434401288	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:19.175+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1468/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1468_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1468/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN		PRESENT	2118234	1	54	354	9477065	6313	2118231	2118234	2118234	Scipiolus plumosus Loman, 1908	Scipiolus plumosus Loman, 1908	Animalia	Arthropoda	Pantopoda	Ammotheidae	Scipiolus	Scipiolus plumosus	Scipiolus	plumosus	SPECIES	ACCEPTED	NE				{}							['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2020-04-03T00:00:00.000+00:00	2024-07-23T00:33:19.175+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1468@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1468_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1468/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False			Pycnogonida		[]	[]			EUROPE	ZMA.PYC.P.1468@CRS	ZMA.PYC.P.1468				2434401288	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1468											MALE			WholeOrganism (microscopic slide)														Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center	Animalia
2434363525	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:20.587+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1470/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1470_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1470/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN		PRESENT	2118234	1	54	354	9477065	6313	2118231	2118234	2118234	Scipiolus plumosus Loman, 1908	Scipiolus plumosus Loman, 1908	Animalia	Arthropoda	Pantopoda	Ammotheidae	Scipiolus	Scipiolus plumosus	Scipiolus	plumosus	SPECIES	ACCEPTED	NE				{}							['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2020-04-03T00:00:00.000+00:00	2024-07-23T00:33:20.587+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1470@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1470_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1470/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False			Pycnogonida		[]	[]			EUROPE	ZMA.PYC.P.1470@CRS	ZMA.PYC.P.1470				2434363525	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1470											FEMALE			WholeOrganism (microscopic slide)														Naturalis Biodiversity Center	ICZN	Naturalis Biodiversity Center	Animalia
