key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	stateProvince	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetID	datasetName	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	rightsHolder	identifier	institutionID	nomenclaturalCode	verbatimEventDate	eventRemarks	fieldNumber	language	collectionCode	gbifID	occurrenceID	type	verbatimDepth	catalogNumber	institutionCode	ownerInstitutionCode	collectionID	individualCount	establishmentMeans	higherGeography	modified	references	recordedBy	dynamicProperties	georeferenceVerificationStatus	locality	verbatimLocality	accessRights	higherClassification	otherCatalogNumbers	recordNumber	dateIdentified	habitat	georeferenceProtocol	locationRemarks	organismID	locationID	county	georeferenceSources	lifeStage	networkKeys	coordinateUncertaintyInMeters	georeferencedBy	georeferencedDate	eventID	scientificNameID	taxonID	parentNameUsageID	identificationQualifier	occurrenceRemarks	verbatimCoordinateSystem	sex	typeStatus	nameAccordingTo	parentEventID
1898297617	34fbcf59-d9bb-47e7-9672-99e13ea8c736	cc6110c7-f75c-47c8-8931-f7dd3f324777	7c519b4c-1100-4f39-a95a-9b679b4542e4	ff7bd5db-b724-4932-b496-10ea298851f9	CA	EML	2024-06-21T13:37:21.363+00:00	2024-06-21T13:38:02.879+00:00	279	{}	PRESERVED_SPECIMEN	PRESENT	4338757	1	54	354	9477065	6313	2118484	4338757	4338757	Sericosura verenae (Child, 1987)	Sericosura verenae (Child, 1987)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Sericosura	Sericosura verenae	Sericosura	verenae	SPECIES	ACCEPTED	NE	47.949203	-129.098547	2193.0	0.0	British Columbia	{}	Pacific Ocean	2013.0	6.0	22.0	2013-06-22	173.0	173.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'IDENTIFIED_DATE_INVALID', 'INDIVIDUAL_COUNT_INVALID']	2024-06-21T13:38:02.879+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '946cc30c-cbd4-4245-9654-51e7213ce0f6'}]	[]	[]	[]	4f726767-5e64-48a1-8178-98e298794cbd	1391a9ef-5ae7-489c-b498-dca9249d0d12	False	doi:10.5886/zh7n1e	Royal BC Museum - Invertebrates Collection	Melissa Frey	Specimen Nature: Wet|Preservative: Ethanol - 70%	Collection Method: submersible|Net/Gear/Trap: ROV Millenium|Vessel Name: RV Thompson	WGS84	Pycnogonida	CA	[]	[]	NORTH_AMERICA	Canada	NORTH_AMERICA	Royal BC Museum	946cc30c-cbd4-4245-9654-51e7213ce0f6	http://grbio.org/cool/gayt-20cg	ICZN	13-06-22	NEPTUNE 2013	M0016-2	en	RBCM Invertebrates	1898297617	946cc30c-cbd4-4245-9654-51e7213ce0f6	PhysicalObject	2193 - 2193 m	013-00173-004	RBCM	RBCM	https://registry.gbif.org/collection/1391a9ef-5ae7-489c-b498-dca9249d0d12																																						
2416949762	a267b6a7-91f9-457c-889a-481e7aa920b6	b1b3786f-e9b0-4da6-8472-a21a2d7fe48c	a957a663-2f17-415f-b1c8-5cf6398df8ed	2053a639-84c3-4be5-b8bc-96b6d88a976c	US	EML	2024-04-29T00:06:57.207+00:00	2024-04-29T09:02:41.622+00:00	213	{}	PRESERVED_SPECIMEN	PRESENT	5720511	1	54	354	9477065	6313	2118484	4338757	4338757	Ammothea verenae Child, 1987	Sericosura verenae (Child, 1987)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Sericosura	Sericosura verenae	Ammothea	verenae	SPECIES	SYNONYM	NE	47.9233	-129.106	2272.0			{}	Pacific Ocean	2008.0	7.0	6.0	2008-07-06	188.0	188.0	['COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_COORDINATE_MISMATCH', 'INSTITUTION_MATCH_FUZZY']	2024-04-29T09:02:41.622+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'urn:catalog:SIO:BIC:C11070'}]	[]	[]	[]	e14c227d-2864-4d0b-b555-e4933af0c69b	30a84bbe-5697-43ca-a319-5cc526856130	False			H. Cha, 2008	whole (fixed in 8% formalin, preserved in 50% EtOH)		WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA		urn:catalog:SIO:BIC:C11070	http://biocol.org/urn:lsid:biocol.org:14844		7/6/2008	Lisa's recolonization exp. L4D-W (Wood)	AD 4410	en	BIC	2416949762	urn:catalog:SIO:BIC:C11070	PhysicalObject	2272 2272	C11070	SIO		http://grbio.org/cool/t8vy-919z	10.0	native	North America|United States|Pacific Ocean	2019-09-09T00:00:00.000+00:00	http://portal.vertnet.org/o/sio/bic?id=c11070	H. Cha	"{""gear"":""HOV Alvin"", ""ship"":""R/V Atlantis"" }"	requires verification	Mothra, Juan de Fuca Hydrothermal Vent, Off Oregon	North America | United States | Pacific Ocean | Mothra, Juan de Fuca Hydrothermal Vent, Off Oregon	http://vertnet.org/resources/norms.html	Arthropoda | Pycnogonida | Pantopoda | Ammotheidae | Ammothea																										
2416952561	a267b6a7-91f9-457c-889a-481e7aa920b6	b1b3786f-e9b0-4da6-8472-a21a2d7fe48c	a957a663-2f17-415f-b1c8-5cf6398df8ed	2053a639-84c3-4be5-b8bc-96b6d88a976c	US	EML	2024-04-29T00:06:57.207+00:00	2024-04-29T09:02:41.622+00:00	213	{}	PRESERVED_SPECIMEN	PRESENT	5720511	1	54	354	9477065	6313	2118484	4338757	4338757	Ammothea verenae Child, 1987	Sericosura verenae (Child, 1987)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Sericosura	Sericosura verenae	Ammothea	verenae	SPECIES	SYNONYM	NE	47.9233	-129.106	2273.0			{}	Pacific Ocean	2008.0	7.0	6.0	2008-07-06	188.0	188.0	['COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_COORDINATE_MISMATCH', 'INSTITUTION_MATCH_FUZZY']	2024-04-29T09:02:41.622+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'urn:catalog:SIO:BIC:C11071'}]	[]	[]	[]	e14c227d-2864-4d0b-b555-e4933af0c69b	30a84bbe-5697-43ca-a319-5cc526856130	False			H. Cha, 2008	whole (fixed in 8% formalin, preserved in 50% EtOH)		WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA		urn:catalog:SIO:BIC:C11071	http://biocol.org/urn:lsid:biocol.org:14844		7/6/2008	Lisa's recolonization exp. L4N-T (Redgeia tube)	AD 4410	en	BIC	2416952561	urn:catalog:SIO:BIC:C11071	PhysicalObject	2273 2273	C11071	SIO		http://grbio.org/cool/t8vy-919z	1.0	native	North America|United States|Pacific Ocean	2019-09-09T00:00:00.000+00:00	http://portal.vertnet.org/o/sio/bic?id=c11071	H. Cha	"{""gear"":""HOV Alvin"", ""ship"":""R/V Atlantis"" }"	requires verification	Mothra, Juan de Fuca Hydrothermal Vent, Off Oregon	North America | United States | Pacific Ocean | Mothra, Juan de Fuca Hydrothermal Vent, Off Oregon	http://vertnet.org/resources/norms.html	Arthropoda | Pycnogonida | Pantopoda | Ammotheidae | Ammothea																										
2416948217	a267b6a7-91f9-457c-889a-481e7aa920b6	b1b3786f-e9b0-4da6-8472-a21a2d7fe48c	a957a663-2f17-415f-b1c8-5cf6398df8ed	2053a639-84c3-4be5-b8bc-96b6d88a976c	US	EML	2024-04-29T00:06:57.207+00:00	2024-04-29T09:02:41.622+00:00	213	{}	PRESERVED_SPECIMEN	PRESENT	5720511	1	54	354	9477065	6313	2118484	4338757	4338757	Ammothea verenae Child, 1987	Sericosura verenae (Child, 1987)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Sericosura	Sericosura verenae	Ammothea	verenae	SPECIES	SYNONYM	NE	47.9233	-129.106	2272.0			{}	Pacific Ocean	2008.0	7.0	6.0	2008-07-06	188.0	188.0	['COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_COORDINATE_MISMATCH', 'INSTITUTION_MATCH_FUZZY']	2024-04-29T09:02:41.622+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'urn:catalog:SIO:BIC:C11072'}]	[]	[]	[]	e14c227d-2864-4d0b-b555-e4933af0c69b	30a84bbe-5697-43ca-a319-5cc526856130	False			H. Cha, 2008	whole (fixed in 8% formalin, preserved in 50% EtOH)		WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA		urn:catalog:SIO:BIC:C11072	http://biocol.org/urn:lsid:biocol.org:14844		7/6/2008	Lisa's recolonization exp. L4D-T (Redgeia tube)	AD 4410	en	BIC	2416948217	urn:catalog:SIO:BIC:C11072	PhysicalObject	2272 2272	C11072	SIO		http://grbio.org/cool/t8vy-919z	5.0	native	North America|United States|Pacific Ocean	2019-09-09T00:00:00.000+00:00	http://portal.vertnet.org/o/sio/bic?id=c11072	H. Cha	"{""gear"":""HOV Alvin"", ""ship"":""R/V Atlantis"" }"	requires verification	Mothra, Juan de Fuca Hydrothermal Vent, Off Oregon	North America | United States | Pacific Ocean | Mothra, Juan de Fuca Hydrothermal Vent, Off Oregon	http://vertnet.org/resources/norms.html	Arthropoda | Pycnogonida | Pantopoda | Ammotheidae | Ammothea																										
2416948300	a267b6a7-91f9-457c-889a-481e7aa920b6	b1b3786f-e9b0-4da6-8472-a21a2d7fe48c	a957a663-2f17-415f-b1c8-5cf6398df8ed	2053a639-84c3-4be5-b8bc-96b6d88a976c	US	EML	2024-04-29T00:06:57.207+00:00	2024-04-29T09:02:41.621+00:00	213	{}	PRESERVED_SPECIMEN	PRESENT	5720511	1	54	354	9477065	6313	2118484	4338757	4338757	Ammothea verenae Child, 1987	Sericosura verenae (Child, 1987)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Sericosura	Sericosura verenae	Ammothea	verenae	SPECIES	SYNONYM	NE	47.9233	-129.106	2273.0			{}	Pacific Ocean	2008.0	7.0	6.0	2008-07-06	188.0	188.0	['COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_COORDINATE_MISMATCH', 'INSTITUTION_MATCH_FUZZY']	2024-04-29T09:02:41.621+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'urn:catalog:SIO:BIC:C11074'}]	[]	[]	[]	e14c227d-2864-4d0b-b555-e4933af0c69b	30a84bbe-5697-43ca-a319-5cc526856130	False			H. Cha, 2008	whole (fixed in 8% formalin, preserved in 50% EtOH)		WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA		urn:catalog:SIO:BIC:C11074	http://biocol.org/urn:lsid:biocol.org:14844		7/6/2008	Lisa's recolonization exp. L4N-W (Wood)	AD 4410	en	BIC	2416948300	urn:catalog:SIO:BIC:C11074	PhysicalObject	2273 2273	C11074	SIO		http://grbio.org/cool/t8vy-919z	3.0	native	North America|United States|Pacific Ocean	2019-09-09T00:00:00.000+00:00	http://portal.vertnet.org/o/sio/bic?id=c11074	H. Cha	"{""gear"":""HOV Alvin"", ""ship"":""R/V Atlantis"" }"	requires verification	Mothra, Juan de Fuca Hydrothermal Vent, Off Oregon	North America | United States | Pacific Ocean | Mothra, Juan de Fuca Hydrothermal Vent, Off Oregon	http://vertnet.org/resources/norms.html	Arthropoda | Pycnogonida | Pantopoda | Ammotheidae | Ammothea																										
2416947898	a267b6a7-91f9-457c-889a-481e7aa920b6	b1b3786f-e9b0-4da6-8472-a21a2d7fe48c	a957a663-2f17-415f-b1c8-5cf6398df8ed	2053a639-84c3-4be5-b8bc-96b6d88a976c	US	EML	2024-04-29T00:06:57.207+00:00	2024-04-29T09:02:41.620+00:00	213	{}	PRESERVED_SPECIMEN	PRESENT	5720511	1	54	354	9477065	6313	2118484	4338757	4338757	Ammothea verenae Child, 1987	Sericosura verenae (Child, 1987)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Sericosura	Sericosura verenae	Ammothea	verenae	SPECIES	SYNONYM	NE	47.9233	-129.106	2272.0			{}	Pacific Ocean	2008.0	7.0	6.0	2008-07-06	188.0	188.0	['COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_COORDINATE_MISMATCH', 'INSTITUTION_MATCH_FUZZY']	2024-04-29T09:02:41.620+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'urn:catalog:SIO:BIC:C11075'}]	[]	[]	[]	e14c227d-2864-4d0b-b555-e4933af0c69b	30a84bbe-5697-43ca-a319-5cc526856130	False			H. Cha, 2008	whole (fixed in 8% formalin, preserved in 50% EtOH)		WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA		urn:catalog:SIO:BIC:C11075	http://biocol.org/urn:lsid:biocol.org:14844		7/6/2008	Lisa's recolonization exp. L4D-Bc (cowbone)	AD 4410	en	BIC	2416947898	urn:catalog:SIO:BIC:C11075	PhysicalObject	2272 2272	C11075	SIO		http://grbio.org/cool/t8vy-919z	4.0	native	North America|United States|Pacific Ocean	2019-09-09T00:00:00.000+00:00	http://portal.vertnet.org/o/sio/bic?id=c11075	H. Cha	"{""gear"":""HOV Alvin"", ""ship"":""R/V Atlantis"" }"	requires verification	Mothra, Juan de Fuca Hydrothermal Vent, Off Oregon	North America | United States | Pacific Ocean | Mothra, Juan de Fuca Hydrothermal Vent, Off Oregon	http://vertnet.org/resources/norms.html	Arthropoda | Pycnogonida | Pantopoda | Ammotheidae | Ammothea																										
2416948442	a267b6a7-91f9-457c-889a-481e7aa920b6	b1b3786f-e9b0-4da6-8472-a21a2d7fe48c	a957a663-2f17-415f-b1c8-5cf6398df8ed	2053a639-84c3-4be5-b8bc-96b6d88a976c	US	EML	2024-04-29T00:06:57.207+00:00	2024-04-29T09:02:41.620+00:00	213	{}	PRESERVED_SPECIMEN	PRESENT	5720511	1	54	354	9477065	6313	2118484	4338757	4338757	Ammothea verenae Child, 1987	Sericosura verenae (Child, 1987)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Sericosura	Sericosura verenae	Ammothea	verenae	SPECIES	SYNONYM	NE	47.94705	-129.10248	2181.0			{}	Pacific Ocean	2008.0	7.0	7.0	2008-07-07	189.0	189.0	['COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_COORDINATE_MISMATCH', 'INSTITUTION_MATCH_FUZZY']	2024-04-29T09:02:41.620+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'urn:catalog:SIO:BIC:C11076'}]	[]	[]	[]	e14c227d-2864-4d0b-b555-e4933af0c69b	30a84bbe-5697-43ca-a319-5cc526856130	False			H. Cha, 2008	whole (fixed in 95% EtOH, preserved in 95% EtOH)		WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA		urn:catalog:SIO:BIC:C11076	http://biocol.org/urn:lsid:biocol.org:14844		7/7/2008	Lisa's recolonization exp. L1-N-W (Wood)	AD 4411	en	BIC	2416948442	urn:catalog:SIO:BIC:C11076	PhysicalObject	2181 2181	C11076	SIO		http://grbio.org/cool/t8vy-919z	1.0	native	North America|United States|Pacific Ocean	2019-09-09T00:00:00.000+00:00	http://portal.vertnet.org/o/sio/bic?id=c11076	H. Cha	"{""gear"":""HOV Alvin"", ""ship"":""R/V Atlantis"" }"	requires verification	Endeavour, Juan de Fuca Hydrothermal Vent	North America | United States | Pacific Ocean | Endeavour, Juan de Fuca Hydrothermal Vent	http://vertnet.org/resources/norms.html	Arthropoda | Pycnogonida | Pantopoda | Ammotheidae | Ammothea																										
2416947759	a267b6a7-91f9-457c-889a-481e7aa920b6	b1b3786f-e9b0-4da6-8472-a21a2d7fe48c	a957a663-2f17-415f-b1c8-5cf6398df8ed	2053a639-84c3-4be5-b8bc-96b6d88a976c	US	EML	2024-04-29T00:06:57.207+00:00	2024-04-29T09:02:41.619+00:00	213	{}	PRESERVED_SPECIMEN	PRESENT	5720511	1	54	354	9477065	6313	2118484	4338757	4338757	Ammothea verenae Child, 1987	Sericosura verenae (Child, 1987)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Sericosura	Sericosura verenae	Ammothea	verenae	SPECIES	SYNONYM	NE	47.94705	-129.10248	2187.0			{}	Pacific Ocean	2008.0	7.0	7.0	2008-07-07	189.0	189.0	['COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_COORDINATE_MISMATCH', 'INSTITUTION_MATCH_FUZZY']	2024-04-29T09:02:41.619+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'urn:catalog:SIO:BIC:C11077'}]	[]	[]	[]	e14c227d-2864-4d0b-b555-e4933af0c69b	30a84bbe-5697-43ca-a319-5cc526856130	False			H. Cha, 2008	whole (fixed in 8% formalin, preserved in 50% EtOH)		WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA		urn:catalog:SIO:BIC:C11077	http://biocol.org/urn:lsid:biocol.org:14844		7/7/2008	Lisa's recolonization exp. L1-D-Bc (cowbone)	AD 4411	en	BIC	2416947759	urn:catalog:SIO:BIC:C11077	PhysicalObject	2187 2187	C11077	SIO		http://grbio.org/cool/t8vy-919z	1.0	native	North America|United States|Pacific Ocean	2019-09-09T00:00:00.000+00:00	http://portal.vertnet.org/o/sio/bic?id=c11077	H. Cha	"{""gear"":""HOV Alvin"", ""ship"":""R/V Atlantis"" }"	requires verification	Endeavour, Juan de Fuca Hydrothermal Vent	North America | United States | Pacific Ocean | Endeavour, Juan de Fuca Hydrothermal Vent	http://vertnet.org/resources/norms.html	Arthropoda | Pycnogonida | Pantopoda | Ammotheidae | Ammothea																										
2416949544	a267b6a7-91f9-457c-889a-481e7aa920b6	b1b3786f-e9b0-4da6-8472-a21a2d7fe48c	a957a663-2f17-415f-b1c8-5cf6398df8ed	2053a639-84c3-4be5-b8bc-96b6d88a976c	US	EML	2024-04-29T00:06:57.207+00:00	2024-04-29T09:02:41.513+00:00	213	{}	PRESERVED_SPECIMEN	PRESENT	5720511	1	54	354	9477065	6313	2118484	4338757	4338757	Ammothea verenae Child, 1987	Sericosura verenae (Child, 1987)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Sericosura	Sericosura verenae	Ammothea	verenae	SPECIES	SYNONYM	NE	47.9243	-129.10951	2274.0			{}	Pacific Ocean	2008.0	7.0	13.0	2008-07-13	195.0	195.0	['COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_COORDINATE_MISMATCH', 'INSTITUTION_MATCH_FUZZY']	2024-04-29T09:02:41.513+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'urn:catalog:SIO:BIC:C11080'}]	[]	[]	[]	e14c227d-2864-4d0b-b555-e4933af0c69b	30a84bbe-5697-43ca-a319-5cc526856130	False			H. Cha, 2008	whole (fixed in 8% formalin, preserved in 50% EtOH)		WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA		urn:catalog:SIO:BIC:C11080	http://biocol.org/urn:lsid:biocol.org:14844		7/13/2008		AD 4417	en	BIC	2416949544	urn:catalog:SIO:BIC:C11080	PhysicalObject	2274 2274	C11080	SIO		http://grbio.org/cool/t8vy-919z	4.0	native	North America|United States|Pacific Ocean	2019-09-09T00:00:00.000+00:00	http://portal.vertnet.org/o/sio/bic?id=c11080	H. Cha, 2008	"{""gear"":""HOV Alvin"", ""ship"":""R/V Atlantis"" }"	requires verification	Mothra, Juan de Fuca Hydrothermal Vents	North America | United States | Pacific Ocean | Mothra, Juan de Fuca Hydrothermal Vents	http://vertnet.org/resources/norms.html	Arthropoda | Pycnogonida | Pantopoda | Ammotheidae | Ammothea																										
3342778070	4655f1f3-60a5-4346-a343-84f5836a4585	34cc6c50-812c-11de-86fe-b8a03c50a862	c6c9f784-8af9-4631-9912-dde88e38fafb	a86e9e36-12ec-49a4-a94c-c0c981fffb71	US	EML	2024-04-11T18:22:06.813+00:00	2024-04-11T18:22:26.589+00:00	219	{}	PRESERVED_SPECIMEN	PRESENT	4338757	1	54	354	9477065	6313	2118484	4338757	4338757	Sericosura verenae (Child, 1987)	Sericosura verenae (Child, 1987)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Sericosura	Sericosura verenae	Sericosura	verenae	SPECIES	ACCEPTED	NE	47.949122	-129.097972	2190.0		British Columbia	{}		2007.0	8.0	27.0	2007-08-27	239.0	239.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'AMBIGUOUS_INSTITUTION']	2024-04-11T18:22:26.589+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '67664b28-c11d-4608-bb99-5dbc4c41f0e4'}]	[]	[]	[]			False		Auburn University Museum of Natural History Invertebrate (non-mollusk) Collection	Halanych, Kenneth	4 - 95% EtOH		WGS84	Pycnogonida	CA	[]	[]	NORTH_AMERICA	Canada	NORTH_AMERICA		67664b28-c11d-4608-bb99-5dbc4c41f0e4							AUM Invertebrate (non-mollusk)	3342778070	67664b28-c11d-4608-bb99-5dbc4c41f0e4			46847	AUM						2021-09-29T13:19:14.000+00:00		Halanych, K.M.			Hulk -Main Endeavor Field -Juan de Fuca	Hulk -Main Endeavor Field -Juan de Fuca - 2190m			SJ0100	Ch138.1F																								
