key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	recordedBy	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionID	institutionCode	locality	gbifID	collectionCode	occurrenceID	individualCount	modified	identifiedBy	preparations	rightsHolder	nomenclaturalCode	verbatimEventDate	higherClassification	sex	decimalLatitude	decimalLongitude	depth	depthAccuracy	stateProvince	waterBody	higherGeography	collectionKey	datasetName	geodeticDatum	collectionID	habitat	georeferenceProtocol	verbatimCoordinateSystem	verbatimDepth	locationID	lifeStage	county	typeStatus	fieldNumber	distanceFromCentroidInMeters	references	datasetID	scientificNameID	bibliographicCitation	coordinateUncertaintyInMeters	eventID	originalNameUsage	associatedReferences	identificationVerificationStatus	http://unknown.org/orders	nameAccordingTo	taxonID	http://unknown.org/language	elevation	elevationAccuracy
1122993740	afaa80a2-6167-47e1-baae-5450206d07dd	0674aea0-a7e1-11d8-9534-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	6038e54e-f762-11e1-a439-00145eb45e9a	0674aea0-a7e1-11d8-9534-b8a03c50a862	DE	BIOCASE	2024-06-07T15:52:29.772+00:00	2024-06-07T15:53:06.389+00:00	349	{}	PRESERVED_SPECIMEN	PRESENT	2118256	1	54	354	9477065	6313	2118237	2118256	2118256	Tanystylum geminum Stock, 1954	Tanystylum geminum Stock, 1954	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum geminum	Tanystylum	geminum	SPECIES	ACCEPTED	NE	NORTH_AMERICA	{}	1990.0	4.0	12.0	1990-04-12	102.0	102.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'REFERENCES_URI_INVALID', 'COLLECTION_MATCH_NONE']	2024-06-07T15:53:06.389+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://id.snsb.info/zsm/collection_zsm/545201/610335/498612'}]	[]	[]	[]	774f65a5-ed87-4356-9515-ea9fd8d68650	False	Müller, Hans-Georg	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	http://id.snsb.info/zsm/collection_zsm/545201/610335/498612	ZSM-A-20071671 / 610335 / 498612	http://grscicoll.org/institution/bavarian-state-collection-zoology	SNSB-ZSM	La Trinité, bank reef W Pnte Rouge, Anse Rivière	1122993740	ZSMarthrovariacoll	http://id.snsb.info/zsm/collection_zsm/545201/610335/498612																																													
2434362431	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:18.007+00:00	393	{}	PRESERVED_SPECIMEN	PRESENT	2118256	1	54	354	9477065	6313	2118237	2118256	2118256	Tanystylum geminum Stock, 1954	Tanystylum geminum Stock, 1954	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum geminum	Tanystylum	geminum	SPECIES	ACCEPTED	NE		{}	1985.0	9.0	8.0	1985-09-08	251.0	251.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:18.007+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3387@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Müller H.G.	Pycnogonida	CO	[]	[]	LATIN_AMERICA	Colombia	EUROPE	ZMA.PYC.3387@CRS	ZMA.PYC.3387	Naturalis Biodiversity Center			2434362431	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3387	1.0	2019-03-08T00:00:00.000+00:00	Stock J.H.	WholeOrganism (wet specimen)	Naturalis Biodiversity Center	ICZN	08 sep 1985	Animalia|Ammotheidae																																					
2434402478	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:21.572+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1494/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1494_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1494/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	PRESENT	2118256	1	54	354	9477065	6313	2118237	2118256	2118256	Tanystylum geminum Stock, 1954	Tanystylum geminum Stock, 1954	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum geminum	Tanystylum	geminum	SPECIES	ACCEPTED	NE	AFRICA	{}	1981.0	10.0		1981-10-01/1981-10-31	274.0	304.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:21.572+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1494@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1494_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1494/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	M. Vannini	Pycnogonida	SO	[]	[]	AFRICA	Somalia	EUROPE	ZMA.PYC.P.1494@CRS	ZMA.PYC.P.1494	Naturalis Biodiversity Center		Gesira	2434402478	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1494		2020-04-03T00:00:00.000+00:00		WholeOrganism (microscopic slide)	Naturalis Biodiversity Center	ICZN	X-1981	Animalia	MALE																																				
2434400808	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:19.199+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1492/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1492_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1492/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	PRESENT	2118256	1	54	354	9477065	6313	2118237	2118256	2118256	Tanystylum geminum Stock, 1954	Tanystylum geminum Stock, 1954	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum geminum	Tanystylum	geminum	SPECIES	ACCEPTED	NE	NORTH_AMERICA	{}	1973.0	6.0	15.0	1973-06-15	166.0	166.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:19.199+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1492@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1492_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1492/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False		Pycnogonida	JM	[]	[]	LATIN_AMERICA	Jamaica	EUROPE	ZMA.PYC.P.1492@CRS	ZMA.PYC.P.1492	Naturalis Biodiversity Center		Drunkemans Key	2434400808	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1492		2020-04-03T00:00:00.000+00:00		WholeOrganism (microscopic slide)	Naturalis Biodiversity Center	ICZN	15.VI.1973	Animalia	FEMALE																																				
1320752371	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:52.636+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118256	1	54	354	9477065	6313	2118237	2118256	2118256	Tanystylum geminum Stock, 1954	Tanystylum geminum Stock, 1954	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum geminum	Tanystylum	geminum	SPECIES	ACCEPTED	NE	NORTH_AMERICA	{'level0': {'gid': 'PAN', 'name': 'Panama'}, 'level1': {'gid': 'PAN.4_1', 'name': 'Colón'}, 'level2': {'gid': 'PAN.4.5_1', 'name': 'Portobelo'}, 'level3': {'gid': 'PAN.4.5.5_1', 'name': 'Portobelo'}}	1973.0	8.0	26.0	1973-08-26	238.0	238.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:52.636+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/39d06bfcb-7d58-49ad-8ede-899fe61589f5'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Smithsonian Tropical Research Institute	Pycnogonida	PA	[]	[]	LATIN_AMERICA	Panama	NORTH_AMERICA	http://n2t.net/ark:/65665/39d06bfcb-7d58-49ad-8ede-899fe61589f5	USNM 170505	urn:lsid:biocol.org:col:34871	USNM	Portobelo, Settling Plates	1320752371	IZ	http://n2t.net/ark:/65665/39d06bfcb-7d58-49ad-8ede-899fe61589f5	1.0	2016-12-21T15:04:00.000+00:00	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)			26 AUG 1973	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	FEMALE	9.55	-79.62	8.5	0.5	Canal Zone	North Atlantic Ocean, Caribbean Sea	North Atlantic Ocean, Caribbean Sea, Panama, Canal Zone	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	WGS84	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6																									
1318229386	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:37.813+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118256	1	54	354	9477065	6313	2118237	2118256	2118256	Tanystylum geminum Stock, 1954	Tanystylum geminum Stock, 1954	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum geminum	Tanystylum	geminum	SPECIES	ACCEPTED	NE	NORTH_AMERICA	{}	1971.0	4.0	21.0	1971-04-21	111.0	111.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:37.813+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/32d6a42a0-16c3-4d88-82fa-4dbedabe0009'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	M. L. Jones	Pycnogonida	PA	[]	[]	LATIN_AMERICA	Panama	NORTH_AMERICA	http://n2t.net/ark:/65665/32d6a42a0-16c3-4d88-82fa-4dbedabe0009	USNM 170504	urn:lsid:biocol.org:col:34871	USNM	Galeta Island, Rock Flats around lab	1318229386	IZ	http://n2t.net/ark:/65665/32d6a42a0-16c3-4d88-82fa-4dbedabe0009	1.0	2016-09-30T11:20:00.000+00:00	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)			21 APR 1971	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	MALE	9.4067	-79.8717			Canal Zone	North Atlantic Ocean, Caribbean Sea	North Atlantic Ocean, Caribbean Sea, Panama, Canal Zone	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	WGS84	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	Algal wash	unknown, from legacy	Degrees Minutes Seconds	Intertidal	15-3																				
2434362527	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:36.025+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1482/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1482_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1482/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	PRESENT	2118256	1	54	354	9477065	6313	2118237	2118256	2118256	Tanystylum geminum Stock, 1954	Tanystylum geminum Stock, 1954	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum geminum	Tanystylum	geminum	SPECIES	ACCEPTED	NE	NORTH_AMERICA	{}	1968.0	10.0	31.0	1968-10-31	305.0	305.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:36.025+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1482@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1482_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1482/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	V.A. Capriles	Pycnogonida	PR	[]	[]	LATIN_AMERICA	Puerto Rico	EUROPE	ZMA.PYC.P.1482@CRS	ZMA.PYC.P.1482	Naturalis Biodiversity Center		Guanica	2434362527	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1482		2020-04-03T00:00:00.000+00:00		WholeOrganism (microscopic slide)	Naturalis Biodiversity Center	ICZN	31.X.1968	Animalia	MALE																																				
1318096814	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:06.311+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118256	1	54	354	9477065	6313	2118237	2118256	2118256	Tanystylum geminum Stock, 1954	Tanystylum geminum Stock, 1954	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum geminum	Tanystylum	geminum	SPECIES	ACCEPTED	NE		{}	1966.0	7.0	12.0	1966-07-12	193.0	193.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:06.311+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/32789d5db-a01e-490c-966b-1474e88ce7f3'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	J. McCain	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/32789d5db-a01e-490c-966b-1474e88ce7f3	USNM 125474	urn:lsid:biocol.org:col:34871	USNM	Miami, Key Biscayne, Off Parking Lot 2	1318096814	IZ	http://n2t.net/ark:/65665/32789d5db-a01e-490c-966b-1474e88ce7f3	1.0	2014-10-20T11:51:00.000+00:00	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)			12 JUL 1966	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae						Florida	North Atlantic Ocean	North Atlantic Ocean, United States, Florida, Dade County	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology		urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6						Juvenile	Dade County																		
1322440929	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:08.295+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118256	1	54	354	9477065	6313	2118237	2118256	2118256	Tanystylum geminum Stock, 1954	Tanystylum geminum Stock, 1954	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum geminum	Tanystylum	geminum	SPECIES	ACCEPTED	NE	NORTH_AMERICA	{}	1960.0	4.0	21.0	1960-04-21	112.0	112.0	['CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:08.295+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3e7be7fba-791f-4d5b-99b2-59a1a995e12c'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	True	H. Rehder, E. Bousfield & F. Daiber	Pycnogonida	MX	[]	[]	LATIN_AMERICA	Mexico	NORTH_AMERICA	http://n2t.net/ark:/65665/3e7be7fba-791f-4d5b-99b2-59a1a995e12c	USNM 171222	urn:lsid:biocol.org:col:34871	USNM	Cozumel Island, S End Of Island, N Of Santa Maria Point, shore and sand flats	1322440929	IZ	http://n2t.net/ark:/65665/3e7be7fba-791f-4d5b-99b2-59a1a995e12c	1.0	2020-04-28T17:23:00.000+00:00	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)			21 APR 1960	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	FEMALE			1.0	0.0	Quintana Roo	North Atlantic Ocean, Caribbean Sea	North Atlantic Ocean, Caribbean Sea, Mexico, Quintana Roo	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology		urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6					100-60			PARATYPE	BREDIN/100-60																
2434402655	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:21.118+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1493/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1493_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1493/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	PRESENT	2118256	1	54	354	9477065	6313	2118237	2118256	2118256	Tanystylum geminum Stock, 1954	Tanystylum geminum Stock, 1954	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum geminum	Tanystylum	geminum	SPECIES	ACCEPTED	NE		{}	1960.0	5.0	2.0	1960-05-02	123.0	123.0	['COUNTRY_INVALID', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:21.118+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1493@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1493_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1493/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False		Pycnogonida		[]	[]			EUROPE	ZMA.PYC.P.1493@CRS	ZMA.PYC.P.1493	Naturalis Biodiversity Center			2434402655	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1493		2020-04-03T00:00:00.000+00:00		WholeOrganism (microscopic slide)	Naturalis Biodiversity Center	ICZN	2.V.1960	Animalia	MALE																																				
