basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinatePrecision	coordinateUncertaintyInMeters	eventDate	footprintWKT	locality	modified	occurrenceID	occurrenceStatus	sex	specificEpithet	taxonRank	date_start	date_mid	date_end	date_year	country
HumanObservation	34191	SOMBASE Pycnogonids	-43.5699996948	172.880004883	BAS	10.0	2.0	Achelia australiensis	urn:lsid:marinespecies.org:taxname:240384	244c5657-85e1-4783-81f2-0201e78dde68	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	6.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia australiensis	2	1065	1274	1302	1358	379601	379608	1562	134568	240384	240384	Achelia australiensis	[]	20.0	3943	12.64	34.39																
PreservedSpecimen	P.44781	co113	-29.47999	159.12499	AM			Achelia australiensis	urn:lsid:marinespecies.org:taxname:240384	33c16873-56f9-4684-889b-f2295b0b4414	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia australiensis	2	1065	1274	1302	1358	379601	379608	1562	134568	240384	240384	Achelia australiensis	['NO_DEPTH']	2.0	223119	22.23	35.64	0.009	1000	1987-12-07	POINT (159.12499 -29.47999)	"Middleton Reef, reef near ""Fuku Maru"" wreck"	2017-03-02T15:50:04	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44781	present	Female	australiensis	species	565833600000.0	565833600000.0	565833600000.0	1987.0	
PreservedSpecimen	P.44790	co113	-29.93833	159.07832	AM			Achelia australiensis	urn:lsid:marinespecies.org:taxname:240384	352d35de-3c3f-4668-b78e-26cc5476abd2	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia australiensis	2	1065	1274	1302	1358	379601	379608	1562	134568	240384	240384	Achelia australiensis	['NO_DEPTH']	2.0	172093	22.15	35.63	0.009	1000	1987-12-13	POINT (159.07832 -29.93833)	Elizabeth Reef, north-eastern area of lagoon	2017-03-02T15:50:05	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44790	present		australiensis	species	566352000000.0	566352000000.0	566352000000.0	1987.0	
PreservedSpecimen	P.44727	co113	-28.19066	153.57782	AM			Achelia australiensis	urn:lsid:marinespecies.org:taxname:240384	380bcde2-c065-4df4-a90a-284f3f63b854	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia australiensis	2	1065	1274	1302	1358	379601	379608	1562	134568	240384	240384	Achelia australiensis	['NO_DEPTH']	19.16	421	23.41	35.4	0.0009	100	1993-06-08	POINT (153.57782 -28.19066)	Cook Island, North Ledge	2017-03-02T15:49:51	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44727	present	Female	australiensis	species	739497600000.0	739497600000.0	739497600000.0	1993.0	Australia
PreservedSpecimen	P.44786	co113	-29.96166	159.04666	AM			Achelia australiensis	urn:lsid:marinespecies.org:taxname:240384	457885cc-1d3e-40b1-826d-b6bdb98a49e4	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia australiensis	2	1065	1274	1302	1358	379601	379608	1562	134568	240384	240384	Achelia australiensis	['NO_DEPTH']	73.0	169511	22.15	35.63	0.009	1000	1987-12-11	POINT (159.04666 -29.96166)	Elizabeth Reef, south-west outer slope	2017-03-02T15:50:05	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44786	present		australiensis	species	566179200000.0	566179200000.0	566179200000.0	1987.0	
PreservedSpecimen	P.44759	co113	-30.315	153.155	AM			Achelia australiensis	urn:lsid:marinespecies.org:taxname:240384	4bc59254-e069-4499-a41e-814107d0ff91	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia australiensis	2	1065	1274	1302	1358	379601	379608	1562	134568	240384	240384	Achelia australiensis	['NO_DEPTH']	2.0	98	22.48	35.46	0.009	1000	1992-06-22	POINT (153.15500 -30.31500)	Solitary Islands, 200 m north of Korffs Islet	2017-03-02T15:49:59	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44759	present		australiensis	species	709171200000.0	709171200000.0	709171200000.0	1992.0	Australia
PreservedSpecimen	P.44725	co113	-30.233	153.17999	AM			Achelia australiensis	urn:lsid:marinespecies.org:taxname:240384	61ae4201-b701-42c2-84ca-d32427f1fa15	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia australiensis	2	1065	1274	1302	1358	379601	379608	1562	134568	240384	240384	Achelia australiensis	['NO_DEPTH']	1.0	707	22.6	35.46	0.009	1000	1992-03-07	POINT (153.17999 -30.23300)	100 m north west of Split Solitary Island	2017-03-02T15:49:50	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44725	present		australiensis	species	699926400000.0	699926400000.0	699926400000.0	1992.0	Australia
PreservedSpecimen	P.75548	co113	-14.666	145.466	AM			Achelia australiensis	urn:lsid:marinespecies.org:taxname:240384	6e991678-ffab-4bea-bf33-f5da1f051b60	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia australiensis	2	1065	1274	1302	1358	379601	379608	1562	134568	240384	240384	Achelia australiensis	['NO_DEPTH', 'ON_LAND']	-268.11	-809	26.52	34.91	0.8961	100000	1982-01-12	POINT (145.46600 -14.66600)	reef off North Point, Lizard Island	2017-03-02T13:03:49	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.75548	present	Female	australiensis	species	379641600000.0	379641600000.0	379641600000.0	1982.0	Australia
PreservedSpecimen	P.44716	co113	-28.19033	153.57982	AM			Achelia australiensis	urn:lsid:marinespecies.org:taxname:240384	6e9d661e-2f3f-4af6-b1fa-5974d85871e0	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia australiensis	2	1065	1274	1302	1358	379601	379608	1562	134568	240384	240384	Achelia australiensis	['NO_DEPTH']	21.99	474	23.41	35.4	0.0009	100	1993-06-08	POINT (153.57982 -28.19033)	Cook Island, north-east of Marys Rock	2017-03-02T15:49:49	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44716	present	Male	australiensis	species	739497600000.0	739497600000.0	739497600000.0	1993.0	Australia
PreservedSpecimen	P.44746	co113	-33.633	151.35	AM			Achelia australiensis	urn:lsid:marinespecies.org:taxname:240384	7ffb3b91-18b5-42bb-8a1d-257784bd3f12	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia australiensis	2	1065	1274	1302	1358	379601	379608	1562	134568	240384	240384	Achelia australiensis	['NO_DEPTH']	3.0	914	20.23	35.53	0.0896	10000	1973-01-13	POINT (151.35000 -33.63300)	reef off Avalon	2017-03-02T15:49:56	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44746	present	Female	australiensis	species	95731200000.0	95731200000.0	95731200000.0	1973.0	Australia
