associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	occurrenceID	occurrenceRemarks	occurrenceStatus	recordedBy	continent	datasetID	modified	superdomain	superdomainid	typeStatus
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80865.273590	Invertebrate Zoology: Crustacea	Japan	2	42.0444412231	142.555557251	observedindividualcount=1;	1906-10-02T12:00:00Z	Hedgpeth, J. W.	1.0	USNM	S Coast Of Hokkaido	638.0	320	10	Alcohol (Ethanol)	Achelia borealis	(Schimkewitsch)	urn:lsid:marinespecies.org:taxname:134598	Hokkaido	North Pacific Ocean	1906	0a71a9b9-d146-4cd3-a267-5403a5512b11	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	479	-1996012800000	-1996012800000	-1996012800000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia borealis	2	1065	1274	1302	1358	379601	379608	1562	134568	134598	134598	Achelia borealis	[]	541	18893	11.0	32.84										
	HumanObservation			2006B3		22	76.1330032349	93.8330001831		1900-9-22			ArcOD		320.0	280	9		Achelia borealis	(Schimkewitsch, 1895)	urn:lsid:marinespecies.org:taxname:134598			1900	11b50a7f-610e-4e96-8070-1f68a4970a4a	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	300	-2186179200000	-2186179200000	-2186179200000	1900	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia borealis	2	1065	1274	1302	1358	379601	379608	1562	134568	134598	134598	Achelia borealis	['DEPTH_EXCEEDS_BATH']	9	1142			2224	;83582;134598;Zaria	present	Birulia						
	HumanObservation			2006B3		15	79.4499969482	76.6669998169		1930-8-15			ArcOD			340	8		Achelia borealis	(Schimkewitsch, 1895)	urn:lsid:marinespecies.org:taxname:134598			1930	184d1dd2-2e7c-40f0-893e-6aff7374fd79	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	340	-1242777600000	-1242777600000	-1242777600000	1930	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia borealis	2	1065	1274	1302	1358	379601	379608	1562	134568	134598	134598	Achelia borealis	['DEPTH_EXCEEDS_BATH']	73	4809	-0.97	33.85	7421	;83582;134598;Sedov	present	Gorbunov						
	HumanObservation			2006B3		3	72.3330001831	51.3330001831		1929-9-3			ArcOD			710	9		Achelia borealis	(Schimkewitsch, 1895)	urn:lsid:marinespecies.org:taxname:134598			1929	2cb171d2-4511-463f-9cd3-5ae7874d0b81	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	710	-1272672000000	-1272672000000	-1272672000000	1929	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia borealis	2	1065	1274	1302	1358	379601	379608	1562	134568	134598	134598	Achelia borealis	['DEPTH_EXCEEDS_BATH']	70	26205	1.98	34.38	7121	;83582;134598;Zarnitsa	present	Gurvich						
	Occurrence		6532	White Sea Benthos		23	67.11983333333333	32.479166666666664		1998-07-23			RAS-WSBS			25	7		Achelia borealis		urn:lsid:marinespecies.org:taxname:379248			1998	8ab53080-e4f6-4324-ba3d-ad6d9375a03f	843d3c1f-d82a-4ebd-b5f9-299706f04789	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	25	901152000000	901152000000	901152000000	1998	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia borealis	2	1065	1274	1302	1358	379601	379608	1562	134568	134598	134598	Ammothea borealis	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-94	-230	3.71	27.23	urn:catalog:RAS-WSBS:White Sea Benthos:6532		present		White Sea	https://marineinfo.org/id/dataset/2769	2011-01-13 16:31:07	Biota	1.0	
	HumanObservation			2006B3		12	73.4499969482	79.25		1900-8-12			ArcOD			400	8		Achelia borealis	(Schimkewitsch, 1895)	urn:lsid:marinespecies.org:taxname:134598			1900	8c0f0e3f-bd88-473f-99b7-c8f515088cef	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	400	-2189721600000	-2189721600000	-2189721600000	1900	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia borealis	2	1065	1274	1302	1358	379601	379608	1562	134568	134598	134598	Achelia borealis	['DEPTH_EXCEEDS_BATH']	20	22871	0.69	22.73	2083	;83582;134598;Zaria	present	Birulia						
	HumanObservation			2006B3		17	73.6330032349	68.9499969482		1921-9-17			ArcOD			230	9		Achelia borealis	(Schimkewitsch, 1895)	urn:lsid:marinespecies.org:taxname:134598			1921	908d1c47-89c0-4661-9158-4e13af2c1aa2	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	230	-1523923200000	-1523923200000	-1523923200000	1921	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia borealis	2	1065	1274	1302	1358	379601	379608	1562	134568	134598	134598	Achelia borealis	['DEPTH_EXCEEDS_BATH']	19	43898	0.6	30.21	4392	;83582;134598;Malygin	present	Grinvich						
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	81491.274043	Invertebrate Zoology: Crustacea	United States	29	55.4329986572	-155.432998657	observedindividualcount=1;	1890-08-29T12:00:00Z	Hilton, W. A.	1.0	USNM	S Of Kodiak Island, Off Albatross Bank	1271.0	1271	8	Alcohol (Ethanol)	Achelia borealis	Hilton	urn:lsid:marinespecies.org:taxname:379253	Alaska	North Pacific Ocean	1890	923bc7ea-f5b8-443e-86a7-ce9ef92a5729	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1271	-2503785600000	-2503785600000	-2503785600000	1890	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia borealis	2	1065	1274	1302	1358	379601	379608	1562	134568	134598	134598	Ammothea elongata	[]	1206	37802	6.89	32.26										Holotype
	HumanObservation			2006B3		26	61.6669998169	-175.399993896		1933-7-26			ArcOD			990	7		Achelia borealis	(Schimkewitsch, 1895)	urn:lsid:marinespecies.org:taxname:134598			1933	9c9c53ce-6cca-43ac-b10c-dd043826c5c3	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	990	-1149811200000	-1149811200000	-1149811200000	1933	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia borealis	2	1065	1274	1302	1358	379601	379608	1562	134568	134598	134598	Achelia borealis	['DEPTH_EXCEEDS_BATH']	89	164108	2.1	31.84	9280	;83582;134598;Krasnoarmeets	present	Kondakov, Makarov						
	HumanObservation			2006B3		19	78.1169967651	20.75		1901-8-19			ArcOD		150.0	130	8		Achelia borealis	(Schimkewitsch, 1895)	urn:lsid:marinespecies.org:taxname:134598			1901	a81c9e40-23a5-40d0-aa4c-a73b28a669e3	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	140	-2157580800000	-2157580800000	-2157580800000	1901	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia borealis	2	1065	1274	1302	1358	379601	379608	1562	134568	134598	134598	Achelia borealis	['DEPTH_EXCEEDS_BATH']	32	1845			2702	;83582;134598;Bakan	present	Volkovich, Mihailovski						
