basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	locality	modified	occurrenceID	scientificNameAuthorship	stateProvince	coordinateUncertaintyInMeters	datasetName	day	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	language	month	occurrenceRemarks	occurrenceStatus	samplingProtocol	specificEpithet	startDayOfYear	waterBody	year	date_start	date_mid	date_end	date_year	associatedReferences	dynamicProperties	identifiedBy	individualCount	preparations	recordedBy
HumanObservation	21764	SOMBASE Pycnogonids	-52.653301239	-69.8165969849	BAS	29.0	29.0	Achelia parvula	urn:lsid:marinespecies.org:taxname:172862	0172fef1-896e-4657-9b01-74ad0d75f154	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	29.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia parvula	2	1065	1274	1302	1358	379601	379608	1562	134568	172862	172862	Achelia parvula	[]	26	11963	6.89	33.99																																		
HumanObservation	21758	SOMBASE Pycnogonids	-33.0666007996	-71.7833023071	BAS	75.0	75.0	Achelia parvula	urn:lsid:marinespecies.org:taxname:172862	06dc01e4-8d4d-4e4d-b3cd-06f2da24ade4	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	75.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia parvula	2	1065	1274	1302	1358	379601	379608	1562	134568	172862	172862	Achelia parvula	[]	139	4836	14.25	34.09																																		
HumanObservation	21763	SOMBASE Pycnogonids	-52.8166007996	-67.6166000366	BAS	66.0	66.0	Achelia parvula	urn:lsid:marinespecies.org:taxname:172862	217a0ccd-3198-415f-8cc5-2de212a34e1b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	66.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia parvula	2	1065	1274	1302	1358	379601	379608	1562	134568	172862	172862	Achelia parvula	[]	87	47356	6.86	34.05																																		
HumanObservation	37621	SOMBASE Pycnogonids	-61.9165992737	-57.1665992737	BAS	165.0	165.0	Achelia parvula	urn:lsid:marinespecies.org:taxname:172862	2261f6e1-cb32-4b8f-9f79-939bac5d4a8a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	165.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia parvula	2	1065	1274	1302	1358	379601	379608	1562	134568	172862	172862	Achelia parvula	[]	243	23108	-0.49	34.02																																		
Occurrence	CNP-MARINEINVER-615	CNP-MARINEINVER	-53.200001	-68.330002	CENPAT-CONICET			Achelia parvula		24bc4499-9a41-4600-b2e6-3f3480b915be	b1f8bc4c-5427-40c8-8728-aad4d463b944	['464a96d8-c17e-4bbb-b6b8-778e1fb687c4']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia parvula	2	1065	1274	1302	1358	379601	379608	1562	134568	172862	172862	Achelia parvula	['NO_DEPTH']	10	9247	6.51	34.04	Lopez-Gappa, J. & Sueiro, M.C., 2006. The subtidal macrobenthic assemblages of Bahia San Sebastian (Tierra del Fuego, Argentina). Polar Biology, DOI 10.1007/s00300-00006-00225-00303.	Argentina	Bahia San Sebastian	2015-09-01T09:17:00	urn:catalog:CENPAT-CONICET:CNP-MARINEINVER:CNP-MARINEINVER-615	(Loman, 1923)	Tierra del Fuego																											
HumanObservation	Stn 53 Achelia parvula	Discovery Reports	-51.6936	-57.8078	NIWA	2.0	0.0	Achelia parvula	urn:lsid:marinespecies.org:taxname:172862	314eb89a-ac68-4099-aa7f-6ea106e244d0	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia parvula	2	1065	1274	1302	1358	379601	379608	1562	134568	172862	172862	Achelia parvula	[]	-11	52	6.9	34.04			Hulk of SS Great Britain, Port Stanley	2019-03-15	5511	(Loman, 1923)		500	Discovery Expedition Biological Reports	12	1926-05-12	224	Stn 53	POINT (-57.8078 -51.6936)	WGS84	en	5	Mussel rake	present	Mussel rake	parvula	132	Atlantic Ocean	1926	-1377216000000.0	-1377216000000.0	-1377216000000.0	1926.0						
HumanObservation	38781	SOMBASE Pycnogonids	-63.5419998169	-58.9166984558	BAS	25.0	5.0	Achelia parvula	urn:lsid:marinespecies.org:taxname:172862	3287f611-efcb-478d-90c8-96ad47675690	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	15.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia parvula	2	1065	1274	1302	1358	379601	379608	1562	134568	172862	172862	Achelia parvula	['DEPTH_EXCEEDS_BATH']	-45	115	-1.09	33.91																																		
PreservedSpecimen	80875.273600	Invertebrate Zoology: Crustacea	-51.75	-57.9330596924	USNM			Achelia parvula	urn:lsid:marinespecies.org:taxname:172862	3edacd76-a102-40be-8c6a-898a82575739	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia parvula	2	1065	1274	1302	1358	379601	379608	1562	134568	172862	172862	Achelia parvula	['NO_DEPTH']	16	444	6.93	34.04	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Falkland Islands	East Falkland Island, Port Stanley, South Of Municipal Jetty			(Loman)				16	1927-03-16T12:00:00Z						3						South Atlantic Ocean	1927	-1350604800000.0	-1350604800000.0	-1350604800000.0	1927.0	National Museum of Natural History, Smithsonian Institution	observedindividualcount=2;	Hedgpeth, J. W.	2.0	Alcohol (Ethanol)	W. Schmitt
HumanObservation	21765	SOMBASE Pycnogonids	-53.7832984924	-70.3000030518	BAS	267.0	267.0	Achelia parvula	urn:lsid:marinespecies.org:taxname:172862	478edf44-456f-4026-af96-b313278c75ee	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	267.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia parvula	2	1065	1274	1302	1358	379601	379608	1562	134568	172862	172862	Achelia parvula	[]	283	7612	6.99	33.8																																		
HumanObservation	Stn 58 Achelia parvula	Discovery Reports	-51.6918	-57.8216	NIWA	2.0	1.0	Achelia parvula	urn:lsid:marinespecies.org:taxname:172862	53a1b684-4d20-490b-87a5-ae772f3942b5	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia parvula	2	1065	1274	1302	1358	379601	379608	1562	134568	172862	172862	Achelia parvula	[]	-11	13	6.9	34.04			On piles of Government Wharf, Port Stanley	2019-03-15	5512	(Loman, 1923)		500	Discovery Expedition Biological Reports	19	1926-05-19	227	Stn 58	POINT (-57.8216 -51.6918)	WGS84	en	5	Mussel rake	present	Mussel rake	parvula	139	Atlantic Ocean	1926	-1376611200000.0	-1376611200000.0	-1376611200000.0	1926.0				4		
