basisOfRecord	catalogNumber	collectionCode	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	fieldNumber	individualCount	institutionCode	month	recordedBy	scientificName	scientificNameID	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	accessRights	collectionID	continent	coordinateUncertaintyInMeters	endDayOfYear	eventRemarks	eventTime	footprintWKT	geodeticDatum	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferencedBy	georeferencedDate	higherClassification	higherGeography	identificationQualifier	identificationRemarks	identifiedBy	institutionID	language	license	locality	locationAccordingTo	locationRemarks	maximumDepthInMeters	minimumDepthInMeters	modified	nomenclaturalCode	occurrenceID	occurrenceRemarks	organismID	otherCatalogNumbers	preparations	previousIdentifications	references	sex	specificEpithet	type	verbatimCoordinateSystem	verbatimCoordinates	verbatimEventDate	verbatimLocality	waterBody	depth	sst	sss	countryCode	eventID	occurrenceStatus	datasetID	datasetName	materialSampleID	ownerInstitutionCode	samplingProtocol	taxonRank	taxonRemarks	associatedReferences	bibliographicCitation	country	lifeStage	scientificNameAuthorship	coordinatePrecision	verbatimDepth	county	dateIdentified
HumanObservation	19505	May River Study	2	32.207359314	-80.8681106567	samplesize=0.0440 square meters;observedindividualcount=22.727;	2002-07-02T12:00:00Z	20022068	1.0	NOAA/HML	7	Bob Van Dolah - SC Department of Natural Resources	Achelia sawayai	urn:lsid:marinespecies.org:taxname:239556	2002	00fa51ed-8147-4b9b-a548-e4ff83b22d2f	b879bdf7-0eee-48a0-b3e4-2a04f30ae568	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1025568000000.0	1025568000000.0	1025568000000.0	2002.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia sawayai	1.0	2	1065	1274	1302	1358	379601	379608	1562	134568	239556	239556	Achelia sawayai	['NO_DEPTH', 'ON_LAND']	3	-11680																																																																		
PreservedSpecimen	ALMNH:Inv:10289	Inv	10	28.5666666667	-84.3366666667	sex=female;verbatim agent=HOPKINS	1974-06-10			ALMNH	06	Collector(s): Tom Hopkins	Achelia sawayai		1974	0233dd7d-770c-4cde-9475-1b2c4ad1ca30	f7677584-eb01-44ca-96f9-a334381034fa	['b7c47783-a020-4173-b390-7b57c4fa1426']	140054400000.0	140054400000.0	140054400000.0	1974.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia sawayai	1.0	2	1065	1274	1302	1358	379601	379608	1562	134568	239556	239556	Achelia sawayai	[]	33	130935	http://vertnet.org/resources/norms.html	https://arctos.database.museum/collection/ALMNH:Inv	Atlantic Ocean	1000	161	Station: 47 Cruise: BLM-02; Station: 47 Cruise: BLM-02	1974-06-10	POLYGON((-84.32645321206192 28.56646571468878,-84.32669394629433 28.564710514837472,-84.32731790215611 28.56303049947823,-84.32830108663282 28.561490224626095,-84.32960570771905 28.560148874299944,-84.33118162807813 28.559057987313516,-84.33296829201544 28.558259477965233,-84.33489705167925 28.55778402649334,-84.336893803235 28.55764990096817,-84.33888183199923 28.55786225575637,-84.34078475759665 28.558412933441588,-84.34252946640746 28.559280777813633,-84.34404891903932 28.56043244597356,-84.34528472527576 28.561823688485013,-84.34618938775027 28.56340104855836,-84.34672812815906 28.56510391516596,-84.34688022569269 28.566866851370914,-84.34663981596023 28.568622108532967,-84.34601611930256 28.57030222984819,-84.34503308927266 28.571842643170697,-84.34372849436282 28.573184143400766,-84.34215246792455 28.57427516890315,-84.34036558180209 28.575073784291604,-84.33843651767285 28.575549293184253,-84.33643942572348 28.575683418768957,-84.33445107245929 28.575471006670014,-84.33254788765775 28.57492022302881,-84.33080302440017 28.57405224018638,-84.32928354559192 28.572900422122533,-84.32804784543467 28.571509041095133,-84.3271434051453 28.569931574981613,-84.32660496920195 28.568228650953266,-84.32645321206192 28.56646571468878))	unknown	not recorded	transcribed from verbatim locality, error estimated	unverified	Tom Hopkins	1974-06-10 00:00:00	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Ascorhynchoidea, Ammotheidae, Achelia,	Atlantic Ocean, Gulf of Mexico	A	verbatim determiner: C. A. CHILD	C. Alan Child	ALMNH	en	http://creativecommons.org/licenses/by/3.0/	No specific locality recorded.	Tom Hopkins	Higher geography interpreted from coordinates in verbatim locality.	35.0	35.0	2024-02-17 07:02:00.016914	ICZN	http://arctos.database.museum/guid/ALMNH:Inv:10289?seid=4904200	VERIFIED	http://arctos.database.museum/guid/ALMNH:Inv:10289	"[{""remarks"": null, ""issued_by"": null, ""identifier"": ""6001-00001 BLM 1974  ST. 47C"", ""assigned_by"": ""unknown"", ""assigned_date"": ""2022-04-27"", ""identifier_type"": ""identifier""}]"	unknown	"[{""idby"": ""C. Alan Child"", ""made_date"": null, ""concept_label"": null, ""short_citation"": null, ""scientific_name"": ""Achelia sawayai"", ""sensu_publication"": null, ""identification_taxa"": [{""taxon"": {""ftn"": ""Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Ascorhynchoidea, Ammotheidae, Achelia, Achelia sawayai"", ""name"": ""Achelia sawayai"", ""ctrms"": [{""psn"": 1, ""typ"": ""kingdom"", ""term"": ""Animalia""}, {""psn"": 2, ""typ"": ""phylum"", ""term"": ""Arthropoda""}, {""psn"": 3, ""typ"": ""subphylum"", ""term"": ""Chelicerata""}, {""psn"": 4, ""typ"": ""class"", ""term"": ""Pycnogonida""}, {""psn"": 5, ""typ"": ""order"", ""term"": ""Pantopoda""}, {""psn"": 6, ""typ"": ""suborder"", ""term"": ""Eupantopodida""}, {""psn"": 7, ""typ"": ""superfamily"", ""term"": ""Ascorhynchoidea""}, {""psn"": 8, ""typ"": ""family"", ""term"": ""Ammotheidae""}, {""psn"": 9, ""typ"": ""genus"", ""term"": ""Achelia""}, {""psn"": 10, ""typ"": ""species"", ""term"": ""Achelia sawayai""}], ""nctrms"": [{""typ"": ""aphiaid"", ""term"": ""239556""}, {""typ"": ""author_text"", ""term"": ""Marcus, 1940""}, {""typ"": ""display_name"", ""term"": ""<i>Achelia sawayai</i> Marcus, 1940""}, {""typ"": ""nomenclatural_code"", ""term"": ""ICZN""}, {""typ"": ""scientific_name"", ""term"": ""Achelia sawayai""}, {""typ"": ""source_authority"", ""term"": ""Bamber, R.N.; El Nagar, A. & Arango, C. P. (Eds) (2018). Pycnobase: World Pycnogonida Database. Achelia sawayai Marcus, 1940. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=239556""}, {""typ"": ""taxon_status"", ""term"": ""valid""}], ""source"": ""WoRMS (via Arctos)"", ""classification_id"": ""https://arctos.database.museum/name/Achelia sawayai#WoRMSviaArctos""}, ""taxon_id"": ""https://arctos.database.museum/name/Achelia sawayai"", ""variable"": ""A""}], ""identification_order"": 1, ""identification_agents"": [{""agent_name"": ""C. Alan Child"", ""agent_identifier"": ""https://arctos.database.museum/agent/1016197"", ""identifier_order"": 1}], ""identification_remarks"": ""verbatim determiner: C. A. CHILD"", ""identification_attributes"": [{""agent_name"": null, ""attribute_type"": ""nature of identification"", ""attribute_units"": null, ""attribute_value"": ""features"", ""determined_date"": null, ""agent_identifier"": null, ""attribute_remark"": null, ""determination_method"": null}]}]"	http://arctos.database.museum/guid/ALMNH:Inv:10289	female	sawayai	PhysicalObject	deg. min. sec.	28d 34m 0s N/84d 20m 12s W	10 JUNE 1974	Station: 47 Cruise: BLM-02	Gulf of Mexico	35.0	24.49	35.66																			
PreservedSpecimen	29177	FSBC I		27.616667	-83.116667		1967-11-02						Achelia sawayai	urn:lsid:marinespecies.org:taxname:239556		08045e51-761f-44c0-a2e5-c299c73cfddf	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	-68342400000.0	-68342400000.0	-68342400000.0	1967.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia sawayai		2	1065	1274	1302	1358	379601	379608	1562	134568	239556	239556	Achelia sawayai	[]	22	34810		56bf7b66-ed07-4b91-9f0d-1f00de11fab8																								18.0	18.0			9d3d1a46-dd58-4a51-bda1-36c2b23fe320															18.0	24.64	35.94	US	dc710f35-9b68-41dc-a509-fa5f54187196	Present																
MaterialSample				24.61643	-81.7939		1995-09-09		1				Achelia sawayai	urn:lsid:marinespecies.org:taxname:239556		093e84ad-aa69-43c9-87ed-b542678ccc70	43b58971-4fda-4210-a6ef-654fe0ce226d	['b7c47783-a020-4173-b390-7b57c4fa1426']	810604800000.0	810604800000.0	810604800000.0	1995.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia sawayai		2	1065	1274	1302	1358	379601	379608	1562	134568	239556	239556	Achelia sawayai	[]	2	2006																							Outside Florida Bay			0.8	0.8			NOAA:NCCOS:NBI:FW95_14_3:107419									Dataset						0.8	26.65	36.11			present	NOAA NBI	NOAA National Benthic Inventory	FW95_14_3:107419	NOAA	Young-modified Van Veen grab sampler, 0.04 sq m	Species	Originally identified as 'Achelia sawayai'									
PreservedSpecimen	125461.89769	Invertebrate Zoology: Crustacea	15	10.8330001831	-63.9000015259	observedindividualcount=4;	1939-04-15T12:00:00Z		4.0	USNM	4		Achelia sawayai	urn:lsid:marinespecies.org:taxname:239556	1939	0c320bcf-ff55-4e1b-9d4b-858c81d9d273	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-969321600000.0	-969321600000.0	-969321600000.0	1939.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia sawayai		2	1065	1274	1302	1358	379601	379608	1562	134568	239556	239556	Achelia sawayai forma besnardi	[]	13	4336																			Child, C. Allan				3 Mile N Of Coche Island			60.0	35.0							Alcohol (Ethanol)			male;;							North Atlantic Ocean	47.5	26.13	36.16											National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Venezuela	ovigerous; juvenile	Stock				
HumanObservation	Spp-43-001_B2	B89PII		27.3017368317	-83.2079162598					HRI			Achelia sawayai	urn:lsid:marinespecies.org:taxname:239556		0c981e40-0ceb-4e4a-a43d-95cef206e70d	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia sawayai	1.0	2	1065	1274	1302	1358	379601	379608	1562	134568	239556	239556	Achelia sawayai	['DEPTH_EXCEEDS_BATH']	34	52419																			Child, C. A.				ENE Gulf of Mexico			115.0	0.0				Database description and disclaimer at: http://gulfbase.org/													Gulf of Mexico	57.5	24.91	35.99											Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/			Marcus,	313160.0	0-115		
HumanObservation	C2071	DOB		-23.5015	-45.1224		1985-09-16T00:00:00Z	C1-19 Halodule bank	1.0	IO-USP	9		Achelia sawayai	urn:lsid:marinespecies.org:taxname:239556	1985	0eab96c0-4d11-4fd9-b7a3-d3b7b4263ff5	30caf9b2-aac7-446c-bb4d-0b45115da0ed	['dde0dbd3-92fb-41e6-9f51-b1ae930a934b']	495676800000.0	495676800000.0	495676800000.0	1985.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia sawayai		2	1065	1274	1302	1358	379601	379608	1562	134568	239556	239556	Achelia sawayai	['NO_DEPTH']	-22	32																							Codo Beach																					South Atlantic		23.51	36.05													Brazil		Marcus,1940 			Ubatuba	
PreservedSpecimen	174770.131536	Invertebrate Zoology: Crustacea	30	31.0499992371	-80.432220459	observedindividualcount=100;	1977-08-30T12:00:00Z	0838-5	100.0	USNM	8	Texas Instruments Inc. for BLM / MMS	Achelia sawayai	urn:lsid:marinespecies.org:taxname:239556	1977	0fd00176-8c1e-4a8e-b973-a09406d9c8b3	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	241747200000.0	241747200000.0	241747200000.0	1977.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia sawayai		2	1065	1274	1302	1358	379601	379608	1562	134568	239556	239556	Achelia sawayai	[]	34	83074																			Child, C. Allan				Off Georgia			26.0	26.0							Alcohol (Ethanol)			male							North Atlantic Ocean	26.0	23.77	36.24											National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States		Marcus				1978-06-06
HumanObservation	1445	CA03	22	32.3269996643	-80.7829971313		2003-07-22T12:00:00Z			EMAP_NCA	7		Achelia sawayai	urn:lsid:marinespecies.org:taxname:239556	2003	10086b67-6a97-4d62-beca-cc16e5a83d2a	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1058832000000.0	1058832000000.0	1058832000000.0	2003.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia sawayai		2	1065	1274	1302	1358	379601	379608	1562	134568	239556	239556	Achelia sawayai	['ON_LAND']	5	-2757																										8.4	8.4																		8.4	22.23	35.11												USEPA'S EMAP							
MaterialSample				25.3773	-81.568		1994-09-07		3				Achelia sawayai	urn:lsid:marinespecies.org:taxname:239556		15710807-9223-4e5c-849c-d63011f2cbdf	43b58971-4fda-4210-a6ef-654fe0ce226d	['b7c47783-a020-4173-b390-7b57c4fa1426']	778896000000.0	778896000000.0	778896000000.0	1994.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia sawayai		2	1065	1274	1302	1358	379601	379608	1562	134568	239556	239556	Achelia sawayai	[]	9	38743																							Outside Florida Bay			9.3	9.3			NOAA:NCCOS:NBI:FW94_40_2:103636									Dataset						9.3	26.13	36.2			present	NOAA NBI	NOAA National Benthic Inventory	FW94_40_2:103636	NOAA	Young-modified Van Veen grab sampler, 0.04 sq m	Species	Originally identified as 'Achelia sawayai'									
