basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	country	footprintWKT	sex	taxonRank	vernacularName	coordinatePrecision
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Achelia shepherdi</i> Stock, 1973. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239751	sm_id_621	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	16	-43.28	147.3	1972-02-16	Ammotheidae	Achelia	WoRMS Editorial Board	Animalia	Tasman Sea	4.57000017166138	2007-06-20 15:52:33	2	WoRMS Editorial Board:WoRMS type localities:sm_id_621	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=621	Achelia shepherdi	Stock, 1973	urn:lsid:marinespecies.org:taxname:239751	shepherdi	holotype	1972	0722324e-c1e3-4f01-b5bd-2b801e23ae04	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4.57000017166138	67046400000.0	67046400000.0	67046400000.0	1972.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia shepherdi	1.0	2	1065	1274	1302	1358	379601	379608	1562	134568	239751	239751	Achelia shepherdi	['ON_LAND']	-2.0	-118	13.9	35.24							
PreservedSpecimen		P.43146	Pycnogonida	co113			-35.616	137.233	1978-03-05	Ammotheidae	Achelia	AM	Animalia	Kangaroo Island, Knobs Bluff		2017-03-02T16:19:18		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43146	present	Pantopoda	Arthropoda		Achelia shepherdi		urn:lsid:marinespecies.org:taxname:239751	shepherdi			16343be2-3361-4119-a199-aa57c21121af	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		257904000000.0	257904000000.0	257904000000.0	1978.0	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia shepherdi		2	1065	1274	1302	1358	379601	379608	1562	134568	239751	239751	Achelia shepherdi	['NO_DEPTH', 'ON_LAND']	-19.0	-390	17.16	35.95	10000	Australia	POINT (137.23300 -35.61600)	Female	species	Pycnogonid	
PreservedSpecimen		P.43102	Pycnogonida	co113			-32.783	152.116	1981-01-16	Ammotheidae	Achelia	AM	Animalia	Morna Point, tide pool open to sea		2017-03-02T16:19:10		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43102	present	Pantopoda	Arthropoda		Achelia shepherdi		urn:lsid:marinespecies.org:taxname:239751	shepherdi			3152247f-0636-4ad0-89fa-cff8906ee649	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		348451200000.0	348451200000.0	348451200000.0	1981.0	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia shepherdi		2	1065	1274	1302	1358	379601	379608	1562	134568	239751	239751	Achelia shepherdi	['NO_DEPTH', 'ON_LAND']	-24.0	-334	20.76	35.53	10000	Australia	POINT (152.11600 -32.78300)	Female	species	Pycnogonid	0.0896
PreservedSpecimen		P.44719	Pycnogonida	co113			-28.19416	153.57715	1993-06-09	Ammotheidae	Achelia	AM	Animalia	Cook Island, South Ledge		2017-03-02T15:49:49		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44719	present	Pantopoda	Arthropoda		Achelia shepherdi		urn:lsid:marinespecies.org:taxname:239751	shepherdi			32f8bb0e-1aeb-493f-9cba-c91c21c0694e	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		739584000000.0	739584000000.0	739584000000.0	1993.0	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia shepherdi		2	1065	1274	1302	1358	379601	379608	1562	134568	239751	239751	Achelia shepherdi	['NO_DEPTH']	0.43	95	23.41	35.4	100	Australia	POINT (153.57715 -28.19416)	Male	species	Pycnogonid	0.0009
PreservedSpecimen		P.43165	Pycnogonida	co113			-35.616	137.2	1978-03-04	Ammotheidae	Achelia	AM	Animalia	Stokes Bay, north coast of Kangaroo Island		2017-03-02T16:19:20		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43165	present	Pantopoda	Arthropoda		Achelia shepherdi		urn:lsid:marinespecies.org:taxname:239751	shepherdi			4479bf91-498b-4a19-a179-cb46d2289519	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		257817600000.0	257817600000.0	257817600000.0	1978.0	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia shepherdi		2	1065	1274	1302	1358	379601	379608	1562	134568	239751	239751	Achelia shepherdi	['NO_DEPTH']	22.0	892	17.16	35.95	10000	Australia	POINT (137.20000 -35.61600)	Female	species	Pycnogonid	
PreservedSpecimen		P.43113	Pycnogonida	co113			-27.39233	153.54933	1993-06-01	Ammotheidae	Achelia	AM	Animalia	North Stradbroke Island, 3.4 km north of Point Lookout, Flat Rock		2017-03-02T16:19:12		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43113	present	Pantopoda	Arthropoda		Achelia shepherdi		urn:lsid:marinespecies.org:taxname:239751	shepherdi			532e73cc-a113-4120-a90a-6b6e9ae5046e	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		738892800000.0	738892800000.0	738892800000.0	1993.0	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia shepherdi		2	1065	1274	1302	1358	379601	379608	1562	134568	239751	239751	Achelia shepherdi	['NO_DEPTH']	32.79	261	23.45	35.4	10000	Australia	POINT (153.54933 -27.39233)	Male	species	Pycnogonid	
PreservedSpecimen		P.45538	Pycnogonida	co113			-32.30833	115.69333	1993-03-20	Ammotheidae	Achelia	AM	Animalia	Warnbro Sound		2017-03-02T15:52:31		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.45538	present	Pantopoda	Arthropoda		Achelia shepherdi		urn:lsid:marinespecies.org:taxname:239751	shepherdi			6dc94655-7b1d-4a24-bf62-72d320449715	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		732585600000.0	732585600000.0	732585600000.0	1993.0	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia shepherdi		2	1065	1274	1302	1358	379601	379608	1562	134568	239751	239751	Achelia shepherdi	['NO_DEPTH']	1.0	194	20.41	35.55	10000	Australia	POINT (115.69333 -32.30833)	Male	species	Pycnogonid	
PreservedSpecimen		P.42795	Pycnogonida	co113			-22.28016	150.22866	1993-09-15	Ammotheidae	Achelia	AM	Animalia	Shoalwater Bay, north-east of Osborne Island		2017-03-02T15:57:40		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42795	present	Pantopoda	Arthropoda		Achelia shepherdi		urn:lsid:marinespecies.org:taxname:239751	shepherdi			841f9c0d-bfa5-4562-8793-d36506ad0211	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		748051200000.0	748051200000.0	748051200000.0	1993.0	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia shepherdi		2	1065	1274	1302	1358	379601	379608	1562	134568	239751	239751	Achelia shepherdi	['NO_DEPTH']	8.71	348	24.13	35.54	100	Australia	POINT (150.22866 -22.28016)		species	Pycnogonid	0.0009
PreservedSpecimen		P.42786	Pycnogonida	co113			-33.266	137.85		Ammotheidae	Achelia	AM	Animalia	4 km northwest of Port Davis Creek, Port Pirie, Spencer Gulf		2017-03-02T15:57:39		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42786	present	Pantopoda	Arthropoda		Achelia shepherdi		urn:lsid:marinespecies.org:taxname:239751	shepherdi			8ebd188e-98e1-4994-a92d-f636fba431e9	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']						False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia shepherdi		2	1065	1274	1302	1358	379601	379608	1562	134568	239751	239751	Achelia shepherdi	['NO_DEPTH']	-5.0	26			10000	Australia	POINT (137.85000 -33.26600)	Male	species	Pycnogonid	0.0896
PreservedSpecimen		P.42897	Pycnogonida	co113			-28.19066	153.57782	1993-06-08	Ammotheidae	Achelia	AM	Animalia	Cook Island, North Ledge		2017-03-02T15:57:59		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42897	present	Pantopoda	Arthropoda		Achelia shepherdi		urn:lsid:marinespecies.org:taxname:239751	shepherdi			9ed46a6b-5833-4918-b928-8c8e12c3b056	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		739497600000.0	739497600000.0	739497600000.0	1993.0	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia shepherdi		2	1065	1274	1302	1358	379601	379608	1562	134568	239751	239751	Achelia shepherdi	['NO_DEPTH']	19.16	421	23.41	35.4	100	Australia	POINT (153.57782 -28.19066)		species	Pycnogonid	0.0009
