basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	day	locality	modified	month	occurrenceID	year
HumanObservation	38694	SOMBASE Pycnogonids	-66.5333023071	92.0167007446	BAS	55	55	Achelia sufflata	urn:lsid:marinespecies.org:taxname:172866	071a6733-3445-447d-8cd0-87c9e808cca1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	55.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia sufflata	2	1065	1274	1302	1358	379601	379608	1562	134568	172866	172866	Achelia sufflata	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-91	-2483									
HumanObservation	39309	SOMBASE Pycnogonids	-71.4499969482	-13.733300209	BAS	212	212	Achelia sufflata	urn:lsid:marinespecies.org:taxname:172866	251c8e72-d367-48d0-93d8-9c0527bd3dfb	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	212.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia sufflata	2	1065	1274	1302	1358	379601	379608	1562	134568	172866	172866	Achelia sufflata	[]	217	47798	-1.75	33.85							
HumanObservation	19	Weddell Sea macrozoobenthos EASIZ I	-71.48833333	-14.31	AWI	216	216	Achelia sufflata	urn:lsid:marinespecies.org:taxname:172866	252fa0b4-d434-4b77-b053-9e1ba5763cb8	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	216.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia sufflata	2	1065	1274	1302	1358	379601	379608	1562	134568	172866	172866	Achelia sufflata	[]	215	59055	-1.72	33.91	IMIS:dasid:2432	24	Kapp Norvegia area	2010-05-11T18:09Z	2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:19	1996
HumanObservation	38695	SOMBASE Pycnogonids	-66.5333023071	92.0167007446	BAS	20	20	Achelia sufflata	urn:lsid:marinespecies.org:taxname:172866	2ebb5b55-354e-4b29-8752-ab4313810ff1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	20.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia sufflata	2	1065	1274	1302	1358	379601	379608	1562	134568	172866	172866	Achelia sufflata	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-91	-2483									
HumanObservation	34913	SOMBASE Pycnogonids	-65.8332977295	54.3833007812	BAS	220	220	Achelia sufflata	urn:lsid:marinespecies.org:taxname:172866	4d31a699-fcde-4725-8b8e-92b0891eff48	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	220.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia sufflata	2	1065	1274	1302	1358	379601	379608	1562	134568	172866	172866	Achelia sufflata	[]	340	5942	-1.7	33.77							
HumanObservation	38372	SOMBASE Pycnogonids	-66.533996582	92.9704971313	BAS	10	10	Achelia sufflata	urn:lsid:marinespecies.org:taxname:172866	50cd5974-53dc-4e9d-a60f-8d243e15c2b2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	10.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia sufflata	2	1065	1274	1302	1358	379601	379608	1562	134568	172866	172866	Achelia sufflata	[]	365	19	-1.56	33.71							
HumanObservation	38361	SOMBASE Pycnogonids	-66.5551986694	92.9570007324	BAS	30	30	Achelia sufflata	urn:lsid:marinespecies.org:taxname:172866	577c28f7-fb90-4584-b26e-5b78db6ef217	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	30.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia sufflata	2	1065	1274	1302	1358	379601	379608	1562	134568	172866	172866	Achelia sufflata	[]	321	476	-1.56	33.71							
HumanObservation	38696	SOMBASE Pycnogonids	-66.5333023071	92.0167007446	BAS	40	30	Achelia sufflata	urn:lsid:marinespecies.org:taxname:172866	70ee4e5b-98a2-4043-aa86-74136bae08bf	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	35.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia sufflata	2	1065	1274	1302	1358	379601	379608	1562	134568	172866	172866	Achelia sufflata	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-91	-2483									
HumanObservation	38404	SOMBASE Pycnogonids	-66.5516967773	93.0	BAS	15	15	Achelia sufflata	urn:lsid:marinespecies.org:taxname:172866	734662de-1352-4f55-9642-a29a3bb947df	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	15.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia sufflata	2	1065	1274	1302	1358	379601	379608	1562	134568	172866	172866	Achelia sufflata	[]	293	286	-1.56	33.71							
HumanObservation	38584	SOMBASE Pycnogonids	-66.5333023071	92.0167007446	BAS	40	15	Achelia sufflata	urn:lsid:marinespecies.org:taxname:172866	8aa5fe2b-d01f-4941-bb19-736f5386e1af	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	27.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia sufflata	2	1065	1274	1302	1358	379601	379608	1562	134568	172866	172866	Achelia sufflata	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-91	-2483									
