basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetName	day	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	geodeticDatum	institutionCode	kingdom	language	locality	locationID	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinatePrecision	taxonRank	date_start	date_mid	date_end	date_year	individualCount	organismQuantity	organismQuantityType	bibliographicCitation	datasetID	references	typeStatus	superdomain	superdomainid	stateProvince	taxonConceptID
PreservedSpecimen	4866	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection	5	-41.3341667	174.8266667	5/11/1968	Ammotheidae	POINT (174.8266667 -41.3341667)	Ammothea	WGS84	NIWA Invertebrate Collection	Animalia	en	Eve Bay, Wellington	E967	0.0	0.0	8/04/2022	11	5e943478-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Unknown = 1	Barnard, Jerry, L	Shore collection	Ammothea australiensis	(Flynn, 1919)	urn:lsid:marinespecies.org:taxname:240382	unknown	australiensis	1968	333e6b8f-6dda-432d-89e8-861cc3e9fc67	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	0.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea australiensis	2	1065	1274	1302	1358	379601	379608	1562	134569	240382	240382	Ammothea australiensis	[]	8	50	13.99	34.93																	
PreservedSpecimen	P.73357	Pycnogonida	co113		1000	Australia			-32.78304	152.1	2006-03-14	Ammotheidae	POINT (152.10000 -32.78304)	Ammothea		AM	Animalia		Boat Harbour, south of Port Stephens				2017-03-02T12:40:43		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.73357	present	Pantopoda	Arthropoda				Ammothea australiensis		urn:lsid:marinespecies.org:taxname:240382	Female	australiensis		4627f97d-37e1-45e9-80ce-5a6e23509355	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea australiensis	2	1065	1274	1302	1358	379601	379608	1562	134569	240382	240382	Ammothea australiensis	['NO_DEPTH', 'ON_LAND']	-23	-555	20.76	35.53	0.009	species	1142294400000.0	1142294400000.0	1142294400000.0	2006.0											
PreservedSpecimen	J20387	Pycnogonida	co119		1000	Australia			-38.0633	140.658	1990-05-10	Ammotheidae	POINT (140.65800 -38.06330)	Ammothea		NMV	Animalia		Cape Nortumberland, east side, near Map of Australia Reef				2017-02-09T13:42:31		J20387	present	Pantopoda	Arthropoda				Ammothea australiensis		urn:lsid:marinespecies.org:taxname:240382	Unknown	australiensis		78b79422-adfb-4774-aab4-1bb70921d61a	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea australiensis	2	1065	1274	1302	1358	379601	379608	1562	134569	240382	240382	Ammothea australiensis	['NO_DEPTH']	6	359	15.92	35.61		species	642297600000.0	642297600000.0	642297600000.0	1990.0	1	1	individuals								
PreservedSpecimen	P.42844	Pycnogonida	co113		10000				-50.516	166.233	1973-02-07	Ammotheidae	POINT (166.23300 -50.51600)	Ammothea		AM	Animalia		Auckland Islands, Port Ross, Lindley Point				2017-03-02T15:57:50		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42844	present	Pantopoda	Arthropoda				Ammothea australiensis		urn:lsid:marinespecies.org:taxname:240382		australiensis		82e46610-9f76-433d-84cf-468240bd93b5	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea australiensis	2	1065	1274	1302	1358	379601	379608	1562	134569	240382	240382	Ammothea australiensis	['NO_DEPTH']	46	194	9.24	34.44	0.0896	species	97891200000.0	97891200000.0	97891200000.0	1973.0											
PreservedSpecimen	P.43188	Pycnogonida	co113		1000	Australia			-32.266	115.683	1983-12-26	Ammotheidae	POINT (115.68300 -32.26600)	Ammothea		AM	Animalia		2 km south of Cape Peron, reef west of groyne				2017-03-02T16:19:24		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43188	present	Pantopoda	Arthropoda				Ammothea australiensis		urn:lsid:marinespecies.org:taxname:240382		australiensis		9b052971-a3f7-44b2-bf76-aecacff71827	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea australiensis	2	1065	1274	1302	1358	379601	379608	1562	134569	240382	240382	Ammothea australiensis	['NO_DEPTH']	2	170	20.41	35.55	0.009	species	441244800000.0	441244800000.0	441244800000.0	1983.0											
PreservedSpecimen	P.13660	Pycnogonida	co113		10000	Australia			-33.85	151.266		Ammotheidae	POINT (151.26600 -33.85000)	Ammothea		AM	Animalia		Port Jackson				2017-03-02T11:16:14		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13660	present	Pantopoda	Arthropoda				Ammothea australiensis		urn:lsid:marinespecies.org:taxname:240382	Male	australiensis		ad196bf1-4206-4bbb-a262-6593b7eec360	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea australiensis	2	1065	1274	1302	1358	379601	379608	1562	134569	240382	240382	Ammothea australiensis	['NO_DEPTH', 'ON_LAND']	-2	-1884	20.41	35.54	0.0896	species															
PreservedSpecimen	sm_id_650	Pycnogonida	WoRMS type localities						-33.85	151.25		Ammotheidae		Ammothea		WoRMS Editorial Board	Animalia		Tasman Sea				2007-06-20 15:52:33		WoRMS Editorial Board:WoRMS type localities:sm_id_650	present	Pantopoda	Arthropoda				Ammothea australiensis	(Flynn, 1919)	urn:lsid:marinespecies.org:taxname:240382		australiensis		bbdace6b-4573-4b20-bf3f-6e54be625e85	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea australiensis	2	1065	1274	1302	1358	379601	379608	1562	134569	240382	240382	Ammothea australiensis	['NO_DEPTH', 'ON_LAND']	8	-3285	20.41	35.54										Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ammothea australiensis</i> (Flynn, 1919). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240382	https://marineinfo.org/id/dataset/5184	http://www.marinespecies.org/aphia.php?p=specdetails&id=650	holotype	Biota	1.0		
PreservedSpecimen	P.13659	Pycnogonida	co113		10000	Australia			-33.85	151.266		Ammotheidae	POINT (151.26600 -33.85000)	Ammothea		AM	Animalia		Port Jackson				2017-03-02T11:16:13		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13659	present	Pantopoda	Arthropoda				Ammothea australiensis		urn:lsid:marinespecies.org:taxname:240382	Female	australiensis		bd086506-cb29-4754-8555-feb8112f9bfc	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea australiensis	2	1065	1274	1302	1358	379601	379608	1562	134569	240382	240382	Ammothea australiensis	['NO_DEPTH', 'ON_LAND']	-2	-1884	20.41	35.54	0.0896	species															
PreservedSpecimen		Pycnogonida	Invertebrates			Australia			-41.08332	146.75	1974-11-20 00:11:00	Ammotheidae	POINT (146.75000 -41.08332)	Ammothea		QVMAG	Animalia						2019-01-11T14:49:26	11	URN:catalog:QVMAG:Invertebrates:QVM:10:24311	present	Pantopoda	Arthropoda				Ammothea australiensis		urn:lsid:marinespecies.org:taxname:240382			1974	d72fd398-2e67-4085-a5e6-c58228e00d40	2a17430f-ec53-44dc-b09b-5a1d252820c0	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea australiensis	2	1065	1274	1302	1358	379601	379608	1562	134569	240382	240382	Ammothea (Ammothea) australiensis	['NO_DEPTH']	1	141	15.16	35.62		species	154137600000.0	154137600000.0	154137600000.0	1974.0		1	individuals					Biota	1.0	Tasmania	urn:lsid:biodiversity.org.au:afd.taxon:dff6d637-d363-4cee-9733-c9e76ef753ea
PreservedSpecimen	P.13661	Pycnogonida	co113		1000	Australia			-33.84333	151.27666	1934-01-15	Ammotheidae	POINT (151.27666 -33.84333)	Ammothea		AM	Animalia		Port Jackson, Green Point				2017-03-02T11:16:14		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13661	present	Pantopoda	Arthropoda				Ammothea australiensis		urn:lsid:marinespecies.org:taxname:240382		australiensis		dde3a60c-02c1-4a3c-851e-6d558fbcf81c	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea australiensis	2	1065	1274	1302	1358	379601	379608	1562	134569	240382	240382	Ammothea australiensis	['NO_DEPTH', 'ON_LAND']	-9	-745	20.41	35.54	0.009	species	-1134864000000.0	-1134864000000.0	-1134864000000.0	1934.0											
