associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	countryCode	eventID	fieldNumber	footprintWKT	geodeticDatum	identifiedByID	institutionID	language	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	samplingProtocol	specificEpithet	taxonRank	type	verbatimEventDate	superdomain	superdomainid	continent	datasetName	locationID	modified	recordedBy	sex
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	123110.284879	Invertebrate Zoology: Crustacea	Antarctica	24	-67.8300018311	-69.1750030518	observedindividualcount=1;	1966-01-24T12:00:00Z	Child, C. Allan	1.0	USNM	juvenile	Antarctic Peninsula, W Of Adelaide Island	119	119	1	Alcohol (Ethanol)	Ammothea clausi	Pfeffer	urn:lsid:marinespecies.org:taxname:172907	Antarctic Ocean	1966	018c73c7-ffdc-44e6-ae5e-8c9e7bf6306b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	119.0	-124243200000.0	-124243200000.0	-124243200000.0	1966.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea clausi	2	1065	1274	1302	1358	379601	379608	1562	134569	172907	172907	Ammothea clausi	[]	234	8577	-0.97	32.71																										
	PreservedSpecimen		JR17003a_0332-7			6	-63.8083	-58.0679		2018-03-06	Jamie Maxwell		BAS	Juvenile		870	844	3	Whole animal in 96% ethanol	Ammothea clausi	Pfeffer, 1889	urn:lsid:marinespecies.org:taxname:172907		2018	02020434-c382-4e5c-87c3-220f75852a8b	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	857.0	1520294400000.0	1520294400000.0	1520294400000.0	2018.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea clausi	2	1065	1274	1302	1358	379601	379608	1562	134569	172907	172907	Ammothea clausi	[]	844	3550	-1.41	33.39	286	AQ	JR17003a	JR17003a_046	LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	EPSG:4326	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	JR17003a_0332-7	Present	2	individuals	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	clausi	species	PhysicalObject	6/3/2018	Biota	1.0						
	PreservedSpecimen		4913	NIWA	Ross Dependency	6	-77.6167	166.3333		6/02/1959			NIWA Invertebrate Collection		Cape Evans, Ross Sea	169	73	2	Specimen(s), Unknown = 1	Ammothea clausi	Pfeffer, 1889	urn:lsid:marinespecies.org:taxname:172907		1959	040ac941-5262-4f12-a934-90d3a9f98185	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	121.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea clausi	2	1065	1274	1302	1358	379601	379608	1562	134569	172907	172907	Ammothea clausi	['DEPTH_EXCEEDS_BATH']	19	672	-1.68	34.3	500				POINT (166.3333 -77.6167)	WGS84			en	5e99327a-fa36-11e2-96b3-aa6f927c92a3	present			Trawl, Agassiz small	clausi						Antarctica	NIWA Invertebrate Collection	A471	8/04/2022	NZOI	unknown
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	122290.284833	Invertebrate Zoology: Crustacea	Antarctica	18	-77.4329986572	169.5	observedindividualcount=1;	1956-02-18T12:00:00Z	Fry, W. G., Hedgpeth, J. W.	1.0	USNM		Victoria Land, Ross Island, Off Cape Crozier	321	321	2	Alcohol (Ethanol)	Ammothea clausi	Pfeffer	urn:lsid:marinespecies.org:taxname:172907	Antarctic Ocean	1956	0423029f-8dbb-4786-b113-0a6c7a31ac22	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	321.0	-437702400000.0	-437702400000.0	-437702400000.0	1956.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea clausi	2	1065	1274	1302	1358	379601	379608	1562	134569	172907	172907	Ammothea clausi	['ON_LAND']	652	-118	-1.6	34.35																										
	HumanObservation		39687	SOMBASE Pycnogonids			-62.7352981567	-60.4616012573					BAS			80	80			Ammothea clausi		urn:lsid:marinespecies.org:taxname:172907			06eb740a-70ef-4314-869b-b99cb20ae5ec	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	80.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea clausi	2	1065	1274	1302	1358	379601	379608	1562	134569	172907	172907	Ammothea clausi	[]	158	2241	-0.42	33.94																										
	HumanObservation		39607	SOMBASE Pycnogonids			-62.6733016968	-60.434299469					BAS			144	144			Ammothea clausi		urn:lsid:marinespecies.org:taxname:172907			0c2073c6-f2e1-43c8-8092-6268570a89f8	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	144.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea clausi	2	1065	1274	1302	1358	379601	379608	1562	134569	172907	172907	Ammothea clausi	[]	100	979	-0.42	33.94																										
	HumanObservation		21953	SOMBASE Pycnogonids			-76.1666030884	168.283294678					BAS			81	70			Ammothea clausi		urn:lsid:marinespecies.org:taxname:172907			0e6a492a-3268-40f1-b520-7882a159fb40	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	75.5					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea clausi	2	1065	1274	1302	1358	379601	379608	1562	134569	172907	172907	Ammothea clausi	[]	96	3958	-1.54	34.27																										
	PreservedSpecimen		4910	NIWA	Ross Dependency	26	-77.4167	169.4667		26/01/1959			NIWA Invertebrate Collection			180	88	1	Specimen(s), Unknown = 1	Ammothea clausi	Pfeffer, 1889	urn:lsid:marinespecies.org:taxname:172907		1959	10bafc9d-d568-49b0-aa46-b93c4f415bde	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	134.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea clausi	2	1065	1274	1302	1358	379601	379608	1562	134569	172907	172907	Ammothea clausi	['ON_LAND']	653	-37	-1.6	34.34	500				POINT (169.4667 -77.4167)	WGS84			en	5dca9bb8-fa36-11e2-96b3-aa6f927c92a3	present			Dredge, naturalists	clausi						Antarctica	NIWA Invertebrate Collection	A467	8/04/2022	NZOI	unknown
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	122279.284822	Invertebrate Zoology: Crustacea	Antarctica		-77.8375015259	166.584716797	observedindividualcount=1;	1958-11-30T12:00:00Z	Fry, W. G., Hedgpeth, J. W.	1.0	USNM		Victoria Land, Mcmurdo Sound, Ross Island, Cape Evans, N Of Hut Point	115	115	11	Alcohol (Ethanol)	Ammothea clausi	Pfeffer	urn:lsid:marinespecies.org:taxname:172907	Antarctic Ocean	1958	111563f1-2327-4652-a03a-1c39c5e651ad	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	115.0	-349920000000.0	-349920000000.0	-349920000000.0	1958.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea clausi	2	1065	1274	1302	1358	379601	379608	1562	134569	172907	172907	Ammothea clausi	[]	164	1243	-1.7	34.3																									Stanford University	
	HumanObservation		21943	SOMBASE Pycnogonids			-66.5132980347	162.766601562					BAS			201	201			Ammothea clausi		urn:lsid:marinespecies.org:taxname:172907			11c28c23-cc43-4695-8059-18ce82f447e6	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	201.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea clausi	2	1065	1274	1302	1358	379601	379608	1562	134569	172907	172907	Ammothea clausi	['DEPTH_EXCEEDS_BATH']	107	1711	-1.62	33.88																										
