basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	datasetName	day	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	individualCount	language	locality	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	samplingProtocol	scientificNameAuthorship	sex	specificEpithet	startDayOfYear	waterBody	year	date_start	date_mid	date_end	date_year	countryCode	identifiedBy	identifiedByID	institutionID	organismQuantity	organismQuantityType	preparations	taxonRank	type	verbatimEventDate	superdomain	superdomainid	bibliographicCitation	country	fieldNotes	informationWithheld	recordedBy	associatedReferences	dynamicProperties	identificationRemarks	lifeStage
HumanObservation	37366	SOMBASE Pycnogonids	-68.9166030884	77.5999984741	BAS	1160.0	1160.0	Ammothea gigantea	urn:lsid:marinespecies.org:taxname:172915	05ea5c98-3b84-416c-a868-2ac03a3210ed	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1160.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea gigantea	2	1065	1274	1302	1358	379601	379608	1562	134569	172915	172915	Ammothea gigantea	['DEPTH_EXCEEDS_BATH']	450	3865	-1.48	33.8																																																
HumanObservation	21982	SOMBASE Pycnogonids	-64.2533035278	-61.4583015442	BAS	605.0	540.0	Ammothea gigantea	urn:lsid:marinespecies.org:taxname:172915	0d35c608-23de-4837-b67b-11ea5ccb4d80	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	572.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea gigantea	2	1065	1274	1302	1358	379601	379608	1562	134569	172915	172915	Ammothea gigantea	[]	589	10386	-0.58	33.88																																																
HumanObservation	39122	SOMBASE Pycnogonids	-66.4039001465	139.794296265	BAS	460.0	375.0	Ammothea gigantea	urn:lsid:marinespecies.org:taxname:172915	0ddd2d87-4e5a-4b18-bd45-4cf46b9c340b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	417.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea gigantea	2	1065	1274	1302	1358	379601	379608	1562	134569	172915	172915	Ammothea gigantea	[]	373	22703	-1.64	34.03																																																
HumanObservation	Stn 371 Ammothea gigantea	Discovery Reports	-58.442	-26.196	NIWA	99.0	61.0	Ammothea gigantea	urn:lsid:marinespecies.org:taxname:172915	1367334b-df0d-4ae2-8d0c-9e4d57d83c13	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	80.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea gigantea	2	1065	1274	1302	1358	379601	379608	1562	134569	172915	172915	Ammothea gigantea	[]	241	4689	-0.94	33.66	2000	Discovery Expedition Biological Reports	14	1930-03-14	59	Stn 371	POINT (-26.196 -58.442)	WGS84	2	en	1 mile E of Montagu Island, South Sandwich Islands	2019-03-15	3	5483	Large otter trawl. Head rope 1.2m x 1.2m x 0.75m with netting or wire 12.5mm mesh	present	Large otter trawl. Head rope 1.2m x 1.2m x 0.75m with netting or wire 12.5mm mesh	Gordon, 1932	m	gigantea	73	Atlantic Ocean	1930	-1256083200000.0	-1256083200000.0	-1256083200000.0	1930.0																					
PreservedSpecimen	JR17003a_334		-63.8083	-58.0679	BAS	870.0	844.0	Ammothea gigantea	urn:lsid:marinespecies.org:taxname:172915	13b93a30-d38d-446b-b46a-543ba504e339	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	857.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea gigantea	2	1065	1274	1302	1358	379601	379608	1562	134569	172915	172915	Ammothea gigantea	[]	844	3550	-1.41	33.39	286		6	2018-03-06	JR17003a	JR17003a_046	LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	EPSG:4326		en			3	JR17003a_334		Present	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	Gordon, 1932		gigantea			2018	1520294400000.0	1520294400000.0	1520294400000.0	2018.0	AQ	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	1	individuals	Whole animal in 96% ethanol	species	PhysicalObject	6/3/2018	Biota	1.0									
HumanObservation	39278	SOMBASE Pycnogonids	-70.9427032471	-10.5307998657	BAS	352.0	352.0	Ammothea gigantea	urn:lsid:marinespecies.org:taxname:172915	27055710-75f5-4bc8-8e20-53afe15122c6	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	352.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea gigantea	2	1065	1274	1302	1358	379601	379608	1562	134569	172915	172915	Ammothea gigantea	['DEPTH_EXCEEDS_BATH']	266	4701	-1.72	33.76																																																
PreservedSpecimen	TB-29	TB	-68.5735	77.9221	AADC			Ammothea gigantea	http://www.marinespecies.org/aphia.php?p=taxdetails&id=172915	3ac51a92-f96b-42a1-84c3-74488c06ee4c	cb66f2c4-8123-4b79-82c6-8c11fdc8291f	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea gigantea	2	1065	1274	1302	1358	379601	379608	1562	134569	172915	172915	Ammothea gigantea	['NO_DEPTH']	22	619	-1.5	33.77	50.00000000								1		Vestfold Hills and Rauer Islands	2007-07-27 11:50:33		urn:catalog:AADC:TB:TB-29		present		Gordon, I., 1932		gigantea		Southern Ocean																		see http://data.aad.gov.au/metadata/records/AADC-00047	Antarctica	Sampling method - diving, plankton pump, plankton net	collector identities withheld	M.J. Tucker and H.R. Burton				
PreservedSpecimen	1122796.942817	Invertebrate Zoology	-78.2829971313	-177.942001343	USNM	637.0	636.0	Ammothea gigantea	urn:lsid:marinespecies.org:taxname:172915	5531b7cf-e89a-4aae-83d7-c5ae1ad43c0b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	636.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea gigantea	2	1065	1274	1302	1358	379601	379608	1562	134569	172915	172915	Ammothea gigantea	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-46	-23357					26	1968-01-26T12:00:00Z		USARP/EL/32/2063/USC			1.0		Roosevelt Island, east of island		1					Gordon				Antarctic Ocean	1968	-60998400000.0	-60998400000.0	-60998400000.0	1968.0							Alcohol (Ethanol)						Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica			University of Southern California	National Museum of Natural History, Smithsonian Institution	observedindividualcount=1;		
HumanObservation	21979	SOMBASE Pycnogonids	-77.9665985107	178.033294678	BAS	655.0	655.0	Ammothea gigantea	urn:lsid:marinespecies.org:taxname:172915	5773002f-e1a0-4eb2-83d5-66d029971099	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	655.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea gigantea	2	1065	1274	1302	1358	379601	379608	1562	134569	172915	172915	Ammothea gigantea	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-43	-25586																																																		
PreservedSpecimen	ANTXXVII/3_PS77_1265_2.3.3		-70.7886	-10.6732	BAS	637.0	633.0	Ammothea gigantea	urn:lsid:marinespecies.org:taxname:172915	5ecc62dd-940c-4b6c-8274-46a5463910c6	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	635.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea gigantea	2	1065	1274	1302	1358	379601	379608	1562	134569	172915	172915	Ammothea gigantea	[]	543	19306	-1.72	33.79	578		22	2011-03-22	PS77	PS77_PS77/265-2	LINESTRING (-10.670167 -70.79367, -10.67616667 -70.7835)	EPSG:4326		en			3	ANTXXVII/3_PS77_1265_2.3.3		Present	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	Gordon, 1932		gigantea			2011	1300752000000.0	1300752000000.0	1300752000000.0	2011.0	AQ	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	1	individuals	Whole animal in 96% ethanol	species	PhysicalObject	22/03/2011	Biota	1.0								scapes short and many spines on proboscis, small so probably a juvenile.	Juvenile
