basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	genus	institutionCode	locality	minimumDepthInMeters	modified	occurrenceID	occurrenceRemarks	phylum	scientificName	scientificNameID	specificEpithet	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	subphylum	class	order	suborder	superfamily	family	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	continent	coordinateUncertaintyInMeters	datasetName	day	eventDate	footprintWKT	geodeticDatum	language	locationID	month	occurrenceStatus	preparations	recordedBy	samplingProtocol	scientificNameAuthorship	sex	year	dateIdentified	endDayOfYear	fieldNumber	identifiedBy	individualCount	startDayOfYear	taxonRemarks	waterBody	date_start	date_mid	date_end	date_year	georeferenceSources
HumanObservation	Neilsen et al. 2009. Polar Biology 32(8): 1147-1155	14	CAML - Neilsen	Antarctica	IMIS:dasid:1967	-71.49027778	172.18889	Ammothea	BAS	Ross Sea	639.5	2010-01-21T00:00	urn:catalog:BAS:CAML - Neilsen:14	GenBankID: FJ969321	Arthropoda	Ammothea longispina	urn:lsid:marinespecies.org:taxname:172922	longispina	06a68902-e1b3-46e1-87ee-77c97ab10b0b	a332dcf7-d54f-475b-b6e4-43d1aa05fe9c	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	639.5	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea longispina	2	1065	1274	1302	1358	379601	379608	1562	134569	172922	172922	Ammothea longispina	[]	1569	54733	-1.63	34.16																															
HumanObservation		37133	SOMBASE Pycnogonids			-61.6166000366	-53.6833000183	Ammothea	BAS		400.0				Arthropoda	Ammothea longispina	urn:lsid:marinespecies.org:taxname:172922		0850522c-7c66-4591-bd66-306fddbef819	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	417.5	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea longispina	2	1065	1274	1302	1358	379601	379608	1562	134569	172922	172922	Ammothea longispina	[]	464	39668	-0.91	34.02	435.0																														
HumanObservation		39539	SOMBASE Pycnogonids			-71.3414993286	-109.998298645	Ammothea	BAS		480.0				Arthropoda	Ammothea longispina	urn:lsid:marinespecies.org:taxname:172922		0947620b-5ec8-49ff-a6eb-fed876cf5eb8	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	480.0	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea longispina	2	1065	1274	1302	1358	379601	379608	1562	134569	172922	172922	Ammothea longispina	[]	468	245410	-1.71	33.46	480.0																														
PreservedSpecimen		9560	NIWA	Ross Dependency		-73.3333333	174.0	Ammothea	NIWA Invertebrate Collection	Ross Sea	361.0	8/04/2022	5f82cc32-fa36-11e2-96b3-aa6f927c92a3		Arthropoda	Ammothea longispina	urn:lsid:marinespecies.org:taxname:172922	longispina	1300547d-c852-4314-a86a-2dd8a1959f92	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	368.5	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea longispina	2	1065	1274	1302	1358	379601	379608	1562	134569	172922	172922	Ammothea longispina	['DEPTH_EXCEEDS_BATH']	292	129788	-1.52	34.15	376.0	Antarctica	500	NIWA Invertebrate Collection	22	22/01/1959	POINT (174 -73.3333333)	WGS84	en	A464	1	present	Specimen(s), Ethanol - no formalin = 1	NZOI	Dredge, naturalists	Gordon, 1932	female	1959													
HumanObservation		37132	SOMBASE Pycnogonids			-60.7666015625	-53.9165992737	Ammothea	BAS		315.0				Arthropoda	Ammothea longispina	urn:lsid:marinespecies.org:taxname:172922		1600da01-1d47-47b8-8ba3-3b1a7a54967d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	325.0	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea longispina	2	1065	1274	1302	1358	379601	379608	1562	134569	172922	172922	Ammothea longispina	[]	1740	40452	-0.51	34.01	335.0																														
HumanObservation		21419	SOMBASE Pycnogonids			-71.5250015259	-12.4250001907	Ammothea	BAS		504.0				Arthropoda	Ammothea longispina	urn:lsid:marinespecies.org:taxname:172922		1cb759dd-729d-47b5-9603-873e2158e5bb	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	504.0	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea longispina	2	1065	1274	1302	1358	379601	379608	1562	134569	172922	172922	Ammothea longispina	[]	528	4469	-1.76	33.77	504.0																														
HumanObservation	Ammothea longispina (MBIS BioRoss 1944)	TAN0402/78 Ammothea longispina	MBIS BioRoss			-72.117	172.6985	Ammothea	NIWA	Ross 5	495.0	2013-11-03	1944	GearType= Epibenthic sled	Arthropoda	Ammothea longispina	urn:lsid:marinespecies.org:taxname:172922	longispina	1d2c3b92-51c8-4483-bba7-12f3d80fc316	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	496.0	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea longispina	2	1065	1274	1302	1358	379601	379608	1562	134569	172922	172922	Ammothea longispina	[]	493	55122	-1.64	34.14	497.0		30		14	2004-02-14T05:56/2004-02-14T06:11+12	LINESTRING (172.6985 -72.117, 172.6955 -72.122667)	WGS84	en		2	present			Epibenthic sled	Gordon, 1932		2004	2005-06-20	45	TAN0402/78	Johanna Nielsen	1	45	Ammothea longispina	Southern Ocean	1076716800000.0	1076716800000.0	1076716800000.0	2004.0	
HumanObservation	Neilsen et al. 2009. Polar Biology 32(8): 1147-1155	12	CAML - Neilsen	Antarctica	IMIS:dasid:1967	-71.49027778	172.18889	Ammothea	BAS	Ross Sea	639.5	2010-01-21T00:00	urn:catalog:BAS:CAML - Neilsen:12	GenBankID: FJ969276	Arthropoda	Ammothea longispina	urn:lsid:marinespecies.org:taxname:172922	longispina	238c8fea-0c5f-41c6-9c8e-83e9b6e774b7	a332dcf7-d54f-475b-b6e4-43d1aa05fe9c	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	639.5	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea longispina	2	1065	1274	1302	1358	379601	379608	1562	134569	172922	172922	Ammothea longispina	[]	1569	54733	-1.63	34.16																															
HumanObservation		39321	SOMBASE Pycnogonids			-71.0333023071	-11.3165998459	Ammothea	BAS		426.0				Arthropoda	Ammothea longispina	urn:lsid:marinespecies.org:taxname:172922		248b15ff-9ec3-4364-a9c7-e0fbc2c71434	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	453.5	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea longispina	2	1065	1274	1302	1358	379601	379608	1562	134569	172922	172922	Ammothea longispina	[]	476	4319	-1.72	33.75	481.0																														
PreservedSpecimen		70235	NIWA	Ross Dependency		-72.014	170.775833	Ammothea	NIWA Invertebrate Collection	Moubray Bay	236.0	8/04/2022	60580852-fa36-11e2-96b3-aa6f927c92a3		Arthropoda	Ammothea longispina	urn:lsid:marinespecies.org:taxname:172922	longispina	29b5029e-f6cf-44c2-94a7-2a9413e40d78	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	236.0	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea longispina	2	1065	1274	1302	1358	379601	379608	1562	134569	172922	172922	Ammothea longispina	[]	239	5831	-1.69	33.7	236.0	Antarctica	100	NIWA Invertebrate Collection	26	26/02/2004	LINESTRING (170.775833 -72.014, 170.775833 -72.014)	WGS84	en	TAN0402/139	2	present	Specimen(s), Ethanol - no formalin = 1	NIWA; MFish	Grab,  van Veen	Gordon, 1932		2004													GPS
