basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
HumanObservation	37260	SOMBASE Pycnogonids	-54.5	3.40000009537	BAS	567	439	Ammothea striata	urn:lsid:marinespecies.org:taxname:172938	084f9df0-4864-4e6f-8cfa-4d7fc86736aa	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	503.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea striata	2	1065	1274	1302	1358	379601	379608	1562	134569	172938	172938	Ammothea striata	[]	634	5900	-0.16	33.81
HumanObservation	22064	SOMBASE Pycnogonids	-45.4832992554	-60.0999984741	BAS	227	225	Ammothea striata	urn:lsid:marinespecies.org:taxname:172938	0cb16c0c-1fbf-45a0-a1cf-9b1e9238e65e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	226.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea striata	2	1065	1274	1302	1358	379601	379608	1562	134569	172938	172938	Ammothea striata	[]	215	413046	8.93	34.08
HumanObservation	37959	SOMBASE Pycnogonids	-48.0415992737	70.4533004761	BAS	151	151	Ammothea striata	urn:lsid:marinespecies.org:taxname:172938	0fcb6549-0706-47db-a393-72020c58f007	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	151.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea striata	2	1065	1274	1302	1358	379601	379608	1562	134569	172938	172938	Ammothea striata	[]	144	98695	4.42	33.74
HumanObservation	34384	SOMBASE Pycnogonids	-66.8666992188	145.5	BAS	526	526	Ammothea striata	urn:lsid:marinespecies.org:taxname:172938	1bb4f66e-8812-4049-a5e3-cae62452c8f8	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	526.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea striata	2	1065	1274	1302	1358	379601	379608	1562	134569	172938	172938	Ammothea striata	[]	604	32475		
HumanObservation	38002	SOMBASE Pycnogonids	-49.9432983398	70.4682998657	BAS	198	198	Ammothea striata	urn:lsid:marinespecies.org:taxname:172938	21f04c75-397a-4672-a39a-692e43a96de7	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	198.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea striata	2	1065	1274	1302	1358	379601	379608	1562	134569	172938	172938	Ammothea striata	[]	181	32223	3.32	33.8
HumanObservation	22051	SOMBASE Pycnogonids	-75.0166015625	168.383300781	BAS	334	334	Ammothea striata	urn:lsid:marinespecies.org:taxname:172938	25ca8f54-e894-4c61-b260-8ce6b7404231	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	334.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea striata	2	1065	1274	1302	1358	379601	379608	1562	134569	172938	172938	Ammothea striata	[]	350	95302	-1.58	34.21
HumanObservation	22054	SOMBASE Pycnogonids	-56.3965988159	-27.4099998474	BAS	230	161	Ammothea striata	urn:lsid:marinespecies.org:taxname:172938	27a296a7-d61f-47db-9e29-32718de9774e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	195.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea striata	2	1065	1274	1302	1358	379601	379608	1562	134569	172938	172938	Ammothea striata	[]	264	13099	-0.51	33.64
HumanObservation	22053	SOMBASE Pycnogonids	-77.5333023071	-172.533294678	BAS	472	468	Ammothea striata	urn:lsid:marinespecies.org:taxname:172938	32866826-6721-44bd-bf26-d5aa22969209	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	470.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea striata	2	1065	1274	1302	1358	379601	379608	1562	134569	172938	172938	Ammothea striata	[]	473	88262	-1.61	34.03
HumanObservation	37957	SOMBASE Pycnogonids	-47.9132995605	70.728302002	BAS	153	153	Ammothea striata	urn:lsid:marinespecies.org:taxname:172938	36ac487c-c33f-471b-80d3-7f41664dba3d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	153.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea striata	2	1065	1274	1302	1358	379601	379608	1562	134569	172938	172938	Ammothea striata	[]	183	123308	4.41	33.75
HumanObservation	22062	SOMBASE Pycnogonids	-64.6166000366	-62.8465995789	BAS	670	640	Ammothea striata	urn:lsid:marinespecies.org:taxname:172938	36c07b1c-3e54-4dae-9bc1-d21e18090151	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	655.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea striata	2	1065	1274	1302	1358	379601	379608	1562	134569	172938	172938	Ammothea striata	['DEPTH_EXCEEDS_BATH']	532	3520	-0.47	33.7
