basisOfRecord	catalogNumber	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	scientificName	scientificNameID	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	datasetName	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	individualCount	language	occurrenceRemarks	occurrenceStatus	samplingProtocol	scientificNameAuthorship	specificEpithet	startDayOfYear	waterBody	date_start	date_mid	date_end	date_year	countryCode	identificationRemarks	identifiedBy	identifiedByID	institutionID	organismQuantity	organismQuantityType	preparations	sex	taxonRank	type	verbatimEventDate	superdomain	superdomainid	bibliographicCitation	references	typeStatus
HumanObservation	158	Weddell Sea macrozoobenthos EASIZ I	IMIS:dasid:2432	5	-71.05166667	-11.425	AWI	Kapp Norvegia area	462.0	462.0	2010-05-11T18:09Z	2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:158	Ammothea stylirostris	urn:lsid:marinespecies.org:taxname:172942	1996	0edba3aa-b90e-4ed6-8a4d-987fcc04f298	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	462.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea stylirostris	2	1065	1274	1302	1358	379601	379608	1562	134569	172942	172942	Ammothea stylirostris	[]	464	5904	-1.72	33.76																																					
HumanObservation	Stn 39 Ammothea stylirostris	Discovery Reports		25	-54.2601	-36.4288	NIWA	East Cumberland Bay, South Georgia. From 8 cables S 81° W from Merton Rock to 1.3 miles N 7° E of Macmahon Rock	235.0	179.0	2019-03-15	3	5495	Ammothea stylirostris	urn:lsid:marinespecies.org:taxname:172942	1926	54fecf2f-f436-4c51-9326-452ab3d75125	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	207.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea stylirostris	2	1065	1274	1302	1358	379601	379608	1562	134569	172942	172942	Ammothea stylirostris	[]	257	1889	1.82	33.76	500	Discovery Expedition Biological Reports	1926-03-25	7	Stn 39	LINESTRING (-36.4287 -54.2417, -36.4288 -54.2785)	WGS84	2	en	Large otter trawl. Head rope 1.2m x 1.2m x 0.75m with netting or wire 12.5mm mesh	present	Large otter trawl. Head rope 1.2m x 1.2m x 0.75m with netting or wire 12.5mm mesh	Gordon, 1932	stylirostris	84	Atlantic Ocean	-1381363200000.0	-1381363200000.0	-1381363200000.0	1926.0																	
HumanObservation	22044	SOMBASE Pycnogonids			-56.1032981873	-66.3165969849	BAS		494.0	384.0				Ammothea stylirostris	urn:lsid:marinespecies.org:taxname:172942		57a90016-e86e-4ff0-af25-73613c1903b1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	439.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea stylirostris	2	1065	1274	1302	1358	379601	379608	1562	134569	172942	172942	Ammothea stylirostris	[]	859	42625	6.06	34.02																																					
HumanObservation	39325	SOMBASE Pycnogonids			-71.0333023071	-11.3165998459	BAS		481.0	426.0				Ammothea stylirostris	urn:lsid:marinespecies.org:taxname:172942		8d64df92-1163-4e14-9dc0-b7c91975bebe	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	453.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea stylirostris	2	1065	1274	1302	1358	379601	379608	1562	134569	172942	172942	Ammothea stylirostris	[]	476	4319	-1.72	33.75																																					
PreservedSpecimen	ANTXXVII/3_PS77_1211_6.2			14	-53.3997	-42.6683	BAS		314.7	284.7		2	ANTXXVII/3_PS77_1211_6.2	Ammothea stylirostris	urn:lsid:marinespecies.org:taxname:172942	2011	a8bfb612-5a63-47e8-95ca-a9d1b2897ea6	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	299.7	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea stylirostris	2	1065	1274	1302	1358	379601	379608	1562	134569	172942	172942	Ammothea stylirostris	[]	291	45223	2.25	33.78	223		2011-02-14	PS77	PS77_PS77/211-6	LINESTRING (-42.668 -53.40167, -42.6685 -53.39766667)	EPSG:4326		en	1 with 3 egg bundles, 1 with 2 bundles, 1 with one	Present	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	Gordon, 1932	stylirostris			1297641600000.0	1297641600000.0	1297641600000.0	2011.0	GS	very defined funnel shaped proboscis	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	4	individuals	Whole animal in 96% ethanol	Male	species	PhysicalObject	14/02/2011	Biota	1.0			
HumanObservation	21425	SOMBASE Pycnogonids			-71.0516967773	-11.4250001907	BAS		462.0	462.0				Ammothea stylirostris	urn:lsid:marinespecies.org:taxname:172942		ab0ebcbd-b37c-4f63-ab13-2fe2689220d5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	462.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea stylirostris	2	1065	1274	1302	1358	379601	379608	1562	134569	172942	172942	Ammothea stylirostris	[]	455	5901	-1.72	33.76																																					
HumanObservation	21426	SOMBASE Pycnogonids			-71.0516967773	-11.4250001907	BAS		462.0	462.0				Ammothea stylirostris	urn:lsid:marinespecies.org:taxname:172942		abf234e3-ec00-45a0-be9e-e4d4d3692c5e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	462.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea stylirostris	2	1065	1274	1302	1358	379601	379608	1562	134569	172942	172942	Ammothea stylirostris	[]	455	5901	-1.72	33.76																																					
PreservedSpecimen	sm_id_679	WoRMS type localities	https://marineinfo.org/id/dataset/5184		-54.21	-36.48	WoRMS Editorial Board	Atlantic Ocean	235.0	179.0	2007-06-20 15:52:33		WoRMS Editorial Board:WoRMS type localities:sm_id_679	Ammothea stylirostris	urn:lsid:marinespecies.org:taxname:172942		b368fe26-e99c-4965-afc1-6d20cb3416d6	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	207.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea stylirostris	2	1065	1274	1302	1358	379601	379608	1562	134569	172942	172942	Ammothea stylirostris	[]	193	1306	1.82	33.77											present		Gordon, 1932	stylirostris																			Biota	1.0	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ammothea stylirostris</i> Gordon, 1932. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=172942	http://www.marinespecies.org/aphia.php?p=specdetails&id=679	holotype
HumanObservation	22045	SOMBASE Pycnogonids			-53.7966003418	-37.4449996948	BAS		234.0	165.0				Ammothea stylirostris	urn:lsid:marinespecies.org:taxname:172942		f590c649-dfb4-4c36-903e-4a70f34adbcd	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	199.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea stylirostris	2	1065	1274	1302	1358	379601	379608	1562	134569	172942	172942	Ammothea stylirostris	[]	202	19333	1.77	33.76																																					
HumanObservation	34706	SOMBASE Pycnogonids			-54.2332992554	-36.4000015259	BAS		235.0	179.0				Ammothea stylirostris	urn:lsid:marinespecies.org:taxname:172942		f62f91f3-d8a6-4845-b74b-5e6a814c5fe0	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	207.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea stylirostris	2	1065	1274	1302	1358	379601	379608	1562	134569	172942	172942	Ammothea stylirostris	['DEPTH_EXCEEDS_BATH']	151	1288	1.81	33.77																																					
