basisOfRecord	catalogNumber	collectionCode	collectionID	countryCode	decimalLatitude	decimalLongitude	eventDate	eventID	kingdom	maximumDepthInMeters	minimumDepthInMeters	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	wrims	flags	bathymetry	shoredistance	sst	sss	datasetID	datasetName	individualCount	locality	materialSampleID	ownerInstitutionCode	samplingProtocol	taxonRank	taxonRemarks	type	associatedReferences	bibliographicCitation	country	dynamicProperties	identifiedBy	institutionCode	month	preparations	recordedBy	scientificNameAuthorship	sex	waterBody	year	day	lifeStage	stateProvince	continent	dateIdentified	eventRemarks	fieldNumber	geodeticDatum	habitat	institutionID	organismQuantity	specificEpithet	coordinatePrecision	occurrenceRemarks	verbatimDepth	superdomain	superdomainid
PreservedSpecimen	140754	FSBC I	56bf7b66-ed07-4b91-9f0d-1f00de11fab8	US	24.56	-81.735	1977-02-03	f5c84feb-65bf-4151-ac13-86a6e03637b8	Animalia	3.0	2.5	2e327003-cba6-42d5-84d0-cb1f15f31f48	Present	Ammothella appendiculata	urn:lsid:marinespecies.org:taxname:134609	06042ffe-e0c7-49c6-8dcd-026f0a1e9be9	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	2.75	223776000000.0	223776000000.0	223776000000.0	1977.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella appendiculata	2	1065	1274	1302	1358	379601	379608	1562	134570	134609	134609	Ammothella appendiculata	True	[]	-1	99	26.76	36.1																																								
PreservedSpecimen	143951	FSBC I	56bf7b66-ed07-4b91-9f0d-1f00de11fab8	US	24.468	-81.412	1977-01-06	c2b553f3-8ecc-4caf-8620-8941abb90fdf	Animalia	1.0	1.0	fd7f14be-d450-4f39-bd5d-dd59fd177981	Present	Ammothella appendiculata	urn:lsid:marinespecies.org:taxname:134609	195ca861-5b0d-4ecb-86ba-e5b923b6ebb7	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	1.0	221356800000.0	221356800000.0	221356800000.0	1977.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella appendiculata	2	1065	1274	1302	1358	379601	379608	1562	134570	134609	134609	Ammothella appendiculata	True	[]	150	16634	27.09	36.03																																								
MaterialSample					25.463	-81.4443	1994-09-01		Animalia	6.9	6.9	NOAA:NCCOS:NBI:FW94_42_2:104489	present	Ammothella appendiculata	urn:lsid:marinespecies.org:taxname:134609	218cf861-0d88-48aa-8fea-7fbb737d8d2d	43b58971-4fda-4210-a6ef-654fe0ce226d	['b7c47783-a020-4173-b390-7b57c4fa1426']	6.9	778377600000.0	778377600000.0	778377600000.0	1994.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella appendiculata	2	1065	1274	1302	1358	379601	379608	1562	134570	134609	134609	Ammothella appendiculata	True	[]	6	24041	26.15	36.21	NOAA NBI	NOAA National Benthic Inventory	1	Outside Florida Bay	FW94_42_2:104489	NOAA	Young-modified Van Veen grab sampler, 0.04 sq m	Species	Originally identified as 'Ammothella appendiculata'	Dataset																														
PreservedSpecimen	184427.140357	Invertebrate Zoology: Crustacea			16.7670001984	-88.0500030518	1979-11-30T12:00:00Z		Animalia					Ammothella appendiculata	urn:lsid:marinespecies.org:taxname:134609	271adca5-4ac6-4fa4-9d49-1cffb9871e11	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		312768000000.0	312768000000.0	312768000000.0	1979.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella appendiculata	2	1065	1274	1302	1358	379601	379608	1562	134570	134609	134609	Ammothella appendiculata	True	['NO_DEPTH']	149	5126	28.13	35.55			1.0	Carrie Bow Cay							National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Belize	observedindividualcount=1;	Child, C. Allan	USNM	11	Alcohol (Ethanol)	K. Fauchald	(Dohrn)	female	North Atlantic Ocean	1979																	
MaterialSample					25.3545	-81.4585	1994-09-07		Animalia	7.6	7.6	NOAA:NCCOS:NBI:FW94_38_3:102990	present	Ammothella appendiculata	urn:lsid:marinespecies.org:taxname:134609	2864b6e2-b403-470d-9677-26d00e44e272	43b58971-4fda-4210-a6ef-654fe0ce226d	['b7c47783-a020-4173-b390-7b57c4fa1426']	7.6	778896000000.0	778896000000.0	778896000000.0	1994.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella appendiculata	2	1065	1274	1302	1358	379601	379608	1562	134570	134609	134609	Ammothella appendiculata	True	[]	8	30159	26.16	36.2	NOAA NBI	NOAA National Benthic Inventory	1	Outside Florida Bay	FW94_38_3:102990	NOAA	Young-modified Van Veen grab sampler, 0.04 sq m	Species	Originally identified as 'Ammothella appendiculata'	Dataset																														
PreservedSpecimen	155179.118577	Invertebrate Zoology: Crustacea			27.4750003815	-80.0733337402	1974-02-28T12:00:00Z		Animalia	24.0	24.0			Ammothella appendiculata	urn:lsid:marinespecies.org:taxname:134609	33d361db-1a0a-4cb2-a5f2-8e5edbcebbf5	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	24.0	131241600000.0	131241600000.0	131241600000.0	1974.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella appendiculata	2	1065	1274	1302	1358	379601	379608	1562	134570	134609	134609	Ammothella appendiculata	True	[]	26	20515	26.08	36.07			1.0	E Of Fort Pierce							National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States	observedindividualcount=1;	Child, C. Allan	USNM	2	Alcohol (Ethanol)		(Dohrn)		North Atlantic Ocean	1974	28	juvenile	Florida														
PreservedSpecimen					21.34691667	-90.14761111	2019-02-18	ARMS-PILOTO-B10-02-2019	Animalia	7.0		B10-02-2019-0343	Present	Ammothella appendiculata	urn:lsid:marinespecies.org:taxname:134609	35c43571-0b90-46c2-8c06-4f9712d4f2bd	8b681c9d-f925-4a11-930d-d37c07b0560e	['8385435b-bcf5-4bec-b827-8b480163d479']	7.0	1550448000000.0	1550448000000.0	1550448000000.0	2019.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella appendiculata	2	1065	1274	1302	1358	379601	379608	1562	134570	134609	134609	Ammothella appendiculata	True	[]	2	21908	26.15	36.32				B10 Reef, Gulf of Mexico			ARMS	Species					Mexico		Magdalena García	FCMM		Ethanol 70%	Lilian Palomino-Alvarez								America	2020-10-21	ARMS-1	B10_PLTO_ARM1_FEB19	WGS84	Coral reef	http://grbio.org/institution/universidad-nacional-autonoma-de-mexico-facultad-de-ciencias	Individuals	appendiculata					
PreservedSpecimen	228124.180342	Invertebrate Zoology: Crustacea			16.75	-87.8700027466	1980-03-22T12:00:00Z		Animalia	12.2	12.2			Ammothella appendiculata	urn:lsid:marinespecies.org:taxname:134609	3e8a00c2-8e52-4174-b743-ece2f868fec0	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	12.2	322531200000.0	322531200000.0	322531200000.0	1980.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella appendiculata	2	1065	1274	1302	1358	379601	379608	1562	134570	134609	134609	Ammothella appendiculata	True	[]	347	4269	28.15	35.67			1.0	Glover Reef, Southwest Cays							National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Belize	observedindividualcount=1;	Child, C. Allan	USNM	3	Alcohol (Ethanol)	G. Hendler	(Dohrn)	male	North Atlantic Ocean	1980	22																
HumanObservation	Spp-43-002_G3	B89PII			27.1292877197	-96.6004257202			Animalia	65.0	0.0			Ammothella appendiculata	urn:lsid:marinespecies.org:taxname:134609	5897904a-036c-4eae-8905-92aa70923126	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	32.5					False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella appendiculata	2	1065	1274	1302	1358	379601	379608	1562	134570	134609	134609	Ammothella appendiculata	True	[]	92	75669	25.14	34.99				WNW  Gulf of Mexico							Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/			Child, C. A.	HRI				Dohrn,		Gulf of Mexico														263900.0	Database description and disclaimer at: http://gulfbase.org/	0-65	Biota	1.0
PreservedSpecimen	233720.185623	Invertebrate Zoology: Crustacea			9.40499973297	-79.8633270264	1980-10-04T12:00:00Z		Animalia	6.1	6.1			Ammothella appendiculata	urn:lsid:marinespecies.org:taxname:134609	7225d2d5-1859-440d-a6f2-e89070b0881b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	6.1	339465600000.0	339465600000.0	339465600000.0	1980.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella appendiculata	2	1065	1274	1302	1358	379601	379608	1562	134570	134609	134609	Ammothella appendiculata	True	[]	-2	22	28.19	35.1			3.0	Galeta Point							National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Panama	observedindividualcount=3;	Child, C. Allan	USNM	10	Alcohol (Ethanol)	G. Hendler	(Dohrn)		North Atlantic Ocean	1980	4		Canal Zone														
