basisOfRecord	catalogNumber	collectionCode	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventRemarks	footprintSRS	language	modified	month	occurrenceID	occurrenceStatus	parentEventID	recordedBy	samplingProtocol	scientificName	scientificNameID	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	identifiedBy	institutionCode	maximumDepthInMeters	minimumDepthInMeters	depth	continent	coordinateUncertaintyInMeters	country	locality	footprintWKT
Occurrence	MRCCW10000063738	Marine Recorder Snapshot extract of surveys entered by NRW	https://marineinfo.org/id/dataset/8017	Marine Recorder Snapshot extract of surveys entered by NRW	15	51.69802	-5.086849	1996-10-15	R48*31	sample	EPSG:4326	en	2022-01-18 09:29:51	10	MRCCW10000063738	present	MRCCW10000002079	Contact: enquiries@naturalresourceswales.gov.uk	MRCCW10000000082_METH_001	Anoplodactylus angulatus	urn:lsid:marinespecies.org:taxname:134714	1996	015276c9-a28d-4d56-a75b-6fda7061d7fb	df6977ea-a704-4c48-bd46-ebbbb95e0bbc	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	845337600000	845337600000	845337600000	1996	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus angulatus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134714	134714	Anoplodactylus angulatus	['NO_DEPTH']	26.6	566	12.11	33.87										
Occurrence	JNCCMNCR10270133	Marine Recorder Snapshot extract of surveys entered by JNCC	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	27	49.91172	-6.312663	1983-03-27	141.002.001	sample	EPSG:4326	en	2022-01-18 09:29:51	3	JNCCMNCR10270133	present	JNCCMNCR10006314	Contact: MarineRecorder@jncc.gov.uk	JNCCMNCR10000141_METH_001	Anoplodactylus angulatus	urn:lsid:marinespecies.org:taxname:134714	1983	025e2460-8e84-4f80-99fa-81a9bfbf0a05	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	417571200000	417571200000	417571200000	1983	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus angulatus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134714	134714	Anoplodactylus angulatus	['NO_DEPTH']	21.0	105	12.97	35.03	Fraser Gault									
Occurrence	MRUMU100000098CF	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	https://marineinfo.org/id/dataset/8016	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	11	54.55912	-5.474812	1986-04-11	MRUMU1000000003E.15	sample	EPSG:4326	en	2022-01-18 09:29:51	4	MRUMU100000098CF	present	MRUMU1000000003E	Contact: info@nmni.com	MRUMU1000000001C_METH_001	Anoplodactylus angulatus	urn:lsid:marinespecies.org:taxname:134714	1986	0315f84f-1e37-40d8-bb40-d4e0093676f6	9651c30a-ea93-4e20-8cce-e9e951d9fe68	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	513561600000	513561600000	513561600000	1986	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus angulatus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134714	134714	Anoplodactylus angulatus	['NO_DEPTH']	2.2	169	10.86	34.31	Trevor Telfer									
Occurrence	RSMP_E0145_09_802900		https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	16	52.6104	1.8657	2000-03-16	E0145_09	sample	EPSG:4326	en	2018-04-09 15:18:52	3	RSMP_E0145_09_802900	present				Anoplodactylus angulatus	urn:lsid:marinespecies.org:taxname:134714	2000	036e513e-595a-4d2f-80cd-77b1a114f1e6	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	953164800000	953164800000	953164800000	2000	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus angulatus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134714	134714	Anoplodactylus angulatus	[]	27.2	8283	11.31	34.27		CEFAS	24.0	24.0	24.0					
Occurrence	287073045	66439	https://marineinfo.org/id/dataset/2997		16	51.6188937716475	-5.040397966633696	2007-08-16/2007-08-16					2014-04-30 15:16:38	8	urn:catalog:Natural Resources Wales:66439:287073045	present		Hebog Ltd		Anoplodactylus angulatus	urn:lsid:marinespecies.org:taxname:134714	2007	03fd2670-4cdc-4ab7-bfee-39e13cd1ebb6	63187f4a-1af9-4611-8f05-e806676ab55b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1187222400000	1187222400000	1187222400000	2007	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus angulatus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134714	134714	Anoplodactylus angulatus	['NO_DEPTH']	-25.0	20	12.19	33.83		Natural Resources Wales				Europe	70.7	GB	Mid lower shore rockpools	
Occurrence	MRMLN00400005A1A	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	https://marineinfo.org/id/dataset/8021	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	1	50.67205	-1.109816	1995-01-01	MRMLN004000003FB.03	sample	EPSG:4326	en	2022-01-18 09:29:51	1	MRMLN00400005A1A	present	MRMLN004000003FB	Contact: dassh.enquiries@mba.ac.uk	MRMLN00400000016_METH_001	Anoplodactylus angulatus	urn:lsid:marinespecies.org:taxname:134714	1995	058f9bb3-a6ee-404b-9a0b-453b3384fafa	d52444db-3aee-4ac3-8181-b8952fe53821	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	788918400000	788918400000	788918400000	1995	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus angulatus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134714	134714	Anoplodactylus angulatus	['NO_DEPTH', 'ON_LAND']	-63.0	-701	12.67	34.2	David George									
Occurrence	287197102	66563	https://marineinfo.org/id/dataset/692		6	51.72161762619702	-5.102325259541562	1960-06-06/1960-06-06					2014-04-16 15:57:02	6	urn:catalog:Natural Resources Wales:66563:287197102	present				Anoplodactylus angulatus	urn:lsid:marinespecies.org:taxname:134714	1960	05cc7eda-b351-4943-ad89-f9ab54404581	19abb100-fb94-4295-ab17-bb3e58674cf3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	-302054400000	-302054400000	-302054400000	1960	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus angulatus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134714	134714	Anoplodactylus angulatus	['NO_DEPTH']	-20.2	150	12.11	33.87		Natural Resources Wales				Europe	70.7	GB	Sandy Haven	
Occurrence	287204913	66571	https://marineinfo.org/id/dataset/692		6	51.69134407171564	-5.158147694437863	1975-06-06/1975-06-06					2014-04-16 15:57:02	6	urn:catalog:Natural Resources Wales:66571:287204913	present				Anoplodactylus angulatus	urn:lsid:marinespecies.org:taxname:134714	1975	0a68e57b-392c-47b3-9723-5befd12a9db2	19abb100-fb94-4295-ab17-bb3e58674cf3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	171244800000	171244800000	171244800000	1975	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus angulatus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134714	134714	Anoplodactylus angulatus	['NO_DEPTH']	-1.0	50	12.11	33.87		Natural Resources Wales				Europe	70.7	GB	Watwick Bay	
Occurrence	MRCCW30000002B22	Marine Recorder Snapshot extract of surveys entered by NRW	https://marineinfo.org/id/dataset/8017	Marine Recorder Snapshot extract of surveys entered by NRW	28	52.22498	-4.50079	2001-07-28	W30000000091.05	sample	EPSG:4326	en	2022-01-18 09:29:51	7	MRCCW30000002B22	present	MRCCW30000000091	Contact: enquiries@naturalresourceswales.gov.uk	MRCCW30000000008_METH_002	Anoplodactylus angulatus	urn:lsid:marinespecies.org:taxname:134714	2001	0d612242-fd92-4c81-b5ac-69b21faa06c8	df6977ea-a704-4c48-bd46-ebbbb95e0bbc	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	996278400000	996278400000	996278400000	2001	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus angulatus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134714	134714	Anoplodactylus angulatus	[]	21.2	6155	11.97	34.04	Andrew Mackie		22.2000008	22.2000008	22.2000008					LINESTRING (-4.450003 52.2583354, -4.366669 52.300001461)
Occurrence	JNCCMNCR10270241	Marine Recorder Snapshot extract of surveys entered by JNCC	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	31	49.91639	-6.283815	1983-03-31	141.015.001	sample	EPSG:4326	en	2022-01-18 09:29:51	3	JNCCMNCR10270241	present	JNCCMNCR10006311	Contact: MarineRecorder@jncc.gov.uk	JNCCMNCR10000141_METH_001	Anoplodactylus angulatus	urn:lsid:marinespecies.org:taxname:134714	1983	0f80b81e-d956-473b-a87d-dfba974fe077	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	417916800000	417916800000	417916800000	1983	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus angulatus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134714	134714	Anoplodactylus angulatus	['NO_DEPTH', 'ON_LAND']	-11.0	-1	12.97	35.03	Fraser Gault									
