basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	startDayOfYear	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	organismQuantity	organismQuantityType	taxonRank
HumanObservation	Stn 187 Phoxichilidium australe	Pycnogonida	Discovery Reports	1000	Discovery Expedition Biological Reports	18	-64.8083	-63.525	1927-03-18	169	Phoxichilidiidae	Stn 187	POINT (-63.525 -64.8083)	Anoplodactylus	WGS84	1	NIWA	Animalia	en	Neumayer Channel, Palmer Archipelago	354.0	259.0	2019-03-15	3	5479	Large otter trawl	present	Pantopoda	Arthropoda	Large otter trawl	Anoplodactylus australis	Hodgson, 1915	urn:lsid:marinespecies.org:taxname:379455	m	australe	77	Southern Ocean	1927	01065ab5-7209-4304-98d4-b6e0c666312c	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	306.5	-1350432000000.0	-1350432000000.0	-1350432000000.0	1927.0	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus australis	2	1065	1274	1302	1358	379601	379610	14469	134592	173550	173550	Phoxichilidium australe	['DEPTH_EXCEEDS_BATH']	199	850	-0.57	33.18			
HumanObservation	38652	Pycnogonida	SOMBASE Pycnogonids				-67.6666030884	45.8499984741			Phoxichilidiidae			Anoplodactylus			BAS	Animalia			39.0	39.0						Pantopoda	Arthropoda		Anoplodactylus australis		urn:lsid:marinespecies.org:taxname:173550						0112aed0-1386-48a4-96fd-6e51ef104918	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	39.0					False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus australis	2	1065	1274	1302	1358	379601	379610	14469	134592	173550	173550	Anoplodactylus australis	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-34	-727	-1.77	33.6			
HumanObservation	21556	Pycnogonida	SOMBASE Pycnogonids				-73.6016998291	-22.5949993134			Phoxichilidiidae			Anoplodactylus			BAS	Animalia			850.0	850.0						Pantopoda	Arthropoda		Anoplodactylus australis		urn:lsid:marinespecies.org:taxname:173550						032824eb-9123-474c-b606-333d4f30df76	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	850.0					False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus australis	2	1065	1274	1302	1358	379601	379610	14469	134592	173550	173550	Anoplodactylus australis	[]	873	41997	-1.67	33.89			
PreservedSpecimen	J37999	Pycnogonida	co119	1000			-66.8127	70.4163	1993-02-15		Phoxichilidiidae		POINT ( 70.41630 -66.81270)	Anoplodactylus		1	NMV	Animalia		North of Fram Bank	830.0	795.0	2017-02-09T12:08:15		J37999		present	Pantopoda	Arthropoda		Anoplodactylus australis		urn:lsid:marinespecies.org:taxname:173550	Unknown	australis				0c0e48ea-0473-4dad-b05d-42892f09bd5f	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	812.5	729734400000.0	729734400000.0	729734400000.0	1993.0	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus australis	2	1065	1274	1302	1358	379601	379610	14469	134592	173550	173550	Anoplodactylus australis	[]	899	109105	-1.62	34.06	1	individuals	species
HumanObservation	24018	Pycnogonida	SOMBASE Pycnogonids				-66.5500030518	93.0166015625			Phoxichilidiidae			Anoplodactylus			BAS	Animalia			80.0	80.0						Pantopoda	Arthropoda		Anoplodactylus australis		urn:lsid:marinespecies.org:taxname:173550						127cb172-b5d4-423e-a9c7-78a5a63bae6e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	80.0					False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus australis	2	1065	1274	1302	1358	379601	379610	14469	134592	173550	173550	Anoplodactylus australis	[]	295	452	-1.56	33.71			
PreservedSpecimen	J37996	Pycnogonida	co119	1000			-66.8127	70.4163	1993-02-15		Phoxichilidiidae		POINT ( 70.41630 -66.81270)	Anoplodactylus		1	NMV	Animalia		North of Fram Bank	830.0	795.0	2017-02-09T12:08:15		J37996		present	Pantopoda	Arthropoda		Anoplodactylus australis		urn:lsid:marinespecies.org:taxname:173550	Unknown	australis				339349ab-9792-4b1e-af52-323098e58486	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	812.5	729734400000.0	729734400000.0	729734400000.0	1993.0	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus australis	2	1065	1274	1302	1358	379601	379610	14469	134592	173550	173550	Anoplodactylus australis	[]	899	109105	-1.62	34.06	1	individuals	species
HumanObservation	24025	Pycnogonida	SOMBASE Pycnogonids				-66.3616027832	-66.7833023071			Phoxichilidiidae			Anoplodactylus			BAS	Animalia			106.0	70.0						Pantopoda	Arthropoda		Anoplodactylus australis		urn:lsid:marinespecies.org:taxname:173550						33fed84a-9bf7-487d-8d95-aa023f2968fd	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	88.0					False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus australis	2	1065	1274	1302	1358	379601	379610	14469	134592	173550	173550	Anoplodactylus australis	[]	357	4695	-0.94	33.01			
PreservedSpecimen	P.11130	Pycnogonida	co113	10000			-67.0	142.6	1913-12-21		Phoxichilidiidae		POINT (142.60000 -67.00000)	Anoplodactylus			AM	Animalia		Commonwealth Bay, Adelie Land, Australian Antarctic Territory			2017-03-02T11:18:51		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.11130		present	Pantopoda	Arthropoda		Anoplodactylus australis		urn:lsid:marinespecies.org:taxname:173550		australis				347a4612-e0b4-4704-8d66-00bd12a61841	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		-1768176000000.0	-1768176000000.0	-1768176000000.0	1913.0	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus australis	2	1065	1274	1302	1358	379601	379610	14469	134592	173550	173550	Anoplodactylus australis	['NO_DEPTH']	49	2017	-1.67	33.96			species
HumanObservation	24022	Pycnogonida	SOMBASE Pycnogonids				-62.6665992737	-56.2165985107			Phoxichilidiidae			Anoplodactylus			BAS	Animalia			507.0	494.0						Pantopoda	Arthropoda		Anoplodactylus australis		urn:lsid:marinespecies.org:taxname:173550						37c98426-8943-44a6-b35a-98292781c413	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	500.5					False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus australis	2	1065	1274	1302	1358	379601	379610	14469	134592	173550	173550	Anoplodactylus australis	[]	452	32328	-1.26	33.84			
HumanObservation	Stn 190 Phoxichilidium australe	Pycnogonida	Discovery Reports	1000	Discovery Expedition Biological Reports	24	-64.9333	-63.5833	1927-03-24	2	Phoxichilidiidae	Stn 190	POINT (-63.5833 -64.9333)	Anoplodactylus	WGS84	3	NIWA	Animalia	en	Bismark Strait, Palmer Archipelago	315.0	308.0	2019-03-15	3	5480	Large dredge, heavy pattern, 1.2m in length	present	Pantopoda	Arthropoda	Large dredge, heavy pattern, 1.2m in length	Anoplodactylus australis	Hodgson, 1915	urn:lsid:marinespecies.org:taxname:379455		australe	83	Southern Ocean	1927	4e227f34-70db-4ee3-921a-85ac8d60adf0	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	311.5	-1349913600000.0	-1349913600000.0	-1349913600000.0	1927.0	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus australis	2	1065	1274	1302	1358	379601	379610	14469	134592	173550	173550	Phoxichilidium australe	[]	443	2421	-0.63	33.16			
