associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	wrims	flags	bathymetry	shoredistance	sst	sss	lifeStage	recordedBy	stateProvince	accessRights	coordinateUncertaintyInMeters	datasetName	disposition	endDayOfYear	footprintWKT	geodeticDatum	island	language	license	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	originalNameUsage	otherCatalogNumbers	ownerInstitutionCode	rightsHolder	samplingProtocol	specificEpithet	startDayOfYear	type	verbatimCoordinates	verbatimDepth	verbatimEventDate	verbatimLocality	depth	coordinatePrecision	occurrenceRemarks	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	151460.114858	Invertebrate Zoology: Crustacea	Panama	21	8.88300037384	-79.5830001831	observedindividualcount=2;	1955-04-21T12:00:00Z	Child, C. Allan	2.0	USNM	Panama Bay, W Of Punta Bruja	4	Alcohol (Ethanol)	Anoplodactylus californicus	Calman	urn:lsid:marinespecies.org:taxname:378076	female	North Pacific Ocean	1955	0051b054-cda5-45b0-87a9-47e12ecafd37	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-463881600000.0	-463881600000.0	-463881600000.0	1955.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus californicus	2	1065	1274	1302	1358	379601	379610	14469	134592	134716	134716	Anoplodactylus portus	True	['NO_DEPTH']	4	475	27.59	31.05																																			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	151467.114865	Invertebrate Zoology: Crustacea	Panama	18	8.91860961914	-79.5377807617	observedindividualcount=160;	1972-04-18T12:00:00Z	Child, C. Allan	160.0	USNM	Panama Bay, Naos Island, pilot pier, on floats	4	Alcohol (Ethanol)	Anoplodactylus californicus	Calman	urn:lsid:marinespecies.org:taxname:378076	male; female;;	North Pacific Ocean	1972	0c3b7cc2-9cc5-4dbb-821a-439ad8151967	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	72403200000.0	72403200000.0	72403200000.0	1972.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus californicus	2	1065	1274	1302	1358	379601	379610	14469	134592	134716	134716	Anoplodactylus portus	True	['NO_DEPTH']	8	249	27.59	31.05	;; juvenile	W. Byas, M. Jones, C. Dawson & D. Pawson	Canal Zone																																
	PreservedSpecimen		12290	S	Hawaiian Islands	20	21.305	-157.865		1997-08-20			BPBM	Honolulu Harbor; Pier 5-6 HECO discharge	8		Anoplodactylus californicus	Hall, 1912	urn:lsid:marinespecies.org:taxname:134716		Pacific Ocean	1997	34e15acb-6d6e-4fa2-99e9-1389fd76d92b	10b213e6-a9c4-459e-a40c-ef9edc461b97	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	872035200000.0	872035200000.0	872035200000.0	1997.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus californicus	2	1065	1274	1302	1358	379601	379610	14469	134592	134716	134716	Anoplodactylus californicus	True	[]	-10	33	25.4	35.05				http://www.vertnet.org/resources/norms.html	100	Bishop Museum Marine Invertebrates Specimens	in collection	232	POINT (-157.86500 21.30500)	WGS84	Oahu	en	http://creativecommons.org/publicdomain/zero/1.0	9.0	0.0	2/07/2002 0:00:00	31ecc1be-4018-4074-ae61-1362e581c700	present	Anoplodactylus californicus	HH-2382	BPBM	Bernice Pauahi Bishop Museum	Hand grab	californicus	232	PhysicalObject	(21.30502°, 157.8645°)	0.00-9.00	1997-08-20	Pacific Ocean; North Subtropical Oceania; Hawaiian Islands; Oahu; Honolulu Harbor; Pier 5-6 HECO discharge  (21.30502°, 157.8645°)	4.5				
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	151463.114861	Invertebrate Zoology: Crustacea	Panama	26	8.97500038147	-79.5133285522	observedindividualcount=1;	1971-04-26T12:00:00Z	Child, C. Allan	1.0	USNM	Panama Bay, Panama City, Paitilla Beach, east side of Paitilla Point, Off Union Club	4	Alcohol (Ethanol)	Anoplodactylus californicus	Calman	urn:lsid:marinespecies.org:taxname:378076	male	North Pacific Ocean	1971	4cf7f8a3-9571-4d09-84c6-74250bcdba51	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	41472000000.0	41472000000.0	41472000000.0	1971.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus californicus	2	1065	1274	1302	1358	379601	379610	14469	134592	134716	134716	Anoplodactylus portus	True	['NO_DEPTH', 'ON_LAND']	-12	-132	27.59	31.05		M. Jones	Canal Zone																																
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-042_E1	B89PII			18.211057663	-94.1317977905			Child, C. A.		HRI	SSW  Gulf of Mexico			Anoplodactylus californicus	Hall,	urn:lsid:marinespecies.org:taxname:134716		Gulf of Mexico		5e769fc1-48cf-44dc-b7b2-13d37b4c0e88	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus californicus	2	1065	1274	1302	1358	379601	379610	14469	134592	134716	134716	Anoplodactylus californicus	True	['ON_LAND']	-7	-240	26.97	34.87														0.0	0.0													0-0			0.0	542540.0	Database description and disclaimer at: http://gulfbase.org/	Biota	1.0
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	122435.87493	Invertebrate Zoology: Crustacea	United States		21.2999992371	-157.850006104	observedindividualcount=8;	1947-04-30T12:00:00Z	Child, C. Allan	8.0	USNM	Oahu Island, Honolulu	4	Alcohol (Ethanol)	Anoplodactylus californicus	Calman	urn:lsid:marinespecies.org:taxname:378076		North Pacific Ocean	1947	61b2c583-2f9f-4671-be7d-05ddd255ad81	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-715564800000.0	-715564800000.0	-715564800000.0	1947.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus californicus	2	1065	1274	1302	1358	379601	379610	14469	134592	134716	134716	Anoplodactylus portus	True	['NO_DEPTH', 'ON_LAND']	-5	-924	25.4	35.05		O. Degener	Hawaii																																
	PreservedSpecimen		12709	S	Hawaiian Islands	23	21.2879	-157.842		1998-07-23			BPBM	Ala Wai Harbor; Waikiki Yacht Club	7		Anoplodactylus californicus	Hall, 1912	urn:lsid:marinespecies.org:taxname:134716		Pacific Ocean	1998	7654bfb4-40a0-4928-a36c-5ffdd78bc351	10b213e6-a9c4-459e-a40c-ef9edc461b97	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	901152000000.0	901152000000.0	901152000000.0	1998.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus californicus	2	1065	1274	1302	1358	379601	379610	14469	134592	134716	134716	Anoplodactylus californicus	True	['ON_LAND']	-4	-442	25.4	35.05				http://www.vertnet.org/resources/norms.html	100	Bishop Museum Marine Invertebrates Specimens	in collection	204	POINT (-157.84200 21.28790)	WGS84	Oahu	en	http://creativecommons.org/publicdomain/zero/1.0	2.0	0.0	2/07/2002 0:00:00	2cb7dc16-f35a-4dc8-9b87-a8b1bbe2ca21	present	Anoplodactylus californicus	HH-2379	BPBM	Bernice Pauahi Bishop Museum	Hand grab	californicus	204	PhysicalObject	(21.28786°, 157.8419°)	0.00-2.00	1998-07-23	Pacific Ocean; North Subtropical Oceania; Hawaiian Islands; Oahu; Ala Wai Harbor; Waikiki Yacht Club  (21.28786°, 157.8419°)	1.0				
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	151960.115347	Invertebrate Zoology: Crustacea	Panama	13	8.96700000763	-79.516998291	observedindividualcount=1;	1972-04-13T12:00:00Z	Child, C. Allan	1.0	USNM	Panama Bay, Paitilla Point	4	Alcohol (Ethanol)	Anoplodactylus californicus	Calman	urn:lsid:marinespecies.org:taxname:378076	male	North Pacific Ocean	1972	7c8affee-0e7e-4e18-bf7a-7fc47e4a2fb6	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	71971200000.0	71971200000.0	71971200000.0	1972.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus californicus	2	1065	1274	1302	1358	379601	379610	14469	134592	134716	134716	Anoplodactylus portus	True	['NO_DEPTH']	-1	288	27.59	31.05	juvenile	M. Jones, W. Byas & D. Pawson	Canal Zone																																
	PreservedSpecimen		12796	S	Hawaiian Islands	6	21.3218	-158.12		1998-08-06			BPBM	Barbers Point Harbor; coal pier	8		Anoplodactylus californicus	Hall, 1912	urn:lsid:marinespecies.org:taxname:134716		Pacific Ocean	1998	968433fe-3b62-4adb-9ba1-f7d9f49a8988	10b213e6-a9c4-459e-a40c-ef9edc461b97	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	902361600000.0	902361600000.0	902361600000.0	1998.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus californicus	2	1065	1274	1302	1358	379601	379610	14469	134592	134716	134716	Anoplodactylus californicus	True	['ON_LAND']	-1	-128	25.56	35.04				http://www.vertnet.org/resources/norms.html	100	Bishop Museum Marine Invertebrates Specimens	in collection	218	POINT (-158.12000 21.32180)	WGS84	Oahu	en	http://creativecommons.org/publicdomain/zero/1.0	3.0	0.0	2/07/2002 0:00:00	da3950c3-de5f-4fbd-9d3e-adc39c4b5a8a	present	Anoplodactylus californicus	HH-2383	BPBM	Bernice Pauahi Bishop Museum	Hand grab	californicus	218	PhysicalObject	(21.3218°, 158.1198°)	0.00-3.00	1998-08-06	Pacific Ocean; North Subtropical Oceania; Hawaiian Islands; Oahu; Barbers Point Harbor; coal pier  (21.3218°, 158.1198°)	1.5				
	HumanObservation		24029	SOMBASE Pycnogonids			-53.8216018677	-70.4166030884					BAS				Anoplodactylus californicus		urn:lsid:marinespecies.org:taxname:134716				a01f0ca5-6d6a-4065-a7d9-c2e4ad2a66fd	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus californicus	2	1065	1274	1302	1358	379601	379610	14469	134592	134716	134716	Anoplodactylus californicus	True	[]	49	1275	6.98	33.79														29.0	13.0																21.0				
