basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	day	decimalLatitude	decimalLongitude	eventDate	institutionCode	maximumDepthInMeters	minimumDepthInMeters	month	scientificName	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionID	continent	country	dateIdentified	fieldNumber	higherClassification	higherGeography	identifiedBy	institutionID	language	license	locality	locationID	nomenclaturalCode	occurrenceID	preparations	recordedBy	scientificNameAuthorship	specificEpithet	stateProvince	taxonRank	type	verbatimEventDate	verbatimLatitude	verbatimLongitude	superdomain	superdomainid
HumanObservation	USEPA'S EMAP	27396	CAL03	6	33.1619987488	-117.386001587	2003-08-06T12:00:00Z	EMAP_NCA	28.0	28.0	8	Anoplodactylus erectus	urn:lsid:marinespecies.org:taxname:240169	2003	0665f492-bf91-4ad6-9f90-eec145a0795e	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	28.0	1060128000000	1060128000000	1060128000000	2003	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus erectus	2	1065	1274	1302	1358	379601	379610	14469	134592	240169	240169	Anoplodactylus erectus	[]	28	2208	17.73	33.34																											
HumanObservation	USEPA'S EMAP	35712	CAL03	3	33.4280014038	-117.685997009	2003-09-03T12:00:00Z	EMAP_NCA	38.0	38.0	9	Anoplodactylus erectus	urn:lsid:marinespecies.org:taxname:240169	2003	0de2be25-cf26-43f8-9fd0-7fe0ef734862	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	38.0	1062547200000	1062547200000	1062547200000	2003	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus erectus	2	1065	1274	1302	1358	379601	379610	14469	134592	240169	240169	Anoplodactylus erectus	[]	32	2958	17.54	33.42																											
HumanObservation	USEPA'S EMAP	4727	CAL00	19	33.1399993896	-117.330001831	1999-08-19T12:00:00Z	EMAP_NCA		5.6	8	Anoplodactylus erectus	urn:lsid:marinespecies.org:taxname:240169	1999	0f8c26a3-d15f-4364-86d2-b42350e7ef68	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	5.6	935020800000	935020800000	935020800000	1999	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus erectus	2	1065	1274	1302	1358	379601	379610	14469	134592	240169	240169	Anoplodactylus erectus	['ON_LAND']	-17	-927																													
HumanObservation	USEPA'S EMAP	31271	CAL03	20	33.6360015869	-118.197998047	2003-08-20T12:00:00Z	EMAP_NCA	33.0	33.0	8	Anoplodactylus erectus	urn:lsid:marinespecies.org:taxname:240169	2003	11734c93-3f41-4255-b229-2e586931fdc8	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	33.0	1061337600000	1061337600000	1061337600000	2003	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus erectus	2	1065	1274	1302	1358	379601	379610	14469	134592	240169	240169	Anoplodactylus erectus	[]	37	9310	17.19	33.44																											
HumanObservation	USEPA'S EMAP	14531	CAL03	17	32.6310005188	-117.122001648	2003-07-17T12:00:00Z	EMAP_NCA	4.0	4.0	7	Anoplodactylus erectus	urn:lsid:marinespecies.org:taxname:240169	2003	17567206-ccb7-478a-8a64-73b570046efb	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	4.0	1058400000000	1058400000000	1058400000000	2003	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus erectus	2	1065	1274	1302	1358	379601	379610	14469	134592	240169	240169	Anoplodactylus erectus	[]	2	829	17.56	33.18																											
HumanObservation	USEPA'S EMAP	32809	CAL03	21	33.8429985046	-118.396003723	2003-08-21T12:00:00Z	EMAP_NCA	10.0	10.0	8	Anoplodactylus erectus	urn:lsid:marinespecies.org:taxname:240169	2003	1807b8a5-0cc8-479e-903f-0e4eb25aa607	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	10.0	1061424000000	1061424000000	1061424000000	2003	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus erectus	2	1065	1274	1302	1358	379601	379610	14469	134592	240169	240169	Anoplodactylus erectus	[]	-5	101																													
HumanObservation	USEPA'S EMAP	36001	CAL03	3	33.4630012512	-117.70400238	2003-09-03T12:00:00Z	EMAP_NCA	3.0	3.0	9	Anoplodactylus erectus	urn:lsid:marinespecies.org:taxname:240169	2003	1d2a2dc2-0dcc-4799-bcaf-921cd542a61a	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3.0	1062547200000	1062547200000	1062547200000	2003	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus erectus	2	1065	1274	1302	1358	379601	379610	14469	134592	240169	240169	Anoplodactylus erectus	['ON_LAND']	-24	-45	17.54	33.42																											
HumanObservation	USEPA'S EMAP	4777	CAL00	19	33.1399993896	-117.339996338	1999-08-19T12:00:00Z	EMAP_NCA		6.3	8	Anoplodactylus erectus	urn:lsid:marinespecies.org:taxname:240169	1999	259f50c0-ed7b-448b-a0fb-8b2a170145a0	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	6.3	935020800000	935020800000	935020800000	1999	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus erectus	2	1065	1274	1302	1358	379601	379610	14469	134592	240169	240169	Anoplodactylus erectus	['ON_LAND']	-6	-53	17.73	33.34																											
HumanObservation	USEPA'S EMAP	35208	CAL03	2	33.6090011597	-117.904998779	2003-09-02T12:00:00Z	EMAP_NCA	7.0	7.0	9	Anoplodactylus erectus	urn:lsid:marinespecies.org:taxname:240169	2003	26c6a45f-828e-439d-a133-c4a92a66836f	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	7.0	1062460800000	1062460800000	1062460800000	2003	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus erectus	2	1065	1274	1302	1358	379601	379610	14469	134592	240169	240169	Anoplodactylus erectus	['ON_LAND']	-2	-824	17.34	33.44																											
PreservedSpecimen		151894	IZ		25.1333333333	-120.8666666667	1938-09	CAS			9	Anoplodactylus erectus		1938	2859629c-c3a0-4bfb-b627-a8e83dde216d	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']		-988848000000	-987638400000	-986342400000	1938	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus erectus	2	1065	1274	1302	1358	379601	379610	14469	134592	240169	240169	Anoplodactylus erectus	['NO_DEPTH']	4041	485819	19.85	33.88	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States	1939	057634	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Phoxichilidoidea, Phoxichilidiidae	North America, United States	J.W. Hedgpeth	http://grscicoll.org/institution/california-academy-sciences	en	https://creativecommons.org/publicdomain/zero/1.0/	off Cape San Luis.	065e7047-2598-11ed-aace-005056be1b7a	ICZN	urn:catalog:CAS:IZ:151894	Fluid-75% EtOH(4)	CROCKER * STANFORD Sat. #5	Cole, 1904	erectus	California	species	Physical Object	Sep 1938	25° 8' N	120° 52' W	Biota	1.0
