basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinatePrecision	eventDate	date_start	date_mid	date_end	date_year
PreservedSpecimen	P.13657	Pycnogonida	co113	10000	Australia	-43.15	147.85	Phoxichilidiidae	POINT (147.85000 -43.15000)	Anoplodactylus	AM	Animalia	Port Arthur	2017-03-02T11:16:13	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13657	present	Arthropoda	Anoplodactylus evansi	urn:lsid:marinespecies.org:taxname:240391	Female	evansi	species	0011784e-b256-4e0d-8634-1f7c1180831a	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus evansi	2	1065	1274	1302	1358	379601	379610	14469	134592	240391	240391	Anoplodactylus evansi	['NO_DEPTH', 'ON_LAND']	6	-111	14.17	35.26						
PreservedSpecimen	P.49787	Pycnogonida	co113	1000	Australia	-33.86	151.25666	Phoxichilidiidae	POINT (151.25666 -33.86000)	Anoplodactylus	AM	Animalia	Port Jackson, Shark Island	2017-03-02T15:08:30	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.49787	present	Arthropoda	Anoplodactylus evansi	urn:lsid:marinespecies.org:taxname:240391	Male	evansi	species	3afd893e-c185-409b-a6be-0fd8b179789f	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus evansi	2	1065	1274	1302	1358	379601	379610	14469	134592	240391	240391	Anoplodactylus evansi	['NO_DEPTH', 'ON_LAND']	-4	-2432	20.41	35.54	0.009					
PreservedSpecimen	P.42862.001	Pycnogonida	co113	1000	Australia	-41.216	148.29166	Phoxichilidiidae	POINT (148.29166 -41.21600)	Anoplodactylus	AM	Animalia	Bay of Fires, Sloop Reef	2017-03-02T15:57:53	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42862.001	present	Arthropoda	Anoplodactylus evansi	urn:lsid:marinespecies.org:taxname:240391		evansi	species	48caad3c-900e-4f76-81b8-c20db22664b9	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus evansi	2	1065	1274	1302	1358	379601	379610	14469	134592	240391	240391	Anoplodactylus evansi	['NO_DEPTH']	14	581	15.27	35.42	0.009	1991-04-15	671673600000.0	671673600000.0	671673600000.0	1991.0
PreservedSpecimen	P.42862	Pycnogonida	co113	1000	Australia	-41.216	148.29166	Phoxichilidiidae	POINT (148.29166 -41.21600)	Anoplodactylus	AM	Animalia	Bay of Fires, Sloop Reef	2017-03-02T15:57:53	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42862	present	Arthropoda	Anoplodactylus evansi	urn:lsid:marinespecies.org:taxname:240391	Male	evansi	species	89b2ab01-19a4-4c1c-a487-e4d63492d227	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus evansi	2	1065	1274	1302	1358	379601	379610	14469	134592	240391	240391	Anoplodactylus evansi	['NO_DEPTH']	14	581	15.27	35.42	0.009	1991-04-15	671673600000.0	671673600000.0	671673600000.0	1991.0
PreservedSpecimen	P.11268	Pycnogonida	co113	10000	Australia	-29.533	153.35	Phoxichilidiidae	POINT (153.35000 -29.53300)	Anoplodactylus	AM	Animalia	Shelley Beach, near Yamba	2017-03-02T11:19:11	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.11268	present	Arthropoda	Anoplodactylus evansi	urn:lsid:marinespecies.org:taxname:240391	Female	evansi	species	8e178312-33a7-4a9b-96d4-4ad049edca35	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus evansi	2	1065	1274	1302	1358	379601	379610	14469	134592	240391	240391	Anoplodactylus evansi	['NO_DEPTH', 'ON_LAND']	-11	-292	22.59	35.43	0.0896	1940-02-22	-942278400000.0	-942278400000.0	-942278400000.0	1940.0
PreservedSpecimen	G.5174	Pycnogonida	co113	10000	Australia	-33.85	151.266	Phoxichilidiidae	POINT (151.26600 -33.85000)	Anoplodactylus	AM	Animalia	Port Jackson	2017-03-02T13:14:45	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:G.5174	present	Arthropoda	Anoplodactylus evansi	urn:lsid:marinespecies.org:taxname:240391	Female	evansi	species	9695be1c-ccfd-44e3-b51a-c8b59b89af6a	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus evansi	2	1065	1274	1302	1358	379601	379610	14469	134592	240391	240391	Anoplodactylus evansi	['NO_DEPTH', 'ON_LAND']	-2	-1884	20.41	35.54	0.0896					
PreservedSpecimen	P.49749	Pycnogonida	co113	1000	Australia	-33.85166	151.26333	Phoxichilidiidae	POINT (151.26333 -33.85166)	Anoplodactylus	AM	Animalia	Shark Bay, Port Jackson	2017-03-02T15:08:26	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.49749	present	Arthropoda	Anoplodactylus evansi	urn:lsid:marinespecies.org:taxname:240391	Male	evansi	species	a7fa27cb-4b56-403e-94e8-d1c76d3b01ac	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus evansi	2	1065	1274	1302	1358	379601	379610	14469	134592	240391	240391	Anoplodactylus evansi	['NO_DEPTH', 'ON_LAND']	-2	-2116	20.41	35.54	0.009	1995-05-25	801360000000.0	801360000000.0	801360000000.0	1995.0
PreservedSpecimen	P.13658	Pycnogonida	co113	10000	Australia	-34.583	150.866	Phoxichilidiidae	POINT (150.86600 -34.58300)	Anoplodactylus	AM	Animalia	Shell Harbour	2017-03-02T11:16:13	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13658	present	Arthropoda	Anoplodactylus evansi	urn:lsid:marinespecies.org:taxname:240391	Male	evansi	species	ab4b6d26-1347-4b11-8f06-1aed72e6f1b8	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus evansi	2	1065	1274	1302	1358	379601	379610	14469	134592	240391	240391	Anoplodactylus evansi	['NO_DEPTH', 'ON_LAND']	-12	-695	19.99	35.54	0.0896					
PreservedSpecimen	P.12129	Pycnogonida	co113	1000	Australia	-33.86	151.25666	Phoxichilidiidae	POINT (151.25666 -33.86000)	Anoplodactylus	AM	Animalia	Port Jackson, Shark Island	2017-03-02T11:12:09	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.12129	present	Arthropoda	Anoplodactylus evansi	urn:lsid:marinespecies.org:taxname:240391	Male	evansi	species	c3f439c1-a05d-4526-bec0-72e4784938a7	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus evansi	2	1065	1274	1302	1358	379601	379610	14469	134592	240391	240391	Anoplodactylus evansi	['NO_DEPTH', 'ON_LAND']	-4	-2432	20.41	35.54	0.009					
PreservedSpecimen	P.49786	Pycnogonida	co113	1000	Australia	-33.86	151.25666	Phoxichilidiidae	POINT (151.25666 -33.86000)	Anoplodactylus	AM	Animalia	Port Jackson, Shark Island	2017-03-02T15:08:29	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.49786	present	Arthropoda	Anoplodactylus evansi	urn:lsid:marinespecies.org:taxname:240391	Female	evansi	species	d4dba36f-aaff-48b4-a497-7ac62149152f	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus evansi	2	1065	1274	1302	1358	379601	379610	14469	134592	240391	240391	Anoplodactylus evansi	['NO_DEPTH', 'ON_LAND']	-4	-2432	20.41	35.54	0.009					
