associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	195094.150405	Invertebrate Zoology: Crustacea	Japan	14	34.5699996948	138.868331909	observedindividualcount=1;	1969-07-14T12:00:00Z	Nakamura, K., Child, C. Allan	1.0	USNM	juvenile	Honshu Island, Sagami Bay	94.0	76.0	7	Alcohol (Ethanol)	Anoplodactylus gestiens	(Ortmann)	urn:lsid:marinespecies.org:taxname:239702	female	Shizuoka	North Pacific Ocean	1969	0e2ba6e4-d494-46cf-8c33-96b2736b1d5b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	85.0	-14774400000	-14774400000	-14774400000	1969	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus gestiens	2	1065	1274	1302	1358	379601	379610	14469	134592	239702	239702	Anoplodactylus gestiens	[]	89	3966	20.57	34.11
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	195097.150408	Invertebrate Zoology: Crustacea	Japan	18	34.5950012207	138.994995117	observedindividualcount=2;	1969-07-18T12:00:00Z	Nakamura, K., Child, C. Allan	2.0	USNM		Honshu Island, Sagami Bay	256.0	256.0	7	Alcohol (Ethanol)	Anoplodactylus gestiens	(Ortmann)	urn:lsid:marinespecies.org:taxname:239702	female	Shizuoka	North Pacific Ocean	1969	1e69747b-caf2-48de-a2cc-6ec77416ae87	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	256.0	-14428800000	-14428800000	-14428800000	1969	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus gestiens	2	1065	1274	1302	1358	379601	379610	14469	134592	239702	239702	Anoplodactylus gestiens	[]	256	5121	20.53	34.06
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	195200.150462	Invertebrate Zoology: Crustacea	Japan	1	34.9766693115	139.173324585	observedindividualcount=5;	1971-02-01T12:00:00Z	Nakamura, K., Child, C. Allan	5.0	USNM	;; juvenile	Honshu Island, Sagami Bay	300.0	290.0	2	Alcohol (Ethanol)	Anoplodactylus gestiens	(Ortmann)	urn:lsid:marinespecies.org:taxname:239702	male; female; female	Shizuoka	North Pacific Ocean	1971	2acce27e-d6bb-4ec4-b981-60712f9593ce	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	295.0	34214400000	34214400000	34214400000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus gestiens	2	1065	1274	1302	1358	379601	379610	14469	134592	239702	239702	Anoplodactylus gestiens	[]	273	3278	20.23	33.5
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	195099.150410	Invertebrate Zoology: Crustacea	Japan	3	34.8899993896	139.158325195	observedindividualcount=1;	1971-02-03T12:00:00Z	Nakamura, K., Child, C. Allan	1.0	USNM	juvenile	Honshu Island, Sagami Bay	174.0	160.0	2	Alcohol (Ethanol)	Anoplodactylus gestiens	(Ortmann)	urn:lsid:marinespecies.org:taxname:239702	male	Shizuoka	North Pacific Ocean	1971	30800e12-85ef-46e8-b70e-3035f28f231e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	167.0	34387200000	34387200000	34387200000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus gestiens	2	1065	1274	1302	1358	379601	379610	14469	134592	239702	239702	Anoplodactylus gestiens	[]	231	1605	20.25	33.75
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80536.273410	Invertebrate Zoology: Crustacea	Japan	17	35.1669998169	138.832992554	observedindividualcount=1;	1900-05-17T12:00:00Z	Hedgpeth, J. W.	1.0	USNM		Honshu Island, 0.25 Mile NE Of Ose Saki			5	Alcohol (Ethanol)	Anoplodactylus gestiens	(Ortmann)	urn:lsid:marinespecies.org:taxname:239702	male		North Pacific Ocean	1900	5d2986af-a961-40c8-a297-eadd170fc63b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-2197238400000	-2197238400000	-2197238400000	1900	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus gestiens	2	1065	1274	1302	1358	379601	379610	14469	134592	239702	239702	Anoplodactylus gestiens	['NO_DEPTH', 'ON_LAND']	-334	-6107		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80531.273405	Invertebrate Zoology: Crustacea	Japan	8	35.1669998169	138.832992554	observedindividualcount=1;	1900-05-08T12:00:00Z	Hedgpeth, J. W.	1.0	USNM		Honshu Island, 2.5 Mile NE Of Ose Saki	137.0	115.0	5	Alcohol (Ethanol)	Anoplodactylus gestiens	(Ortmann)	urn:lsid:marinespecies.org:taxname:239702	female		North Pacific Ocean	1900	794319c7-daa3-4b77-b56f-3d461d58493c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	126.0	-2198016000000	-2198016000000	-2198016000000	1900	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus gestiens	2	1065	1274	1302	1358	379601	379610	14469	134592	239702	239702	Anoplodactylus gestiens	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-334	-6107		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	195096.150407	Invertebrate Zoology: Crustacea	Japan	17	35.0149993896	139.143325806	observedindividualcount=597;	1969-07-17T12:00:00Z	Nakamura, K., Child, C. Allan	597.0	USNM	;; juvenile	Honshu Island, Sagami Bay	113.0	113.0	7	Alcohol (Ethanol)	Anoplodactylus gestiens	(Ortmann)	urn:lsid:marinespecies.org:taxname:239702	male; female;;	Shizuoka	North Pacific Ocean	1969	a9fdb3b8-aaa3-4972-ab5f-52bc1250cd82	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	113.0	-14515200000	-14515200000	-14515200000	1969	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus gestiens	2	1065	1274	1302	1358	379601	379610	14469	134592	239702	239702	Anoplodactylus gestiens	[]	123	3271	20.11	33.51
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	195098.150409	Invertebrate Zoology: Crustacea	Japan	3	34.8583297729	139.128326416	observedindividualcount=1;	1971-02-03T12:00:00Z	Nakamura, K., Child, C. Allan	1.0	USNM		Honshu Island, Sagami Bay	336.0	315.0	2	Alcohol (Ethanol)	Anoplodactylus gestiens	(Ortmann)	urn:lsid:marinespecies.org:taxname:239702	female	Shizuoka	North Pacific Ocean	1971	b6638046-ed11-4a39-aff5-cadbf269ea3b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	325.5	34387200000	34387200000	34387200000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus gestiens	2	1065	1274	1302	1358	379601	379610	14469	134592	239702	239702	Anoplodactylus gestiens	[]	515	1764	20.25	33.75
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	195095.150406	Invertebrate Zoology: Crustacea	Japan	14	34.6183280945	138.979995728	observedindividualcount=1;	1969-07-14T12:00:00Z	Nakamura, K., Child, C. Allan	1.0	USNM	juvenile	Honshu Island, Sagami Bay	140.0	138.0	7	Alcohol (Ethanol)	Anoplodactylus gestiens	(Ortmann)	urn:lsid:marinespecies.org:taxname:239702	male	Shizuoka	North Pacific Ocean	1969	bb7410c0-25ca-4e84-b2ff-aed2a276d3ba	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	139.0	-14774400000	-14774400000	-14774400000	1969	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus gestiens	2	1065	1274	1302	1358	379601	379610	14469	134592	239702	239702	Anoplodactylus gestiens	[]	126	3441	20.53	34.06
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80534.273408	Invertebrate Zoology: Crustacea	Japan	11	35.1669998169	138.832992554	observedindividualcount=1;	1900-05-11T12:00:00Z	Hedgpeth, J. W.	1.0	USNM		Honshu Island, 1.6 Mile NE Of Ose Saki	124.0	119.0	5	Alcohol (Ethanol)	Anoplodactylus gestiens	(Ortmann)	urn:lsid:marinespecies.org:taxname:239702	female		North Pacific Ocean	1900	cc643571-e209-45e1-9b9e-ee85309b5969	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	121.5	-2197756800000	-2197756800000	-2197756800000	1900	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus gestiens	2	1065	1274	1302	1358	379601	379610	14469	134592	239702	239702	Anoplodactylus gestiens	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-334	-6107		
