associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	sex	stateProvince	typeStatus	datasetID	modified	occurrenceID	occurrenceStatus	superdomain	superdomainid	coordinatePrecision	occurrenceRemarks	verbatimDepth	references	specificEpithet
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	191897.147698	Invertebrate Zoology: Crustacea	United States	4	39.3283309937	-73.0049972534	observedindividualcount=1;	1976-03-04T12:00:00Z	Virginia Institute of Marine Sciences	1.0	USNM	Off New Jersey	72.0	72	3	Alcohol (Ethanol)	Virginia Institute of Marine Sciences	Anoplodactylus iuleus	Stock	urn:lsid:marinespecies.org:taxname:240342	North Atlantic Ocean	1976	033ffa9c-2c7e-47b6-8605-12b978599fb5	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	72.0	194745600000.0	194745600000.0	194745600000.0	1976.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus iuleus	2	1065	1274	1302	1358	379601	379610	14469	134592	240342	240342	Anoplodactylus iuleus	[]	72	104904	15.37	33.26														
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	191896.147697	Invertebrate Zoology: Crustacea	United States	20	38.7366714478	-73.0149993896	observedindividualcount=1;	1976-06-20T12:00:00Z	Virginia Institute of Marine Sciences	1.0	USNM	Off New Jersey	400.0	315	6	Alcohol (Ethanol)	Virginia Institute of Marine Sciences	Anoplodactylus iuleus	Stock	urn:lsid:marinespecies.org:taxname:240342	North Atlantic Ocean	1976	118a5615-bb28-4d18-b82f-8df7739acad9	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	357.5	204076800000.0	204076800000.0	204076800000.0	1976.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus iuleus	2	1065	1274	1302	1358	379601	379610	14469	134592	240342	240342	Anoplodactylus iuleus	[]	432	137736	16.94	34.35														
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	149229.112745	Invertebrate Zoology: Crustacea	United States	16	26.6170005798	-79.75	observedindividualcount=1;	1965-07-16T12:00:00Z	Stock, Jan H.	1.0	USNM	Straits Of Florida, Off Lake Worth	476.0	452	7	Alcohol (Ethanol)		Anoplodactylus iuleus	Stock	urn:lsid:marinespecies.org:taxname:240342	North Atlantic Ocean	1965	491f3ae3-be2c-44b8-a3a8-70aed963143d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	464.0	-140832000000.0	-140832000000.0	-140832000000.0	1965.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus iuleus	2	1065	1274	1302	1358	379601	379610	14469	134592	240342	240342	Anoplodactylus iuleus	[]	484	28471	27.28	36.01	male	Florida	Holotype											
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	191898.147699	Invertebrate Zoology: Crustacea	United States	21	39.2383308411	-72.7799987793	observedindividualcount=1;	1976-08-21T12:00:00Z	Virginia Institute of Marine Sciences	1.0	USNM	Off New Jersey	90.0	90	8	Alcohol (Ethanol)	Virginia Institute of Marine Sciences	Anoplodactylus iuleus	Stock	urn:lsid:marinespecies.org:taxname:240342	North Atlantic Ocean	1976	5dd2f0c7-24b0-462a-8b25-69c9bbd2ba0a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	90.0	209433600000.0	209433600000.0	209433600000.0	1976.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus iuleus	2	1065	1274	1302	1358	379601	379610	14469	134592	240342	240342	Anoplodactylus iuleus	[]	96	126702	15.99	33.68														
	HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_9013	Deep-sea Fauna of European Seas: Pycnogonida			36.4	-48.06		1966/1966			P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	“Atlantis II”, St. 108		4739				Anoplodactylus iuleus	Hodgson, 1914	urn:lsid:marinespecies.org:taxname:379287		1966	81267603-2213-4642-a4bf-37d83802c661	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4739.0	-126230400000.0	-110505600000.0	-94780800000.0	1966.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus iuleus	2	1065	1274	1302	1358	379601	379610	14469	134592	240342	240342	Anoplodactylus maritimus	[]	5281	1213026	21.64	36.33				https://marineinfo.org/id/dataset/5146	2016-03-24 10:26:12	Deepsea_Pycnogonida_9013	present	Biota	1.0					
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-046_C4	B89PII			23.0369167328	-82.928817749			Child, C. A.		HRI	ESE  Gulf of Mexico	476.0	218				Anoplodactylus iuleus	Stock,	urn:lsid:marinespecies.org:taxname:240342	Gulf of Mexico		85876fdc-95a0-431b-8f30-0a3db0638599	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	347.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus iuleus	2	1065	1274	1302	1358	379601	379610	14469	134592	240342	240342	Anoplodactylus iuleus	[]	451	2084	27.7	35.97								Biota	1.0	262350.0	Database description and disclaimer at: http://gulfbase.org/	218-476		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	191894.147695	Invertebrate Zoology: Crustacea	United States	12	38.0750007629	-74.0283279419	observedindividualcount=1;	1976-03-12T12:00:00Z	Virginia Institute of Marine Sciences	1.0	USNM	Off Delaware	105.0	105	3	Alcohol (Ethanol)	Virginia Institute of Marine Sciences	Anoplodactylus iuleus	Stock	urn:lsid:marinespecies.org:taxname:240342	North Atlantic Ocean	1976	ada7a003-bd42-43e7-bdd9-cd4531164608	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	105.0	195436800000.0	195436800000.0	195436800000.0	1976.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus iuleus	2	1065	1274	1302	1358	379601	379610	14469	134592	240342	240342	Anoplodactylus iuleus	[]	103	96376	16.78	34.35														
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Anoplodactylus iuleus</i> Stock, 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240342	sm_id_728	WoRMS type localities		16	26.65	-79.75		1965-07-16			WoRMS Editorial Board	Atlantic Ocean	452.0	476	7			Anoplodactylus iuleus	Stock, 1975	urn:lsid:marinespecies.org:taxname:240342		1965	b8f8aaf8-8917-4777-a6a4-722633f110f2	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	464.0	-140832000000.0	-140832000000.0	-140832000000.0	1965.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus iuleus	2	1065	1274	1302	1358	379601	379610	14469	134592	240342	240342	Anoplodactylus iuleus	['MIN_DEPTH_EXCEEDS_MAX']	481	28451	27.28	36.01			holotype	https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_728	present	Biota	1.0				http://www.marinespecies.org/aphia.php?p=specdetails&id=728	iuleus
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	169751.126632	Invertebrate Zoology: Crustacea	United States	10	30.6716709137	-79.0830001831	observedindividualcount=2;	1963-09-10T12:00:00Z	Child, C. Allan	2.0	USNM	Off Sapelo Island	245.0	245	9	Alcohol (Ethanol)	M. Gray	Anoplodactylus iuleus	Stock	urn:lsid:marinespecies.org:taxname:240342	North Atlantic Ocean	1963	c19bc93d-c9e1-4788-9e1c-2236a9b97cec	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	245.0	-199152000000.0	-199152000000.0	-199152000000.0	1963.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus iuleus	2	1065	1274	1302	1358	379601	379610	14469	134592	240342	240342	Anoplodactylus iuleus	[]	798	218537	26.52	36.16	female	Georgia												
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	191895.147696	Invertebrate Zoology: Crustacea	United States	20	38.7366714478	-73.0149993896	observedindividualcount=2;	1976-06-20T12:00:00Z	Virginia Institute of Marine Sciences	2.0	USNM	Off New Jersey	400.0	315	6	Alcohol (Ethanol)	Virginia Institute of Marine Sciences	Anoplodactylus iuleus	Stock	urn:lsid:marinespecies.org:taxname:240342	North Atlantic Ocean	1976	c3e65172-fcd4-41d3-8b16-7ce4694592ed	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	357.5	204076800000.0	204076800000.0	204076800000.0	1976.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus iuleus	2	1065	1274	1302	1358	379601	379610	14469	134592	240342	240342	Anoplodactylus iuleus	[]	432	137736	16.94	34.35														
