basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	day	dynamicProperties	identifiedBy	individualCount	lifeStage	maximumDepthInMeters	month	preparations	recordedBy	scientificNameAuthorship	waterBody	year	depth	minimumDepthInMeters	organismQuantity	organismQuantityType	superdomain	superdomainid
PreservedSpecimen	P.71958	Pycnogonida	co113	0.8961	100000	Australia	-14.666	145.466	1982-01-13	Phoxichilidiidae	POINT (145.46600 -14.66600)	Anoplodactylus	AM	Animalia	reef off North Point, Lizard Island	2017-03-02T12:36:51	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.71958	present	Arthropoda	Anoplodactylus longiceps	urn:lsid:marinespecies.org:taxname:240033	Male	longiceps	species	105e580f-c2c1-4715-aae4-c94a379598f6	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	379728000000	379728000000	379728000000	1982	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus longiceps	2	1065	1274	1302	1358	379601	379610	14469	134592	240033	240033	Anoplodactylus longiceps	['NO_DEPTH', 'ON_LAND']	-268.11	-809	26.52	34.91																				
PreservedSpecimen	P.42903	Pycnogonida	co113	0.0009	100	Australia	-28.19416	153.57715	1993-06-09	Phoxichilidiidae	POINT (153.57715 -28.19416)	Anoplodactylus	AM	Animalia	Cook Island, South Ledge	2017-03-02T15:58:01	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42903	present	Arthropoda	Anoplodactylus longiceps	urn:lsid:marinespecies.org:taxname:240033	Male	longiceps	species	2b01d898-fa55-4ec9-bc20-ac6c0e7a52d8	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	739584000000	739584000000	739584000000	1993	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus longiceps	2	1065	1274	1302	1358	379601	379610	14469	134592	240033	240033	Anoplodactylus longiceps	['NO_DEPTH']	0.43	95	23.41	35.4																				
PreservedSpecimen	P.43533	Pycnogonida	co113	0.0009	100		-10.57466	143.92132	1993-01-16	Phoxichilidiidae	POINT (143.92132 -10.57466)	Anoplodactylus	AM	Animalia	inside outer barrier, Great Barrier Reef	2017-03-02T16:14:20	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43533	present	Arthropoda	Anoplodactylus longiceps	urn:lsid:marinespecies.org:taxname:240033		longiceps	species	3871b1a3-8ce3-4e40-b7b8-5b85a3404b7d	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	727142400000	727142400000	727142400000	1993	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus longiceps	2	1065	1274	1302	1358	379601	379610	14469	134592	240033	240033	Anoplodactylus longiceps	['NO_DEPTH']	12.56	70434	27.18	34.66																				
PreservedSpecimen	284335.227749	Pycnogonida	Invertebrate Zoology: Crustacea			Tonga	-18.6397209167	-174.066665649	1993-11-18T12:00:00Z	Phoxichilidiidae		Anoplodactylus	USNM	Animalia	Vava'u Group, Vava'u Island, Port Refuge, West Shore Of Island, On Reef Top And Spur And Groove Formations At Shore				Arthropoda	Anoplodactylus longiceps	urn:lsid:marinespecies.org:taxname:240033	male			4e5447d0-c98b-49f5-b0c9-b5774f6d2304	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	753580800000	753580800000	753580800000	1993	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus longiceps	2	1065	1274	1302	1358	379601	379610	14469	134592	240033	240033	Anoplodactylus longiceps	['DEPTH_EXCEEDS_BATH']	-118.0	153	27.05	35.14	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	18	observedindividualcount=1;	Child, C. Allan	1.0	ovigerous	6.0	11	Alcohol (Ethanol)	J. Williams	Stock	South Pacific Ocean	1993	6.0					
PreservedSpecimen	P.71960	Pycnogonida	co113	0.8961	100000	Australia	-14.666	145.466	1982-01-11	Phoxichilidiidae	POINT (145.46600 -14.66600)	Anoplodactylus	AM	Animalia	Lizard Island, North Point	2017-03-02T12:36:51	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.71960	present	Arthropoda	Anoplodactylus longiceps	urn:lsid:marinespecies.org:taxname:240033	Male	longiceps	species	6db0a7a9-14eb-4f40-aa85-352f0f5adeeb	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	379555200000	379555200000	379555200000	1982	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus longiceps	2	1065	1274	1302	1358	379601	379610	14469	134592	240033	240033	Anoplodactylus longiceps	['NO_DEPTH', 'ON_LAND']	-268.11	-809	26.52	34.91																				
PreservedSpecimen	P.43193	Pycnogonida	co113		10000	Australia	-32.0	115.55	1983-12-20	Phoxichilidiidae	POINT (115.55000 -32.00000)	Anoplodactylus	AM	Animalia	Rottnest Island, Thompsons Bay	2017-03-02T16:19:25	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43193	present	Arthropoda	Anoplodactylus longiceps	urn:lsid:marinespecies.org:taxname:240033	Female	longiceps	species	7af821bd-dce0-4532-b9ad-a0dd1a63a247	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	440726400000	440726400000	440726400000	1983	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus longiceps	2	1065	1274	1302	1358	379601	379610	14469	134592	240033	240033	Anoplodactylus longiceps	['NO_DEPTH']	-3.0	131	20.61	35.54																				
PreservedSpecimen	284324.227738	Pycnogonida	Invertebrate Zoology: Crustacea			Tonga	-21.3041706085	-174.43888855	1993-11-03T12:00:00Z	Phoxichilidiidae		Anoplodactylus	USNM	Animalia	Tongatapu Group, Eua Island, NW Shore, In Surge Zone And Spur And Groove				Arthropoda	Anoplodactylus longiceps	urn:lsid:marinespecies.org:taxname:240033	female; male			b0fe12d1-5abf-49bf-8105-b1e065c9b724	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	752284800000	752284800000	752284800000	1993	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus longiceps	2	1065	1274	1302	1358	379601	379610	14469	134592	240033	240033	Anoplodactylus longiceps	[]	2596.0	48613	25.82	35.17	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	3	observedindividualcount=4;	Child, C. Allan	4.0	; ovigerous	9.0	11	Alcohol (Ethanol)	J. Williams	Stock	South Pacific Ocean	1993	9.0					
HumanObservation	F907FCF7-0F99-462D-A1F0-1881D85C9350	Pycnogonida	CReefs - Lizard Island 2009	0.0018	200	Australia	-14.74981	145.5098	2009-02-27	Phoxichilidiidae	POINT (145.50980 -14.74981)	Anoplodactylus	AIMS	Animalia		2018-07-13T09:31:43	F907FCF7-0F99-462D-A1F0-1881D85C9350	present	Arthropoda	Anoplodactylus longiceps	urn:lsid:marinespecies.org:taxname:240033			species	ebe93a2e-aec3-42bd-8ff8-721dadeee5a5	17a7d690-e05d-4054-bb61-77bb3f26ba0a	['2a57cd59-6799-4579-955e-27c9af97aea4']	1235692800000	1235692800000	1235692800000	2009	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus longiceps	2	1065	1274	1302	1358	379601	379610	14469	134592	240033	240033	Anoplodactylus longiceps	[]	39.4	211	26.6	34.92								12.0				Stock, 1951			12.0	12.0	1	individuals	Biota	1.0
PreservedSpecimen	P.59301	Pycnogonida	co113	0.0009	100	Australia	-33.59716	151.311	1994-04-22	Phoxichilidiidae	POINT (151.31100 -33.59716)	Anoplodactylus	AM	Animalia	Pittwater	2017-03-02T15:38:00	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.59301	present	Arthropoda	Anoplodactylus longiceps	urn:lsid:marinespecies.org:taxname:240033		longiceps	species	fb67a864-2498-44a2-b286-1ba6293cb845	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	766972800000	766972800000	766972800000	1994	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus longiceps	2	1065	1274	1302	1358	379601	379610	14469	134592	240033	240033	Anoplodactylus longiceps	['NO_DEPTH', 'ON_LAND']	1.0	-1291	20.31	35.53																				
PreservedSpecimen	P.43092	Pycnogonida	co113	0.009	1000	Australia	-35.15	150.75	1981-06-29	Phoxichilidiidae	POINT (150.75000 -35.15000)	Anoplodactylus	AM	Animalia	south of Jervis Bay, Moes Rock	2017-03-02T16:19:08	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43092	present	Arthropoda	Anoplodactylus longiceps	urn:lsid:marinespecies.org:taxname:240033		longiceps	species	fbdbec0e-f5fd-42b1-a108-a0008bcd0a22	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	362620800000	362620800000	362620800000	1981	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus longiceps	2	1065	1274	1302	1358	379601	379610	14469	134592	240033	240033	Anoplodactylus longiceps	['NO_DEPTH', 'ON_LAND']	-54.0	-883	19.7	35.57																				
