basisOfRecord	catalogNumber	class	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	family	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	order	phylum	scientificName	scientificNameID	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetName	day	eventID	eventRemarks	footprintSRS	language	maximumDepthInMeters	minimumDepthInMeters	month	depth	identifiedBy	parentEventID	recordedBy	samplingProtocol	individualCount	lifeStage	samplingEffort	sex	continent	coordinateUncertaintyInMeters	footprintWKT
Occurrence	22598	Pycnogonida	ScheldtEstuary	Netherlands	https://marineinfo.org/id/dataset/496	51.4935179519	4.16348210905	ObservedWeight=4.5387e-007;	2001	Phoxichilidiidae	Anoplodactylus	CEME	Animalia	Scheldt Estuary	2005-03-01 12:48:23	urn:catalog:CEME:ScheldtEstuary:22598	present	Pantopoda	Arthropoda	Anoplodactylus petiolatus	urn:lsid:marinespecies.org:taxname:134723	2001	00051d9c-9c4d-4696-b6c6-38af26d4761b	bd1e0c2d-d0db-4e95-8f47-b22c08fb7120	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	978307200000	994032000000	1009756800000	2001	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus petiolatus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134723	134723	Anoplodactylus petiolatus	['NO_DEPTH']	-0.8	1292	12.11	30.53																					
Occurrence	RSMP_87439_253009	Pycnogonida			https://marineinfo.org/id/dataset/5922	52.83931	-4.29158		2009-04-20	Phoxichilidiidae	Anoplodactylus	CEFAS	Animalia		2018-04-09 15:18:52	RSMP_87439_253009	present	Pantopoda	Arthropoda	Anoplodactylus petiolatus	urn:lsid:marinespecies.org:taxname:134723	2009	001d7c4e-f69f-48f7-a822-3df1859433bf	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1240185600000	1240185600000	1240185600000	2009	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus petiolatus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134723	134723	Anoplodactylus petiolatus	[]	18.6	6307	11.82	33.97	RSMP Baseline Dataset	20	87439	sample	EPSG:4326	en	0.0	0.0	4	0.0											
Occurrence	MRCED0050005D935	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)		https://marineinfo.org/id/dataset/8016	54.71	-5.768337		2017-05-01	Phoxichilidiidae	Anoplodactylus		Animalia		2022-01-18 09:29:51	MRCED0050005D935	present	Pantopoda	Arthropoda	Anoplodactylus petiolatus	urn:lsid:marinespecies.org:taxname:134723	2017	00402467-873c-4da5-9ebe-ef04ba9c7a94	9651c30a-ea93-4e20-8cce-e9e951d9fe68	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1493596800000	1493596800000	1493596800000	2017	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus petiolatus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134723	134723	Anoplodactylus petiolatus	['NO_DEPTH']	11.8	1108	10.79	34.4	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	1	MRCED00500001717.008	sample	EPSG:4326	en			5		ImportedRecord	MRCED00500001717	Contact: info@nmni.com	MRCED00500000102_METH_001							
Occurrence	RSMP_CES4470708_01A_252290	Pycnogonida			https://marineinfo.org/id/dataset/5922	51.83487	1.51069		2008-07-14	Phoxichilidiidae	Anoplodactylus	CEFAS	Animalia		2018-04-09 15:18:52	RSMP_CES4470708_01A_252290	present	Pantopoda	Arthropoda	Anoplodactylus petiolatus	urn:lsid:marinespecies.org:taxname:134723	2008	00411d66-6269-467e-bd02-34b994ef61bf	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1215993600000	1215993600000	1215993600000	2008	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus petiolatus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134723	134723	Anoplodactylus petiolatus	[]	14.8	15500	12.13	34.22	RSMP Baseline Dataset	14	CES4470708_01A	sample	EPSG:4326	en	17.0	17.0	7	17.0											
Occurrence	RSMP_Z9CA2012_1_253499	Pycnogonida			https://marineinfo.org/id/dataset/5922	53.76042	-4.42332		2012-11-16	Phoxichilidiidae	Anoplodactylus	CEFAS	Animalia		2018-04-09 15:18:52	RSMP_Z9CA2012_1_253499	present	Pantopoda	Arthropoda	Anoplodactylus petiolatus	urn:lsid:marinespecies.org:taxname:134723	2012	0052bdf0-679f-42ae-aca7-7cf415a7cc6b	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1353024000000	1353024000000	1353024000000	2012	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus petiolatus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134723	134723	Anoplodactylus petiolatus	[]	52.4	35202	11.31	33.91	RSMP Baseline Dataset	16	Z9CA2012_1	sample	EPSG:4326	en	62.0	62.0	11	62.0											
Occurrence	AarhusUniversity_zoobenthos_776913	Pycnogonida	Time series of zoobenthos in Danish waters		https://marineinfo.org/id/dataset/4494	55.3371	8.5491		1992-07-27	Phoxichilidiidae	Anoplodactylus	Aarhus University, Department of Bioscience, Marine Ecology Roskilde	Animalia	1620014	2015-07-22 14:03:01	AarhusUniversity_zoobenthos_776913	present	Pantopoda	Arthropoda	Anoplodactylus petiolatus	urn:lsid:marinespecies.org:taxname:134723	1992	005ae3ab-9d69-47a7-bef6-0a1cb51c5861	ec9df3b9-3b2b-4d83-881b-27bcbcd57b95	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	712195200000	712195200000	712195200000	1992	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus petiolatus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134723	134723	Anoplodactylus petiolatus	[]	5.0	4486	10.75	31.75		27	41530				5.0	5.0	7	5.0				Benthos Samplers	4.0	U	0,1 m²	U			
Occurrence	287226352	Pycnogonida	66604	GB	https://marineinfo.org/id/dataset/692	51.69282217785372	-5.06851159958576		1996-10-15/1996-10-15	Phoxichilidiidae	Anoplodactylus	Natural Resources Wales	Animalia	Angle Point. 78.	2014-04-16 15:57:02	urn:catalog:Natural Resources Wales:66604:287226352	present	Pantopoda	Arthropoda	Anoplodactylus petiolatus	urn:lsid:marinespecies.org:taxname:134723	1996	006cd18a-f7ae-40a3-b975-4f4d13509f98	19abb100-fb94-4295-ab17-bb3e58674cf3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	845337600000	845337600000	845337600000	1996	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus petiolatus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134723	134723	Anoplodactylus petiolatus	['NO_DEPTH']	7.2	723	12.12	33.85		15							10										Europe	70.7	
Occurrence	RSMP_96610_253154	Pycnogonida			https://marineinfo.org/id/dataset/5922	51.58171	-3.97353		2014-05-16	Phoxichilidiidae	Anoplodactylus	CEFAS	Animalia		2018-04-09 15:18:52	RSMP_96610_253154	present	Pantopoda	Arthropoda	Anoplodactylus petiolatus	urn:lsid:marinespecies.org:taxname:134723	2014	0082b4cd-d995-40d7-8ac8-9842350e9e37	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1400198400000	1400198400000	1400198400000	2014	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus petiolatus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134723	134723	Anoplodactylus petiolatus	[]	0.6	1384	12.34	32.16	RSMP Baseline Dataset	16	96610	sample	EPSG:4326	en	0.0	0.0	5	0.0											
Occurrence	MRCCW300000005B3	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by NRW		https://marineinfo.org/id/dataset/8017	51.80885	-5.116227		2000-07-17	Phoxichilidiidae	Anoplodactylus		Animalia		2022-01-18 09:29:51	MRCCW300000005B3	present	Pantopoda	Arthropoda	Anoplodactylus petiolatus	urn:lsid:marinespecies.org:taxname:134723	2000	0096cc3b-ba8c-4ed9-a011-3f049488cd5d	df6977ea-a704-4c48-bd46-ebbbb95e0bbc	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	963792000000	963792000000	963792000000	2000	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus petiolatus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134723	134723	Anoplodactylus petiolatus	[]	6.6	786	12.0	34.0	Marine Recorder Snapshot extract of surveys entered by NRW	17	W30000000009.02	sample	EPSG:4326	en	6.80000019		7	6.80000019	Dale Rostron	MRCCW30000000009	Contact: enquiries@naturalresourceswales.gov.uk	MRCCW30000000002_METH_001							LINESTRING (-5.116225 51.8088232, -5.116224 51.808800854)
Occurrence	JNCCMNCR10673350	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by JNCC		https://marineinfo.org/id/dataset/8015	50.24306	-3.758608		1990-10-11	Phoxichilidiidae	Anoplodactylus		Animalia		2022-01-18 09:29:51	JNCCMNCR10673350	present	Pantopoda	Arthropoda	Anoplodactylus petiolatus	urn:lsid:marinespecies.org:taxname:134723	1990	009fa003-07db-46c4-9803-3225a274cacb	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	655603200000	655603200000	655603200000	1990	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus petiolatus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134723	134723	Anoplodactylus petiolatus	['NO_DEPTH', 'ON_LAND']	-20.0	-1276	12.8	34.82	Marine Recorder Snapshot extract of surveys entered by JNCC	11	437.00B.001	sample	EPSG:4326	en			10		NRA South West Region	JNCCMNCR10007919	Contact: MarineRecorder@jncc.gov.uk	JNCCMNCR10000437_METH_001							
