basisOfRecord	catalogNumber	collectionCode	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventRemarks	footprintSRS	identifiedBy	language	modified	month	occurrenceID	occurrenceStatus	parentEventID	recordedBy	samplingProtocol	scientificName	scientificNameID	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	maximumDepthInMeters	minimumDepthInMeters	depth	sst	sss	institutionCode	eventTime	locality	locationID
Occurrence	MRUMU10000023911	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	https://marineinfo.org/id/dataset/8016	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	18	54.1112	-6.283699	2008-06-18	MRUMU10000000F3B.002	sample	EPSG:4326	NIEA/WMU	en	2022-01-18 09:29:51	6	MRUMU10000023911	present	MRUMU10000000F3B	Contact: info@nmni.com	MRUMU100000000BF_METH_001	Anoplodactylus pygmaeus	urn:lsid:marinespecies.org:taxname:134725	2008	00262bfb-9c14-4f06-bb52-b3ff80fc44d8	9651c30a-ea93-4e20-8cce-e9e951d9fe68	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1213747200000	1213747200000	1213747200000	2008	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pygmaeus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134725	134725	Anoplodactylus pygmaeus	['NO_DEPTH']	-15.0	36									
Occurrence	JNCCMNCR10647976	Marine Recorder Snapshot extract of surveys entered by JNCC	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	15	52.99955	0.4599856	1991-08-15	390.048.001	sample	EPSG:4326	National Rivers Authority	en	2022-01-18 09:29:51	8	JNCCMNCR10647976	present	JNCCMNCR10006782	Contact: MarineRecorder@jncc.gov.uk	JNCCMNCR10000390_METH_001	Anoplodactylus pygmaeus	urn:lsid:marinespecies.org:taxname:134725	1991	00b2ef9f-17a7-47dc-9a29-1def8091593c	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	682214400000	682214400000	682214400000	1991	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pygmaeus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134725	134725	Anoplodactylus pygmaeus	[]	11.2	5467	10.3999996	10.3999996	10.3999996	11.03	32.85				
Occurrence	RSMP_86783_930954		https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	1	51.952	1.26769	2011-03-01	86783	sample	EPSG:4326		en	2018-04-09 15:18:52	3	RSMP_86783_930954	present				Anoplodactylus pygmaeus		2011	01af7b3c-62d8-4a2b-8274-f8723f95c877	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1298937600000	1298937600000	1298937600000	2011	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pygmaeus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134725	134725	Anoplodactylus pygmaeus	[]	8.8	281	0.0	0.0	0.0	12.09	34.18	CEFAS			
Occurrence	RSMP_LONARR04_C12b_931000		https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	8	51.42021	1.06247	2004-08-08	LONARR04_C12b	sample	EPSG:4326		en	2018-04-09 15:18:52	8	RSMP_LONARR04_C12b_931000	present				Anoplodactylus pygmaeus		2004	021242f9-7de5-49b3-863c-d502c705cd50	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1091923200000	1091923200000	1091923200000	2004	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pygmaeus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134725	134725	Anoplodactylus pygmaeus	[]	3.0	5688	0.0	0.0	0.0	12.2	34.06	CEFAS			
Occurrence	MRUMU1000002A771	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	https://marineinfo.org/id/dataset/8016	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	8	54.8175	-5.755802	2008-04-08	MRUMU10000000FDF.005	sample	EPSG:4326	NIEA/WMU	en	2022-01-18 09:29:51	4	MRUMU1000002A771	present	MRUMU10000000FDF	Contact: info@nmni.com	MRUMU100000000C4_METH_001	Anoplodactylus pygmaeus	urn:lsid:marinespecies.org:taxname:134725	2008	022b58a9-ce59-42f3-b2d6-3a923ccadd51	9651c30a-ea93-4e20-8cce-e9e951d9fe68	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1207612800000	1207612800000	1207612800000	2008	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pygmaeus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134725	134725	Anoplodactylus pygmaeus	['NO_DEPTH']	-1.0	51				10.79	34.42				
Occurrence	RSMP_89872_930983		https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	18	51.75285	1.01306	2012-06-18	89872	sample	EPSG:4326		en	2018-04-09 15:18:52	6	RSMP_89872_930983	present				Anoplodactylus pygmaeus		2012	02ad69fe-132b-4a65-9c6d-da9899f33caa	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1339977600000	1339977600000	1339977600000	2012	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pygmaeus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134725	134725	Anoplodactylus pygmaeus	[]	1.6	2764	0.0	0.0	0.0	12.14	34.07	CEFAS			
Occurrence	Eco laboratory geochemistry Benthic Environments _QUADRIGE - Coastal monitoring database and product_13869	QUADRIGE - Coastal monitoring database and products, 1974 onwards. (6064)	https://marineinfo.org/id/dataset/6666	QUADRIGE - Coastal monitoring database and products, 1974 onwards. (6064)	22	42.5799	8.7305	2018-03-22T00:00:00	60702666_Eco_laboratory_geochemistry_Benthic_Environments		EPSG:4326		en	2021-03-17 13:34:06	3	Eco laboratory geochemistry Benthic Environments _QUADRIGE - Coastal monitoring database and product_13869	present			Sampling device : Benne Van Veen 0,1 m2 ; Comptage des taxons aprés tamisage 1 mm (maille carré)	Anoplodactylus pygmaeus	urn:lsid:marinespecies.org:taxname:134725	2018	03171fd4-b05c-4178-86d9-0f39ab6cb992	3aa23743-5491-481b-9a70-42a537b61ed2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1521676800000	1521676800000	1521676800000	2018	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pygmaeus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134725	134725	Anoplodactylus pygmaeus	['NO_DEPTH']	39.4	426				18.57	37.94		00:00:00	60004079_BIO_ZooBenthos	http://marineregions.org/mrgid/48690
Occurrence	RSMP_89488_930967		https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	18	51.72658	0.79776	2012-06-18	89488	sample	EPSG:4326		en	2018-04-09 15:18:52	6	RSMP_89488_930967	present				Anoplodactylus pygmaeus		2012	0323f601-7533-4928-bff6-5455d644883c	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1339977600000	1339977600000	1339977600000	2012	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pygmaeus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134725	134725	Anoplodactylus pygmaeus	[]	0.0	841	0.0	0.0	0.0	12.16	34.08	CEFAS			
Occurrence	JNCCMNCR10647712	Marine Recorder Snapshot extract of surveys entered by JNCC	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	15	53.05354	0.4799211	1991-08-15	390.042.001	sample	EPSG:4326	National Rivers Authority	en	2022-01-18 09:29:51	8	JNCCMNCR10647712	present	JNCCMNCR10006801	Contact: MarineRecorder@jncc.gov.uk	JNCCMNCR10000390_METH_001	Anoplodactylus pygmaeus	urn:lsid:marinespecies.org:taxname:134725	1991	040a4b4c-a047-444e-8129-04cf669c79b1	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	682214400000	682214400000	682214400000	1991	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pygmaeus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134725	134725	Anoplodactylus pygmaeus	[]	31.0	9667	28.2999992	28.2999992	28.2999992	11.03	32.91				
Occurrence	JNCCMNCR10682338	Marine Recorder Snapshot extract of surveys entered by JNCC	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	11	51.41623	0.7206765	1993-08-11T08:21:07	482.019.001	sample	EPSG:4326	Tim Hill	en	2022-01-18 09:29:51	8	JNCCMNCR10682338	present	JNCCMNCR10008507	Contact: MarineRecorder@jncc.gov.uk	JNCCMNCR10000482_METH_003	Anoplodactylus pygmaeus	urn:lsid:marinespecies.org:taxname:134725	1993	040d9e18-18da-489f-81d8-9d51eb0dade4	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	745027200000	745027200000	745027200000	1993	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pygmaeus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134725	134725	Anoplodactylus pygmaeus	[]	18.0	67	18.0	18.0	18.0				08:21:07		
