basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	day	decimalLatitude	decimalLongitude	eventDate	institutionCode	minimumDepthInMeters	month	scientificName	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	collectionID	continent	coordinateUncertaintyInMeters	country	countryCode	datasetName	genericName	geodeticDatum	higherClassification	identifiedBy	individualCount	institutionID	locality	locationID	occurrenceID	occurrenceStatus	preparations	recordedBy	samplingProtocol	specificEpithet	taxonRank	verbatimIdentification	waterBody	superdomain	superdomainid	associatedReferences	dynamicProperties	lifeStage	scientificNameAuthorship	sex	stateProvince
HumanObservation	USEPA's Environmental Monitoring and Assessment Program	1427	CAL99	19	33.1450004578	-117.342002869	1999-08-19T12:00:00Z	EMAP_NCA	6.0	8	Anoropallene palpida	urn:lsid:marinespecies.org:taxname:239465	1999	02d6bddf-bb24-4b74-a093-58c2c3dfc2fa	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	6.0	935020800000	935020800000	935020800000	1999	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Anoropallene	Anoropallene palpida	2	1065	1274	1302	1358	379601	379609	1564	236287	239465	239465	Anoropallene palpida	['ON_LAND']	-4	-159	17.73	33.34																																
HumanObservation	USEPA'S EMAP	36517	CAL03	6	33.9659996033	-118.449996948	2003-10-06T12:00:00Z	EMAP_NCA	4.0	10	Anoropallene palpida	urn:lsid:marinespecies.org:taxname:239465	2003	0f0a86c9-a97f-444e-b81e-28e3a5ef6ac3	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	4.0	1065398400000	1065398400000	1065398400000	2003	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Anoropallene	Anoropallene palpida	2	1065	1274	1302	1358	379601	379609	1564	236287	239465	239465	Anoropallene palpida	['ON_LAND']	-12	-808	16.83	33.43	4.0																															
MaterialSample		LACM:DISCO:16332	MBC	21	33.8374	-118.3943	2019-08-21	LACM	13.72	08	Anoropallene palpida	urn:lsid:marinespecies.org:taxname:239465	2019	4d918067-11f9-4ec6-b0f3-f8b9a02fa611	92af50ad-c9d7-4fe7-b012-eae0e77233a2	['b7c47783-a020-4173-b390-7b57c4fa1426']	18.44	1566345600000	1566345600000	1566345600000	2019	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Anoropallene	Anoropallene palpida	2	1065	1274	1302	1358	379601	379609	1564	236287	239465	239465	Anoropallene palpida (Hilton, 1939)	[]	15	323			23.16	urn:uuid:3f7f32da-cb96-4064-919e-8118eac80047	NORTH_AMERICA	10	United States of America	US	LAUOE	Anoropallene	WGS84	Animalia | Arthropoda | Chelicerata | Pycnogonida | Pantopoda | Callipallenidae | Anoropallene	D. Cadien	1	urn:lsid:biocol.org:col:34802	California, Los Angeles County, Redondo Beach, Veteran's Park	82EA1C70-40D3-4680-AB6C-D83E12A43B52	32F21A8F-31A9-4D58-B3EA-5D6D7594D880	present	Generally fixed and preserved in 95% ethanol, some specimens in formalin	CSUF Whaler | R. Walter | S. Wiedrick	SCUBA, hand dredge, hand	palpida	species	Anoropallene palpida	North Pacific Ocean	Biota	1.0						
MaterialSample		LACM:DISCO:16148	MBC	22	33.7966	-118.411	2019-08-22	LACM	4.6	08	Anoropallene palpida	urn:lsid:marinespecies.org:taxname:239465	2019	674e3489-0b4c-45bc-835f-93f5bddd4d2f	92af50ad-c9d7-4fe7-b012-eae0e77233a2	['b7c47783-a020-4173-b390-7b57c4fa1426']	6.1	1566432000000	1566432000000	1566432000000	2019	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Anoropallene	Anoropallene palpida	2	1065	1274	1302	1358	379601	379609	1564	236287	239465	239465	Anoropallene palpida (Hilton, 1939)	[]	6	200			7.6	urn:uuid:3f7f32da-cb96-4064-919e-8118eac80047	NORTH_AMERICA	10	United States of America	US	LAUOE	Anoropallene	WGS84	Animalia | Arthropoda | Chelicerata | Pycnogonida | Pantopoda | Callipallenidae | Anoropallene	D. Cadien	1	urn:lsid:biocol.org:col:34802	California, Los Angeles County, Palos Verdes Peninsula, Flat Rock	52B97C4A-98AB-4C5A-A2D1-8BA425F194E3	A206DC6E-B783-4DFB-8FE4-32E298CECC9A	present	Generally fixed and preserved in 95% ethanol, some specimens in formalin	Giant Stride | T. Turner | B. Cummings | J. Whelpley	SCUBA	palpida	species	Anoropallene palpida	North Pacific Ocean	Biota	1.0						
HumanObservation	USEPA'S EMAP	36577	CAL03	6	33.966999054	-118.447998047	2003-10-06T12:00:00Z	EMAP_NCA	3.0	10	Anoropallene palpida	urn:lsid:marinespecies.org:taxname:239465	2003	71014f34-ebc0-4695-979b-b4adeee3ef2d	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3.0	1065398400000	1065398400000	1065398400000	2003	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Anoropallene	Anoropallene palpida	2	1065	1274	1302	1358	379601	379609	1564	236287	239465	239465	Anoropallene palpida	['ON_LAND']	-3	-1015	16.83	33.43	3.0																															
HumanObservation	USEPA'S EMAP	21958	CAL03	23	34.1829986572	-119.353996277	2003-07-23T12:00:00Z	EMAP_NCA	28.0	7	Anoropallene palpida	urn:lsid:marinespecies.org:taxname:239465	2003	780831a1-a9c8-480e-afa8-5b25c9632bf9	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	28.0	1058918400000	1058918400000	1058918400000	2003	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Anoropallene	Anoropallene palpida	2	1065	1274	1302	1358	379601	379609	1564	236287	239465	239465	Anoropallene palpida	[]	27	9460	15.85	33.45	28.0																															
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	169215.126080	Invertebrate Zoology: Crustacea	13	8.96700000763	-79.516998291	1972-04-13T12:00:00Z	USNM		4	Anoropallene palpida	urn:lsid:marinespecies.org:taxname:239465	1972	b6776e6e-8f8c-40cd-b9df-7114df63f693	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		71971200000	71971200000	71971200000	1972	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Anoropallene	Anoropallene palpida	2	1065	1274	1302	1358	379601	379609	1564	236287	239465	239465	Anoropallene palpida	['NO_DEPTH']	-1	288	27.59	31.05					Panama						Child, C. Allan	27.0		Panama Bay, Paitilla Point				Alcohol (Ethanol)	M. Jones, W. Byas & D. Pawson					North Pacific Ocean			National Museum of Natural History, Smithsonian Institution	observedindividualcount=27;	;; juvenile	(Hilton)	male; female;;	Canal Zone
HumanObservation	USEPA'S EMAP	4779	CAL00	19	33.1399993896	-117.339996338	1999-08-19T12:00:00Z	EMAP_NCA	6.3	8	Anoropallene palpida	urn:lsid:marinespecies.org:taxname:239465	1999	b7fd2394-6c6a-482b-b8ff-8655155fc71c	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	6.3	935020800000	935020800000	935020800000	1999	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Anoropallene	Anoropallene palpida	2	1065	1274	1302	1358	379601	379609	1564	236287	239465	239465	Anoropallene palpida	['ON_LAND']	-6	-53	17.73	33.34																																
HumanObservation	USEPA'S EMAP	36425	CAL03	6	33.9630012512	-118.455001831	2003-10-06T12:00:00Z	EMAP_NCA	3.0	10	Anoropallene palpida	urn:lsid:marinespecies.org:taxname:239465	2003	d3e9758e-26fd-4c0c-95b5-6057bbd0ddb6	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3.0	1065398400000	1065398400000	1065398400000	2003	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Anoropallene	Anoropallene palpida	2	1065	1274	1302	1358	379601	379609	1564	236287	239465	239465	Anoropallene palpida	['ON_LAND']	-3	-250	16.83	33.43	3.0																															
HumanObservation	USEPA'S EMAP	20464	CAL03	22	34.1349983215	-119.194000244	2003-07-22T12:00:00Z	EMAP_NCA	11.0	7	Anoropallene palpida	urn:lsid:marinespecies.org:taxname:239465	2003	f7c082be-3040-4e19-82ea-18b28fd11345	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	11.0	1058832000000	1058832000000	1058832000000	2003	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Anoropallene	Anoropallene palpida	2	1065	1274	1302	1358	379601	379609	1564	236287	239465	239465	Anoropallene palpida	[]	1573	531	16.08	33.45	11.0																															
