basisOfRecord	collectionCode	day	decimalLatitude	decimalLongitude	eventDate	institutionCode	minimumDepthInMeters	month	occurrenceID	occurrenceRemarks	occurrenceStatus	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	catalogNumber	coordinateUncertaintyInMeters	datasetID	datasetName	eventID	eventTime	fieldNumber	footprintSRS	identifiedBy	language	locality	maximumDepthInMeters	modified	samplingProtocol	specificEpithet	depth	superdomain	superdomainid	bibliographicCitation	footprintWKT	continent
HumanObservation	2006B3	1	82.5749969482	22.9500007629	1955-10-1	ArcOD		10	15453	;;134618;Litke	present	Koltun V. M.	Ascorhynchus abyssi	Sars, 1877	urn:lsid:marinespecies.org:taxname:134618	1955	0f9881d6-dc2a-40ee-95b7-c271c4733491	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	-449798400000	-449798400000	-449798400000	1955	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus abyssi	2	1065	1274	1302	1358	379601	379608	379788	134571	134618	134618	Ascorhynchus abyssi	['DEPTH_OUT_OF_RANGE', 'NO_DEPTH']	3934.0	198395	-1.59	33.86																					
HumanObservation	bio_dba	1	74.0	-3.0	1975-07-01T00:00:00+00:00		3595.0	7	Ifremer_bio_dba_35942		present	LAUBIER Lucien	Ascorhynchus abyssi		urn:lsid:marinespecies.org:taxname:134618	1975	17e59096-0654-4b50-ba53-25c3b5461070	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	173404800000	173404800000	173404800000	1975	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus abyssi	2	1065	1274	1302	1358	379601	379608	379788	134571	134618	134618	Ascorhynchus abyssi	[]	3490.4	356026	1.59	34.43	35942	50.0	https://marineinfo.org/id/dataset/490	Bigood	Sanders epibenthic sledge_197571_DS/E-15_NA	00:00:00+00:00	DS/E-15	EPSG:4326	STOCK Jan	en	Mer de Norvege	3595.0	2022-01-18 09:29:51	Sanders epibenthic sledge	abyssi	3595.0	Biota	1.0			
HumanObservation	bio_dba	1	69.0	10.0	1975-07-01T00:00:00+00:00		2930.0	7	Ifremer_bio_dba_32526		present	LAUBIER Lucien	Ascorhynchus abyssi		urn:lsid:marinespecies.org:taxname:134618	1975	1812848e-4082-4fd3-8411-31dc399e8750	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	173404800000	173404800000	173404800000	1975	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus abyssi	2	1065	1274	1302	1358	379601	379608	379788	134571	134618	134618	Ascorhynchus abyssi	[]	2999.0	156557	8.29	35.07	32526		https://marineinfo.org/id/dataset/490	Bigood	Beam trawl_197571_CP / CPH-9_NA	00:00:00+00:00	CP / CPH-9	EPSG:4326	STOCK Jan	en	Mer de Norvege	2930.0	2022-01-18 09:29:51	Beam trawl	abyssi	2930.0	Biota	1.0			
HumanObservation	bio_dba	1	73.0	-13.0	1975-07-01T00:00:00+00:00		2470.0	7	Ifremer_bio_dba_35855		present	LAUBIER Lucien	Ascorhynchus abyssi		urn:lsid:marinespecies.org:taxname:134618	1975	1891d6a8-303c-42a4-aa37-17e0bf4c0883	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	173404800000	173404800000	173404800000	1975	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus abyssi	2	1065	1274	1302	1358	379601	379608	379788	134571	134618	134618	Ascorhynchus abyssi	[]	2633.0	239793	0.61	33.65	35855	50.0	https://marineinfo.org/id/dataset/490	Bigood	Sanders epibenthic sledge_197571_DS/E-18_NA	00:00:00+00:00	DS/E-18	EPSG:4326	STOCK Jan	en	Mer de Norvege	2470.0	2022-01-18 09:29:51	Sanders epibenthic sledge	abyssi	2470.0	Biota	1.0			
HumanObservation	Deep-sea Fauna of European Seas: Pycnogonida		79.73	88.15	1993/1993	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	3039.0		Deepsea_Pycnogonida_8978		present		Ascorhynchus abyssi	Sars, 1877	urn:lsid:marinespecies.org:taxname:134618	1993	30f4d2fe-fad5-4786-8287-b116e13613ba	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	725846400000	741571200000	757296000000	1993	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus abyssi	2	1065	1274	1302	1358	379601	379608	379788	134571	134618	134618	Ascorhynchus abyssi	['DEPTH_EXCEEDS_BATH']	100.0	51856	-1.28	33.62	Deepsea_Pycnogonida_8978		https://marineinfo.org/id/dataset/5146								“Polarstern”, St. 54	3081.0	2016-03-24 10:26:12			3060.0	Biota	1.0	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	LINESTRING (119.9395 79.73333, 56.36667 79.73333)	
HumanObservation	bio_dba	1	66.0	-2.0	1975-07-01T00:00:00+00:00		3369.0	7	Ifremer_bio_dba_32581		present	LAUBIER Lucien	Ascorhynchus abyssi		urn:lsid:marinespecies.org:taxname:134618	1975	36a73e92-5847-43cb-9040-641632e05ab5	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	173404800000	173404800000	173404800000	1975	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus abyssi	2	1065	1274	1302	1358	379601	379608	379788	134571	134618	134618	Ascorhynchus abyssi	[]	3305.0	455587	7.11	35.0	32581		https://marineinfo.org/id/dataset/490	Bigood	Beam trawl_197571_CP / CPH-5_NA	00:00:00+00:00	CP / CPH-5	EPSG:4326	STOCK Jan	en	Mer de Norvege	3369.0	2022-01-18 09:29:51	Beam trawl	abyssi	3369.0	Biota	1.0			
HumanObservation	2006B3	3	82.6620025635	38.5	1955-10-3	ArcOD		10	15455	;;134618;Litke	present	Koltun V. M.	Ascorhynchus abyssi	Sars, 1877	urn:lsid:marinespecies.org:taxname:134618	1955	39005bec-8051-494e-a5de-ddb8f9b67335	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	-449625600000	-449625600000	-449625600000	1955	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus abyssi	2	1065	1274	1302	1358	379601	379608	379788	134571	134618	134618	Ascorhynchus abyssi	['DEPTH_OUT_OF_RANGE', 'NO_DEPTH']	2764.0	244212	-1.55	33.46																					
Occurrence	IMRMarbunnBenthos	7	69.05883	12.50211	2009-10-07T18:51:00+00:00/2009-10-07T20:45:00+00:00	IMR	2536.0	10	048780152016006		present		Ascorhynchus abyssi	Sars, 1877	urn:lsid:marinespecies.org:taxname:134618	2009	3f2476cf-bf4d-469a-bf85-eea6894d7b9f	d556b9d4-7625-4aa2-894d-441eabae47f7	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1254873600000	1254873600000	1254873600000	2009	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus abyssi	2	1065	1274	1302	1358	379601	379608	379788	134571	134618	134618	Ascorhynchus abyssi	[]	2563.2	80545	8.4	34.94	048780152016006		https://marineinfo.org/id/dataset/4539	grab_2006-2022	Cruise: 58GS-2009111 Sample: 152	18:51:00+00:00/20:45:00+00:00	catchId: 6				MAREANO Reference Station: 487	2537.17	2024-05-23 10:35:05	Large VV grab,Subsample method: Sieve content - Mesh size (mm): 1.0		2536.585	Biota	1.0			Norwegian Sea
Occurrence	IMRMarbunnBenthos	10	69.729333	15.189	2009-10-10T09:26:00+00:00/2009-10-10T09:41:00+00:00	IMR	2240.79	10	048810379009043		present		Ascorhynchus abyssi	Sars, 1877	urn:lsid:marinespecies.org:taxname:134618	2009	408cfbd7-ea5f-444f-a12b-b768e454e36a	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1255132800000	1255132800000	1255132800000	2009	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus abyssi	2	1065	1274	1302	1358	379601	379608	379788	134571	134618	134618	Ascorhynchus abyssi	[]	2246.6	55995	8.2	34.84	048810379009043		https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	Cruise: 58GS-2009111 Sample: 379	09:26:00+00:00/09:41:00+00:00	catchId: 43				MAREANO Reference Station: 488	2244.69	2024-05-23 10:35:05	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0		2242.74	Biota	1.0		LINESTRING(15.189 69.729333,15.185167 69.7355)	Norwegian Sea
Occurrence	IMRMarbunnBenthos	2	68.18436	10.338713	2012-05-02T06:50:00+00:00/2012-05-02T06:56:00+00:00	IMR	873.1	5	077610004004016		present		Ascorhynchus abyssi	Sars, 1877	urn:lsid:marinespecies.org:taxname:134618	2012	41f80e89-9854-447c-a85b-ed93529676af	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1335916800000	1335916800000	1335916800000	2012	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus abyssi	2	1065	1274	1302	1358	379601	379608	379788	134571	134618	134618	Ascorhynchus abyssi	[]	873.2	100910	8.7	34.83	077610004004016		https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	Cruise: 58GS-2012106 Sample: 4	06:50:00+00:00/06:56:00+00:00	catchId: 16				MAREANO Reference Station: 776	875.58	2024-05-23 10:35:05	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0		874.34	Biota	1.0		LINESTRING(10.338713 68.18436,10.331773 68.184117)	Norwegian Sea
