basisOfRecord	catalogNumber	class	collectionCode	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventTime	family	fieldNumber	footprintSRS	genus	identifiedBy	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	recordedBy	samplingProtocol	scientificName	scientificNameID	specificEpithet	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	dynamicProperties	individualCount	institutionCode	preparations	scientificNameAuthorship	sex	stateProvince	waterBody	coordinateUncertaintyInMeters	footprintWKT	geodeticDatum	organismQuantity	organismQuantityType	recordNumber	taxonRank
HumanObservation	48424	Pycnogonida	bio_dba	https://marineinfo.org/id/dataset/490	Bigood	5	20.0	-18.0	1991-02-05T00:00:00+00:00	Beam trawl_199125_CP / CPH-3_NA	00:00:00+00:00	Ascorhynchidae	CP / CPH-3	EPSG:4326	Ascorhynchus	STOCK Jan	Animalia	en	Atlantique est tropical	2114.0	2114.0	2022-01-18 09:29:51	2	Ifremer_bio_dba_48424	present	Pantopoda	Arthropoda	SIBUET Myriam	Beam trawl	Ascorhynchus armatus	urn:lsid:marinespecies.org:taxname:134620	armatus	1991	0a3d49bd-dd2d-4e72-9f64-250f71a5e377	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2114.0	665712000000	665712000000	665712000000	1991	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus armatus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	134620	134620	Ascorhynchus armatus	['DEPTH_EXCEEDS_BATH']	1843	130864	21.58	36.01																		
PreservedSpecimen	8212.274389	Pycnogonida	Invertebrate Zoology: Crustacea			20	39.5830001831	-71.3125	1884-08-20T12:00:00Z			Ascorhynchidae			Ascorhynchus	Smith, S. I.	Animalia		S Of Block Island	1962.0	1962.0		8			Pantopoda	Arthropoda			Ascorhynchus armatus	urn:lsid:marinespecies.org:taxname:134620		1884	10a534ed-0128-4ed0-930f-9a16878ccc2f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1962.0	-2693865600000	-2693865600000	-2693865600000	1884	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus armatus		2	1065	1274	1302	1358	379601	379608	379788	134571	134620	134620	Ascorhynchus armatus	[]	2206	168642	17.06	34.79	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States	observedindividualcount=1;	1.0	USNM	Alcohol (Ethanol)	(Wilson)	female	Rhode Island	North Atlantic Ocean							
PreservedSpecimen	42842.257046	Pycnogonida	Invertebrate Zoology: Crustacea			3	41.716999054	-65.3638916016	1883-09-03T12:00:00Z			Ascorhynchidae			Ascorhynchus	Verrill, Addison E.	Animalia		Georges Bank	2394.0	2394.0		9			Pantopoda	Arthropoda			Ascorhynchus armatus	urn:lsid:marinespecies.org:taxname:134620		1883	13dc288a-95bd-4ffb-a89a-c5d9d6acd717	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2394.0	-2724278400000	-2724278400000	-2724278400000	1883	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus armatus		2	1065	1274	1302	1358	379601	379608	379788	134571	134620	134620	Ascorhynchus armatus	['DEPTH_EXCEEDS_BATH']	2090	187192	12.66	32.63	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States	observedindividualcount=2;	2.0	USNM	Alcohol (Ethanol)	(Wilson)		Massachusetts	North Atlantic Ocean							
PreservedSpecimen	154653.118068	Pycnogonida	Invertebrate Zoology: Crustacea			28	38.8829994202	-72.6774978638	1975-07-28T12:00:00Z			Ascorhynchidae			Ascorhynchus	Child, C. Allan	Animalia		Off Maryland	1475.0	1375.0		7			Pantopoda	Arthropoda			Ascorhynchus armatus	urn:lsid:marinespecies.org:taxname:134620		1975	1a0fb24d-1716-4557-a57e-7079bdd43700	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1425.0	175737600000	175737600000	175737600000	1975	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus armatus		2	1065	1274	1302	1358	379601	379608	379788	134571	134620	134620	Ascorhynchus armatus	[]	1415	153942	17.09	34.48	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States	observedindividualcount=1;	1.0	USNM	Alcohol (Ethanol)	(Wilson)			North Atlantic Ocean							
HumanObservation	48419	Pycnogonida	bio_dba	https://marineinfo.org/id/dataset/490	Bigood	5	20.0	-18.0	1992-06-05T00:00:00+00:00	Beam trawl_199265_CP / CPH-16_NA	00:00:00+00:00	Ascorhynchidae	CP / CPH-16	EPSG:4326	Ascorhynchus	STOCK Jan	Animalia	en	Atlantique est tropical	2042.0	2042.0	2022-01-18 09:29:51	6	Ifremer_bio_dba_48419	present	Pantopoda	Arthropoda	BUAT Menard Patrick	Beam trawl	Ascorhynchus armatus	urn:lsid:marinespecies.org:taxname:134620	armatus	1992	2f8e8c57-9479-4ae5-949f-584a7d749fa9	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2042.0	707702400000	707702400000	707702400000	1992	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus armatus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	134620	134620	Ascorhynchus armatus	[]	1843	130864	21.58	36.01																		
PreservedSpecimen	MIIC-04784	Pycnogonida	MIIC				-43.2365	147.49	2015-10-23 00:00			Ascorhynchidae	IN2015_C01-001		Ascorhynchus	Karen Gowlett-Holmes	Animalia			815.7	815.7	2023-07-11T05:57:33		urn:csiro:MIIC:MIIC-04784	present	Pantopoda	Arthropoda	Karen Gowlett-Holmes		Ascorhynchus armatus	urn:lsid:marinespecies.org:taxname:134620			467a136b-d506-416a-8937-31f17fac23e1	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	815.7	1445558400000	1445558400000	1445558400000	2015	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus armatus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	134620	134620	Ascorhynchus armatus (Wilson, 1881)	['DEPTH_EXCEEDS_BATH']	49	4627	13.92	35.24		CSIRO Marine Invertebrate Image Collection (MIIC)				CSIRO		(Wilson, 1881)				200	POINT (147.49000 -43.23650)	EPSG:4326	1	individuals	IN2015_C01_001_101	species
HumanObservation	48426	Pycnogonida	bio_dba	https://marineinfo.org/id/dataset/490	Bigood	6	20.0	-18.0	1991-02-06T00:00:00+00:00	Beam trawl_199126_CP / CPH-4_NA	00:00:00+00:00	Ascorhynchidae	CP / CPH-4	EPSG:4326	Ascorhynchus	STOCK Jan	Animalia	en	Atlantique est tropical	2003.0	2003.0	2022-01-18 09:29:51	2	Ifremer_bio_dba_48426	present	Pantopoda	Arthropoda	SIBUET Myriam	Beam trawl	Ascorhynchus armatus	urn:lsid:marinespecies.org:taxname:134620	armatus	1991	51b08ce3-6861-43c0-80c6-c82bd7348868	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2003.0	665798400000	665798400000	665798400000	1991	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus armatus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	134620	134620	Ascorhynchus armatus	[]	1843	130864	21.58	36.01																		
PreservedSpecimen	80846.273572	Pycnogonida	Invertebrate Zoology: Crustacea			24	36.5670013428	-73.8000030518	1886-10-24T12:00:00Z			Ascorhynchidae			Ascorhynchus	Hedgpeth, J. W.	Animalia		Off Coast	2513.0	2513.0		10			Pantopoda	Arthropoda			Ascorhynchus armatus	urn:lsid:marinespecies.org:taxname:134620		1886	5f1b5359-783c-495a-81ec-1736f961454d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2513.0	-2625177600000	-2625177600000	-2625177600000	1886	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus armatus		2	1065	1274	1302	1358	379601	379608	379788	134571	134620	134620	Ascorhynchus armatus	[]	2733	176833	21.51	35.92	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States	observedindividualcount=1;	1.0	USNM	Alcohol (Ethanol)	(Wilson)		Maryland	North Atlantic Ocean							
PreservedSpecimen	151498.114896	Pycnogonida	Invertebrate Zoology: Crustacea			17	36.5600013733	-74.0124969482	1974-11-17T12:00:00Z			Ascorhynchidae			Ascorhynchus	Child, C. Allan	Animalia		Norfolk Canyon	2460.0	2372.0		11			Pantopoda	Arthropoda			Ascorhynchus armatus	urn:lsid:marinespecies.org:taxname:134620		1974	7031d0f5-8f9c-4737-9c7e-45f7c404e1ab	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2416.0	153878400000	153878400000	153878400000	1974	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus armatus		2	1065	1274	1302	1358	379601	379608	379788	134571	134620	134620	Ascorhynchus armatus	[]	2484	159137	20.83	35.81	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010		observedindividualcount=1;	1.0	USNM	Alcohol (Ethanol)	(Wilson)	male		North Atlantic Ocean							
PreservedSpecimen	32172.252943	Pycnogonida	Invertebrate Zoology: Crustacea			27	41.4749984741	-65.5916671753	1886-08-27T12:00:00Z			Ascorhynchidae			Ascorhynchus	Smith, S. I.	Animalia		Off Georges Bank	2173.0	2173.0		8			Pantopoda	Arthropoda			Ascorhynchus armatus	urn:lsid:marinespecies.org:taxname:134620		1886	8a0e7963-1801-4776-b297-b5f6a17bec92	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2173.0	-2630188800000	-2630188800000	-2630188800000	1886	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus armatus		2	1065	1274	1302	1358	379601	379608	379788	134571	134620	134620	Ascorhynchus armatus	[]	2260	212919	13.04	32.81	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010		observedindividualcount=2;	2.0	USNM	Alcohol (Ethanol)	(Wilson)			North Atlantic Ocean							
