associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	dateIdentified	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	fieldNumber	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	sex	stateProvince	continent	countryCode	datasetName	eventID	geodeticDatum	language	occurrenceID	occurrenceStatus	specificEpithet	taxonRank	county	lifeStage
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	221040.175026	Invertebrate Zoology: Crustacea	United States	1985-01-11	6	30.6166706085	-81.1783294678	observedindividualcount=1;	1980-02-06T12:00:00Z	805024	Dojiri, Masahiro	1.0	USNM	Off Florida	20.0	20.0	2	Alcohol (Ethanol)	Georgia Marine Resources For Minerals Management Service/Bureau Land Management BLM/ MMS	Ascorhynchus castellioides	Stock	urn:lsid:marinespecies.org:taxname:239537	North Atlantic Ocean	1980	0ba5d4ce-403d-4677-a954-9f8b881bf911	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	20.0	318643200000	318643200000	318643200000	1980	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus castellioides	2	1065	1274	1302	1358	379601	379608	379788	134571	239537	239537	Ascorhynchus castellioides	[]	21	24707	22.56	36.06														
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	123139.87831	Invertebrate Zoology: Crustacea	United States		10	30.6830005646	-80.266998291	observedindividualcount=1;	1956-03-10T12:00:00Z		Child, C. Allan	1.0	USNM	E Of Jacksonville			3	Alcohol (Ethanol)		Ascorhynchus castellioides	Stock	urn:lsid:marinespecies.org:taxname:239537	North Atlantic Ocean	1956	0c8a0d97-a316-4763-9c2e-11491adaf38a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-435888000000	-435888000000	-435888000000	1956	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus castellioides	2	1065	1274	1302	1358	379601	379608	379788	134571	239537	239537	Ascorhynchus castellioides	['NO_DEPTH']	40	110829	24.87	36.23	male	Florida												
	HumanObservation				Venezuela			10.983568	-64.157809		2012		Claudina Mata								Claudina Mata	Ascorhynchus castellioides		urn:lsid:marinespecies.org:taxname:239537	Caribbean Sea		1764558f-9df2-4dfc-b927-880df2099d4c	a4f4931f-7036-47db-9a59-a89fac1501af	['8385435b-bcf5-4bec-b827-8b480163d479']		1325376000000	1341100800000	1356912000000	2012	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus castellioides	2	1065	1274	1302	1358	379601	379608	379788	134571	239537	239537	Ascorhynchus castellioides	['NO_DEPTH']	-2	585	26.2	36.11			South America	VE	biodiversidad-larestinga	BMLR_VT_TGECAM_CM_E2	WGS84	en	BMLR_VT_TGECAM_CM_E2_SP2	present	castellioides	species		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180154.136110	Invertebrate Zoology: Crustacea	United States		21	27.6833305359	-80.1083297729	observedindividualcount=1;	1977-03-21T12:00:00Z		Child, C. Allan	1.0	USNM	Bethel Shoals	28.0	28.0	3	Alcohol (Ethanol)		Ascorhynchus castellioides	Stock	urn:lsid:marinespecies.org:taxname:239537	North Atlantic Ocean	1977	1817fc8f-d83d-421e-a7d8-99b0f31055ff	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	28.0	227750400000	227750400000	227750400000	1977	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus castellioides	2	1065	1274	1302	1358	379601	379608	379788	134571	239537	239537	Ascorhynchus castellioides	[]	31	23928	25.71	36.16	female	Florida											St. Lucie County	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	232723.184820	Invertebrate Zoology: Crustacea	United States		12	31.6849994659	-80.3466720581	observedindividualcount=1;	1981-08-12T12:00:00Z	815061	Child, C. Allan	1.0	USNM	Off Georgia	26.0	26.0	8	Alcohol (Ethanol)	Georgia Marine Resources For Minerals Management Service/Bureau Land Management BLM/ MMS	Ascorhynchus castellioides	Stock	urn:lsid:marinespecies.org:taxname:239537	North Atlantic Ocean	1981	1fe62a4c-1c26-4c42-8ff6-59e0d8726df4	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	26.0	366422400000	366422400000	366422400000	1981	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus castellioides	2	1065	1274	1302	1358	379601	379608	379788	134571	239537	239537	Ascorhynchus castellioides	[]	29	58092	22.83	36.01														
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	232725.184822	Invertebrate Zoology: Crustacea	United States		5	31.6849994659	-80.3466720581	observedindividualcount=1;	1981-11-05T12:00:00Z	815078	Child, C. Allan	1.0	USNM	Off Georgia	27.0	27.0	11	Alcohol (Ethanol)	Georgia Marine Resources For Minerals Management Service/Bureau Land Management BLM/ MMS	Ascorhynchus castellioides	Stock	urn:lsid:marinespecies.org:taxname:239537	North Atlantic Ocean	1981	344773d8-8f11-4560-954d-8aad6f979dd4	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	27.0	373766400000	373766400000	373766400000	1981	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus castellioides	2	1065	1274	1302	1358	379601	379608	379788	134571	239537	239537	Ascorhynchus castellioides	[]	29	58092	22.83	36.01														
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	195314.150579	Invertebrate Zoology: Crustacea	United States		24	32.5099983215	-78.8169403076	observedindividualcount=1;	1978-09-24T12:00:00Z		Child, C. Allan	1.0	USNM	James Island	49.5	47.0	9	Alcohol (Ethanol)	BLM/ MMS	Ascorhynchus castellioides	Stock	urn:lsid:marinespecies.org:taxname:239537	North Atlantic Ocean	1978	40228c7d-5d2c-4ed7-8ae8-3d8d4808a382	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	48.25	275443200000	275443200000	275443200000	1978	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus castellioides	2	1065	1274	1302	1358	379601	379608	379788	134571	239537	239537	Ascorhynchus castellioides	[]	45	75294	24.08	36.18	female	Georgia												
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	168773.125626	Invertebrate Zoology: Crustacea	Colombia		8	12.1986103058	-72.1916732788	observedindividualcount=1;	1939-04-08T12:00:00Z		Child, C. Allan	1.0	USNM	S Of Cabo La Vela	42.0	38.0	4	Alcohol (Ethanol)		Ascorhynchus castellioides	Stock	urn:lsid:marinespecies.org:taxname:239537	North Atlantic Ocean	1939	428f8200-f948-4c80-b170-38b6e77351f5	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	40.0	-969926400000	-969926400000	-969926400000	1939	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus castellioides	2	1065	1274	1302	1358	379601	379608	379788	134571	239537	239537	Ascorhynchus castellioides	[]	23	1108	26.33	36.45														juvenile
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	232724.184821	Invertebrate Zoology: Crustacea	United States		28	32.8216705322	-78.6616668701	observedindividualcount=1;	1981-10-28T12:00:00Z	815069	Child, C. Allan	1.0	USNM	Off South Carolina	33.0	33.0	10	Alcohol (Ethanol)	South Carolina Marine Resources For  BLM/ MMS	Ascorhynchus castellioides	Stock	urn:lsid:marinespecies.org:taxname:239537	North Atlantic Ocean	1981	4a6ab877-c137-41a1-8544-55f457bdbf9a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	33.0	373075200000	373075200000	373075200000	1981	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus castellioides	2	1065	1274	1302	1358	379601	379608	379788	134571	239537	239537	Ascorhynchus castellioides	[]	34	62951	23.74	36.17														
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	232722.184819	Invertebrate Zoology: Crustacea	United States		3	32.8266716003	-78.6600036621	observedindividualcount=1;	1981-11-03T12:00:00Z	810447	Child, C. Allan	1.0	USNM	Off South Carolina	34.0	34.0	11	Alcohol (Ethanol)	South Carolina Marine Resources For  BLM/ MMS	Ascorhynchus castellioides	Stock	urn:lsid:marinespecies.org:taxname:239537	North Atlantic Ocean	1981	ada2ae41-e8c6-4580-86c1-ab8e664ded9b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	34.0	373593600000	373593600000	373593600000	1981	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus castellioides	2	1065	1274	1302	1358	379601	379608	379788	134571	239537	239537	Ascorhynchus castellioides	[]	35	62730	23.74	36.17														
