basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	associatedReferences	bibliographicCitation	day	dynamicProperties	identifiedBy	individualCount	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificNameAuthorship	stateProvince	waterBody	year	depth
PreservedSpecimen	P.42943	Pycnogonida	co113	0.0896	10000	-33.60833	151.49166	1986-02-10	Ascorhynchidae	POINT (151.49166 -33.60833)	Ascorhynchus	AM	Animalia	south-east of Broken Bay	2017-03-02T15:58:08	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42943	present	Arthropoda	Ascorhynchus minutus	urn:lsid:marinespecies.org:taxname:239835	Male	minutum	species	126b16eb-73be-4b60-837b-1da206194b4c	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	508377600000.0	508377600000.0	508377600000.0	1986.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus minutus	2	1065	1274	1302	1358	379601	379608	379788	134571	239835	239835	Ascorhynchus minutum	['NO_DEPTH']	68.0	11717	20.43	35.53																
PreservedSpecimen	P.11530	Pycnogonida	co113	0.0896	10000	-37.066	149.9	1943-10-08	Ascorhynchidae	POINT (149.90000 -37.06600)	Ascorhynchus	AM	Animalia	Eden	2017-03-02T11:19:50	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.11530	present	Arthropoda	Ascorhynchus minutus	urn:lsid:marinespecies.org:taxname:239835		minutum	species	12fecef4-51a8-4af8-a780-58a4985670dd	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-827884800000.0	-827884800000.0	-827884800000.0	1943.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus minutus	2	1065	1274	1302	1358	379601	379608	379788	134571	239835	239835	Ascorhynchus minutum	['NO_DEPTH', 'ON_LAND']	-37.0	-380	17.99	35.56	Australia															
PreservedSpecimen	P.14493	Pycnogonida	co113	0.8961	100000	-34.066	151.25	1943-07-24	Ascorhynchidae	POINT (151.25000 -34.06600)	Ascorhynchus	AM	Animalia	8km east of Port Hacking	2017-03-02T11:18:12	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.14493	present	Arthropoda	Ascorhynchus minutus	urn:lsid:marinespecies.org:taxname:239835		minutum	species	14568d58-5ac4-41ab-bcc7-d412f01d9f04	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-834451200000.0	-834451200000.0	-834451200000.0	1943.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus minutus	2	1065	1274	1302	1358	379601	379608	379788	134571	239835	239835	Ascorhynchus minutum	['NO_DEPTH']	87.0	4013	20.48	35.54	Australia															
PreservedSpecimen	P.13699	Pycnogonida	co113	0.0896	10000	-37.066	149.966	1943-10-08	Ascorhynchidae	POINT (149.96600 -37.06600)	Ascorhynchus	AM	Animalia	6km off Eden	2017-03-02T11:16:20	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13699	present	Arthropoda	Ascorhynchus minutus	urn:lsid:marinespecies.org:taxname:239835	Female	minutum	species	1b352f41-e56f-419d-bcee-483b1686700b	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-827884800000.0	-827884800000.0	-827884800000.0	1943.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus minutus	2	1065	1274	1302	1358	379601	379608	379788	134571	239835	239835	Ascorhynchus minutum	['NO_DEPTH']	45.0	2042	18.09	35.56	Australia															
PreservedSpecimen	P.45167	Pycnogonida	co113	0.0896	10000	-19.94249	117.88999	1983-10-26	Ascorhynchidae	POINT (117.88999 -19.94249)	Ascorhynchus	AM	Animalia	North West Shelf	2017-03-02T15:51:19	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.45167	present	Arthropoda	Ascorhynchus minutus	urn:lsid:marinespecies.org:taxname:239835	Male	minutum	species	5f9557d2-b074-4ee1-8da5-e791fe63b2e8	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	435974400000.0	435974400000.0	435974400000.0	1983.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus minutus	2	1065	1274	1302	1358	379601	379608	379788	134571	239835	239835	Ascorhynchus minutum	['NO_DEPTH']	43.0	53206	26.78	34.64																
PreservedSpecimen	P.43182	Pycnogonida	co113		10000	-23.783	151.633	1946-09-02	Ascorhynchidae	POINT (151.63300 -23.78300)	Ascorhynchus	AM	Animalia	Curtis Channel, Port Curtis	2017-03-02T16:19:23	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43182	present	Arthropoda	Ascorhynchus minutus	urn:lsid:marinespecies.org:taxname:239835		minutum	species	64f28e1b-b7e8-45fb-b061-07f4a4ac4789	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-736300800000.0	-736300800000.0	-736300800000.0	1946.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus minutus	2	1065	1274	1302	1358	379601	379608	379788	134571	239835	239835	Ascorhynchus minutum	['NO_DEPTH']	32.41	21216	23.59	35.42																
PreservedSpecimen	P.42790	Pycnogonida	co113	0.0896	10000	-33.60833	151.49166	1986-02-10	Ascorhynchidae	POINT (151.49166 -33.60833)	Ascorhynchus	AM	Animalia	south-east of Broken Bay	2017-03-02T15:57:40	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42790	present	Arthropoda	Ascorhynchus minutus	urn:lsid:marinespecies.org:taxname:239835	Female	minutum	species	65f79f7d-5fff-4e9c-b914-8dba45a5ad1a	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	508377600000.0	508377600000.0	508377600000.0	1986.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus minutus	2	1065	1274	1302	1358	379601	379608	379788	134571	239835	239835	Ascorhynchus minutum	['NO_DEPTH']	68.0	11717	20.43	35.53																
PreservedSpecimen	P.13698	Pycnogonida	co113	0.0896	10000	-37.266	150.15		Ascorhynchidae	POINT (150.15000 -37.26600)	Ascorhynchus	AM	Animalia	8 km off Green Cape	2017-03-02T11:16:20	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13698	present	Arthropoda	Ascorhynchus minutus	urn:lsid:marinespecies.org:taxname:239835	Male	minutum	species	661f8146-d319-4772-8b4d-b5109fd46398	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus minutus	2	1065	1274	1302	1358	379601	379608	379788	134571	239835	239835	Ascorhynchus minutum	['NO_DEPTH']	96.0	8618	17.96	35.57																
PreservedSpecimen	149250.112766	Pycnogonida	Invertebrate Zoology: Crustacea			-22.6830005646	113.650001526	1968-08-23T12:00:00Z	Ascorhynchidae		Ascorhynchus	USNM	Animalia	Bay, N Side Of Point Cloates, Below North West Cape, Reef				Arthropoda	Ascorhynchus minutus	urn:lsid:marinespecies.org:taxname:239835	female			702bed68-990e-4d24-bfd7-65aa815eb83c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-42854400000.0	-42854400000.0	-42854400000.0	1968.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus minutus	2	1065	1274	1302	1358	379601	379608	379788	134571	239835	239835	Ascorhynchus minutum	[]	12.0	2680	25.27	34.86	Australia	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	23	observedindividualcount=1;	Child, C. Allan	1.0	4.0	4.0	8	Alcohol (Ethanol)	Hoek	Western Australia	Indian Ocean	1968	4.0
PreservedSpecimen	P.11529	Pycnogonida	co113	0.0896	10000	-37.066	149.966	1943-10-08	Ascorhynchidae	POINT (149.96600 -37.06600)	Ascorhynchus	AM	Animalia	6km off Eden	2017-03-02T11:19:50	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.11529	present	Arthropoda	Ascorhynchus minutus	urn:lsid:marinespecies.org:taxname:239835	Female	minutum	species	777b4409-6ce1-42fa-8660-d23483b5da1c	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-827884800000.0	-827884800000.0	-827884800000.0	1943.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus minutus	2	1065	1274	1302	1358	379601	379608	379788	134571	239835	239835	Ascorhynchus minutum	['NO_DEPTH']	45.0	2042	18.09	35.56	Australia															
