associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	coordinatePrecision	decimalLatitude	decimalLongitude	identifiedBy	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	scientificName	scientificNameAuthorship	scientificNameID	verbatimDepth	waterBody	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	day	dynamicProperties	eventDate	individualCount	month	preparations	sex	year	date_start	date_mid	date_end	date_year	dateIdentified	fieldNumber	recordedBy	lifeStage	stateProvince	coordinateUncertaintyInMeters	datasetID	footprintWKT	modified	occurrenceID	occurrenceStatus	references	specificEpithet	typeStatus
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-009_C4	B89PII	262350.0	23.0369167328	-82.928817749	Child, C. A.	HRI	ESE  Gulf of Mexico	2223	333	Database description and disclaimer at: http://gulfbase.org/	Ascorhynchus ovicoxa	Stock,	urn:lsid:marinespecies.org:taxname:240398	333-2223	Gulf of Mexico	14e7479a-500c-4390-9697-d81ea36804f5	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1278	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus ovicoxa	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	240398	240398	Ascorhynchus ovicoxa	['DEPTH_EXCEEDS_BATH']	451	2084	27.7	35.97																											
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	189213.144982	Invertebrate Zoology: Crustacea		27.7583293915	-78.4800033569	Child, C. Allan	USNM	N Of Little Bahama Bank	965	965		Ascorhynchus ovicoxa	Stock	urn:lsid:marinespecies.org:taxname:240398		North Atlantic Ocean	24d78c85-8f96-4bea-bb2f-a9db62b13a7a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	965	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus ovicoxa		2	1065	1274	1302	1358	379601	379608	379788	134571	240398	240398	Ascorhynchus ovicoxa	[]	946	54288	26.26	36.24	Bahamas	6	observedindividualcount=2;	1974-02-06T12:00:00Z	2.0	2	Alcohol (Ethanol)	female	1974	129340800000.0	129340800000.0	129340800000.0	1974.0														
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	174781.131548	Invertebrate Zoology: Crustacea		29.6336097717	-79.9666671753	Child, C. Allan	USNM	Off Florida	485	485		Ascorhynchus ovicoxa	Stock	urn:lsid:marinespecies.org:taxname:240398		North Atlantic Ocean	401322d5-7060-4447-9bfb-ea12737f1ac6	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	485	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus ovicoxa		2	1065	1274	1302	1358	379601	379608	379788	134571	240398	240398	Ascorhynchus ovicoxa	[]	571	110192	26.65	36.09	United States	19	observedindividualcount=1;	1977-05-19T12:00:00Z	1.0	5	Alcohol (Ethanol)	male	1977	232848000000.0	232848000000.0	232848000000.0	1977.0	1978-06-06	0570-4	Texas Instruments Inc. for BLM / MMS											
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1011376.797643	Invertebrate Zoology		28.2633304596	-86.6161117554	Child, C. Allan	USNM	off Florida	847	847		Ascorhynchus ovicoxa	Stock	urn:lsid:marinespecies.org:taxname:240398		North Atlantic Ocean	4c95c52c-1cc9-4f1b-a02c-9ddef1922cc5	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	847	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus ovicoxa		2	1065	1274	1302	1358	379601	379608	379788	134571	240398	240398	Ascorhynchus ovicoxa	[]	863	198628	25.66	35.5	United States	20	observedindividualcount=1;	1985-05-20T12:00:00Z	1.0	5	Alcohol (Ethanol)		1985	485395200000.0	485395200000.0	485395200000.0	1985.0		MMS-NGOMCS/4434	LGL Ecological Research Associates For BLM/ MMS	Juvenile	Florida									
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1011377.797644	Invertebrate Zoology		27.4627799988	-89.7850036621	Child, C. Allan	USNM	off Louisiana	1482	1482		Ascorhynchus ovicoxa	Stock	urn:lsid:marinespecies.org:taxname:240398		North Atlantic Ocean	546e734d-fd55-431f-badd-9d3b63ff85aa	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1482	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus ovicoxa		2	1065	1274	1302	1358	379601	379608	379788	134571	240398	240398	Ascorhynchus ovicoxa	[]	1466	166918	26.02	35.7	United States	16	observedindividualcount=1;	1984-11-16T12:00:00Z	1.0	11	Alcohol (Ethanol)		1984	469411200000.0	469411200000.0	469411200000.0	1984.0		MMS-NGOMCS/3023	LGL Ecological Research Associates For BLM/ MMS	larvae	Louisiana									
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ascorhynchus ovicoxa</i> Stock, 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240398	sm_id_815	WoRMS type localities		27.134999999999998	-79.75999999999999		WoRMS Editorial Board	Atlantic Ocean	393	403		Ascorhynchus ovicoxa	Stock, 1975	urn:lsid:marinespecies.org:taxname:240398			637c80c7-57c4-4c42-a227-dd4412751c9b	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	398	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus ovicoxa	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	240398	240398	Ascorhynchus ovicoxa	['MIN_DEPTH_EXCEEDS_MAX']	405	35458	27.02	36.02		16		1965-07-16		7			1965	-140832000000.0	-140832000000.0	-140832000000.0	1965.0						1938.3	https://marineinfo.org/id/dataset/5184	POLYGON ((-79.77 27.12, -79.77 27.15, -79.75 27.15, -79.75 27.12, -79.77 27.12))	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_815	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=815	ovicoxa	holotype
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180396.136346	Invertebrate Zoology: Crustacea		32.2633285522	-64.5266723633	Child, C. Allan	USNM	Bermuda Slope, N Of Bermuda	2223	2095		Ascorhynchus ovicoxa	Stock	urn:lsid:marinespecies.org:taxname:240398		North Atlantic Ocean	6b23bc20-e6f0-45bf-8274-bf9e6d872267	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2159	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus ovicoxa		2	1065	1274	1302	1358	379601	379608	379788	134571	240398	240398	Ascorhynchus ovicoxa	[]	2294	14994	23.41	36.52	Bermuda	19	observedindividualcount=1;	1966-08-19T12:00:00Z	1.0	8	Alcohol (Ethanol)	female	1966	-106358400000.0	-106358400000.0	-106358400000.0	1966.0														
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180160.136116	Invertebrate Zoology: Crustacea		26.7849998474	-79.7883300781	Child, C. Allan	USNM	Straits Of Florida, E Of Palm Beach	410	410		Ascorhynchus ovicoxa	Stock	urn:lsid:marinespecies.org:taxname:240398		North Atlantic Ocean	6c7b4e68-2b41-4e2d-89da-b0196ad30721	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	410	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus ovicoxa		2	1065	1274	1302	1358	379601	379608	379788	134571	240398	240398	Ascorhynchus ovicoxa	[]	397	24107	27.15	36.01	United States	23	observedindividualcount=4;	1974-01-23T12:00:00Z	4.0	1	Alcohol (Ethanol)	male;;	1974	128131200000.0	128131200000.0	128131200000.0	1974.0				; juvenile	Florida									
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	222006.175960	Invertebrate Zoology: Crustacea		27.4549999237	-79.7916717529	Child, C. Allan	USNM	Off Fort Pierce	329	329		Ascorhynchus ovicoxa	Stock	urn:lsid:marinespecies.org:taxname:240398		North Atlantic Ocean	8925f12a-2217-44ea-91a9-bd4c90614711	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	329	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus ovicoxa		2	1065	1274	1302	1358	379601	379608	379788	134571	240398	240398	Ascorhynchus ovicoxa	[]	349	45344	26.77	36.03	United States	2	observedindividualcount=2;	1981-04-02T12:00:00Z	2.0	4	Alcohol (Ethanol)	female;;	1981	355017600000.0	355017600000.0	355017600000.0	1981.0				; larvae	Florida									
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-009_C5	B89PII	365460.0	24.06275177	-86.5610198975	Child, C. A.	HRI	ESE  Gulf of Mexico	2223	333	Database description and disclaimer at: http://gulfbase.org/	Ascorhynchus ovicoxa	Stock,	urn:lsid:marinespecies.org:taxname:240398	333-2223	Gulf of Mexico	9d87dcd9-3a7f-4d2f-a301-64e6873918e2	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1278	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus ovicoxa	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	240398	240398	Ascorhynchus ovicoxa	['DEPTH_EXCEEDS_BATH']	1273	278802	27.75	35.93																											
