associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	coordinatePrecision	decimalLatitude	decimalLongitude	identifiedBy	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	scientificName	scientificNameAuthorship	scientificNameID	verbatimDepth	waterBody	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	day	dynamicProperties	eventDate	individualCount	month	preparations	sex	year	date_start	date_mid	date_end	date_year	typeStatus	datasetID	modified	occurrenceID	occurrenceStatus	references	specificEpithet
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-010_A3	B89PII	335290.0	29.9289264679	-86.8768081665	Child, C. A.	HRI	NNE Gulf of Mexico	2195	101	Database description and disclaimer at: http://gulfbase.org/	Ascorhynchus pararmatus	Stock,	urn:lsid:marinespecies.org:taxname:239514	101-2195	Gulf of Mexico	1563b744-74cf-4d57-b3d1-36b1ad47a042	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1148.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pararmatus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	239514	239514	Ascorhynchus pararmatus	['DEPTH_EXCEEDS_BATH']	148	48974	24.4	33.04																				
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-010_A4	B89PII	336520.0	29.4725894928	-87.1689300537	Child, C. A.	HRI	NNE Gulf of Mexico	2195	101	Database description and disclaimer at: http://gulfbase.org/	Ascorhynchus pararmatus	Stock,	urn:lsid:marinespecies.org:taxname:239514	101-2195	Gulf of Mexico	19d14fb1-4b4a-4f1f-ac8d-155870164b81	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1148.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pararmatus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	239514	239514	Ascorhynchus pararmatus	['DEPTH_EXCEEDS_BATH']	421	94218	24.97	33.3																				
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-010_B5	B89PII	192380.0	26.7211151123	-84.9392242432	Child, C. A.	HRI	ENE Gulf of Mexico	2195	101	Database description and disclaimer at: http://gulfbase.org/	Ascorhynchus pararmatus	Stock,	urn:lsid:marinespecies.org:taxname:239514	101-2195	Gulf of Mexico	58a318d0-27fd-4bc3-bc0a-cecf9ea45320	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1148.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pararmatus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	239514	239514	Ascorhynchus pararmatus	['DEPTH_EXCEEDS_BATH']	1805	235179	26.42	35.99																				
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	154663.118078	Invertebrate Zoology: Crustacea		24.1329994202	-80.1500015259	Child, C. Allan	USNM	Straits Of Florida, N Of Cay Sal Bank	366	329		Ascorhynchus pararmatus	Stock	urn:lsid:marinespecies.org:taxname:239514		North Atlantic Ocean	5c58c554-7235-47c4-8328-db4513785596	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	347.5	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pararmatus		2	1065	1274	1302	1358	379601	379608	379788	134571	239514	239514	Ascorhynchus pararmatus	[]	312	23249	27.58	36.04	United States	2	observedindividualcount=1;	1960-11-02T12:00:00Z	1.0	11	Alcohol (Ethanol)	female	1960	-289180800000.0	-289180800000.0	-289180800000.0	1960.0							
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	154664.118079	Invertebrate Zoology: Crustacea		26.6499996185	-79.5	Child, C. Allan	USNM	Straits Of Florida, Off Palm Beach	732	732		Ascorhynchus pararmatus	Stock	urn:lsid:marinespecies.org:taxname:239514		North Atlantic Ocean	6d1ddc26-7dc3-42cb-99ea-491b6f5d255d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	732.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pararmatus		2	1065	1274	1302	1358	379601	379608	379788	134571	239514	239514	Ascorhynchus pararmatus	[]	779	48974	27.32	36.03	United States	10	observedindividualcount=1;	1960-11-10T12:00:00Z	1.0	11	Alcohol (Ethanol)	male	1960	-288489600000.0	-288489600000.0	-288489600000.0	1960.0							
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	149232.112748	Invertebrate Zoology: Crustacea		27.4916706085	-78.625	Stock, Jan H.	USNM	N Of Little Bahama Bank	496	435		Ascorhynchus pararmatus	Stock	urn:lsid:marinespecies.org:taxname:239514		North Atlantic Ocean	744e1bc6-798a-40c7-a42d-d3e989ee4281	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	465.5	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pararmatus		2	1065	1274	1302	1358	379601	379608	379788	134571	239514	239514	Ascorhynchus pararmatus	[]	517	31578	26.52	36.24		5	observedindividualcount=1;	1964-02-05T12:00:00Z	1.0	2	Alcohol (Ethanol)	male	1964	-186364800000.0	-186364800000.0	-186364800000.0	1964.0	Holotype						
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-010_A5	B89PII	233200.0	27.7368030548	-88.2854156494	Child, C. A.	HRI	NNE Gulf of Mexico	2195	101	Database description and disclaimer at: http://gulfbase.org/	Ascorhynchus pararmatus	Stock,	urn:lsid:marinespecies.org:taxname:239514	101-2195	Gulf of Mexico	8ca06e58-b857-419b-befe-7b40b06274a1	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1148.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pararmatus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	239514	239514	Ascorhynchus pararmatus	[]	2524	160896	26.05	35.72																				
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ascorhynchus pararmatus</i> Stock, 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239514	sm_id_816	WoRMS type localities		27.49	-78.63		WoRMS Editorial Board	Atlantic Ocean	496	485		Ascorhynchus pararmatus	Stock, 1975	urn:lsid:marinespecies.org:taxname:239514			9019ed40-6c44-4dd9-ab72-ae5aa0bd2721	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	490.5	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pararmatus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	239514	239514	Ascorhynchus pararmatus	[]	492	31753	26.52	36.24		5		1964-02-05		2			1964	-186364800000.0	-186364800000.0	-186364800000.0	1964.0	holotype	https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_816	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=816	pararmatus
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	172295.129149	Invertebrate Zoology: Crustacea		26.1170005798	-78.5683288574	Stock, Jan H.	USNM	Northwest Providence Channel	591	591		Ascorhynchus pararmatus	Stock	urn:lsid:marinespecies.org:taxname:239514		North Atlantic Ocean	a098ba80-e67e-4361-8709-9189e400a9c8	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	591.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pararmatus		2	1065	1274	1302	1358	379601	379608	379788	134571	239514	239514	Ascorhynchus pararmatus	[]	663	43109	26.92	36.28	Bahamas	27	observedindividualcount=1;	1973-09-27T12:00:00Z	1.0	9	Alcohol (Ethanol)		1973	117936000000.0	117936000000.0	117936000000.0	1973.0							
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-010_C5	B89PII	365460.0	24.06275177	-86.5610198975	Child, C. A.	HRI	ESE  Gulf of Mexico	2195	101	Database description and disclaimer at: http://gulfbase.org/	Ascorhynchus pararmatus	Stock,	urn:lsid:marinespecies.org:taxname:239514	101-2195	Gulf of Mexico	a2d5e624-5086-45b9-9c3b-c3053e54dc27	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1148.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pararmatus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	239514	239514	Ascorhynchus pararmatus	['DEPTH_EXCEEDS_BATH']	1273	278802	27.75	35.93																				
