associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	coordinatePrecision	decimalLatitude	decimalLongitude	identifiedBy	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	scientificName	scientificNameAuthorship	scientificNameID	verbatimDepth	waterBody	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	day	dynamicProperties	eventDate	individualCount	month	preparations	sex	year	date_start	date_mid	date_end	date_year	country	recordedBy	lifeStage	stateProvince
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-011_B3	B89PII	234990.0	26.9666690826	-84.1912689209	Child, C. A.	HRI	ENE Gulf of Mexico	811.0	32.0	Database description and disclaimer at: http://gulfbase.org/	Ascorhynchus pyrginospinus	McCloskey,	urn:lsid:marinespecies.org:taxname:240422	32-811	Gulf of Mexico	0454679f-d4d1-447d-865e-c754a7ec5104	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	421.5	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pyrginospinus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	606980	606980	Ascorhynchus pyrginospinum	['DEPTH_EXCEEDS_BATH']	121	156242	25.82	35.95																
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	181048.136999	Invertebrate Zoology: Crustacea		39.90832901	-70.5833282471	Child, C. Allan	USNM	North American Slope	509.0	467.0		Ascorhynchus pyrginospinus	Mccloskey	urn:lsid:marinespecies.org:taxname:240422		North Atlantic Ocean	05b69400-4b13-478a-8136-08f1209cba04	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	488.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pyrginospinus		2	1065	1274	1302	1358	379601	379608	379788	134571	606980	606980	Ascorhynchus pyrginospinum	[]	506	150313	16.15	34.22	23	observedindividualcount=1;	1962-05-23T12:00:00Z	1.0	5	Alcohol (Ethanol)	male	1962	-240192000000.0	-240192000000.0	-240192000000.0	1962.0				
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	191903.147704	Invertebrate Zoology: Crustacea		39.2333297729	-72.8000030518	Virginia Institute of Marine Sciences	USNM	Off New Jersey	90.0	90.0		Ascorhynchus pyrginospinus	Mccloskey	urn:lsid:marinespecies.org:taxname:240422		North Atlantic Ocean	09a62ee9-a60f-4bf4-87c1-bcd4d61b58c4	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	90.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pyrginospinus		2	1065	1274	1302	1358	379601	379608	379788	134571	606980	606980	Ascorhynchus pyrginospinum	[]	89	125438	15.99	33.68	24	observedindividualcount=2;	1977-03-24T12:00:00Z	2.0	3	Alcohol (Ethanol)		1977	228009600000.0	228009600000.0	228009600000.0	1977.0	United States	Virginia Institute of Marine Sciences		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	191932.147733	Invertebrate Zoology: Crustacea		38.7350006104	-73.2450027466	Virginia Institute of Marine Sciences	USNM	Off New Jersey	84.0	84.0		Ascorhynchus pyrginospinus	Mccloskey	urn:lsid:marinespecies.org:taxname:240422		North Atlantic Ocean	0e18d440-1ba8-4426-94aa-59d2185459e9	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	84.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pyrginospinus		2	1065	1274	1302	1358	379601	379608	379788	134571	606980	606980	Ascorhynchus pyrginospinum	[]	88	121938	16.67	34.05	18	observedindividualcount=1;	1976-03-18T12:00:00Z	1.0	3	Alcohol (Ethanol)		1976	195955200000.0	195955200000.0	195955200000.0	1976.0	United States	Virginia Institute of Marine Sciences		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	191921.147722	Invertebrate Zoology: Crustacea		38.7849998474	-73.4566726685	Virginia Institute of Marine Sciences	USNM	Off New Jersey	66.0	66.0		Ascorhynchus pyrginospinus	Mccloskey	urn:lsid:marinespecies.org:taxname:240422		North Atlantic Ocean	1905d1f2-dbfd-49c7-a315-864b9fae3f80	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	66.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pyrginospinus		2	1065	1274	1302	1358	379601	379608	379788	134571	606980	606980	Ascorhynchus pyrginospinum	[]	66	104261	15.92	33.56	17	observedindividualcount=1;	1976-06-17T12:00:00Z	1.0	6	Alcohol (Ethanol)		1976	203817600000.0	203817600000.0	203817600000.0	1976.0	United States	Virginia Institute of Marine Sciences		
	HumanObservation	US National Oceanographic Data Center. 2011. South Texas Outer Continental Shelf (STOCS) and Mississippi, Alabama, and Florida (MAFLA) Outer Continental Shelf study benthic organism sampling programs 1974-1978. US National Oceanographic Data Center. Silver Spring, Maryland, USA. Retrieve from http://obisusa.nbii.gov.		FLORIDA STATE MAFLA OCS data	10000.0	29.8913993835	-88.2052993774		BOEMRE					Ascorhynchus pyrginospinus		urn:lsid:marinespecies.org:taxname:240422		Gulf of Mexico	192816e4-410e-45e7-9540-71d03d375855	982d4bc2-c3f1-4018-befd-ed34b101e4b1	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pyrginospinus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	606980	606980	Ascorhynchus pyrginospinum	['NO_DEPTH']	34	36139	23.97	28.33	9		1977-09-09T12:00:00Z	1.0	9			1977	242611200000.0	242611200000.0	242611200000.0	1977.0	United States	H. KRITZLER		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	191908.147709	Invertebrate Zoology: Crustacea		38.6699981689	-73.2983322144	Virginia Institute of Marine Sciences	USNM	Off New Jersey	87.0	87.0		Ascorhynchus pyrginospinus	Mccloskey	urn:lsid:marinespecies.org:taxname:240422		North Atlantic Ocean	1935bee6-b529-4c39-9b3c-71eb8eb45939	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	87.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pyrginospinus		2	1065	1274	1302	1358	379601	379608	379788	134571	606980	606980	Ascorhynchus pyrginospinum	[]	88	122999	16.44	33.95	11	observedindividualcount=1;	1976-11-11T12:00:00Z	1.0	11	Alcohol (Ethanol)		1976	216518400000.0	216518400000.0	216518400000.0	1976.0	United States	Virginia Institute of Marine Sciences		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	181049.137000	Invertebrate Zoology: Crustacea		39.9016685486	-70.6166687012	Child, C. Allan	USNM	North American Slope	478.0	478.0		Ascorhynchus pyrginospinus	Mccloskey	urn:lsid:marinespecies.org:taxname:240422		North Atlantic Ocean	1be3025a-eeb6-4ba9-b9ce-a3fb26d6c5d4	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	478.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pyrginospinus		2	1065	1274	1302	1358	379601	379608	379788	134571	606980	606980	Ascorhynchus pyrginospinum	[]	495	150724	16.17	34.15	6	observedindividualcount=8;	1965-07-06T12:00:00Z	8.0	7	Alcohol (Ethanol)	male; female;;	1965	-141696000000.0	-141696000000.0	-141696000000.0	1965.0			;; juvenile	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	182068.137999	Invertebrate Zoology: Crustacea		39.2449989319	-72.7066726685	Virginia Institute of Marine Sciences	USNM	Off New Jersey	89.0	89.0		Ascorhynchus pyrginospinus	Mccloskey	urn:lsid:marinespecies.org:taxname:240422		North Atlantic Ocean	1f275ac5-3447-47b0-906e-3a5f3897ab5b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	89.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pyrginospinus		2	1065	1274	1302	1358	379601	379608	379788	134571	606980	606980	Ascorhynchus pyrginospinum	[]	120	132005	16.18	33.79	7	observedindividualcount=1;	1977-08-07T12:00:00Z	1.0	8	Alcohol (Ethanol)		1977	239760000000.0	239760000000.0	239760000000.0	1977.0	United States	Virginia Institute of Marine Sciences		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	222004.175958	Invertebrate Zoology: Crustacea		27.4816703796	-79.9400024414	Child, C. Allan	USNM	Off Fort Pierce	124.0	124.0		Ascorhynchus pyrginospinus	Mccloskey	urn:lsid:marinespecies.org:taxname:240422		North Atlantic Ocean	22332488-6d05-44ce-9da2-ff0bf966f802	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	124.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pyrginospinus		2	1065	1274	1302	1358	379601	379608	379788	134571	606980	606980	Ascorhynchus pyrginospinum	[]	125	32830	26.53	36.07	1	observedindividualcount=4;	1980-10-01T12:00:00Z	4.0	10	Alcohol (Ethanol)	female;;	1980	339206400000.0	339206400000.0	339206400000.0	1980.0	United States		; juvenile	Florida
