basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	datasetID	decimalLatitude	decimalLongitude	eventDate	institutionCode	locality	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameAuthorship	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	datasetName	day	eventID	eventTime	fieldNumber	footprintSRS	identifiedBy	language	maximumDepthInMeters	month	recordedBy	samplingProtocol	specificEpithet	occurrenceRemarks	associatedReferences	country	dynamicProperties	individualCount	lifeStage	preparations	sex	waterBody
HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_8981	Deep-sea Fauna of European Seas: Pycnogonida	https://marineinfo.org/id/dataset/5146	44.41	-4.73	1972/1972	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	POLYGAS, DS 27	4411	2016-03-24 10:26:12	Deepsea_Pycnogonida_8981	present	Ascorhynchus turritus	Stock, 1978	urn:lsid:marinespecies.org:taxname:134625	1972	0afd6788-2b82-4892-ad63-9a45efb1b51d	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4411	63072000000	78796800000	94608000000	1972	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus turritus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	134625	134625	Ascorhynchus turritus	[]	4462.0	106537	16.31	35.65																							
HumanObservation		18323	bio_dba	https://marineinfo.org/id/dataset/490	44.0	-4.0	1972-10-01T00:00:00+00:00		Golfe de Gascogne	4411	2022-01-18 09:29:51	Ifremer_bio_dba_18323	present	Ascorhynchus turritus		urn:lsid:marinespecies.org:taxname:134625	1972	127accab-b19f-4b3d-8050-6eb5bbe1bd08	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4411	86745600000	86745600000	86745600000	1972	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus turritus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	134625	134625	Ascorhynchus turritus	['DEPTH_EXCEEDS_BATH']	3852.4	58169	16.54	35.5	50.0	Bigood	1	Sanders epibenthic sledge_1972101_DS/E-27_NA	00:00:00+00:00	DS/E-27	EPSG:4326	STOCK Jan	en	4411.0	10	LAUBIER Lucien	Sanders epibenthic sledge	turritus									
HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_8980	Deep-sea Fauna of European Seas: Pycnogonida	https://marineinfo.org/id/dataset/5146	44.13	-4.25	1972/1972	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	POLYGAS, DS 26	2076	2016-03-24 10:26:12	Deepsea_Pycnogonida_8980	present	Ascorhynchus turritus	Stock, 1978	urn:lsid:marinespecies.org:taxname:134625	1972	172b4bb6-94d9-4566-acea-d3485a06a9a2	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2076	63072000000	78796800000	94608000000	1972	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus turritus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	134625	134625	Ascorhynchus turritus	[]	1997.0	77233	16.48	35.58																							
HumanObservation		19243	bio_dba	https://marineinfo.org/id/dataset/490	44.0	-4.0	1974-10-01T00:00:00+00:00		Golfe de Gascogne	1913	2022-01-18 09:29:51	Ifremer_bio_dba_19243	present	Ascorhynchus turritus		urn:lsid:marinespecies.org:taxname:134625	1974	43825c16-c266-4bc0-bcd2-c7ebdc2fd20d	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1913	149817600000	149817600000	149817600000	1974	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus turritus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	134625	134625	Ascorhynchus turritus	[]	3852.4	58169	16.54	35.5	50.0	Bigood	1	Sanders epibenthic sledge_1974101_DS/E-87_NA	00:00:00+00:00	DS/E-87	EPSG:4326	STOCK Jan	en	1913.0	10	LAUBIER Lucien	Sanders epibenthic sledge	turritus									
HumanObservation		20115	bio_dba	https://marineinfo.org/id/dataset/490	44.0	-4.0	1974-10-01T00:00:00+00:00		Golfe de Gascogne	1995	2022-01-18 09:29:51	Ifremer_bio_dba_20115	present	Ascorhynchus turritus		urn:lsid:marinespecies.org:taxname:134625	1974	4523f144-9627-4d50-b3ab-bc40dd36411f	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1995	149817600000	149817600000	149817600000	1974	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus turritus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	134625	134625	Ascorhynchus turritus	[]	3852.4	58169	16.54	35.5		Bigood	1	Beam trawl_1974101_CP / CPH-24_NA	00:00:00+00:00	CP / CPH-24	EPSG:4326	STOCK Jan	en	1995.0	10	LAUBIER Lucien	Beam trawl	turritus	Holotype								
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180397.136347	Invertebrate Zoology: Crustacea		32.2633285522	-64.5266723633	1966-08-19T12:00:00Z	USNM	Bermuda Slope, N Of Bermuda	2095				Ascorhynchus turritus	Stock	urn:lsid:marinespecies.org:taxname:134625	1966	4be7e0bd-8485-446f-8196-a200fd2c8765	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2159	-106358400000	-106358400000	-106358400000	1966	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus turritus		2	1065	1274	1302	1358	379601	379608	379788	134571	134625	134625	Ascorhynchus turritus	[]	2294.0	14994	23.41	36.52			19					Child, C. Allan		2223.0	8					National Museum of Natural History, Smithsonian Institution	Bermuda	observedindividualcount=3;	3.0	; juvenile	Alcohol (Ethanol)	male;;	North Atlantic Ocean
HumanObservation		37091	bio_dba	https://marineinfo.org/id/dataset/490	44.0	-4.0	1972-10-01T00:00:00+00:00		Golfe de Gascogne	2096	2022-01-18 09:29:51	Ifremer_bio_dba_37091	present	Ascorhynchus turritus		urn:lsid:marinespecies.org:taxname:134625	1972	5e37fcb3-e33f-443a-9e08-84b1022f5245	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2096	86745600000	86745600000	86745600000	1972	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus turritus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	134625	134625	Ascorhynchus turritus	[]	3852.4	58169	16.54	35.5	50.0	Bigood	1	Sanders epibenthic sledge_1972101_DS/E-25_NA	00:00:00+00:00	DS/E-25	EPSG:4326	STOCK Jan	en	2096.0	10	LAUBIER Lucien	Sanders epibenthic sledge	turritus									
HumanObservation		18335	bio_dba	https://marineinfo.org/id/dataset/490	44.0	-4.0	1972-10-01T00:00:00+00:00		Golfe de Gascogne	2076	2022-01-18 09:29:51	Ifremer_bio_dba_18335	present	Ascorhynchus turritus		urn:lsid:marinespecies.org:taxname:134625	1972	626d6c1b-a245-4b45-9939-9dfe4bdcf623	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2076	86745600000	86745600000	86745600000	1972	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus turritus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	134625	134625	Ascorhynchus turritus	[]	3852.4	58169	16.54	35.5	50.0	Bigood	1	Sanders epibenthic sledge_1972101_DS/E-26_NA	00:00:00+00:00	DS/E-26	EPSG:4326	STOCK Jan	en	2076.0	10	LAUBIER Lucien	Sanders epibenthic sledge	turritus									
HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_8985	Deep-sea Fauna of European Seas: Pycnogonida	https://marineinfo.org/id/dataset/5146	32.25	-64.51	1966/1966	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	“Atlantis II”, St. 119	2095	2016-03-24 10:26:12	Deepsea_Pycnogonida_8985	present	Ascorhynchus turritus	Stock, 1978	urn:lsid:marinespecies.org:taxname:134625	1966	80bc63a9-4fa1-4432-8147-e3364ea8ebb6	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2159	-126230400000	-110505600000	-94780800000	1966	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus turritus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	134625	134625	Ascorhynchus turritus	[]	2588.0	17147	23.46	36.52										2223.0													
HumanObservation		20031	bio_dba	https://marineinfo.org/id/dataset/490	44.0	-4.0	1974-10-01T00:00:00+00:00		Golfe de Gascogne	1894	2022-01-18 09:29:51	Ifremer_bio_dba_20031	present	Ascorhynchus turritus		urn:lsid:marinespecies.org:taxname:134625	1974	8513fc50-bf44-4400-a35f-56a1e98879a0	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1894	149817600000	149817600000	149817600000	1974	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus turritus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	134625	134625	Ascorhynchus turritus	[]	3852.4	58169	16.54	35.5		Bigood	1	Beam trawl_1974101_CP / CPH-25_NA	00:00:00+00:00	CP / CPH-25	EPSG:4326	STOCK Jan	en	1894.0	10	LAUBIER Lucien	Beam trawl	turritus									
