basisOfRecord	catalogNumber	collectionCode	coordinatePrecision	day	decimalLatitude	decimalLongitude	eventDate	fieldNumber	identifiedBy	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceRemarks	recordedBy	scientificName	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	modified	occurrenceID	occurrenceStatus	references	scientificNameAuthorship	specificEpithet	typeStatus	superdomain	superdomainid
HumanObservation	SAMC-MBR-013486	MBR	100.0	22	-46.9150009155	37.5531997681	1989-04-22T12:00:00Z	MAD53 A 7	Arnaud	SAMC	Marion & Prince Edward Islands; 46 54.9' S 37 33.19' E	775.0	606.0	4	Gear:Bottom Dredge;Preparation:alch	UCT Marion Island Survey	Austrodecus elegans	urn:lsid:marinespecies.org:taxname:239903	1989	162337ad-4838-424a-9746-b57e0ee49e37	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	690.5	609206400000	609206400000	609206400000	1989	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus elegans	2	1065	1274	1302	1358	379600	22616	134579	239903	239903	Austrodecus elegans	['DEPTH_EXCEEDS_BATH']	603	2810	5.63	33.81											
HumanObservation	SAMC-MBR-013497	MBR	100.0	25	-46.7249984741	38.0167007446	1985-04-25T12:00:00Z	MAD18 UU.1	Arnaud	SAMC	Marion & Prince Edward Islands; 46 43.5' S 38 01' E	232.0	224.0	4	Gear:Bottom Dredge;Preparation:alch	UCT Marion Island Survey	Austrodecus elegans	urn:lsid:marinespecies.org:taxname:239903	1985	3c663122-4d42-45be-a700-3bd20b94817a	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	228.0	483235200000	483235200000	483235200000	1985	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus elegans	2	1065	1274	1302	1358	379600	22616	134579	239903	239903	Austrodecus elegans	[]	247	7245	5.72	33.82											
HumanObservation	SAMC-MBR-013506	MBR	100.0	31	-46.9938011169	37.8967018127	1987-08-31T12:00:00Z	MAD41.0	Arnaud	SAMC	Marion & Prince Edward Islands; 46 59.63' S 37 53.8' E	250.0	170.0	8	Gear:Bottom Dredge;Preparation:alch	UCT Marion Island Survey	Austrodecus elegans	urn:lsid:marinespecies.org:taxname:239903	1987	3cabdae3-840e-46c2-a3a2-a4a668c67f92	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	210.0	557366400000	557366400000	557366400000	1987	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus elegans	2	1065	1274	1302	1358	379600	22616	134579	239903	239903	Austrodecus elegans	[]	768	4264	5.6	33.81											
HumanObservation	SAMC-MBR-013487	MBR	100.0	18	-46.8633003235	37.876701355	1985-04-18T12:00:00Z	MAD14 VV 1	Arnaud	SAMC	Marion & Prince Edward Island; 46 51.8' S 37 52.6' E	90.0	80.0	4	Gear:Bottom Dredge;Preparation:alch	UCT Marion Island Survey	Austrodecus elegans	urn:lsid:marinespecies.org:taxname:239903	1985	599bcd8d-3479-44a0-adf3-e18f42d3df8b	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	85.0	482630400000	482630400000	482630400000	1985	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus elegans	2	1065	1274	1302	1358	379600	22616	134579	239903	239903	Austrodecus elegans	[]	724	1269	5.64	33.81											
PreservedSpecimen	sm_id_828	WoRMS type localities		7	-46.81	37.82	1935-04-07			WoRMS Editorial Board	Indian Ocean	99.0	113.0	4			Austrodecus elegans	urn:lsid:marinespecies.org:taxname:239903	1935	5e865e4d-cb7b-4423-ba3b-b84a6d3fb298	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	106.0	-1096243200000	-1096243200000	-1096243200000	1935	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus elegans	2	1065	1274	1302	1358	379600	22616	134579	239903	239903	Austrodecus elegans	['MIN_DEPTH_EXCEEDS_MAX']	597	3253	5.68	33.81	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Austrodecus elegans</i> Stock, 1957. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239903	https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_828	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=828	Stock, 1957	elegans	holotype	Biota	1.0
HumanObservation	SAMC-MBR-013485	MBR	100.0	4	-46.9702987671	34.8637008667	1988-09-04T12:00:00Z	MAD46P	Arnaud	SAMC	Marion & Prince Edward Islands; 46 58.22' S 37 51.82' E	51.0	47.0	9	Gear:Bottom Dredge;Preparation:alch	UCT Marion Island Survey	Austrodecus elegans	urn:lsid:marinespecies.org:taxname:239903	1988	741ad644-ec52-4346-aef2-928c291aed3d	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	49.0	589334400000	589334400000	589334400000	1988	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus elegans	2	1065	1274	1302	1358	379600	22616	134579	239903	239903	Austrodecus elegans	[]	3494	206270	6.69	33.89											
HumanObservation	SAMC-MBR-013498	MBR	100.0	20	-46.8320007324	37.8992004395	1987-04-20T12:00:00Z	MAD 25BBB.1	Arnaud	SAMC	Marion & Prince Edward Islands; 46 49.92' S 37 53.95' E	140.0	138.0	4	Gear:Bottom Dredge;Preparation:alch	UCT Marion Island Survey	Austrodecus elegans	urn:lsid:marinespecies.org:taxname:239903	1987	798258a2-cce3-4d3e-8f47-0320b6c3a1c1	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	139.0	545875200000	545875200000	545875200000	1987	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus elegans	2	1065	1274	1302	1358	379600	22616	134579	239903	239903	Austrodecus elegans	[]	464	4604	5.67	33.82											
HumanObservation	SAMC-MBR-013505	MBR	100.0	28	-46.7262992859	37.9329986572	1987-04-28T12:00:00Z	MAD28 JJJ	Arnaud	SAMC	Marion & Prince Edward Islands; 46 43.58' S 37 55.98' E	73.7616	72.2376	4	Gear:Bottom Dredge;Preparation:alch	UCT Marion Island Survey	Austrodecus elegans	urn:lsid:marinespecies.org:taxname:239903	1987	86d85837-8fb5-40f4-8202-fd74b3d545de	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	72.9996	546566400000	546566400000	546566400000	1987	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus elegans	2	1065	1274	1302	1358	379600	22616	134579	239903	239903	Austrodecus elegans	[]	219	6188	5.71	33.82											
HumanObservation	SAMC-MBR-013484	MBR	100.0	5	-46.9780006409	37.8675003052	1988-09-05T12:00:00Z	MAD48 AQ	Arnaud	SAMC	Marion & Prince Edward Islands; 46 58.68' S 37 52.05' E	105.0	92.0	9	Gear:Bottom Dredge;Preparation:alch	UCT Marion Island Survey	Austrodecus elegans	urn:lsid:marinespecies.org:taxname:239903	1988	8c4ac15d-5d3a-4fab-baa1-4699b70491d5	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	98.5	589420800000	589420800000	589420800000	1988	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus elegans	2	1065	1274	1302	1358	379600	22616	134579	239903	239903	Austrodecus elegans	[]	918	1468	5.6	33.81											
HumanObservation	SAMC-MBR-013478	MBR	100.0	31	-46.6707992554	37.8497009277	1987-08-31T12:00:00Z	MAD40 U.2	Arnaud	SAMC	Marion & Prince Edward Islands; 46 40.25' S 37 50.98' E	462.0	375.0	8	Gear:Biological dredge;Preparation:alch	UCT Marion Island Survey	Austrodecus elegans	urn:lsid:marinespecies.org:taxname:239903	1987	996ba3ea-0f1e-4f6c-a3a2-f3ccebf04b0f	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	418.5	557366400000	557366400000	557366400000	1987	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus elegans	2	1065	1274	1302	1358	379600	22616	134579	239903	239903	Austrodecus elegans	[]	507	4940	5.72	33.82											
