basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	day	minimumDepthInMeters	month	recordNumber	references	scientificNameAuthorship	typeStatus	year	depth	superdomain	superdomainid
PreservedSpecimen	P.44949	Pycnogonida	co113	0.0896	10000	New Zealand	-52.566	169.183	1980-01-03	Austrodecidae	POINT (169.18300 -52.56600)	Austrodecus	AM	Animalia	Campbell Island, Perseverance Harbour, caves east of Divers Point	2017-03-02T15:50:39	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44949	present	Arthropoda	Austrodecus enzoi	urn:lsid:marinespecies.org:taxname:239986	Male	enzoi	species	03ebf595-43c4-4a14-8eb1-12a323e7013f	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	315705600000	315705600000	315705600000	1980	False	False	True	False	Chelicerata	Pantopoda	Stiripasterida	Austrodecus enzoi	2	1065	1274	1302	1358	379600	22616	134579	239986	239986	Austrodecus (Austrodecus) enzoi	['NO_DEPTH', 'ON_LAND']	-217	-1096	7.91	34.36													
PreservedSpecimen	sm_id_1745	Pycnogonida	WoRMS type localities				-48.03	166.58	1964-01-16	Austrodecidae		Austrodecus	WoRMS Editorial Board	Animalia	South Pacific	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1745	present	Arthropoda	Austrodecus enzoi	urn:lsid:marinespecies.org:taxname:239986		enzoi		04f39cfa-f910-42d7-ace0-5134260cb636	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-188092800000	-188092800000	-188092800000	1964	False	False	True	False	Chelicerata	Pantopoda	Stiripasterida	Austrodecus enzoi	2	1065	1274	1302	1358	379600	22616	134579	239986	239986	Austrodecus enzoi	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-7	-125	11.64	34.71	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Austrodecus enzoi</i> Clark, 1971. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239986	https://marineinfo.org/id/dataset/5184	16	81.0	1	Type collection	http://www.marinespecies.org/aphia.php?p=specdetails&id=1745	Clark, 1971	holotype	1964	81.0	Biota	1.0
PreservedSpecimen	P.78477	Pycnogonida	co113		10000	Australia	-54.49166	158.9625	1978-01-30	Austrodecidae	POINT (158.96250 -54.49166)	Austrodecus	AM	Animalia	Macquarie Island, Tottan Head, south end of Goat Bay	2017-03-02T13:01:00	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.78477	present	Arthropoda	Austrodecus enzoi	urn:lsid:marinespecies.org:taxname:239986	Female	enzoi	species	0c36e766-9f53-4352-bade-5b69454776a0	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	254966400000	254966400000	254966400000	1978	False	False	True	False	Chelicerata	Pantopoda	Stiripasterida	Austrodecus enzoi	2	1065	1274	1302	1358	379600	22616	134579	239986	239986	Austrodecus (Austrodecus) enzoi	['NO_DEPTH']	263	1005	5.26	33.92													
PreservedSpecimen	P.77986	Pycnogonida	co113	0.0896	10000	New Zealand	-52.55	169.066	1980-01-22	Austrodecidae	POINT (169.06600 -52.55000)	Austrodecus	AM	Animalia	Campbell Island, Northwest Bay, east side of Windlass Bay	2017-03-02T12:59:34	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.77986	present	Arthropoda	Austrodecus enzoi	urn:lsid:marinespecies.org:taxname:239986	Female	enzoi	species	1231a6d1-eb1d-44b0-b256-413a651b4ab2	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	317347200000	317347200000	317347200000	1980	False	False	True	False	Chelicerata	Pantopoda	Stiripasterida	Austrodecus enzoi	2	1065	1274	1302	1358	379600	22616	134579	239986	239986	Austrodecus (Austrodecus) enzoi	['NO_DEPTH', 'ON_LAND']	-93	-974	7.94	34.36													
PreservedSpecimen	P.44968	Pycnogonida	co113	0.0896	10000	New Zealand	-52.533	169.2	1980-01-13	Austrodecidae	POINT (169.20000 -52.53300)	Austrodecus	AM	Animalia	Campbell Island, Smoothwater Bay, cliffs on north-west side of first bay north-west of Boulder Beach	2017-03-02T15:50:43	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44968	present	Arthropoda	Austrodecus enzoi	urn:lsid:marinespecies.org:taxname:239986	Female	enzoi	species	12c9f70a-c80b-4f51-a102-019b5b721423	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	316569600000	316569600000	316569600000	1980	False	False	True	False	Chelicerata	Pantopoda	Stiripasterida	Austrodecus enzoi	2	1065	1274	1302	1358	379600	22616	134579	239986	239986	Austrodecus (Austrodecus) enzoi	['NO_DEPTH', 'ON_LAND']	-230	-1329	7.91	34.36													
PreservedSpecimen	P.77967	Pycnogonida	co113	0.0896	10000	New Zealand	-52.533	169.2	1980-01-09	Austrodecidae	POINT (169.20000 -52.53300)	Austrodecus	AM	Animalia	Campbell Island, Smoothwater Bay, cliffs on north-west side of Boulder Beach	2017-03-02T12:59:31	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.77967	present	Arthropoda	Austrodecus enzoi	urn:lsid:marinespecies.org:taxname:239986	Male	enzoi	species	16e1e16d-7932-4824-a0cc-d468921a7fd4	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	316224000000	316224000000	316224000000	1980	False	False	True	False	Chelicerata	Pantopoda	Stiripasterida	Austrodecus enzoi	2	1065	1274	1302	1358	379600	22616	134579	239986	239986	Austrodecus (Austrodecus) enzoi	['NO_DEPTH', 'ON_LAND']	-230	-1329	7.91	34.36													
PreservedSpecimen	P.77919	Pycnogonida	co113		10000	Australia	-54.483	158.95	1978-02-02	Austrodecidae	POINT (158.95000 -54.48300)	Austrodecus	AM	Animalia	Macquarie Island, Aerial Cove	2017-03-02T12:59:21	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.77919	present	Arthropoda	Austrodecus enzoi	urn:lsid:marinespecies.org:taxname:239986	Male	enzoi	species	1ccd1856-dc66-42aa-b3be-3e7495169319	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	255225600000	255225600000	255225600000	1978	False	False	True	False	Chelicerata	Pantopoda	Stiripasterida	Austrodecus enzoi	2	1065	1274	1302	1358	379600	22616	134579	239986	239986	Austrodecus (Austrodecus) enzoi	['NO_DEPTH']	285	573	5.26	33.92													
PreservedSpecimen	P.77989	Pycnogonida	co113	0.0896	10000	New Zealand	-52.533	169.2	1980-01-14	Austrodecidae	POINT (169.20000 -52.53300)	Austrodecus	AM	Animalia	Campbell Island, Smoothwater Bay, first bay north-west of boulder beach	2017-03-02T12:59:35	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.77989	present	Arthropoda	Austrodecus enzoi	urn:lsid:marinespecies.org:taxname:239986		enzoi	species	25341300-b56a-45b0-8627-b44d0fea2156	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	316656000000	316656000000	316656000000	1980	False	False	True	False	Chelicerata	Pantopoda	Stiripasterida	Austrodecus enzoi	2	1065	1274	1302	1358	379600	22616	134579	239986	239986	Austrodecus (Austrodecus) enzoi	['NO_DEPTH', 'ON_LAND']	-230	-1329	7.91	34.36													
PreservedSpecimen	P.78384	Pycnogonida	co113	0.0896	10000	New Zealand	-52.566	169.216	1980-01-01	Austrodecidae	POINT (169.21600 -52.56600)	Austrodecus	AM	Animalia	Campbell Island, Perseverance Harbour, west side of Davis Point	2017-03-02T13:00:45	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.78384	present	Arthropoda	Austrodecus enzoi	urn:lsid:marinespecies.org:taxname:239986	Male	enzoi	species	282551d1-7df4-4ba4-a462-a42a2822001f	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	315532800000	315532800000	315532800000	1980	False	False	True	False	Chelicerata	Pantopoda	Stiripasterida	Austrodecus enzoi	2	1065	1274	1302	1358	379600	22616	134579	239986	239986	Austrodecus (Austrodecus) enzoi	['NO_DEPTH', 'ON_LAND']	-48	-87	7.91	34.36													
PreservedSpecimen	P.44985	Pycnogonida	co113	0.0896	10000	New Zealand	-52.6	169.15	1980-02-01	Austrodecidae	POINT (169.15000 -52.60000)	Austrodecus	AM	Animalia	Campbell Island, west side of Southeast Harbour	2017-03-02T15:50:46	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44985	present	Arthropoda	Austrodecus enzoi	urn:lsid:marinespecies.org:taxname:239986	Female	enzoi	species	312418c6-b5e7-4a19-8ce5-3504417aac42	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	318211200000	318211200000	318211200000	1980	False	False	True	False	Chelicerata	Pantopoda	Stiripasterida	Austrodecus enzoi	2	1065	1274	1302	1358	379600	22616	134579	239986	239986	Austrodecus (Austrodecus) enzoi	['NO_DEPTH', 'ON_LAND']	-68	-166	7.9	34.36													
