basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
HumanObservation	38571	SOMBASE Pycnogonids	-67.6666030884	45.8499984741	BAS	15	15	Austrodecus fagei	urn:lsid:marinespecies.org:taxname:173015	19441dd4-4f0e-47b5-8aae-57c50c0fb527	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	15	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus fagei	2	1065	1274	1302	1358	379600	22616	134579	173015	173015	Austrodecus fagei	['ON_LAND']	-34	-727	-1.77	33.6
HumanObservation	38761	SOMBASE Pycnogonids	-62.1960983276	-58.9606018066	BAS	30	30	Austrodecus fagei	urn:lsid:marinespecies.org:taxname:173015	1a076013-ecb1-43ff-8091-c37b93b673a3	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	30	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus fagei	2	1065	1274	1302	1358	379600	22616	134579	173015	173015	Austrodecus fagei	['ON_LAND']	-11	-314	-0.47	34.04
HumanObservation	38574	SOMBASE Pycnogonids	-66.5333023071	92.0167007446	BAS	43	43	Austrodecus fagei	urn:lsid:marinespecies.org:taxname:173015	1d9b94a1-af1d-45be-9f32-a1f52b8f5878	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	43	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus fagei	2	1065	1274	1302	1358	379600	22616	134579	173015	173015	Austrodecus fagei	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-91	-2483		
HumanObservation	34220	SOMBASE Pycnogonids	-66.5	139.0	BAS	250	0	Austrodecus fagei	urn:lsid:marinespecies.org:taxname:173015	29f1182d-169f-4367-9c20-5cef9680d64a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	125	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus fagei	2	1065	1274	1302	1358	379600	22616	134579	173015	173015	Austrodecus fagei	[]	283	7011	-1.68	33.95
HumanObservation	38573	SOMBASE Pycnogonids	-67.6666030884	45.8499984741	BAS	40	40	Austrodecus fagei	urn:lsid:marinespecies.org:taxname:173015	36288b08-0062-4607-b325-24b681f143c3	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	40	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus fagei	2	1065	1274	1302	1358	379600	22616	134579	173015	173015	Austrodecus fagei	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-34	-727	-1.77	33.6
HumanObservation	38569	SOMBASE Pycnogonids	-67.6666030884	45.8499984741	BAS	28	28	Austrodecus fagei	urn:lsid:marinespecies.org:taxname:173015	36e42516-d658-4cbe-a434-653573f138bb	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	28	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus fagei	2	1065	1274	1302	1358	379600	22616	134579	173015	173015	Austrodecus fagei	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-34	-727	-1.77	33.6
HumanObservation	38273	SOMBASE Pycnogonids	-66.5551986694	92.9570007324	BAS	32	32	Austrodecus fagei	urn:lsid:marinespecies.org:taxname:173015	36ea5343-8358-42d5-89ad-606dce71fcf6	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	32	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus fagei	2	1065	1274	1302	1358	379600	22616	134579	173015	173015	Austrodecus fagei	[]	321	476	-1.56	33.71
HumanObservation	38760	SOMBASE Pycnogonids	-66.5333023071	92.0167007446	BAS	20	20	Austrodecus fagei	urn:lsid:marinespecies.org:taxname:173015	402a72c1-339e-4df0-8c03-8089b3d85f5d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	20	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus fagei	2	1065	1274	1302	1358	379600	22616	134579	173015	173015	Austrodecus fagei	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-91	-2483		
HumanObservation	38356	SOMBASE Pycnogonids	-66.5551986694	92.9570007324	BAS	30	30	Austrodecus fagei	urn:lsid:marinespecies.org:taxname:173015	487ee998-5c19-4182-b4d3-16ec2ad19bd9	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	30	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus fagei	2	1065	1274	1302	1358	379600	22616	134579	173015	173015	Austrodecus fagei	[]	321	476	-1.56	33.71
HumanObservation	22292	SOMBASE Pycnogonids	-76.1166000366	-170.203292847	BAS	87	71	Austrodecus fagei	urn:lsid:marinespecies.org:taxname:173015	4c5336e3-c3f8-4737-ad27-505daa626918	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	79	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus fagei	2	1065	1274	1302	1358	379600	22616	134579	173015	173015	Austrodecus fagei	[]	571	246712	-1.68	34.0
