basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	day	locality	modified	month	occurrenceID	year
HumanObservation	38055	SOMBASE Pycnogonids	-46.373298645	49.6465988159	BAS	298	295	Austrodecus simulans	urn:lsid:marinespecies.org:taxname:239817	04a7ab13-9f71-4f80-8763-99cb4c9ba759	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	296.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus simulans	2	1065	1274	1302	1358	379600	22616	134579	239817	239817	Austrodecus simulans	['DEPTH_EXCEEDS_BATH']	134	50084	5.55	33.75							
HumanObservation	37978	SOMBASE Pycnogonids	-48.2083015442	68.6615982056	BAS	177	169	Austrodecus simulans	urn:lsid:marinespecies.org:taxname:239817	08e63549-5331-4dce-9f80-7b99befb2645	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	173.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus simulans	2	1065	1274	1302	1358	379600	22616	134579	239817	239817	Austrodecus simulans	[]	164	28973	4.17	33.72							
HumanObservation	38117	SOMBASE Pycnogonids	-52.6916007996	73.0915985107	BAS	205	205	Austrodecus simulans	urn:lsid:marinespecies.org:taxname:239817	1c7dafa2-b7b1-4628-9299-db9c227f117b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	205.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus simulans	2	1065	1274	1302	1358	379600	22616	134579	239817	239817	Austrodecus simulans	[]	259	33244	2.32	33.81							
HumanObservation	37890	SOMBASE Pycnogonids	-45.7050018311	49.5833015442	BAS	545	520	Austrodecus simulans	urn:lsid:marinespecies.org:taxname:239817	1f31caa3-728e-4fe8-a922-ad8a8a7096b8	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	532.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus simulans	2	1065	1274	1302	1358	379600	22616	134579	239817	239817	Austrodecus simulans	['DEPTH_EXCEEDS_BATH']	340	61598	5.87	33.71							
HumanObservation	38064	SOMBASE Pycnogonids	-46.0666007996	51.3300018311	BAS	309	300	Austrodecus simulans	urn:lsid:marinespecies.org:taxname:239817	2e4cca9f-db98-421d-9b8a-7bd362a220d0	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	304.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus simulans	2	1065	1274	1302	1358	379600	22616	134579	239817	239817	Austrodecus simulans	[]	1766	41546	5.46	33.74							
HumanObservation	37994	SOMBASE Pycnogonids	-49.2066001892	68.3916015625	BAS	146	145	Austrodecus simulans	urn:lsid:marinespecies.org:taxname:239817	4a2d7afd-ad71-490b-860e-5e130bc9202b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	145.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus simulans	2	1065	1274	1302	1358	379600	22616	134579	239817	239817	Austrodecus simulans	[]	143	23444	3.75	33.75							
HumanObservation	38082	SOMBASE Pycnogonids	-52.6665992737	72.7350006104	BAS	227	227	Austrodecus simulans	urn:lsid:marinespecies.org:taxname:239817	598ed9f3-6bc5-4474-8a25-3e8c4cfb8306	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	227.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus simulans	2	1065	1274	1302	1358	379600	22616	134579	239817	239817	Austrodecus simulans	[]	215	40316	2.36	33.81							
HumanObservation	37997	SOMBASE Pycnogonids	-50.2165985107	69.1733016968	BAS	210	199	Austrodecus simulans	urn:lsid:marinespecies.org:taxname:239817	5adee658-7ff4-426c-a670-191eed1e0014	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	204.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus simulans	2	1065	1274	1302	1358	379600	22616	134579	239817	239817	Austrodecus simulans	[]	308	31084	3.29	33.78							
HumanObservation	38065	SOMBASE Pycnogonids	-46.0499992371	50.5365982056	BAS	193	150	Austrodecus simulans	urn:lsid:marinespecies.org:taxname:239817	5b193c03-9add-46a6-a503-566492a6c6c3	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	171.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus simulans	2	1065	1274	1302	1358	379600	22616	134579	239817	239817	Austrodecus simulans	['DEPTH_EXCEEDS_BATH']	59	12548	5.63	33.74							
HumanObservation	439	Weddell Sea macrozoobenthos EASIZ I	-70.48166667	-8.251667	AWI	286	286	Austrodecus simulans	urn:lsid:marinespecies.org:taxname:239817	647cb08f-656b-4d5c-9ad0-82ae0a071c51	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	286.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus simulans	2	1065	1274	1302	1358	379600	22616	134579	239817	239817	Austrodecus simulans	[]	285	2515	-1.71	33.71	IMIS:dasid:2432	4	Kapp Norvegia area	2010-05-11T18:09Z	3	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:439	1996
