basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	individualCount	organismQuantity	organismQuantityType
PreservedSpecimen	P.42825	Pycnogonida	co113	0.009	1000	Australia	-41.29166	148.366	1991-04-13	Austrodecidae	POINT (148.36600 -41.29166)	Austrodecus	AM	Animalia	St Helens Rocks	2017-03-02T15:57:46	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42825	present	Arthropoda	Austrodecus staplesi	urn:lsid:marinespecies.org:taxname:240275	Female	staplesi	species	20ab0c5b-f89b-4600-9745-2f9c792ddb9d	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	671500800000	671500800000	671500800000	1991	False	False	True	False	Chelicerata	Pantopoda	Stiripasterida	Austrodecus staplesi	2	1065	1274	1302	1358	379600	22616	134579	240275	240275	Austrodecus staplesi	['NO_DEPTH']	17.0	1203	15.41	35.42			
PreservedSpecimen	P.43387	Pycnogonida	co113	0.009	1000		-38.19666	149.266	1994-08-29	Austrodecidae	POINT (149.26600 -38.19666)	Austrodecus	AM	Animalia	east of Paradise Beach	2017-03-02T16:13:54	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43387	present	Arthropoda	Austrodecus staplesi	urn:lsid:marinespecies.org:taxname:240275	Female	staplesi	species	2b424cb0-eb92-4552-bb30-30e221464966	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	778118400000	778118400000	778118400000	1994	False	False	True	False	Chelicerata	Pantopoda	Stiripasterida	Austrodecus staplesi	2	1065	1274	1302	1358	379600	22616	134579	240275	240275	Austrodecus staplesi	['NO_DEPTH']	203.0	43118	17.23	35.58			
PreservedSpecimen	J53624	Pycnogonida	co119		1000		-40.7317	148.542	1981-11-14	Austrodecidae	POINT (148.54200 -40.73170)	Austrodecus	NMV	Animalia	Eastern Bass Strait, 24 km NNE of Eddystone Point	2017-02-09T12:08:53	J53624	present	Arthropoda	Austrodecus staplesi	urn:lsid:marinespecies.org:taxname:240275	Unknown	staplesi	species	4c129b13-346a-4309-86b0-102ab229e2b4	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	374544000000	374544000000	374544000000	1981	False	False	True	False	Chelicerata	Pantopoda	Stiripasterida	Austrodecus staplesi	2	1065	1274	1302	1358	379600	22616	134579	240275	240275	Austrodecus staplesi	['NO_DEPTH']	53.0	27397	15.47	35.47	1	1	individuals
PreservedSpecimen	J56094	Pycnogonida	co119		1000		-34.53	123.67	1995-07-23	Austrodecidae	POINT (123.67000 -34.53000)	Austrodecus	NMV	Animalia	Stn. GAB 087, SE of Esperance	2017-02-09T12:14:44	J56094	present	Arthropoda	Austrodecus staplesi	urn:lsid:marinespecies.org:taxname:240275	Male	staplesi	species	531a9b0e-91a9-4548-82df-bbe95aee9935	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	806457600000	806457600000	806457600000	1995	False	False	True	False	Chelicerata	Pantopoda	Stiripasterida	Austrodecus staplesi	2	1065	1274	1302	1358	379600	22616	134579	240275	240275	Austrodecus staplesi	['NO_DEPTH']	91.0	20805	18.36	35.6	1	1	individuals
PreservedSpecimen	P.43289	Pycnogonida	co113	0.009	1000	Australia	-42.19166	145.19166	1991-04-28	Austrodecidae	POINT (145.19166 -42.19166)	Austrodecus	AM	Animalia	Cape Sorell, east of Hannants Bight	2017-03-02T16:13:37	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43289	present	Arthropoda	Austrodecus staplesi	urn:lsid:marinespecies.org:taxname:240275	Female	staplesi	species	536f04ae-3385-4f02-ab3c-7d29a256ac38	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	672796800000	672796800000	672796800000	1991	False	False	True	False	Chelicerata	Pantopoda	Stiripasterida	Austrodecus staplesi	2	1065	1274	1302	1358	379600	22616	134579	240275	240275	Austrodecus staplesi	['NO_DEPTH']	14.0	421	14.48	35.32			
PreservedSpecimen	P.43290	Pycnogonida	co113	0.009	1000	Australia	-41.216	148.29166	1991-04-15	Austrodecidae	POINT (148.29166 -41.21600)	Austrodecus	AM	Animalia	Bay of Fires, Sloop Reef	2017-03-02T16:13:37	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43290	present	Arthropoda	Austrodecus staplesi	urn:lsid:marinespecies.org:taxname:240275	Male	staplesi	species	55508b26-0365-4086-883b-7a40a425293f	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	671673600000	671673600000	671673600000	1991	False	False	True	False	Chelicerata	Pantopoda	Stiripasterida	Austrodecus staplesi	2	1065	1274	1302	1358	379600	22616	134579	240275	240275	Austrodecus staplesi	['NO_DEPTH']	14.0	581	15.27	35.42			
PreservedSpecimen	P.43293	Pycnogonida	co113	0.0896	10000		-33.383	152.066	1986-02-11	Austrodecidae	POINT (152.06600 -33.38300)	Austrodecus	AM	Animalia	east of The Entrance	2017-03-02T16:13:38	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43293	present	Arthropoda	Austrodecus staplesi	urn:lsid:marinespecies.org:taxname:240275	Male	staplesi	species	61d70a24-4285-44cc-873e-37a4734cb1db	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	508464000000	508464000000	508464000000	1986	False	False	True	False	Chelicerata	Pantopoda	Stiripasterida	Austrodecus staplesi	2	1065	1274	1302	1358	379600	22616	134579	240275	240275	Austrodecus staplesi	['NO_DEPTH']	172.0	45849	21.11	35.56			
PreservedSpecimen	P.43416	Pycnogonida	co113	0.0009	100		-10.07566	144.47599	1993-01-26	Austrodecidae	POINT (144.47599 -10.07566)	Austrodecus	AM	Animalia	Ashmore Reef, north-eastern inner reef slope	2017-03-02T16:13:59	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43416	present	Arthropoda	Austrodecus staplesi	urn:lsid:marinespecies.org:taxname:240275	Female	staplesi	species	7d1f6789-de04-4254-8b9b-97f598108016	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	728006400000	728006400000	728006400000	1993	False	False	True	False	Chelicerata	Pantopoda	Stiripasterida	Austrodecus staplesi	2	1065	1274	1302	1358	379600	22616	134579	240275	240275	Austrodecus staplesi	['NO_DEPTH']	24.1	48585	27.22	34.67			
PreservedSpecimen	P.77973	Pycnogonida	co113	0.009	1000		-29.95333	159.01999	1987-12-10	Austrodecidae	POINT (159.01999 -29.95333)	Austrodecus	AM	Animalia	"Elizabeth Reef, outer slope, west of ""Yoshin Maru Iwaki"" wreck"	2017-03-02T12:59:32	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.77973	present	Arthropoda	Austrodecus staplesi	urn:lsid:marinespecies.org:taxname:240275	Male	staplesi	species	81af5ec5-ccd8-4b12-8ab3-0078a7f382b2	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	566092800000	566092800000	566092800000	1987	False	False	True	False	Chelicerata	Pantopoda	Stiripasterida	Austrodecus staplesi	2	1065	1274	1302	1358	379600	22616	134579	240275	240275	Austrodecus staplesi	['NO_DEPTH']	24.0	170489	22.15	35.63			
PreservedSpecimen	P.43288	Pycnogonida	co113	0.009	1000	Australia	-32.05	115.733	1983-12-25	Austrodecidae	POINT (115.73300 -32.05000)	Austrodecus	AM	Animalia	Fremantle, Arthur Head, off end of South Mole	2017-03-02T16:13:37	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43288	present	Arthropoda	Austrodecus staplesi	urn:lsid:marinespecies.org:taxname:240275	Male	staplesi	species	84735584-18c4-406e-9675-1aaad73f50bb	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	441158400000	441158400000	441158400000	1983	False	False	True	False	Chelicerata	Pantopoda	Stiripasterida	Austrodecus staplesi	2	1065	1274	1302	1358	379600	22616	134579	240275	240275	Austrodecus staplesi	['NO_DEPTH', 'ON_LAND']	2.0	-330	20.5	35.53			
