basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetName	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	geodeticDatum	georeferenceSources	identifiedBy	institutionCode	kingdom	language	locality	locationID	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	dynamicProperties	individualCount	sex	waterBody	date_start	date_mid	date_end	date_year	datasetID	lifeStage
PreservedSpecimen	50314	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	1/07/2009	17	-76.6023333	176.802	17/02/2008	Callipallenidae	LINESTRING (176.802 -76.6023333, 176.7941667 -76.6021667)	Austropallene	WGS84	GPS	Arango, Claudia	NIWA Invertebrate Collection	Animalia	en	Site C5, shelf, western Ross Sea	TAN0802/84	360	360	8/04/2022	2	5fbc98f4-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 1	IPY CAML	Trawl, Beam	Austropallene brachyura	(Bouvier, 1911)	urn:lsid:marinespecies.org:taxname:173035	brachyura	2008	0111c3eb-5317-41d0-833d-555dce23adb8	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	360.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Austropallene brachyura	2	1065	1274	1302	1358	379601	379609	1564	173034	173035	173035	Austropallene brachyura	[]	355	104296	-1.56	34.23												
PreservedSpecimen	233825.286756	Pycnogonida	Invertebrate Zoology: Crustacea			Antarctica			12	-72.2777786255	170.300003052	1959-01-12T12:00:00Z	Callipallenidae		Austropallene			Hedgpeth, J. W.	USNM	Animalia		Victoria Land, Moubray Harbor, Near Hallett Station		133	133		1			Pantopoda	Arthropoda	Alcohol (Ethanol)			Austropallene brachyura	(Bouvier)	urn:lsid:marinespecies.org:taxname:173035		1959	04e7fbba-d901-4f9d-8c3e-959ffad23ed6	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	133.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Austropallene brachyura	2	1065	1274	1302	1358	379601	379609	1564	173034	173035	173035	Austropallene brachyura	[]	184	4190	-1.72	33.53	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=1;	1.0	female	Antarctic Ocean	-346204800000.0	-346204800000.0	-346204800000.0	1959.0		
HumanObservation	21533	Pycnogonida	SOMBASE Pycnogonids							-71.5250015259	-12.4250001907		Callipallenidae		Austropallene				BAS	Animalia				504	504					Pantopoda	Arthropoda				Austropallene brachyura		urn:lsid:marinespecies.org:taxname:173035			06b8a30a-9101-4a18-956b-45e714dc7e32	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	504.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Austropallene brachyura	2	1065	1274	1302	1358	379601	379609	1564	173034	173035	173035	Austropallene brachyura	[]	528	4469	-1.76	33.77												
HumanObservation	24062	Pycnogonida	SOMBASE Pycnogonids							-61.3366012573	-55.0166015625		Callipallenidae		Austropallene				BAS	Animalia				741	722					Pantopoda	Arthropoda				Austropallene brachyura		urn:lsid:marinespecies.org:taxname:173035			0759c7e6-9ebe-434d-85e9-a09fee491ee6	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	731.5	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Austropallene brachyura	2	1065	1274	1302	1358	379601	379609	1564	173034	173035	173035	Austropallene brachyura	[]	787	11434	-0.54	34.05												
HumanObservation	24051	Pycnogonida	SOMBASE Pycnogonids							-66.3479995728	110.452697754		Callipallenidae		Austropallene				BAS	Animalia				237	183					Pantopoda	Arthropoda				Austropallene brachyura		urn:lsid:marinespecies.org:taxname:173035			08c743d0-aa36-4875-859e-f22b6c884cb9	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	210.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Austropallene brachyura	2	1065	1274	1302	1358	379601	379609	1564	173034	173035	173035	Austropallene brachyura	['DEPTH_EXCEEDS_BATH']	10	1058	-1.65	33.51												
HumanObservation	24060	Pycnogonida	SOMBASE Pycnogonids							-64.8450012207	-63.8532981873		Callipallenidae		Austropallene				BAS	Animalia				330	312					Pantopoda	Arthropoda				Austropallene brachyura		urn:lsid:marinespecies.org:taxname:173035			0a862a39-a10d-4c64-988a-2445d9e15089	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	321.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Austropallene brachyura	2	1065	1274	1302	1358	379601	379609	1564	173034	173035	173035	Austropallene brachyura	[]	295	4501	-0.61	33.15												
HumanObservation	39149	Pycnogonida	SOMBASE Pycnogonids							-66.5437011719	143.990600586		Callipallenidae		Austropallene				BAS	Animalia				898	832					Pantopoda	Arthropoda				Austropallene brachyura		urn:lsid:marinespecies.org:taxname:173035			0c53967a-7f87-4be4-8de6-e9a405a3ed5d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	865.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Austropallene brachyura	2	1065	1274	1302	1358	379601	379609	1564	173034	173035	173035	Austropallene brachyura	[]	782	36409	-1.67	34.12												
PreservedSpecimen	233822.286753	Pycnogonida	Invertebrate Zoology: Crustacea			Antarctica			26	-64.8450012207	-63.8533287048	1982-03-26T12:00:00Z	Callipallenidae		Austropallene			Child, C. Allan	USNM	Animalia		Antarctic Peninsula		330	312		3			Pantopoda	Arthropoda	Alcohol (Ethanol)			Austropallene brachyura	(Bouvier)	urn:lsid:marinespecies.org:taxname:173035		1982	11b2458c-742b-4dd1-9869-cee0860f0be0	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	321.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Austropallene brachyura	2	1065	1274	1302	1358	379601	379609	1564	173034	173035	173035	Austropallene brachyura	[]	295	4502	-0.61	33.15	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=1;	1.0	female	Antarctic Ocean	385948800000.0	385948800000.0	385948800000.0	1982.0		
HumanObservation	455	Pycnogonida	Weddell Sea macrozoobenthos EASIZ I						26	-71.57833333	-12.443334		Callipallenidae		Austropallene				AWI	Animalia		Kapp Norvegia area		560	560	2010-05-11T18:09Z	2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:455		Pantopoda	Arthropoda				Austropallene brachyura		urn:lsid:marinespecies.org:taxname:173035		1996	1229161e-0ac5-4095-a7bf-9b2d191bf92e	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	560.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Austropallene brachyura	2	1065	1274	1302	1358	379601	379609	1564	173034	173035	173035	Austropallene brachyura	[]	590	6631	-1.76	33.77											IMIS:dasid:2432	
PreservedSpecimen	233823.286754	Pycnogonida	Invertebrate Zoology: Crustacea			Antarctica			13	-72.1330032349	172.167007446	1958-01-13T12:00:00Z	Callipallenidae		Austropallene			Hedgpeth, J. W.	USNM	Animalia		Victoria Land, Mcmurdo Sound, Off Cape Hallett		433	433		1			Pantopoda	Arthropoda	Alcohol (Ethanol)			Austropallene brachyura	(Bouvier)	urn:lsid:marinespecies.org:taxname:173035		1958	19db179b-0662-474d-81a1-f57f52e10586	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	433.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Austropallene brachyura	2	1065	1274	1302	1358	379601	379609	1564	173034	173035	173035	Austropallene brachyura	[]	370	38554	-1.65	34.09	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=2;	2.0	male;;	Antarctic Ocean	-377654400000.0	-377654400000.0	-377654400000.0	1958.0		; juvenile
