basisOfRecord	catalogNumber	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	scientificName	scientificNameID	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	dynamicProperties	eventDate	identifiedBy	individualCount	lifeStage	preparations	scientificNameAuthorship	sex	waterBody	date_start	date_mid	date_end	date_year
HumanObservation	473	Weddell Sea macrozoobenthos EASIZ I	IMIS:dasid:2432	4	-70.48166667	-8.251667	AWI	Kapp Norvegia area	286	286	2010-05-11T18:09Z	3	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:473	Austropallene cristata	urn:lsid:marinespecies.org:taxname:173041	1996	031a0985-5254-4b94-ab3e-cb089ff0a8e8	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	286.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene cristata	2	1065	1274	1302	1358	379601	379609	1564	173034	173041	173041	Austropallene cristata	[]	285	2515	-1.71	33.71																
PreservedSpecimen	233816.286747	Invertebrate Zoology: Crustacea		20	-64.7872161865	-64.1222229004	USNM		110	90		2		Austropallene cristata	urn:lsid:marinespecies.org:taxname:173041	1973	0a0340fa-bcf2-4e9c-98f1-02e48ae08fff	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	100.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene cristata	2	1065	1274	1302	1358	379601	379609	1564	173034	173041	173041	Austropallene cristata	[]	112	619	-0.55	33.16	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	observedindividualcount=2;	1973-02-20T12:00:00Z	Child, C. Allan	2.0	; ovigerous	Alcohol (Ethanol)	(Bouvier)	male; female	Antarctic Ocean	99014400000.0	99014400000.0	99014400000.0	1973.0
HumanObservation	39543	SOMBASE Pycnogonids			-74.4045028687	-104.611099243	BAS		505	498				Austropallene cristata	urn:lsid:marinespecies.org:taxname:173041		119b7f8b-b18f-4edc-8e98-a493be433f49	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	501.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene cristata	2	1065	1274	1302	1358	379601	379609	1564	173034	173041	173041	Austropallene cristata	[]	497	38077	-1.54	33.22																
HumanObservation	37757	SOMBASE Pycnogonids			-55.1399993896	-34.6582984924	BAS		135	116				Austropallene cristata	urn:lsid:marinespecies.org:taxname:173041		1dc03df8-65cc-4024-bc90-c7008135a09d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	125.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene cristata	2	1065	1274	1302	1358	379601	379609	1564	173034	173041	173041	Austropallene cristata	[]	106	13772	1.3	33.79																
HumanObservation	39113	SOMBASE Pycnogonids			-74.398399353	-104.632102966	BAS		508	491				Austropallene cristata	urn:lsid:marinespecies.org:taxname:173041		1ff194ed-5df5-4675-beb2-23ac519a9b59	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	499.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene cristata	2	1065	1274	1302	1358	379601	379609	1564	173034	173041	173041	Austropallene cristata	[]	615	37184	-1.54	33.22																
HumanObservation	37768	SOMBASE Pycnogonids			-62.5965995789	-55.2682991028	BAS		140	140				Austropallene cristata	urn:lsid:marinespecies.org:taxname:173041		2bd266bd-b63a-4e30-be1e-b6fa7430afe7	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	140.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene cristata	2	1065	1274	1302	1358	379601	379609	1564	173034	173041	173041	Austropallene cristata	[]	149	50931	-1.39	33.76																
HumanObservation	34665	SOMBASE Pycnogonids			-54.0666999817	-36.4500007629	BAS		178	155				Austropallene cristata	urn:lsid:marinespecies.org:taxname:173041		30635d32-2fc3-4cac-b847-2e7346953d74	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	166.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene cristata	2	1065	1274	1302	1358	379601	379609	1564	173034	173041	173041	Austropallene cristata	[]	172	12680	1.81	33.77																
HumanObservation	472	Weddell Sea macrozoobenthos EASIZ I	IMIS:dasid:2432	24	-71.48833333	-14.325	AWI	Kapp Norvegia area	210	210	2010-05-11T18:09Z	2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:472	Austropallene cristata	urn:lsid:marinespecies.org:taxname:173041	1996	30704fd4-69cf-453c-b39d-4a369c7eb0a6	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	210.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene cristata	2	1065	1274	1302	1358	379601	379609	1564	173034	173041	173041	Austropallene cristata	[]	216	59219	-1.72	33.91																
HumanObservation	24219	SOMBASE Pycnogonids			-65.9665985107	-66.8499984741	BAS		154	154				Austropallene cristata	urn:lsid:marinespecies.org:taxname:173041		30927e5a-8070-48ee-96a1-eecc2c0ebe4c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	154.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene cristata	2	1065	1274	1302	1358	379601	379609	1564	173034	173041	173041	Austropallene cristata	[]	299	14489	-0.67	33.17																
PreservedSpecimen	233815.286746	Invertebrate Zoology: Crustacea		26	-64.7900009155	-64.1149978638	USNM		165	94		1		Austropallene cristata	urn:lsid:marinespecies.org:taxname:173041	1972	320dc482-2624-4cef-b4d2-f14313ad2dce	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	129.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene cristata	2	1065	1274	1302	1358	379601	379609	1564	173034	173041	173041	Austropallene cristata	['DEPTH_EXCEEDS_BATH']	103	586	-0.55	33.16	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	observedindividualcount=2;	1972-01-26T12:00:00Z	Child, C. Allan	2.0	juvenile	Alcohol (Ethanol)	(Bouvier)		Antarctic Ocean	65232000000.0	65232000000.0	65232000000.0	1972.0
