basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	identifiedBy	individualCount	lifeStage	locality	month	preparations	scientificNameAuthorship	sex	waterBody	year	date_start	date_mid	date_end	date_year
HumanObservation	24252	SOMBASE Pycnogonids	-65.2332992554	-64.1999969482	BAS	360.0	310.0	Austropallene gracilipes	urn:lsid:marinespecies.org:taxname:173042	017f8da3-d4d6-46f7-a34e-d55a624200a1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	335.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene gracilipes	2	1065	1274	1302	1358	379601	379609	1564	173034	173042	173042	Austropallene gracilipes	['DEPTH_EXCEEDS_BATH']	244	482	-0.74	33.08																				
PreservedSpecimen	233847.286776	Invertebrate Zoology: Crustacea	-64.7900009155	-64.1149978638	USNM	165.0	94.0	Austropallene gracilipes	urn:lsid:marinespecies.org:taxname:173042	051711d1-9d80-452f-bbf2-051a50fe9000	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	129.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene gracilipes	2	1065	1274	1302	1358	379601	379609	1564	173034	173042	173042	Austropallene gracilipes	['DEPTH_EXCEEDS_BATH']	103	586	-0.55	33.16	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	26	observedindividualcount=6;	1972-01-26T12:00:00Z	Child, C. Allan	6.0	;; juvenile	Antarctic Peninsula	1	Alcohol (Ethanol)	Gordon	male; female;;	Antarctic Ocean	1972	65232000000.0	65232000000.0	65232000000.0	1972.0
HumanObservation	24248	SOMBASE Pycnogonids	-64.8666000366	-63.6665992737	BAS	300.0	280.0	Austropallene gracilipes	urn:lsid:marinespecies.org:taxname:173042	0b7189e3-c2f8-44cd-b125-667faa349efc	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	290.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene gracilipes	2	1065	1274	1302	1358	379601	379609	1564	173034	173042	173042	Austropallene gracilipes	[]	294	1706	-0.64	33.16																				
PreservedSpecimen	233837.185719	Invertebrate Zoology: Crustacea	-54.8170013428	-129.800003052	USNM	549.0	549.0	Austropallene gracilipes	urn:lsid:marinespecies.org:taxname:173042	0f38e3b7-8be6-474b-86ee-3dd45445681d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	549.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene gracilipes	2	1065	1274	1302	1358	379601	379609	1564	173034	173042	173042	Austropallene gracilipes	[]	771	2046944	5.63	34.05	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010		7	observedindividualcount=1;	1964-11-07T12:00:00Z	Hedgpeth, J. W.	1.0		Southeast Pacific Basin	11	Alcohol (Ethanol)	Gordon	female	South Pacific Ocean	1964	-162518400000.0	-162518400000.0	-162518400000.0	1964.0
PreservedSpecimen	233836.286766	Invertebrate Zoology: Crustacea	-60.5830001831	-40.733001709	USNM	350.0	345.0	Austropallene gracilipes	urn:lsid:marinespecies.org:taxname:173042	108bac01-a2f9-40af-95ff-7d541e276426	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	347.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene gracilipes	2	1065	1274	1302	1358	379601	379609	1564	173034	173042	173042	Austropallene gracilipes	[]	2540	196270	-0.89	33.83	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	13	observedindividualcount=1;	1964-04-13T12:00:00Z	Child, C. Allan	1.0		South Orkney Islands	4	Alcohol (Ethanol)	Gordon	male	Antarctic Ocean	1964	-180489600000.0	-180489600000.0	-180489600000.0	1964.0
HumanObservation	24244	SOMBASE Pycnogonids	-64.7900009155	-64.1149978638	BAS	165.0	94.0	Austropallene gracilipes	urn:lsid:marinespecies.org:taxname:173042	2192b0a2-66e7-4992-bb11-05f805cf8cfe	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	129.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene gracilipes	2	1065	1274	1302	1358	379601	379609	1564	173034	173042	173042	Austropallene gracilipes	['DEPTH_EXCEEDS_BATH']	103	586	-0.55	33.16																				
PreservedSpecimen	233838.286767	Invertebrate Zoology: Crustacea	-76.3830032349	-163.466995239	USNM	510.0	509.0	Austropallene gracilipes	urn:lsid:marinespecies.org:taxname:173042	2f235974-ce76-453c-ad5a-404bdf7f2d7b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	509.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene gracilipes	2	1065	1274	1302	1358	379601	379609	1564	173034	173042	173042	Austropallene gracilipes	[]	531	153877	-1.65	33.9	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	29	observedindividualcount=2;	1968-01-29T12:00:00Z	Hedgpeth, J. W.	2.0	; larvae	W Of Cape Colbeck	1	Alcohol (Ethanol)	Gordon	female;;	Antarctic Ocean	1968	-60739200000.0	-60739200000.0	-60739200000.0	1968.0
PreservedSpecimen	233844.286773	Invertebrate Zoology: Crustacea	-64.7829971313	-64.1169967651	USNM			Austropallene gracilipes	urn:lsid:marinespecies.org:taxname:173042	360b124e-7df8-4329-9968-750609a3c8cc	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene gracilipes	2	1065	1274	1302	1358	379601	379609	1564	173034	173042	173042	Austropallene gracilipes	['NO_DEPTH']	91	366	-0.55	33.16	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	19	observedindividualcount=1;	1973-02-19T12:00:00Z	Child, C. Allan	1.0		Antarctic Peninsula	2	Alcohol (Ethanol)	Gordon	female	Antarctic Ocean	1973	98928000000.0	98928000000.0	98928000000.0	1973.0
PreservedSpecimen	233843.286772	Invertebrate Zoology: Crustacea	-64.3566665649	-61.4700012207	USNM	155.0	110.0	Austropallene gracilipes	urn:lsid:marinespecies.org:taxname:173042	414ab99c-acf3-4009-a40b-96a006c6cc22	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	132.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene gracilipes	2	1065	1274	1302	1358	379601	379609	1564	173034	173042	173042	Austropallene gracilipes	[]	107	885	-0.58	33.89	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	23	observedindividualcount=4;	1982-03-23T12:00:00Z	Child, C. Allan	4.0	;; juvenile	Antarctic Peninsula	3	Alcohol (Ethanol)	Gordon	male; female;;	Antarctic Ocean	1982	385689600000.0	385689600000.0	385689600000.0	1982.0
HumanObservation	34847	SOMBASE Pycnogonids	-66.3499984741	138.466598511	BAS	640.0	640.0	Austropallene gracilipes	urn:lsid:marinespecies.org:taxname:173042	419fef05-25cb-460f-be40-8e6bb3f0395f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	640.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene gracilipes	2	1065	1274	1302	1358	379601	379609	1564	173034	173042	173042	Austropallene gracilipes	[]	636	16705	-1.72	33.89																				
