basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	identifiedBy	individualCount	lifeStage	locality	month	preparations	scientificNameAuthorship	sex	waterBody	year	date_start	date_mid	date_end	date_year	datasetID	modified	occurrenceID
HumanObservation	37354	SOMBASE Pycnogonids	-65.7733001709	93.2165985107	BAS	94	94	Austropallene tcherniai	urn:lsid:marinespecies.org:taxname:173046	04194c4c-7ded-4d04-9be9-28766f8b9f11	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	94	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene tcherniai	2	1065	1274	1302	1358	379601	379609	1564	173034	173046	173046	Austropallene tcherniai	[]	107	24025	-1.56	33.79																							
HumanObservation	24258	SOMBASE Pycnogonids	-67.8249969482	-69.1668014526	BAS	65	65	Austropallene tcherniai	urn:lsid:marinespecies.org:taxname:173046	099531d7-d297-46df-b539-d8646e2cd192	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	65	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene tcherniai	2	1065	1274	1302	1358	379601	379609	1564	173034	173046	173046	Austropallene tcherniai	[]	217	8071	-0.97	32.71																							
HumanObservation	24260	SOMBASE Pycnogonids	-78.3833007812	-173.100006104	BAS	473	473	Austropallene tcherniai	urn:lsid:marinespecies.org:taxname:173046	17243e43-9f31-4168-abad-4ca2f7778716	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	473	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene tcherniai	2	1065	1274	1302	1358	379601	379609	1564	173034	173046	173046	Austropallene tcherniai	['ON_LAND']	479	-6753	-1.66	34.04																							
HumanObservation	24262	SOMBASE Pycnogonids	-75.8332977295	-173.133300781	BAS	476	476	Austropallene tcherniai	urn:lsid:marinespecies.org:taxname:173046	1f36e1d9-91c7-44e4-8a23-60c2d0b67784	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	476	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene tcherniai	2	1065	1274	1302	1358	379601	379609	1564	173034	173046	173046	Austropallene tcherniai	[]	499	251527	-1.68	34.04																							
PreservedSpecimen	233973.286888	Invertebrate Zoology: Crustacea	-67.8830032349	-69.1750030518	USNM	302	302	Austropallene tcherniai	urn:lsid:marinespecies.org:taxname:173046	2ce5a50f-d4c0-44f1-b0ef-44419b6fa82d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	302	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene tcherniai	2	1065	1274	1302	1358	379601	379609	1564	173034	173046	173046	Austropallene tcherniai	[]	305	9302	-0.96	32.66	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	24	observedindividualcount=1;	1966-01-24T12:00:00Z	Child, C. Allan	1.0	juvenile	Antarctic Peninsula, Palmer Archipelago, Off Adelaide Island	1	Alcohol (Ethanol)	Fage	female	Antarctic Ocean	1966	-124243200000.0	-124243200000.0	-124243200000.0	1966.0			
HumanObservation	21555	SOMBASE Pycnogonids	-71.5783004761	-12.4433002472	BAS	560	560	Austropallene tcherniai	urn:lsid:marinespecies.org:taxname:173046	2d3f0566-9046-4904-beda-b8a6549d206b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	560	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene tcherniai	2	1065	1274	1302	1358	379601	379609	1564	173034	173046	173046	Austropallene tcherniai	[]	590	6628	-1.76	33.77																							
HumanObservation	24256	SOMBASE Pycnogonids	-77.4499969482	166.5	BAS	320	320	Austropallene tcherniai	urn:lsid:marinespecies.org:taxname:173046	36e0b4b4-e406-4707-bb98-eaac72298e9c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	320	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene tcherniai	2	1065	1274	1302	1358	379601	379609	1564	173034	173046	173046	Austropallene tcherniai	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-297	-1373																									
HumanObservation	39724	SOMBASE Pycnogonids	-62.7352981567	-60.4616012573	BAS	80	80	Austropallene tcherniai	urn:lsid:marinespecies.org:taxname:173046	49c4d8a2-091b-4788-b8a6-b342bdeca1df	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	80	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene tcherniai	2	1065	1274	1302	1358	379601	379609	1564	173034	173046	173046	Austropallene tcherniai	[]	158	2241	-0.42	33.94																							
HumanObservation	477	Weddell Sea macrozoobenthos EASIZ I	-71.57833333	-12.443334	AWI	560	560	Austropallene tcherniai	urn:lsid:marinespecies.org:taxname:173046	5ac669ab-4188-408c-87b6-68ef451fa1c6	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	560	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene tcherniai	2	1065	1274	1302	1358	379601	379609	1564	173034	173046	173046	Austropallene tcherniai	[]	590	6631	-1.76	33.77				26						Kapp Norvegia area	2					1996					IMIS:dasid:2432	2010-05-11T18:09Z	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:477
PreservedSpecimen	233972.286887	Invertebrate Zoology: Crustacea	-77.4499969482	166.5	USNM	320	320	Austropallene tcherniai	urn:lsid:marinespecies.org:taxname:173046	7036b80a-eb3d-4969-8e58-a421a17f6471	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	320	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene tcherniai	2	1065	1274	1302	1358	379601	379609	1564	173034	173046	173046	Austropallene tcherniai	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-297	-1373			National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	18	observedindividualcount=1;	1956-02-18T12:00:00Z	Child, C. Allan	1.0	juvenile	Victoria Land, Mcmurdo Sound, Off Ross Island	2	Alcohol (Ethanol)	Fage		Antarctic Ocean	1956	-437702400000.0	-437702400000.0	-437702400000.0	1956.0			
