basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	identifiedBy	individualCount	locality	month	preparations	scientificNameAuthorship	sex	waterBody	year	date_start	date_mid	date_end	date_year	datasetID	modified	occurrenceID	occurrenceStatus	references	specificEpithet	typeStatus	superdomain	superdomainid
HumanObservation	22077	SOMBASE Pycnogonids	-63.5	-55.25	BAS	90	85	Austroraptus juvenilis	urn:lsid:marinespecies.org:taxname:172962	00c7aaf3-69d4-4f03-aadf-c225eb187640	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	87.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus juvenilis	2	1065	1274	1302	1358	379601	379608	1562	172959	172962	172962	Austroraptus juvenilis	[]	251	14709	-1.54	33.36																												
HumanObservation	38881	SOMBASE Pycnogonids	-66.5333023071	92.9832992554	BAS	42	42	Austroraptus juvenilis	urn:lsid:marinespecies.org:taxname:172962	02177e04-cb6e-4f1a-a3df-877578dbe8cf	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	42.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus juvenilis	2	1065	1274	1302	1358	379601	379608	1562	172959	172962	172962	Austroraptus juvenilis	[]	388	205	-1.56	33.71																												
HumanObservation	22079	SOMBASE Pycnogonids	-62.6665992737	-56.2165985107	BAS	507	494	Austroraptus juvenilis	urn:lsid:marinespecies.org:taxname:172962	02f9eea0-e1dd-4319-80a7-c413c238eaf8	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	500.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus juvenilis	2	1065	1274	1302	1358	379601	379608	1562	172959	172962	172962	Austroraptus juvenilis	[]	452	32328	-1.26	33.84																												
HumanObservation	21428	SOMBASE Pycnogonids	-71.0516967773	-11.4250001907	BAS	462	462	Austroraptus juvenilis	urn:lsid:marinespecies.org:taxname:172962	038c5e75-1255-4982-a607-052ce0854240	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	462.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus juvenilis	2	1065	1274	1302	1358	379601	379608	1562	172959	172962	172962	Austroraptus juvenilis	[]	455	5901	-1.72	33.76																												
HumanObservation	22090	SOMBASE Pycnogonids	-56.3965988159	-27.4099998474	BAS	230	161	Austroraptus juvenilis	urn:lsid:marinespecies.org:taxname:172962	058884f2-07eb-4959-ad86-c3b93bfdd13a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	195.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus juvenilis	2	1065	1274	1302	1358	379601	379608	1562	172959	172962	172962	Austroraptus juvenilis	[]	264	13099	-0.51	33.64																												
PreservedSpecimen	122313.284855	Invertebrate Zoology: Crustacea	-77.4329986572	169.5	USNM	321	321	Austroraptus juvenilis	urn:lsid:marinespecies.org:taxname:172962	07a04c6b-6bb3-423a-bf0a-51f651cc42d4	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	321.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus juvenilis	2	1065	1274	1302	1358	379601	379608	1562	172959	172962	172962	Austroraptus juvenilis	['ON_LAND']	652	-118	-1.6	34.35	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	18	observedindividualcount=1;	1956-02-18T12:00:00Z	Fry, W. G., Hedgpeth, J. W.	1.0	Victoria Land, Ross Island, Off Cape Crozier	2	Alcohol (Ethanol)	Calman	female	Antarctic Ocean	1956	-437702400000.0	-437702400000.0	-437702400000.0	1956.0									
HumanObservation	38956	SOMBASE Pycnogonids	-66.5419998169	92.5597000122	BAS	40	40	Austroraptus juvenilis	urn:lsid:marinespecies.org:taxname:172962	07ec03f6-9d85-46d9-bc20-94569ba0a057	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	40.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus juvenilis	2	1065	1274	1302	1358	379601	379608	1562	172959	172962	172962	Austroraptus juvenilis	[]	415	488	-1.56	33.71																												
HumanObservation	38950	SOMBASE Pycnogonids	-66.5333023071	92.9832992554	BAS	33	33	Austroraptus juvenilis	urn:lsid:marinespecies.org:taxname:172962	08c48a89-8716-4777-b779-8298af00024e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	33.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus juvenilis	2	1065	1274	1302	1358	379601	379608	1562	172959	172962	172962	Austroraptus juvenilis	[]	388	205	-1.56	33.71																												
HumanObservation	34216	SOMBASE Pycnogonids	-66.5	139.0	BAS	250	0	Austroraptus juvenilis	urn:lsid:marinespecies.org:taxname:172962	0a569940-bea7-4761-ab57-e8d8b8ea6366	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	125.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus juvenilis	2	1065	1274	1302	1358	379601	379608	1562	172959	172962	172962	Austroraptus juvenilis	[]	283	7011	-1.68	33.95																												
PreservedSpecimen	sm_id_851	WoRMS type localities	-71.28	170.23	WoRMS Editorial Board	91	82	Austroraptus juvenilis	urn:lsid:marinespecies.org:taxname:172962	0b819e07-b6b2-49b7-9ecc-f856077b2fa9	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	86.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus juvenilis	2	1065	1274	1302	1358	379601	379608	1562	172959	172962	172962	Austroraptus juvenilis	[]	61	1010	-1.68	34.02		Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Austroraptus juvenilis</i> Calman, 1915. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=172962		3		1912-01-03			Ross Sea	1		Calman, 1915			1912	-1830211200000.0	-1830211200000.0	-1830211200000.0	1912.0	https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_851	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=851	juvenilis	holotype	Biota	1.0
