basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	datasetID	decimalLatitude	decimalLongitude	eventDate	institutionCode	locality	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameAuthorship	scientificNameID	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	year	coordinateUncertaintyInMeters	datasetName	day	eventID	eventTime	fieldNumber	footprintSRS	identifiedBy	language	month	recordedBy	samplingProtocol	specificEpithet
HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_9007	Deep-sea Fauna of European Seas: Pycnogonida	https://marineinfo.org/id/dataset/5146	56.6	-11.5	1979/1999	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	“Challenger” St. ES 34	2515	2016-03-24 10:26:12	Deepsea_Pycnogonida_9007	present	Bathypallenopsis tritonis	Hoek, 1883	urn:lsid:marinespecies.org:taxname:134739	0a8469cd-776a-4a4b-acb2-5b725d3bd9f6	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2515	283996800000	615254400000	946598400000	1989	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis tritonis	1	2	1065	1274	1302	1358	379601	379609	236317	236477	240295	240295	Pallenopsis (Bathypallenopsis) tritonis	[]	2545.0	219270	11.86	35.41															
HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_9011	Deep-sea Fauna of European Seas: Pycnogonida	https://marineinfo.org/id/dataset/5146	50.31	-13.43	1962/2014	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	“Discovery”, St.10112-1	2640	2016-03-24 10:26:12	Deepsea_Pycnogonida_9011	present	Bathypallenopsis tritonis	Hoek, 1883	urn:lsid:marinespecies.org:taxname:134739	21dead81-2a20-4581-bed4-96b86a160f38	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2645	-252460800000	583718400000	1419984000000	1988	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis tritonis	1	2	1065	1274	1302	1358	379601	379609	236317	236477	240295	240295	Pallenopsis (Bathypallenopsis) tritonis	[]	2758.0	258845	13.63	35.56	2650.0														
HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_9008	Deep-sea Fauna of European Seas: Pycnogonida	https://marineinfo.org/id/dataset/5146	54.68	-12.3	1979/1999	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	“Challenger” St. ES190	2898	2016-03-24 10:26:12	Deepsea_Pycnogonida_9008	present	Bathypallenopsis tritonis	Hoek, 1883	urn:lsid:marinespecies.org:taxname:134739	3b8a6281-f26f-47a7-ad9f-4a9be6aeeb87	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2898	283996800000	615254400000	946598400000	1989	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis tritonis	1	2	1065	1274	1302	1358	379601	379609	236317	236477	240295	240295	Pallenopsis (Bathypallenopsis) tritonis	[]	2910.8	144995	12.18	35.43															
HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_9010	Deep-sea Fauna of European Seas: Pycnogonida	https://marineinfo.org/id/dataset/5146	50.06	-13.91	1962/2014	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	“Discovery”, St.9756-14	3690	2016-03-24 10:26:12	Deepsea_Pycnogonida_9010	present	Bathypallenopsis tritonis	Hoek, 1883	urn:lsid:marinespecies.org:taxname:134739	50e4f099-2b93-4afd-9948-9147102dd329	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	3690	-252460800000	583718400000	1419984000000	1988	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis tritonis	1	2	1065	1274	1302	1358	379601	379609	236317	236477	240295	240295	Pallenopsis (Bathypallenopsis) tritonis	[]	3566.0	302893	13.7	35.57															
HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_9001	Deep-sea Fauna of European Seas: Pycnogonida	https://marineinfo.org/id/dataset/5146	50.31	-13.11	1976/1976	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	INCAL, St. WS 01	2544	2016-03-24 10:26:12	Deepsea_Pycnogonida_9001	present	Bathypallenopsis tritonis	Hoek, 1883	urn:lsid:marinespecies.org:taxname:134739	557b3bfc-56fb-4163-b8a6-586575ad5bf5	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2547	189302400000	205027200000	220838400000	1976	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis tritonis	1	2	1065	1274	1302	1358	379601	379609	236317	236477	240295	240295	Pallenopsis (Bathypallenopsis) tritonis	[]	2569.4	241826	13.63	35.55	2550.0	1976													
HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_9002	Deep-sea Fauna of European Seas: Pycnogonida	https://marineinfo.org/id/dataset/5146	50.33	-12.93	1976/1976	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	INCAL, St. WS 02	2498	2016-03-24 10:26:12	Deepsea_Pycnogonida_9002	present	Bathypallenopsis tritonis	Hoek, 1883	urn:lsid:marinespecies.org:taxname:134739	5be4f1e5-3256-4ef2-bf89-aefd24bb2fd6	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2500	189302400000	205027200000	220838400000	1976	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis tritonis	1	2	1065	1274	1302	1358	379601	379609	236317	236477	240295	240295	Pallenopsis (Bathypallenopsis) tritonis	[]	2554.0	231080	13.64	35.55	2502.0	1976													
HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_9003	Deep-sea Fauna of European Seas: Pycnogonida	https://marineinfo.org/id/dataset/5146	56.43	-11.18	1976/1976	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	INCAL, St. DS 06	2494	2016-03-24 10:26:12	Deepsea_Pycnogonida_9003	present	Bathypallenopsis tritonis	Hoek, 1883	urn:lsid:marinespecies.org:taxname:134739	72a181b5-48da-4957-a702-10d1eb1d7b8b	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2494	189302400000	205027200000	220838400000	1976	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis tritonis	1	2	1065	1274	1302	1358	379601	379609	236317	236477	240295	240295	Pallenopsis (Bathypallenopsis) tritonis	[]	2522.2	217862	11.89	35.41		1976													
HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_9005	Deep-sea Fauna of European Seas: Pycnogonida	https://marineinfo.org/id/dataset/5146	48.43	-15.16	1976/1976	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	INCAL, St. CP 10	4823	2016-03-24 10:26:12	Deepsea_Pycnogonida_9005	present	Bathypallenopsis tritonis	Hoek, 1883	urn:lsid:marinespecies.org:taxname:134739	7b6a0b6a-1f28-47d7-8a95-695dfca0df14	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4823	189302400000	205027200000	220838400000	1976	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis tritonis	1	2	1065	1274	1302	1358	379601	379609	236317	236477	240295	240295	Pallenopsis (Bathypallenopsis) tritonis	[]	4837.0	493847	14.3	35.63		1976													
HumanObservation		16341	bio_dba	https://marineinfo.org/id/dataset/490	55.0	-12.0	1976-07-01T00:00:00+00:00		Golfe de Gascogne	2884	2022-01-18 09:29:51	Ifremer_bio_dba_16341	present	Bathypallenopsis tritonis		urn:lsid:marinespecies.org:taxname:134739	a5d73520-7764-44b7-9558-b9c6271d843f	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2884	205027200000	205027200000	205027200000	1976	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis tritonis	1	2	1065	1274	1302	1358	379601	379609	236317	236477	240295	240295	Pallenopsis tritonis	[]	2857.8	146201	12.14	35.43	2884.0	1976	50.0	Bigood	1	Sanders epibenthic sledge_197671_DS/E-7_NA	00:00:00+00:00	DS/E-7	EPSG:4326	STOCK Jan	en	7	LAUBIER Lucien	Sanders epibenthic sledge	tritonis
HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_9009	Deep-sea Fauna of European Seas: Pycnogonida	https://marineinfo.org/id/dataset/5146	56.43	-13.51	1979/1999	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	“Challenger” St. ES 264	2144	2016-03-24 10:26:12	Deepsea_Pycnogonida_9009	present	Bathypallenopsis tritonis	Hoek, 1883	urn:lsid:marinespecies.org:taxname:134739	a62615ce-256c-4cfc-9196-7010ba04dc66	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2144	283996800000	615254400000	946598400000	1989	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis tritonis	1	2	1065	1274	1302	1358	379601	379609	236317	236477	240295	240295	Pallenopsis (Bathypallenopsis) tritonis	[]	2262.8	321724	11.82	35.4															
