basisOfRecord	catalogNumber	class	collectionCode	continent	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventTime	family	fieldNumber	footprintWKT	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	dynamicProperties	identifiedBy	occurrenceRemarks	recordedBy	waterBody	associatedReferences	bibliographicCitation	individualCount	preparations	sex
Occurrence	256110022001010	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	10	64.55381	5.193458	2021-05-10T11:13:00+00:00/2021-05-10T11:18:00+00:00	Cruise: 58GS-2021104 Sample: 22	11:13:00+00:00/11:18:00+00:00	Nymphonidae	catchId: 10	LINESTRING(5.193458 64.55381,5.197702 64.555045)	Boreonymphon	IMR	Animalia	MAREANO Reference Station: 2561	1023.71	1018.2	2024-05-23 10:35:05	5	256110022001010	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Boreonymphon abyssorum	(Norman, 1873)	urn:lsid:marinespecies.org:taxname:134676	2021	091c0a86-592e-4a3c-8c68-611fd5e33795	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1020.955	1620604800000.0	1620604800000.0	1620604800000.0	2021.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon abyssorum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134589	134676	134676	Boreonymphon abyssorum	[]	1017.6	171778	9.69	34.9										
Occurrence	044410371001017	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	20	71.74	15.237	2009-09-20T16:42:00+00:00/2009-09-20T16:47:00+00:00	Cruise: 58GS-2009111 Sample: 371	16:42:00+00:00/16:47:00+00:00	Nymphonidae	catchId: 17	LINESTRING(15.237 71.74,15.235333 71.738167)	Boreonymphon	IMR	Animalia	MAREANO Reference Station: 444	1000.32	997.08	2024-05-23 10:35:05	9	044410371001017	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Boreonymphon abyssorum	(Norman, 1873)	urn:lsid:marinespecies.org:taxname:134676	2009	0d5afe53-f7b7-419c-9671-64a7cb134aae	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	998.7	1253404800000.0	1253404800000.0	1253404800000.0	2009.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon abyssorum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134589	134676	134676	Boreonymphon abyssorum	[]	992.2	214425	7.53	34.94										
Occurrence	147710532001018	Pycnogonida	IMRMarbunnBenthos	Barents Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	10	73.283438	34.940683	2015-06-10T23:36:00+00:00/2015-06-10T23:41:00+00:00	Cruise: 58GS-2015109 Sample: 532	23:36:00+00:00/23:41:00+00:00	Nymphonidae	catchId: 18	LINESTRING(34.940683 73.283438,34.93445 73.282348)	Boreonymphon	IMR	Animalia	MAREANO Reference Station: 1477	256.74	256.27	2024-05-23 10:35:05	6	147710532001018	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Boreonymphon abyssorum	(Norman, 1873)	urn:lsid:marinespecies.org:taxname:134676	2015	11756dc7-6624-4423-a335-4e8111a14a84	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	256.505	1433894400000.0	1433894400000.0	1433894400000.0	2015.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon abyssorum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134589	134676	134676	Boreonymphon abyssorum	[]	261.8	331303	4.6	34.98										
PreservedSpecimen	125	Pycnogonida	2007B4				22	79.9499969482	-5.57000017166				Nymphonidae	546-(546)		Boreonymphon	ArCOD	Animalia	Fram Strait	890.0	710.0		7			Pantopoda	Arthropoda		Boreonymphon abyssorum	Norman, 1873		1985	12800aab-9298-412f-a926-bcf904e28585	1d7b68ff-72ec-4a3a-b8e5-0e369c9696a3	['da50007b-7871-46cf-8530-441b5836d2c1']	800.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon abyssorum		2	1065	1274	1302	1358	379601	379609	1566	134589	134676	134676	Boreonymphon abyssorum	['DEPTH_EXCEEDS_BATH']	389.0	168301	-1.4	32.95	samplesize=ind per 1000m2;observedindividualcount=4;	Dieter Piepenburg	globaluniqueidentifier: ArcOD:2007B4:125 collectingmethod: Agassiz Trawl platform: Polarstern ARK_3	Dieter Piepenburg	Arctic Ocean					
Occurrence	025710018014019	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	23	69.126167	14.109	2008-06-23T11:11:00+00:00/2008-06-23T11:16:00+00:00	Cruise: 58GS-2008104 Sample: 18	11:11:00+00:00/11:16:00+00:00	Nymphonidae	catchId: 19	LINESTRING(14.109 69.126167,14.114167 69.127167)	Boreonymphon	IMR	Animalia	MAREANO Reference Station: 257	1062.5	1053.71	2024-05-23 10:35:05	6	025710018014019	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Boreonymphon abyssorum	(Norman, 1873)	urn:lsid:marinespecies.org:taxname:134676	2008	14f1afbc-11f7-4e95-a1f3-02c04f67802a	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1058.105	1214179200000.0	1214179200000.0	1214179200000.0	2008.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon abyssorum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134589	134676	134676	Boreonymphon abyssorum	[]	1079.4	35018	8.23	34.74										
PreservedSpecimen	151908.289867	Pycnogonida	Invertebrate Zoology: Crustacea				10	66.1999969482	-27.1669998169	1973-09-10T12:00:00Z			Nymphonidae			Boreonymphon	USNM	Animalia	Denmark Strait, W Of Iceland	495.0	490.0		9			Pantopoda	Arthropoda		Boreonymphon abyssorum	(Norman)	urn:lsid:marinespecies.org:taxname:134676	1973	1b059cdb-e865-4c47-9a38-fd71e5cdd78a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	492.5	116467200000.0	116467200000.0	116467200000.0	1973.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon abyssorum		2	1065	1274	1302	1358	379601	379609	1566	134589	134676	134676	Boreonymphon abyssorum	[]	506.0	142618	4.66	33.74	observedindividualcount=8;	Child, C. Allan		H. Walther	North Atlantic Ocean	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	8.0	Alcohol (Ethanol)	male; female
PreservedSpecimen	117	Pycnogonida	2007B4				20	79.3399963379	-7.73000001907				Nymphonidae	536-(536)		Boreonymphon	ArCOD	Animalia	Fram Strait	190.0	180.0		7			Pantopoda	Arthropoda		Boreonymphon abyssorum	Norman, 1873		1985	1cd67dab-5ea7-4a79-a86d-b628846ed45e	1d7b68ff-72ec-4a3a-b8e5-0e369c9696a3	['da50007b-7871-46cf-8530-441b5836d2c1']	185.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon abyssorum		2	1065	1274	1302	1358	379601	379609	1566	134589	134676	134676	Boreonymphon abyssorum	[]	196.0	165219	-1.32	32.62	samplesize=ind per 1000m2;observedindividualcount=107;	Dieter Piepenburg	globaluniqueidentifier: ArcOD:2007B4:117 collectingmethod: Agassiz Trawl platform: Polarstern ARK_3	Dieter Piepenburg	Arctic Ocean					
Occurrence	210810018001001	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	29	79.116076	6.153631	2019-10-29T19:10:00+00:00/2019-10-29T19:15:00+00:00	Cruise: 58GS-2019115 Sample: 18	19:10:00+00:00/19:15:00+00:00	Nymphonidae	catchId: 1	LINESTRING(6.153631 79.116076,6.153636 79.114)	Boreonymphon	IMR	Animalia	MAREANO Reference Station: 2108	1229.09	1228.69	2024-05-23 10:35:05	10	210810018001001	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Boreonymphon abyssorum	(Norman, 1873)	urn:lsid:marinespecies.org:taxname:134676	2019	1e6621a1-9cb7-4ebe-8f27-33e4c70c2bd3	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1228.8899999999999	1572307200000.0	1572307200000.0	1572307200000.0	2019.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon abyssorum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134589	134676	134676	Boreonymphon abyssorum	[]	1252.0	95069	3.47	34.73										
Occurrence	088210015013009	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	8	67.280725	8.121323	2012-05-08T08:05:00+00:00/2012-05-08T08:10:00+00:00	Cruise: 58GS-2012106 Sample: 15	08:05:00+00:00/08:10:00+00:00	Nymphonidae	catchId: 9	LINESTRING(8.121323 67.280725,8.11713 67.279452)	Boreonymphon	IMR	Animalia	MAREANO Reference Station: 882	1113.51	1111.43	2024-05-23 10:35:05	5	088210015013009	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Boreonymphon abyssorum	(Norman, 1873)	urn:lsid:marinespecies.org:taxname:134676	2012	205e4d3f-b5d8-413a-b674-b5057abd872d	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1112.47	1336435200000.0	1336435200000.0	1336435200000.0	2012.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon abyssorum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134589	134676	134676	Boreonymphon abyssorum	[]	1112.4	159861	9.02	35.12										
Occurrence	024310013011020	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	18	68.578333	13.719167	2008-06-18T08:55:00+00:00/2008-06-18T09:00:00+00:00	Cruise: 58GS-2008104 Sample: 13	08:55:00+00:00/09:00:00+00:00	Nymphonidae	catchId: 20	LINESTRING(13.719167 68.578333,13.714333 68.5795)	Boreonymphon	IMR	Animalia	MAREANO Reference Station: 243	139.07	138.82	2024-05-23 10:35:05	6	024310013011020	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Boreonymphon abyssorum	(Norman, 1873)	urn:lsid:marinespecies.org:taxname:134676	2008	229cb8c8-0f09-453e-b09e-8a5631e12d54	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	138.945	1213747200000.0	1213747200000.0	1213747200000.0	2008.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon abyssorum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134589	134676	134676	Boreonymphon abyssorum	[]	139.6	22608	7.85	34.23										
