basisOfRecord	catalogNumber	class	collectionCode	continent	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventTime	family	fieldNumber	footprintWKT	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	individualCount	institutionID	language	license	rightsHolder	specificEpithet	taxonID	taxonRank	type	verbatimIdentification
Occurrence	166310021001020	Pycnogonida	IMRMarbunnBenthos	Barents Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	30	73.833333	25.8915	2016-09-30T16:46:00+00:00/2016-09-30T16:53:00+00:00	Cruise: 58GS-2016113 Sample: 21	16:46:00+00:00/16:53:00+00:00	Nymphonidae	catchId: 20	LINESTRING(25.8915 73.833333,25.901167 73.832833)	Boreonymphon	IMR	Animalia	MAREANO Reference Station: 1663	464.59	456.74	2024-05-23 10:35:05	9	166310021001020	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Boreonymphon ossiansarsi	Knaben in Just, 1972	urn:lsid:marinespecies.org:taxname:134678	2016	1c91192e-b01b-4eee-81c6-b883a195279d	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	460.66499999999996	1475193600000	1475193600000	1475193600000	2016	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon ossiansarsi	1	2	1065	1274	1302	1358	379601	379609	1566	134589	134678	134678	Boreonymphon ossiansarsi	[]	458.2	212342	5.46	35.04										
Occurrence	245810009001005	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	19	62.74068	2.822775	2021-04-19T01:29:00+00:00/2021-04-19T01:36:00+00:00	Cruise: 58GS-2021103 Sample: 9	01:29:00+00:00/01:36:00+00:00	Nymphonidae	catchId: 5	LINESTRING(2.822775 62.74068,2.818528 62.738478)	Boreonymphon	IMR	Animalia	MAREANO Reference Station: 2458	603.2	601.54	2024-05-23 10:35:05	4	245810009001005	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Boreonymphon ossiansarsi	Knaben in Just, 1972	urn:lsid:marinespecies.org:taxname:134678	2021	2025d1bc-483c-44ac-a4ad-39bf3cbce261	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	602.37	1618790400000	1618790400000	1618790400000	2021	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon ossiansarsi	1	2	1065	1274	1302	1358	379601	379609	1566	134589	134678	134678	Boreonymphon ossiansarsi	[]	603.0	131847	9.89	35.0										
Occurrence	161310013001044	Pycnogonida	IMRMarbunnBenthos	Barents Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	23	76.485167	27.611	2016-09-23T01:02:00+00:00/2016-09-23T01:07:00+00:00	Cruise: 58GS-2016113 Sample: 13	01:02:00+00:00/01:07:00+00:00	Nymphonidae	catchId: 44	LINESTRING(27.611 76.485167,27.611 76.487333)	Boreonymphon	IMR	Animalia	MAREANO Reference Station: 1613	134.29	133.25	2024-05-23 10:35:05	9	161310013001044	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Boreonymphon ossiansarsi	Knaben in Just, 1972	urn:lsid:marinespecies.org:taxname:134678	2016	5675411a-4878-4846-9414-3346be6f09d2	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	133.76999999999998	1474588800000	1474588800000	1474588800000	2016	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon ossiansarsi	1	2	1065	1274	1302	1358	379601	379609	1566	134589	134678	134678	Boreonymphon ossiansarsi	[]	134.6	59703	0.7	34.05										
Occurrence	170910008001019	Pycnogonida	IMRMarbunnBenthos	Barents Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	4	73.9575	23.005167	2017-04-04T18:07:00+00:00/2017-04-04T18:12:00+00:00	Cruise: 58GS-2017103 Sample: 8	18:07:00+00:00/18:12:00+00:00	Nymphonidae	catchId: 19	LINESTRING(23.005167 73.9575,23.011167 73.958833)	Boreonymphon	IMR	Animalia	MAREANO Reference Station: 1709	451.0	450.96	2024-05-23 10:35:05	4	170910008001019	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Boreonymphon ossiansarsi	Knaben in Just, 1972	urn:lsid:marinespecies.org:taxname:134678	2017	5b814d2f-01c7-4e4c-91b9-f1b0aab33fc8	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	450.98	1491264000000	1491264000000	1491264000000	2017	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon ossiansarsi	1	2	1065	1274	1302	1358	379601	379609	1566	134589	134678	134678	Boreonymphon ossiansarsi	[]	456.4	124404	5.17	34.95										
Occurrence	255810021001005	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	10	64.608558	4.891682	2021-05-10T01:16:00+00:00/2021-05-10T01:21:00+00:00	Cruise: 58GS-2021104 Sample: 21	01:16:00+00:00/01:21:00+00:00	Nymphonidae	catchId: 5	LINESTRING(4.891682 64.608558,4.896457 64.609382)	Boreonymphon	IMR	Animalia	MAREANO Reference Station: 2558	1036.33	1033.18	2024-05-23 10:35:05	5	255810021001005	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Boreonymphon ossiansarsi	Knaben in Just, 1972	urn:lsid:marinespecies.org:taxname:134678	2021	72c9df57-93ea-40b2-b63c-0c108c2cea0a	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1034.755	1620604800000	1620604800000	1620604800000	2021	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon ossiansarsi	1	2	1065	1274	1302	1358	379601	379609	1566	134589	134678	134678	Boreonymphon ossiansarsi	[]	1037.4	187311	9.62	34.97										
Occurrence	081810011009030	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	5	67.598167	9.327833	2012-05-05T08:53:00+00:00/2012-05-05T08:58:00+00:00	Cruise: 58GS-2012106 Sample: 11	08:53:00+00:00/08:58:00+00:00	Nymphonidae	catchId: 30	LINESTRING(9.327833 67.598167,9.333298 67.59807)	Boreonymphon	IMR	Animalia	MAREANO Reference Station: 818	905.0	890.39	2024-05-23 10:35:05	5	081810011009030	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Boreonymphon ossiansarsi	Knaben in Just, 1972	urn:lsid:marinespecies.org:taxname:134678	2012	7d3e966c-93e9-443a-88ae-fe66352535c2	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	897.6949999999999	1336176000000	1336176000000	1336176000000	2012	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon ossiansarsi	1	2	1065	1274	1302	1358	379601	379609	1566	134589	134678	134678	Boreonymphon ossiansarsi	[]	910.2	108614	8.94	34.99										
Occurrence	166110020001027	Pycnogonida	IMRMarbunnBenthos	Barents Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	30	74.247	26.185833	2016-09-30T01:00:00+00:00/2016-09-30T01:05:00+00:00	Cruise: 58GS-2016113 Sample: 20	01:00:00+00:00/01:05:00+00:00	Nymphonidae	catchId: 27	LINESTRING(26.185833 74.247,26.186167 74.244833)	Boreonymphon	IMR	Animalia	MAREANO Reference Station: 1661	411.71	409.44	2024-05-23 10:35:05	9	166110020001027	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Boreonymphon ossiansarsi	Knaben in Just, 1972	urn:lsid:marinespecies.org:taxname:134678	2016	7f135d68-0bc3-4df9-b9a6-1d575ae75719	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	410.575	1475193600000	1475193600000	1475193600000	2016	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon ossiansarsi	1	2	1065	1274	1302	1358	379601	379609	1566	134589	134678	134678	Boreonymphon ossiansarsi	[]	409.8	208661	5.08	35.01										
PreservedSpecimen	6596	Pycnogonida	MuseumCollection		dfo_que_mli_museum	DFO Quebec Region MLI museum collection	17	69.15833333	-105.8783333	1966-08-17			Nymphonidae	SAB 66-1091,1095 183		Boreonymphon	IML	Animalia	Starvation Cove	53.0	53.0		8	DFO_MLI_MuseumCollection_6596		Pantopoda	Arthropoda		Boreonymphon ossiansarsi	Knaben in Just, 1972	urn:lsid:marinespecies.org:taxname:134678	1966	811c24f4-7044-4963-a6b4-a99fd567f1eb	1febfcdd-3e1b-46db-b73d-1bbe81ce22a6	['7dfb2d90-9317-434d-8d4e-64adf324579a']	53.0	-106531200000	-106531200000	-106531200000	1966	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon ossiansarsi	1	2	1065	1274	1302	1358	379601	379609	1566	134589	134678	134678	Boreonymphon ossiansarsi	[]	16.0	1709	-0.29	28.17	5	https://edmo.seadatanet.org/report/4160	en	http://creativecommons.org/licenses/by/4.0/legalcode	His Majesty the King in right of Canada, as represented by the Minister of Fisheries and Oceans	ossiansarsi	083_00403	species	PhysicalObject	Boreonymphon ossiansarsi
Occurrence	164110017001040	Pycnogonida	IMRMarbunnBenthos	Barents Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	26	75.368333	26.618167	2016-09-26T21:35:00+00:00/2016-09-26T21:40:00+00:00	Cruise: 58GS-2016113 Sample: 17	21:35:00+00:00/21:40:00+00:00	Nymphonidae	catchId: 40	LINESTRING(26.618167 75.368333,26.619833 75.370333)	Boreonymphon	IMR	Animalia	MAREANO Reference Station: 1641	186.03	184.33	2024-05-23 10:35:05	9	164110017001040	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Boreonymphon ossiansarsi	Knaben in Just, 1972	urn:lsid:marinespecies.org:taxname:134678	2016	8bffb454-fe26-45c2-bbb6-072dfc07e1cf	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	185.18	1474848000000	1474848000000	1474848000000	2016	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon ossiansarsi	1	2	1065	1274	1302	1358	379601	379609	1566	134589	134678	134678	Boreonymphon ossiansarsi	[]	190.4	127743	2.58	34.55										
Occurrence	135010277001005	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	21	63.651067	5.493517	2014-06-21T15:22:00+00:00/2014-06-21T15:28:00+00:00	Cruise: 58GS-2014208 Sample: 277	15:22:00+00:00/15:28:00+00:00	Nymphonidae	catchId: 5	LINESTRING(5.493517 63.651067,5.493333 63.653167)	Boreonymphon	IMR	Animalia	MAREANO Reference Station: 1350	966.4	953.6	2024-05-23 10:35:05	6	135010277001005	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Boreonymphon ossiansarsi	Knaben in Just, 1972	urn:lsid:marinespecies.org:taxname:134678	2014	eacaf59c-648c-465d-beab-1a57d1604202	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	960.0	1403308800000	1403308800000	1403308800000	2014	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon ossiansarsi	1	2	1065	1274	1302	1358	379601	379609	1566	134589	134678	134678	Boreonymphon ossiansarsi	[]	900.0	98474	9.78	34.61										
