basisOfRecord	catalogNumber	collectionCode	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventRemarks	footprintSRS	language	modified	month	occurrenceID	occurrenceStatus	parentEventID	recordedBy	samplingProtocol	scientificName	scientificNameID	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	institutionCode	maximumDepthInMeters	minimumDepthInMeters	depth	bibliographicCitation	coordinateUncertaintyInMeters	locality	occurrenceRemarks	scientificNameAuthorship	specificEpithet	coordinatePrecision	country	footprintWKT	sex	taxonRank	continent	individualCount	preparations	references	samplingEffort	collectionID	countryCode
Occurrence	MRCCW10000052596	Marine Recorder Snapshot extract of surveys entered by NRW	https://marineinfo.org/id/dataset/8017	Marine Recorder Snapshot extract of surveys entered by NRW	27	51.55144	-5.034205	1996-03-27	R38*9	sample	EPSG:4326	en	2022-01-18 09:29:51	3	MRCCW10000052596	present	MRCCW10000001667	Contact: enquiries@naturalresourceswales.gov.uk	MRCCW10000000077_METH_001	Callipallene emaciata	urn:lsid:marinespecies.org:taxname:150563	1996	0028db81-04e1-44f6-a4bb-836d859d51f2	df6977ea-a704-4c48-bd46-ebbbb95e0bbc	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	827884800000.0	827884800000.0	827884800000.0	1996.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene emaciata	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	150563	150563	Callipallene emaciata	['NO_DEPTH']	46.8	6614	12.32	33.77																						
Occurrence	RSMP_CEFAS_MHN_10502_872399		https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	1	50.54008	-1.85014	2006-01-01	CEFAS_MHN_10502	sample	EPSG:4326	en	2018-04-09 15:18:52	1	RSMP_CEFAS_MHN_10502_872399	present				Callipallene emaciata	urn:lsid:marinespecies.org:taxname:150563	2006	04793821-9c21-4a2e-869a-53f1a174d98f	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1136073600000.0	1136073600000.0	1136073600000.0	2006.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene emaciata	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	150563	150563	Callipallene emaciata	[]	34.0	9353	12.68	34.58	CEFAS	34.0	34.0	34.0																		
Occurrence	314936	Tisbe	https://marineinfo.org/id/dataset/82			45.958523973682	-1.731034726156						2005-04-04 10:20:42		urn:catalog:VLIZ:Tisbe:314936	present				Callipallene emaciata	urn:lsid:marinespecies.org:taxname:150563		0687097e-0bb0-4d4b-a2bd-70c05adeee9c	10fe54bb-b93b-4f00-bf4c-bd51542614ef	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']					False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene emaciata	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	150563	150563	Callipallene emaciata	['NO_DEPTH']	43.0	26013	15.15	34.01	VLIZ				King, P.E. (1974). British Sea Spiders.  Synopses of the British Fauna 5.	965359.0	French Exclusive Economic Zone	AphiaID: 150563	(Dohrn, 1881)	emaciata												
Occurrence	RSMP_UMD4300806_50A_872389		https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	17	52.27867	2.02017	2006-08-17	UMD4300806_50A	sample	EPSG:4326	en	2018-04-09 15:18:52	8	RSMP_UMD4300806_50A_872389	present				Callipallene emaciata	urn:lsid:marinespecies.org:taxname:150563	2006	0a5b94fc-e154-482e-a4e3-2f08ece247e4	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1155772800000.0	1155772800000.0	1155772800000.0	2006.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene emaciata	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	150563	150563	Callipallene emaciata	[]	36.2	23461	11.83	34.28	CEFAS	37.34	37.34	37.34																		
Occurrence	MRCCW10000063901	Marine Recorder Snapshot extract of surveys entered by NRW	https://marineinfo.org/id/dataset/8017	Marine Recorder Snapshot extract of surveys entered by NRW	14	51.70807	-5.152102	1996-10-14	R48*33	sample	EPSG:4326	en	2022-01-18 09:29:51	10	MRCCW10000063901	present	MRCCW10000002081	Contact: enquiries@naturalresourceswales.gov.uk	MRCCW10000000082_METH_001	Callipallene emaciata	urn:lsid:marinespecies.org:taxname:150563	1996	0f80d777-dbf7-4708-bc35-3335c5556d14	df6977ea-a704-4c48-bd46-ebbbb95e0bbc	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	845251200000.0	845251200000.0	845251200000.0	1996.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene emaciata	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	150563	150563	Callipallene emaciata	['NO_DEPTH']	-3.6	459	12.11	33.87																						
PreservedSpecimen	P.42879	co113				-28.61333	153.62999	1992-03-03					2017-03-02T15:57:56		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42879	present				Callipallene emaciata	urn:lsid:marinespecies.org:taxname:150563		0f97c774-3faf-4b49-9f3f-4ac147618da3	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	699580800000.0	699580800000.0	699580800000.0	1992.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene emaciata		2	1065	1274	1302	1358	379601	379609	1564	134581	150563	150563	Callipallene micrantha	['NO_DEPTH']	23.23	176	23.31	35.4	AM					1000	Byron Bay, 100 m north-west of Julian Rocks			emaciata	0.009	Australia	POINT (153.62999 -28.61333)	Female	species							
Occurrence	314937	Tisbe	https://marineinfo.org/id/dataset/82			50.59000015258789	-1.9700000286102295						2005-04-04 10:20:42		urn:catalog:VLIZ:Tisbe:314937	present				Callipallene emaciata	urn:lsid:marinespecies.org:taxname:150563		1435a926-e060-4dd7-a6da-79aa801846a4	10fe54bb-b93b-4f00-bf4c-bd51542614ef	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']					False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene emaciata	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	150563	150563	Callipallene emaciata	['NO_DEPTH']	-1.0	141	12.68	34.57	VLIZ				Hayward, P.J.; Ryland, J.S. (Ed.) (1990). The marine fauna of the British Isles and North-West Europe: 1. Introduction and protozoans to arthropods. Clarendon Press: Oxford, UK. ISBN 0-19-857356-1. 627 pp.		South Coast of England	AphiaID: 150563	(Dohrn, 1881)	emaciata												
HumanObservation	DASSHDT00000006_HG_52_150563	The Marine Biological Association of the United Kingdom	https://marineinfo.org/id/dataset/5247		3	50.7248	-0.89684	2007-09-03	DASSHDT00000006_HG_52				2014-08-18 00:00:00	9	DASSH_DASSHDT00000006_HG_52_150563	present			Sampling instrument: 50: Sediment Grab	Callipallene emaciata	urn:lsid:marinespecies.org:taxname:150563	2007	1449d486-b57a-4629-b60e-b2d5a2245a98	0c1cb7e9-c7d1-4643-b245-daa8839a183f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1188777600000.0	1188777600000.0	1188777600000.0	2007.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene emaciata	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	150563	150563	Callipallene emaciata	[]	11.0	4752	12.67	34.1	Marine Biological Association of the UK (MBA)	12.14	12.14	12.14		100.0	MALSF South Coast Regional Environmental Charasteriation Survey - Hamon Grab									North East Atlantic	1.0	National Marine Biological Analytical Quality Control scheme; Formalin	http://www.cefas.defra.gov.uk/alsf.aspx	1.000m2		
PreservedSpecimen	143980	FSBC I				24.558333	-81.721666	1977-01-06	0298dc71-4835-4bfc-9871-914919cf06eb						d1b03b7a-6904-4c31-8ccf-4b13f059443b	Present				Callipallene emaciata	urn:lsid:marinespecies.org:taxname:150563		16ab346c-080a-463f-b660-34ab6f30b842	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	221356800000.0	221356800000.0	221356800000.0	1977.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene emaciata		2	1065	1274	1302	1358	379601	379609	1564	134581	150563	150563	Callipallene emaciata	[]	2.0	289	26.76	36.1		1.5	1.0	1.25																	56bf7b66-ed07-4b91-9f0d-1f00de11fab8	US
Occurrence	MRMIT6000001AD10	Marine Recorder Snapshot extract of surveys entered by JNCC	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	3	50.54012	-1.849997	2006-08-03	MRMIT6000000025E.02	sample	EPSG:4326	en	2022-01-18 09:29:51	8	MRMIT6000001AD10	present	MRMIT6000000025E	Contact: MarineRecorder@jncc.gov.uk	MRMIT6000000001C_METH_003	Callipallene emaciata	urn:lsid:marinespecies.org:taxname:150563	2006	19ebf3a4-cfa4-42b3-9689-a8aadbd050ab	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1154563200000.0	1154563200000.0	1154563200000.0	2006.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene emaciata	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	150563	150563	Callipallene emaciata	[]	33.4	9358	12.68	34.58		34.0	34.0	34.0									LINESTRING (-1.850025 50.5401313, -1.849912 50.540190337)									
