basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	institutionCode	kingdom	language	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	startDayOfYear	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	individualCount	locality
HumanObservation	Stn WS 229 Callipallene margarita	Pycnogonida	Discovery Reports	500	Discovery Expedition Biological Reports	1	-50.4167	-57.3333	1928-07-01	79	Callipallenidae	Stn WS 229	POINT (-57.3333 -50.4167)	Callipallene	WGS84	NIWA	Animalia	en	271	210	2019-03-15	7	5429	Net of 4mm mesh attached to commercial otter trawl	present	Pantopoda	Arthropoda	Net of 4mm mesh attached to commercial otter trawl	Callipallene margarita	(Gordon, 1932)	urn:lsid:marinespecies.org:taxname:173051	margarita	183	Atlantic Ocean	1928	06b6aa80-4a75-47d7-bf15-79d1032eea49	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	240.5	-1309737600000.0	-1309737600000.0	-1309737600000.0	1928.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Callipallene margarita	2	1065	1274	1302	1358	379601	379609	1564	134581	173051	173051	Callipallene margarita	[]	345	113502	6.89	34.04		
HumanObservation	Stn WS 212 Callipallene margarita	Pycnogonida	Discovery Reports	500	Discovery Expedition Biological Reports	30	-49.3667	-60.1667	1928-05-30	74	Callipallenidae	Stn WS 212	POINT (-60.1667 -49.3667)	Callipallene	WGS84	NIWA	Animalia	en	249	242	2019-03-15	5	5425	Commerical otter trawl	present	Pantopoda	Arthropoda	Commerical otter trawl	Callipallene margarita	(Gordon, 1932)	urn:lsid:marinespecies.org:taxname:173051	margarita	151	Atlantic Ocean	1928	077fc94d-876a-446b-a0b1-e00a710bce00	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	245.5	-1312502400000.0	-1312502400000.0	-1312502400000.0	1928.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Callipallene margarita	2	1065	1274	1302	1358	379601	379609	1564	134581	173051	173051	Callipallene margarita	[]	230	195849	8.02	34.06		
HumanObservation	34650	Pycnogonida	SOMBASE Pycnogonids				-52.0	-62.6666984558			Callipallenidae			Callipallene		BAS	Animalia		253	247						Pantopoda	Arthropoda		Callipallene margarita		urn:lsid:marinespecies.org:taxname:173051					086c09a2-31af-4e3b-be6e-f7e4a471b5ef	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	250.0					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Callipallene margarita	2	1065	1274	1302	1358	379601	379609	1564	134581	173051	173051	Callipallene margarita	[]	228	92317	7.02	34.02		
HumanObservation	34646	Pycnogonida	SOMBASE Pycnogonids				-51.1333007812	-56.8333015442			Callipallenidae			Callipallene		BAS	Animalia		152	144						Pantopoda	Arthropoda		Callipallene margarita		urn:lsid:marinespecies.org:taxname:173051					0b68f56e-1f98-4262-9732-3a4feecd82a2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	148.0					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Callipallene margarita	2	1065	1274	1302	1358	379601	379609	1564	134581	173051	173051	Callipallene margarita	[]	316	74869	6.64	34.04		
HumanObservation	Stn 42 Callipallene margarita	Pycnogonida	Discovery Reports	1000	Discovery Expedition Biological Reports	1	-54.1565	-36.3667	1926-04-01	217	Callipallenidae	Stn 42	LINESTRING (-36.313 -54.1814, -36.4204 -54.1316)	Callipallene	WGS84	NIWA	Animalia	en	204	120	2019-03-15	4	5422	Large otter trawl and Net with mesh of 7mm attached to back of trawl	present	Pantopoda	Arthropoda	Large otter trawl and Net with mesh of 7mm attached to back of trawl	Callipallene margarita	(Gordon, 1932)	urn:lsid:marinespecies.org:taxname:173051	margarita	91	Atlantic Ocean	1926	0d632f8c-3644-4573-8e5d-07d54d80262f	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	162.0	-1380758400000.0	-1380758400000.0	-1380758400000.0	1926.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Callipallene margarita	2	1065	1274	1302	1358	379601	379609	1564	134581	173051	173051	Callipallene margarita	[]	260	8721	1.82	33.77	3	Off mouth of Cumberland Bay, South Georgia. From 6.3 miles N 89 E of Jason Light to 4 miles N 39 E of Jason Light
HumanObservation	24285	Pycnogonida	SOMBASE Pycnogonids				-54.7666015625	-65.0500030518			Callipallenidae			Callipallene		BAS	Animalia		265	229						Pantopoda	Arthropoda		Callipallene margarita		urn:lsid:marinespecies.org:taxname:173051					15cac75b-f191-4122-9e39-bd6d1d7f9105	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	247.0					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Callipallene margarita	2	1065	1274	1302	1358	379601	379609	1564	134581	173051	173051	Callipallene margarita	['DEPTH_EXCEEDS_BATH']	85	9593	6.98	33.95		
HumanObservation	Stn WS 234 Callipallene margarita	Pycnogonida	Discovery Reports	500	Discovery Expedition Biological Reports	5	-48.8667	-60.4167	1928-07-05	121	Callipallenidae	Stn WS 234	POINT (-60.4167 -48.8667)	Callipallene	WGS84	NIWA	Animalia	en	207	195	2019-03-15	7	5430	Commercial otter trawl: Head rope 24.5m; mesh at cod-end 3.8cm	present	Pantopoda	Arthropoda	Commercial otter trawl: Head rope 24.5 m; mesh at cod-end 3.8cm	Callipallene margarita	(Gordon, 1932)	urn:lsid:marinespecies.org:taxname:173051	margarita	187	Atlantic Ocean	1928	28c3d50c-4c09-464f-b1d2-57e94184919d	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	201.0	-1309392000000.0	-1309392000000.0	-1309392000000.0	1928.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Callipallene margarita	2	1065	1274	1302	1358	379601	379609	1564	134581	173051	173051	Callipallene margarita	[]	305	244829	8.04	34.06	3	
HumanObservation	34645	Pycnogonida	SOMBASE Pycnogonids				-48.4166984558	-60.6666984558			Callipallenidae			Callipallene		BAS	Animalia		219	208						Pantopoda	Arthropoda		Callipallene margarita		urn:lsid:marinespecies.org:taxname:173051					41b7307a-03b4-4376-8743-2322c4a145f5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	213.5					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Callipallene margarita	2	1065	1274	1302	1358	379601	379609	1564	134581	173051	173051	Callipallene margarita	[]	294	290991	8.15	34.07		
HumanObservation	24291	Pycnogonida	SOMBASE Pycnogonids				-54.6500015259	-63.8333015442			Callipallenidae			Callipallene		BAS	Animalia		137	135						Pantopoda	Arthropoda		Callipallene margarita		urn:lsid:marinespecies.org:taxname:173051					4435e441-d59d-4293-9dcf-2db4447f4cb0	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	136.0					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Callipallene margarita	2	1065	1274	1302	1358	379601	379609	1564	134581	173051	173051	Callipallene margarita	[]	116	7629	6.71	33.98		
HumanObservation	34648	Pycnogonida	SOMBASE Pycnogonids				-50.5833015442	-57.3333015442			Callipallenidae			Callipallene		BAS	Animalia		271	210						Pantopoda	Arthropoda		Callipallene margarita		urn:lsid:marinespecies.org:taxname:173051					4af03b46-b78d-4a6d-8cf4-c517a9fae224	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	240.5					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Callipallene margarita	2	1065	1274	1302	1358	379601	379609	1564	134581	173051	173051	Callipallene margarita	[]	294	96567	6.89	34.04		
