basisOfRecord	catalogNumber	collectionCode	continent	country	datasetID	day	decimalLatitude	decimalLongitude	eventDate	fieldNumber	identifiedBy	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	preparations	samplingProtocol	scientificName	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	coordinateUncertaintyInMeters	occurrenceRemarks	scientificNameAuthorship	specificEpithet	eventID	locationID	locationRemarks	taxonRemarks	associatedReferences	county	dynamicProperties	individualCount	recordedBy	sex	stateProvince	waterBody
HumanObservation	GeoEcoMar_BlackSeaCruises_2003_2011_384	GeoEcoMar BlackSea R/V Akademik Cruise 2003	Black Sea	Romania	https://marineinfo.org/id/dataset/5256	12	44.81	30.64	2003-10-12/2003-10-12	I	Teaca A./Begun T.	GeoEcoMar	Sulina_63SU065_A	65.0	65.0	2015-12-15 00:00:00	10	GeoEcoMar_BlackSeaCruises_2003_2011_384	present	whole animal, fixed in formalin, preserved in alcohol	Van-Veen grab, sampling size - 0.1 m2. The sediment was preserved in buffered formalin 4% , then sieved through a 1 mm or a 0.5 mm mesh sieve and subsequently stored in 70% ethanol.	Callipallene phantoma	urn:lsid:marinespecies.org:taxname:134645	2003	00f262e3-b3cf-42d8-b59b-9bad4712e668	58be7fc9-bef4-42db-9d4f-07106a711468	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	65.0	1065916800000.0	1065916800000.0	1065916800000.0	2003.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene phantoma	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	134645	134645	Callipalene phantoma	[]	62.0	59860	15.82	17.86																	
HumanObservation	GeoEcoMar_BlackSeaCruises_2003_2011_379	GeoEcoMar BlackSea R/V Akademik Cruise 2003	Black Sea	Romania	https://marineinfo.org/id/dataset/5256	4	44.95	30.26	2003-10-04/2003-10-04	I	Teaca A./Begun T.	GeoEcoMar	Sulina_43SU045_A	47.0	47.0	2015-12-15 00:00:00	10	GeoEcoMar_BlackSeaCruises_2003_2011_379	present	whole animal, fixed in formalin, preserved in alcohol	Van-Veen grab, sampling size - 0.1 m2. The sediment was preserved in buffered formalin 4% , then sieved through a 1 mm or a 0.5 mm mesh sieve and subsequently stored in 70% ethanol.	Callipallene phantoma	urn:lsid:marinespecies.org:taxname:134645	2003	01b41d67-3e68-4d4f-be07-b9d951338fa5	58be7fc9-bef4-42db-9d4f-07106a711468	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	47.0	1065225600000.0	1065225600000.0	1065225600000.0	2003.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene phantoma	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	134645	134645	Callipalene phantoma	[]	44.2	33883	15.59	17.08																	
Occurrence	408533	Tisbe			https://marineinfo.org/id/dataset/82		55.0205	-4.450799				VLIZ	British Isles			2005-10-03 12:19:12		urn:catalog:VLIZ:Tisbe:408533	present			Callipallene phantoma	urn:lsid:marinespecies.org:taxname:134645		01ff0fda-1242-40f6-a4fb-5337646258d4	10fe54bb-b93b-4f00-bf4c-bd51542614ef	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']						False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene phantoma	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	134645	134645	Callipallene phantoma	['NO_DEPTH', 'ON_LAND']	-320.0	-8240			Hayward, P.J.; Ryland, J.S. (Ed.) (1990). The marine fauna of the British Isles and North-West Europe: 1. Introduction and protozoans to arthropods. Clarendon Press: Oxford, UK. ISBN 0-19-857356-1. 627 pp.	759510.0	AphiaID: 134645	(Dohrn, 1881)	phantoma												
HumanObservation	Maerl_Diversity_Species_Inventory_USC_1869	Dr Jason Hall-Spencer.BIOMAERL: MAERL BIODIVERSITY.FUNCTIONAL STRUCTURE AND ANTHROPOGENIC IMPACTS.FINAL REPORT 1999.					42.2521667	-8.7668333	1996-04-25/1998-04-28	USC_1996-04-25_1998-04-28		University Marine Biological Station Millport, Scotland	Cangas inlet, ria de Vigo,Galicia.	80.0	0.0			Maerl_Diversity_Species_Inventory_USC_1869	present		box-corer & vertical box-corer sampler, Van Veen grabs, water samples, ring dredge samples,resin casting samples.	Callipallene phantoma	urn:lsid:marinespecies.org:taxname:134645		04f40a61-1a17-455c-a0e7-a97df6e9b9d2	33452cc4-13c7-4355-894f-4a8833302841	['1ad35eb9-c615-4733-864a-b585aebcfb70']	40.0	830390400000.0	862012800000.0	893721600000.0	1997.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene phantoma		2	1065	1274	1302	1358	379601	379609	1564	134581	134645	134645	Callipallene phantoma	['DEPTH_EXCEEDS_BATH']	8.8	606	15.34	35.32				(Dohrn, 1881)	phantoma	USC_1996-04-25_1998-04-28	USC	GPS(Garmin 75). Spatial extent of maerl 351ha. Control site.	Name in original file: Callipallene phantoma								
HumanObservation	GeoEcoMar_BlackSeaCruises_2003_2011_2674	GeoEcoMar BlackSea R/V Mare Nigrum Cuises 2006-2007	Black Sea	Romania	https://marineinfo.org/id/dataset/5256	18	43.95	29.68	2007-04-18/2007-04-18	I	Teaca A./Begun T.	GeoEcoMar	Tuzla_BS07/28/12A	64.3	64.3	2015-12-25 00:00:00	4	GeoEcoMar_BlackSeaCruises_2003_2011_2674	present	whole animal, fixed in formalin, preserved in alcohol	Van-Veen grab, sampling size - 0.135 m2. The sediment was preserved in buffered formalin 4% , then sieved through a 1 mm and 0.5 mm mesh sieve and subsequently stored in 70% ethanol.	Callipallene phantoma	urn:lsid:marinespecies.org:taxname:134645	2007	07bfa949-1e8d-440e-b1ef-69fed91effaf	58be7fc9-bef4-42db-9d4f-07106a711468	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	64.3	1176854400000.0	1176854400000.0	1176854400000.0	2007.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene phantoma	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	134645	134645	Callipalene phantoma	[]	65.6	79675	15.9	17.57																	
HumanObservation	GeoEcoMar_BlackSeaCruises_2003_2011_2680	GeoEcoMar BlackSea R/V Mare Nigrum Cuises 2006-2007	Black Sea	Romania	https://marineinfo.org/id/dataset/5256	18	43.87	29.7	2007-04-18/2007-04-18	I	Teaca A./Begun T.	GeoEcoMar	Mangalia_BS07/79/12A	70.3	70.3	2015-12-25 00:00:00	4	GeoEcoMar_BlackSeaCruises_2003_2011_2680	present	whole animal, fixed in formalin, preserved in alcohol	Van-Veen grab, sampling size - 0.135 m2. The sediment was preserved in buffered formalin 4% , then sieved through a 1 mm and 0.5 mm mesh sieve and subsequently stored in 70% ethanol.	Callipallene phantoma	urn:lsid:marinespecies.org:taxname:134645	2007	0949dfed-fddb-4125-a381-5f2e53032504	58be7fc9-bef4-42db-9d4f-07106a711468	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	70.3	1176854400000.0	1176854400000.0	1176854400000.0	2007.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene phantoma	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	134645	134645	Callipalene phantoma	[]	70.2	83662	15.94	17.79																	
PreservedSpecimen	170521.127407	Invertebrate Zoology: Crustacea		United States		2	28.7366695404	-80.7633285522	1975-12-02T12:00:00Z		Child, C. Allan	USNM	Haulover Canal				12			Alcohol (Ethanol)		Callipallene phantoma	urn:lsid:marinespecies.org:taxname:134645	1975	0ad62875-f76c-4e8a-b7a5-3e04b2f32025	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		186710400000.0	186710400000.0	186710400000.0	1975.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene phantoma		2	1065	1274	1302	1358	379601	379609	1564	134581	134645	134645	Callipallene phantoma	['NO_DEPTH', 'ON_LAND']	-1.0	-5659			Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010			(Dohrn)						National Museum of Natural History, Smithsonian Institution	Brevard County	observedindividualcount=1;	1.0	Smithsonian Institution, National Museum of Natural History	male	Florida	North Atlantic Ocean
HumanObservation	GeoEcoMar_BlackSeaCruises_2003_2011_4038	GeoEcoMar BlackSea R/V Mare Nigrum Cruises 2010-2011	Black Sea	Romania	https://marineinfo.org/id/dataset/5256	16	43.74	29.96	2010-05-16/2010-05-16	I	Teaca A.	GeoEcoMar	Mangalia_10MA03	87.96	87.96	2015-12-27 00:00:00	5	GeoEcoMar_BlackSeaCruises_2003_2011_4038	present	whole animal, fixed in formalin, preserved in alcohol	Van-Veen grab, sampling size - 0.135 m2. The sediment was preserved in buffered formalin 4% , then sieved through a 1 mm and 0.25 mm  mesh sieve and subsequently stored in 70% ethanol.	Callipallene phantoma	urn:lsid:marinespecies.org:taxname:134645	2010	0f7e40db-166f-4391-80dc-87e469a692b0	58be7fc9-bef4-42db-9d4f-07106a711468	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	87.96	1273968000000.0	1273968000000.0	1273968000000.0	2010.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene phantoma	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	134645	134645	Callipallene phantoma (Dohrn, 1881)	[]	95.0	107176	16.03	18.28																	
HumanObservation	GeoEcoMar_BlackSeaCruises_2003_2011_4044	GeoEcoMar BlackSea R/V Mare Nigrum Cruises 2010-2011	Black Sea	Romania	https://marineinfo.org/id/dataset/5256	19	44.46	30.31	2010-05-19/2010-05-19	I	Teaca A.	GeoEcoMar	Sf. Gheorghe_10SG14	73.65	73.65	2015-12-27 00:00:00	5	GeoEcoMar_BlackSeaCruises_2003_2011_4044	present	whole animal, fixed in formalin, preserved in alcohol	Van-Veen grab, sampling size - 0.135 m2. The sediment was preserved in buffered formalin 4% , then sieved through a 1 mm and 0.25 mm  mesh sieve and subsequently stored in 70% ethanol.	Callipallene phantoma	urn:lsid:marinespecies.org:taxname:134645	2010	16859f5e-ac5b-49e4-ad19-4ad44d8ff919	58be7fc9-bef4-42db-9d4f-07106a711468	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	73.65	1274227200000.0	1274227200000.0	1274227200000.0	2010.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene phantoma	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	134645	134645	Callipallene phantoma (Dohrn, 1881)	[]	76.9	69946	15.93	17.5																	
HumanObservation	GeoEcoMar_BlackSeaCruises_2003_2011_382	GeoEcoMar BlackSea R/V Akademik Cruise 2003	Black Sea	Ukraina	https://marineinfo.org/id/dataset/5256	11	44.72	31.59	2003-10-11/2003-10-11	I	Teaca A./Begun T.	GeoEcoMar	Dniester_59DN110_A	112.0	112.0	2015-12-15 00:00:00	10	GeoEcoMar_BlackSeaCruises_2003_2011_382	present	whole animal, fixed in formalin, preserved in alcohol	Van-Veen grab, sampling size - 0.1 m2. The sediment was preserved in buffered formalin 4% , then sieved through a 1 mm or a 0.5 mm mesh sieve and subsequently stored in 70% ethanol.	Callipallene phantoma	urn:lsid:marinespecies.org:taxname:134645	2003	18ffbc25-fb7d-4524-9b10-93fe96e5f3ad	58be7fc9-bef4-42db-9d4f-07106a711468	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	112.0	1065830400000.0	1065830400000.0	1065830400000.0	2003.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene phantoma	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	134645	134645	Callipalene phantoma	[]	260.0	99507	16.02	18.66																	
