basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventTime	family	fieldNumber	footprintSRS	genus	identifiedBy	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	recordedBy	samplingProtocol	scientificName	specificEpithet	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	continent	institutionCode	scientificNameAuthorship	scientificNameID	sst	sss	footprintWKT
HumanObservation	25445	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	1	35.0	-4.0	1984-06-01T00:00:00+00:00	Rock sledge_198461_DR/D-133_NA	00:00:00+00:00	Callipallenidae	DR/D-133	EPSG:4326	Callipallene	STOCK Jan	Animalia	en	Detroit de Gibraltar	195.0	195.0	2022-01-18 09:29:51	6	Ifremer_bio_dba_25445	present	Pantopoda	Arthropoda	BOUCHET Philippe	Rock sledge	Callipallene producta	producta	1984	0f908408-471c-4cdc-87a6-3f43e016d61b	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	195.0	454896000000	454896000000	454896000000	1984	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Callipallene producta	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134646	134646	Callipallene producta	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-1012.0	-25048							
Occurrence	157480895001013	Pycnogonida	IMRMarbunnBenthos		https://marineinfo.org/id/dataset/4539	grab_2006-2022	4	66.849	8.439	2015-09-04T01:49:00+00:00/2015-09-04T02:03:00+00:00	Cruise: 58GS-2015113 Sample: 895	01:49:00+00:00/02:03:00+00:00	Callipallenidae	catchId: 13		Callipallene		Animalia		MAREANO Reference Station: 1574	259.05	258.95	2024-05-23 10:35:05	9	157480895001013	present	Pantopoda	Arthropoda		Large VV grab,Subsample method: Sieve content - Mesh size (mm): 1.0	Callipallene producta		2015	21b72330-85a9-4ec0-8fce-cdb79bec72b8	d556b9d4-7625-4aa2-894d-441eabae47f7	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	259.0	1441324800000	1441324800000	1441324800000	2015	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Callipallene producta	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134646	134646	Callipallene producta	[]	257.8	158746	Norwegian Sea	IMR	(Sars, 1888)	urn:lsid:marinespecies.org:taxname:134646	9.18	35.07	
Occurrence	052310353005041	Pycnogonida	IMRMarbunnBenthos		https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	29	70.703368	17.34641	2010-07-29T23:31:00+00:00/2010-07-29T23:37:00+00:00	Cruise: 58GS-2010110 Sample: 353	23:31:00+00:00/23:37:00+00:00	Callipallenidae	catchId: 41		Callipallene		Animalia		MAREANO Reference Station: 523	280.84	274.41	2024-05-23 10:35:05	7	052310353005041	present	Pantopoda	Arthropoda		Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Callipallene producta		2010	27318e82-4853-4dbc-8af5-0bc72bcd5a87	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	277.625	1280361600000	1280361600000	1280361600000	2010	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Callipallene producta	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134646	134646	Callipallene producta	[]	279.2	78582	Norwegian Sea	IMR	(Sars, 1888)	urn:lsid:marinespecies.org:taxname:134646	7.73	34.68	LINESTRING(17.34641 70.703368,17.349 70.705667)
HumanObservation	24817	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	1	35.0	-6.0	1984-06-01T00:00:00+00:00	Waren epibenthic sledge_198461_DW-43_NA	00:00:00+00:00	Callipallenidae	DW-43	EPSG:4326	Callipallene	STOCK Jan	Animalia	en	Detroit de Gibraltar	150.0	150.0	2022-01-18 09:29:51	6	Ifremer_bio_dba_24817	present	Pantopoda	Arthropoda	BOUCHET Philippe	Waren epibenthic sledge	Callipallene producta	producta	1984	4178d404-b2ba-4992-87b9-68d8cd4ad6b3	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	150.0	454896000000	454896000000	454896000000	1984	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Callipallene producta	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134646	134646	Callipallene producta	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-82.0	-21152							
Occurrence	265840251001004	Pycnogonida	IMRMarbunnBenthos		https://marineinfo.org/id/dataset/4539	grab_2006-2022	19	65.939265	11.188088	2021-05-19T14:51:00+00:00	Cruise: 58GS-2021104 Sample: 251	14:51:00+00:00	Callipallenidae	catchId: 4		Callipallene		Animalia		MAREANO Reference Station: 2658	255.5	255.5	2024-05-23 10:35:05	5	265840251001004	present	Pantopoda	Arthropoda		Small VV grab,Subsample method: Sieve content - Mesh size (mm): 1.0	Callipallene producta		2021	6bf8c1c9-d17d-46b0-97f5-c0c51e2cbb28	d556b9d4-7625-4aa2-894d-441eabae47f7	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	255.5	1621382400000	1621382400000	1621382400000	2021	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Callipallene producta	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134646	134646	Callipallene producta	[]	250.0	22936	Norwegian Sea	IMR	(Sars, 1888)	urn:lsid:marinespecies.org:taxname:134646	8.97	34.21	
HumanObservation	25758	Pycnogonida	bio_dba		https://marineinfo.org/id/dataset/490	Bigood	1	36.0	-7.0	1984-06-01T00:00:00+00:00	Beam trawl_198461_CP / CPH-109_NA	00:00:00+00:00	Callipallenidae	CP / CPH-109	EPSG:4326	Callipallene	STOCK Jan	Animalia	en	Detroit de Gibraltar	1182.0	1182.0	2022-01-18 09:29:51	6	Ifremer_bio_dba_25758	present	Pantopoda	Arthropoda	BOUCHET Philippe	Beam trawl	Callipallene producta	producta	1984	848a5044-61d0-420f-9da5-0f7be91b4538	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1182.0	454896000000	454896000000	454896000000	1984	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Callipallene producta	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134646	134646	Callipallene producta	['DEPTH_EXCEEDS_BATH']	812.4	81646					19.55	36.16	
HumanObservation	25662	Pycnogonida	bio_dba		https://marineinfo.org/id/dataset/490	Bigood	1	36.0	-7.0	1984-06-01T00:00:00+00:00	Beam trawl_198461_CP / CPH-25_NA	00:00:00+00:00	Callipallenidae	CP / CPH-25	EPSG:4326	Callipallene	STOCK Jan	Animalia	en	Detroit de Gibraltar	544.0	544.0	2022-01-18 09:29:51	6	Ifremer_bio_dba_25662	present	Pantopoda	Arthropoda	BOUCHET Philippe	Beam trawl	Callipallene producta	producta	1984	a8c6c229-b12e-4c69-be7a-c23a0f036697	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	544.0	454896000000	454896000000	454896000000	1984	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Callipallene producta	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134646	134646	Callipallene producta	[]	812.4	81646					19.55	36.16	
HumanObservation	28966	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	1	48.0	-9.0	1973-10-01T00:00:00+00:00	Boillot sledge large_1973101_DR-Boilg-459_NA	00:00:00+00:00	Callipallenidae	DR-Boilg-459	EPSG:4326	Callipallene	STOCK Jan	Animalia	en	Golfe de Gascogne	1180.0	1180.0	2022-01-18 09:29:51	10	Ifremer_bio_dba_28966	present	Pantopoda	Arthropoda	CABIOCH Louis	Boillot sledge large	Callipallene producta	producta	1973	b1c13f5a-7b79-440a-a626-b8e3232bc171	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1180.0	118281600000	118281600000	118281600000	1973	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Callipallene producta	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134646	134646	Callipallene producta	[]	2662.4	279564					14.24	35.61	
Occurrence	150910539001022	Pycnogonida	IMRMarbunnBenthos		https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	20	65.044167	6.2405	2015-08-20T05:57:00+00:00/2015-08-20T06:02:00+00:00	Cruise: 58GS-2015113 Sample: 539	05:57:00+00:00/06:02:00+00:00	Callipallenidae	catchId: 22		Callipallene		Animalia		MAREANO Reference Station: 1509	436.19	434.59	2024-05-23 10:35:05	8	150910539001022	present	Pantopoda	Arthropoda		Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Callipallene producta		2015	b7b883fb-3653-454a-8c9b-4b9e3be19967	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	435.39	1440028800000	1440028800000	1440028800000	2015	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Callipallene producta	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134646	134646	Callipallene producta	[]	434.8	165996	Norwegian Sea	IMR	(Sars, 1888)	urn:lsid:marinespecies.org:taxname:134646	9.71	34.87	LINESTRING(6.2405 65.044167,6.236833 65.045667)
HumanObservation	24733	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	1	33.0	-8.0	1984-06-01T00:00:00+00:00	Waren epibenthic sledge_198461_DW-74_NA	00:00:00+00:00	Callipallenidae	DW-74	EPSG:4326	Callipallene	STOCK Jan	Animalia	en	Detroit de Gibraltar	181.0	181.0	2022-01-18 09:29:51	6	Ifremer_bio_dba_24733	present	Pantopoda	Arthropoda	BOUCHET Philippe	Waren epibenthic sledge	Callipallene producta	producta	1984	c593b3ce-5dc0-45ec-aaf6-f394738a12ea	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	181.0	454896000000	454896000000	454896000000	1984	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Callipallene producta	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134646	134646	Callipallene producta	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-212.0	-47301							
