basisOfRecord	catalogNumber	decimalLatitude	decimalLongitude	locality	scientificName	scientificNameID	typeStatus	id	dataset_id	node_id	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	collectionCode	datasetID	day	eventDate	institutionCode	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	references	scientificNameAuthorship	specificEpithet	year	depth	date_start	date_mid	date_end	date_year	associatedReferences	country	dynamicProperties	identifiedBy	individualCount	maximumDepthInMeters	preparations	recordedBy	sex	waterBody	lifeStage	ownerInstitutionCode
HumanObservation	122651	-9.39999961853	46.5	Aldabra Islands	Callipallene seychellensis	urn:lsid:marinespecies.org:taxname:239730	Accepted	27496ce9-7866-4542-aca3-ec920028542f	d0d2a510-ba24-487b-80ca-afc86922cb1c	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene seychellensis	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	239730	239730	Callipallene seychellensis	['NO_DEPTH', 'ON_LAND']	-5	-1275	27.11	35.08																																
PreservedSpecimen	sm_id_1809	-9.42	46.52	Indian Ocean	Callipallene seychellensis	urn:lsid:marinespecies.org:taxname:239730	holotype	2f1cf6dc-8cb8-4e61-84f6-5f6ce162207b	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene seychellensis	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	239730	239730	Callipallene seychellensis	['ON_LAND']	-3	-206	27.1	35.07	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Callipallene seychellensis</i> Child, 1988. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239730	WoRMS type localities	https://marineinfo.org/id/dataset/5184	3	1983-04-03	WoRMS Editorial Board	6.0	2007-06-20 15:52:33	4	WoRMS Editorial Board:WoRMS type localities:sm_id_1809	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1809	Child, 1988	seychellensis	1983	6.0	418176000000.0	418176000000.0	418176000000.0	1983.0												
PreservedSpecimen	234245.185985	-9.38300037384	46.2000007629	Aldabra Atoll, Picard Island, Fore Reef	Callipallene seychellensis	urn:lsid:marinespecies.org:taxname:239730		4de0b9bd-0880-43d4-b903-ffdee061c8bf	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene seychellensis		2	1065	1274	1302	1358	379601	379609	1564	134581	239730	239730	Callipallene seychellensis	[]	323	633	27.13	35.08	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Invertebrate Zoology: Crustacea		10	1983-04-10T12:00:00Z	USNM	2.0		4				Child		1983	2.0	418780800000.0	418780800000.0	418780800000.0	1983.0	National Museum of Natural History, Smithsonian Institution	Seychelles	observedindividualcount=1;	Bowman, Thomas E.	1.0	2.0	Alcohol (Ethanol)	J. Thomas	female	Indian Ocean		
PreservedSpecimen	234250.185991	-4.66699981689	55.3670005798	Mahe, Anse a La Mouche	Callipallene seychellensis	urn:lsid:marinespecies.org:taxname:239730		76f4c669-a36d-4c65-ac44-507f136c89fd	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene seychellensis		2	1065	1274	1302	1358	379601	379609	1564	134581	239730	239730	Callipallene seychellensis	[]	17	87	28.06	35.25	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Invertebrate Zoology: Crustacea		1	1984-05-01T12:00:00Z	USNM	2.5		5				Child		1984	3.5	452217600000.0	452217600000.0	452217600000.0	1984.0	National Museum of Natural History, Smithsonian Institution	Seychelles	observedindividualcount=1;	Bowman, Thomas E.	1.0	4.5	Alcohol (Ethanol)	B. Kensley	female	Indian Ocean		
PreservedSpecimen	234248.185988	-9.35000038147	46.233001709	Aldabra Atoll, Malabar Island, Passe Houareau, E Channel	Callipallene seychellensis	urn:lsid:marinespecies.org:taxname:239730		7f1c36da-fad5-4dda-a329-cbaff97f844e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene seychellensis		2	1065	1274	1302	1358	379601	379609	1564	134581	239730	239730	Callipallene seychellensis	['NO_DEPTH']	115	2288	27.13	35.08	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Invertebrate Zoology: Crustacea		12	1987-04-12T12:00:00Z	USNM			4				Child		1987		545184000000.0	545184000000.0	545184000000.0	1987.0	National Museum of Natural History, Smithsonian Institution	Seychelles	observedindividualcount=1;	Bowman, Thomas E.	1.0		Alcohol (Ethanol)	B. Kensley	female	Indian Ocean	ovigerous	
PreservedSpecimen	234242.185982	-9.41699981689	46.516998291	Aldabra Atoll, Cinq Cases, Grand Terre	Callipallene seychellensis	urn:lsid:marinespecies.org:taxname:239730	Holotype	9e315e2e-f139-4afc-9443-d2973b1f6528	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene seychellensis		2	1065	1274	1302	1358	379601	379609	1564	134581	239730	239730	Callipallene seychellensis	['ON_LAND']	-3	-635	27.1	35.07	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Invertebrate Zoology: Crustacea		3	1983-04-03T12:00:00Z	USNM	6.0		4				Child		1983	6.0	418176000000.0	418176000000.0	418176000000.0	1983.0	National Museum of Natural History, Smithsonian Institution	Seychelles	observedindividualcount=1;	Bowman, Thomas E.	1.0	6.0	Alcohol (Ethanol)	B. Kensley	male	Indian Ocean		
HumanObservation	122651	-9.4	46.5	Aldabra Islands	Callipallene seychellensis	urn:lsid:marinespecies.org:taxname:239730		d3959a43-cd53-44ac-8588-0bf3f702dc92	248d4349-7c65-4291-b849-57127a20aec8	['1a3b0f1a-4474-4d73-9ee1-d28f92a83996']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene seychellensis		2	1065	1274	1302	1358	379601	379609	1564	134581	239730	239730	Callipallene seychellensis	['NO_DEPTH', 'ON_LAND']	-6	-1275	27.11	35.08					1988	CMLRE				11511	present	This dataset was transferred from National Institute of Oceanography (NIO) by Dr. Mohideen Wafar					567993600000.0	583718400000.0	599529600000.0	1988.0												NIO
PreservedSpecimen	234243.185983	-9.41699981689	46.516998291	Aldabra Atoll, Cinq Cases, Grand Terre, 450 Ms Offshore	Callipallene seychellensis	urn:lsid:marinespecies.org:taxname:239730	Paratype	d6baf6f0-de28-49dc-889b-015031aeb7cf	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene seychellensis		2	1065	1274	1302	1358	379601	379609	1564	134581	239730	239730	Callipallene seychellensis	['ON_LAND']	-3	-635	27.1	35.07	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Invertebrate Zoology: Crustacea		3	1983-04-03T12:00:00Z	USNM	6.0		4				Child		1983	6.0	418176000000.0	418176000000.0	418176000000.0	1983.0	National Museum of Natural History, Smithsonian Institution	Seychelles	observedindividualcount=1;	Bowman, Thomas E.	1.0	6.0	Alcohol (Ethanol)	B. Kensley	female	Indian Ocean		
PreservedSpecimen	234249.185989	-9.35000038147	46.233001709	Aldabra Atoll, Malabar Island, Passe Houareau, E Channel	Callipallene seychellensis	urn:lsid:marinespecies.org:taxname:239730		ea5016ad-76a1-425b-ad08-2c6ce06c7692	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene seychellensis		2	1065	1274	1302	1358	379601	379609	1564	134581	239730	239730	Callipallene seychellensis	[]	115	2288	27.13	35.08	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Invertebrate Zoology: Crustacea		12	1987-04-12T12:00:00Z	USNM	0.15		4				Child		1987	0.15	545184000000.0	545184000000.0	545184000000.0	1987.0	National Museum of Natural History, Smithsonian Institution	Seychelles	observedindividualcount=2;	Bowman, Thomas E.	2.0	0.15	Alcohol (Ethanol)	B. Kensley	female	Indian Ocean		
PreservedSpecimen	234244.185984	-9.41699981689	46.516998291	Aldabra Atoll, Cinq Cases, Grand Terre, 450 Ms Offshore	Callipallene seychellensis	urn:lsid:marinespecies.org:taxname:239730	Paratype	ed25782c-c301-424b-afd1-4c4f7627dda6	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene seychellensis		2	1065	1274	1302	1358	379601	379609	1564	134581	239730	239730	Callipallene seychellensis	['ON_LAND']	-3	-635	27.1	35.07	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Invertebrate Zoology: Crustacea		3	1983-04-03T12:00:00Z	USNM	6.0		4				Child		1983	6.0	418176000000.0	418176000000.0	418176000000.0	1983.0	National Museum of Natural History, Smithsonian Institution	Seychelles	observedindividualcount=2;	Bowman, Thomas E.	2.0	6.0	Alcohol (Ethanol)	B. Kensley	male;;	Indian Ocean	; larvae	
