basisOfRecord	catalogNumber	class	collectionCode	countryCode	day	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	individualCount	institutionCode	kingdom	license	locality	modified	month	occurrenceID	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	verbatimLocality	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	occurrenceStatus	typeStatus	superdomain	superdomainid
PreservedSpecimen	2013-18628	Pycnogonida	IU	PG	7	-5.2652	145.785751	2012-12-07T01:00Z	Callipallenidae	PAPUA NIUGINI/PS44	POINT  (145.785751 -5.2652)	Cheilopallene	WGS84	Sabroux R.	1	MNHN	Animalia	CC_BY_4_0	S Urembo I.	2015-06-19T21:23Z	12	1065330747	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2013-18628	Cheilopallene nodulosa	Hong & Kim, 1987	urn:lsid:marinespecies.org:taxname:239999	nodulosa	SPECIES	Outer slope	Pacific Ocean	2012	0273bb4f-7fa2-4877-8ad3-410e630cac91	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1354838400000.0	1354838400000.0	1354838400000.0	2012.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Cheilopallene nodulosa	2	1065	1274	1302	1358	379601	379609	1564	173055	239999	239999	Cheilopallene nodulosa Hong, J.S & I.H. Kim, 1987	['NO_DEPTH']	17	40	28.88	34.19						
PreservedSpecimen	2012-1282	Pycnogonida	IU	PG	6	-5.202466	145.821762	2012-11-06T01:00Z	Callipallenidae	PAPUA NIUGINI/PB02	POINT  (145.821762 -5.202466)	Cheilopallene	WGS84	Sabroux R.	1	MNHN	Animalia	CC_BY_4_0	Kranket I.	2015-10-07T20:41Z	11	1019680040	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2012-1282	Cheilopallene nodulosa	Hong & Kim, 1987	urn:lsid:marinespecies.org:taxname:239999	nodulosa	SPECIES	Outer slope	Pacific Ocean	2012	145b48b7-a996-4ed9-b1fc-7b96e8b79979	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1352160000000.0	1352160000000.0	1352160000000.0	2012.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Cheilopallene nodulosa	2	1065	1274	1302	1358	379601	379609	1564	173055	239999	239999	Cheilopallene nodulosa Hong, J.S & I.H. Kim, 1987	['NO_DEPTH', 'ON_LAND']	-4	-5	28.9	34.18						
PreservedSpecimen	2012-1312	Pycnogonida	IU	PG	4	-5.116217	145.823135	2012-12-04T01:00Z	Callipallenidae	PAPUA NIUGINI/PB35	POINT  (145.823135 -5.116217)	Cheilopallene	WGS84	Sabroux R.	1	MNHN	Animalia	CC_BY_4_0	S Sek I.	2015-10-07T20:50Z	12	1019679773	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2012-1312	Cheilopallene nodulosa	Hong & Kim, 1987	urn:lsid:marinespecies.org:taxname:239999	nodulosa	SPECIES	Outer slope	Pacific Ocean	2012	1cc3cb3d-3bea-4e01-bd89-96684d1feb2d	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1354579200000.0	1354579200000.0	1354579200000.0	2012.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Cheilopallene nodulosa	2	1065	1274	1302	1358	379601	379609	1564	173055	239999	239999	Cheilopallene nodulosa Hong, J.S & I.H. Kim, 1987	['NO_DEPTH']	40	1174	28.91	34.18						
PreservedSpecimen	sm_id_888	Pycnogonida	WoRMS type localities			35.8	126.43		Callipallenidae			Cheilopallene				WoRMS Editorial Board	Animalia		Yellow Sea	2007-06-20 15:52:33		WoRMS Editorial Board:WoRMS type localities:sm_id_888	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=888	Cheilopallene nodulosa	Hong & Kim, 1987	urn:lsid:marinespecies.org:taxname:239999	nodulosa					282182e7-895f-490b-a05f-c06ab5715007	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Cheilopallene nodulosa	2	1065	1274	1302	1358	379601	379609	1564	173055	239999	239999	Cheilopallene nodulosa	['NO_DEPTH', 'ON_LAND']	-6	-203	15.06	29.65	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Cheilopallene nodulosa</i> Hong & Kim, 1987. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239999	https://marineinfo.org/id/dataset/5184	present	holotype	Biota	1.0
PreservedSpecimen	2012-1283	Pycnogonida	IU	PG	6	-5.202466	145.821762	2012-11-06T01:00Z	Callipallenidae	PAPUA NIUGINI/PB02	POINT  (145.821762 -5.202466)	Cheilopallene	WGS84	Sabroux R.	1	MNHN	Animalia	CC_BY_4_0	Kranket I.	2015-10-07T20:40Z	11	1019679479	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2012-1283	Cheilopallene nodulosa	Hong & Kim, 1987	urn:lsid:marinespecies.org:taxname:239999	nodulosa	SPECIES	Outer slope	Pacific Ocean	2012	456ea33b-b200-4f0f-88a6-7e26d2e915bb	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1352160000000.0	1352160000000.0	1352160000000.0	2012.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Cheilopallene nodulosa	2	1065	1274	1302	1358	379601	379609	1564	173055	239999	239999	Cheilopallene nodulosa Hong, J.S & I.H. Kim, 1987	['NO_DEPTH', 'ON_LAND']	-4	-5	28.9	34.18						
PreservedSpecimen	2013-17941	Pycnogonida	IU	PG	4	-5.116217	145.823135	2012-12-04T01:00Z	Callipallenidae	PAPUA NIUGINI/PB35	POINT  (145.823135 -5.116217)	Cheilopallene	WGS84	Sabroux R.	1	MNHN	Animalia	CC_BY_4_0	S Sek I.	2015-09-18T20:07Z	12	1212548740	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2013-17941	Cheilopallene nodulosa	Hong & Kim, 1987	urn:lsid:marinespecies.org:taxname:239999	nodulosa	SPECIES	Outer slope	Pacific Ocean	2012	5fad0bbf-23a8-4629-8b09-003d2550ce50	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1354579200000.0	1354579200000.0	1354579200000.0	2012.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Cheilopallene nodulosa	2	1065	1274	1302	1358	379601	379609	1564	173055	239999	239999	Cheilopallene nodulosa Hong, J.S & I.H. Kim, 1987	['NO_DEPTH']	40	1174	28.91	34.18						
PreservedSpecimen	2012-1337	Pycnogonida	IU	PG	5	-5.1885	145.823669	2012-11-05T01:00Z	Callipallenidae	PAPUA NIUGINI/PB01	POINT  (145.823669 -5.1885)	Cheilopallene	WGS84	Sabroux R.	1	MNHN	Animalia	CC_BY_4_0	Kranket I.	2015-05-07T18:46Z	11	1019679577	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2012-1337	Cheilopallene nodulosa	Hong & Kim, 1987	urn:lsid:marinespecies.org:taxname:239999	nodulosa	SPECIES	Lagoon entrance	Pacific Ocean	2012	61f37a3c-2657-47dd-b824-6a43bfec72dc	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1352073600000.0	1352073600000.0	1352073600000.0	2012.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Cheilopallene nodulosa	2	1065	1274	1302	1358	379601	379609	1564	173055	239999	239999	Cheilopallene nodulosa Hong, J.S & I.H. Kim, 1987	['NO_DEPTH']	19	149	28.9	34.18						
PreservedSpecimen	2013-18629	Pycnogonida	IU	PG	11	-5.078866	145.814407	2012-12-11T01:00Z	Callipallenidae	PAPUA NIUGINI/PB50	POINT  (145.814407 -5.078866)	Cheilopallene	WGS84	Sabroux R.	1	MNHN	Animalia	CC_BY_4_0	N Sek I.	2015-09-14T13:48Z	12	1065330760	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2013-18629	Cheilopallene nodulosa	Hong & Kim, 1987	urn:lsid:marinespecies.org:taxname:239999	nodulosa	SPECIES	inner slope	Pacific Ocean	2012	65964930-38d4-4419-87e0-906f42db7796	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1355184000000.0	1355184000000.0	1355184000000.0	2012.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Cheilopallene nodulosa	2	1065	1274	1302	1358	379601	379609	1564	173055	239999	239999	Cheilopallene nodulosa Hong, J.S & I.H. Kim, 1987	['NO_DEPTH']	-1	46	28.95	34.18						
PreservedSpecimen	2013-18642	Pycnogonida	IU	PG	8	-2.679517	150.712387	2014-06-08T02:00Z	Callipallenidae	KAVIENG 2014/KB18	POINT  (150.712387 -2.679517)	Cheilopallene	WGS84	Sabroux R.	1	MNHN	Animalia	CC_BY_4_0	Kavieng Lagoon	2016-06-21T12:33Z	6	1065330753	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2013-18642	Cheilopallene nodulosa	Hong & Kim, 1987	urn:lsid:marinespecies.org:taxname:239999	nodulosa	SPECIES	N coast of Manne I.	Pacific Ocean	2014	82b17d3d-e22d-44f4-9567-629c7af98ee2	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1402185600000.0	1402185600000.0	1402185600000.0	2014.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Cheilopallene nodulosa	2	1065	1274	1302	1358	379601	379609	1564	173055	239999	239999	Cheilopallene nodulosa Hong, J.S & I.H. Kim, 1987	['NO_DEPTH']	-6	5	29.8	34.39						
PreservedSpecimen	2012-1284	Pycnogonida	IU	PG	6	-5.202466	145.821762	2012-11-06T01:00Z	Callipallenidae	PAPUA NIUGINI/PB02	POINT  (145.821762 -5.202466)	Cheilopallene	WGS84	Sabroux R.	1	MNHN	Animalia	CC_BY_4_0	Kranket I.	2015-10-07T20:41Z	11	1019679491	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2012-1284	Cheilopallene nodulosa	Hong & Kim, 1987	urn:lsid:marinespecies.org:taxname:239999	nodulosa	SPECIES	Outer slope	Pacific Ocean	2012	ee83241d-01ff-41bc-915c-6db8b7498900	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1352160000000.0	1352160000000.0	1352160000000.0	2012.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Cheilopallene nodulosa	2	1065	1274	1302	1358	379601	379609	1564	173055	239999	239999	Cheilopallene nodulosa Hong, J.S & I.H. Kim, 1987	['NO_DEPTH', 'ON_LAND']	-4	-5	28.9	34.18						
