basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
HumanObservation	22138	SOMBASE Pycnogonids	-54.5499992371	-77.8499984741	BAS	4073	4073	Cilunculus cactoides	urn:lsid:marinespecies.org:taxname:172975	00c2d2ff-fd16-43db-8e9c-22ecb40c6d6e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	4073.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Cilunculus	Cilunculus cactoides	2	1065	1274	1302	1358	379601	379608	1562	134572	172975	172975	Cilunculus cactoides	[]	4035	269602	6.17	34.06
HumanObservation	37603	SOMBASE Pycnogonids	-62.8032989502	-60.2332992554	BAS	175	160	Cilunculus cactoides	urn:lsid:marinespecies.org:taxname:172975	019f56ef-2ca7-41e0-9e62-7ab87e18ce53	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	167.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Cilunculus	Cilunculus cactoides	2	1065	1274	1302	1358	379601	379608	1562	134572	172975	172975	Cilunculus cactoides	[]	754	5312	-0.47	33.95
HumanObservation	22128	SOMBASE Pycnogonids	-54.5	158.983306885	BAS	124	112	Cilunculus cactoides	urn:lsid:marinespecies.org:taxname:172975	020e3a10-f657-4e14-8d52-dbf17773570a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	118.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Cilunculus	Cilunculus cactoides	2	1065	1274	1302	1358	379601	379608	1562	134572	172975	172975	Cilunculus cactoides	[]	152	2429	5.23	33.91
HumanObservation	22141	SOMBASE Pycnogonids	-54.8333015442	-63.9883003235	BAS	208	205	Cilunculus cactoides	urn:lsid:marinespecies.org:taxname:172975	06b0800b-3094-47b8-ab31-3c983c95184d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	206.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Cilunculus	Cilunculus cactoides	2	1065	1274	1302	1358	379601	379608	1562	134572	172975	172975	Cilunculus cactoides	[]	178	3138	6.67	33.98
HumanObservation	39727	SOMBASE Pycnogonids	-63.9440002441	-60.6893005371	BAS	357	357	Cilunculus cactoides	urn:lsid:marinespecies.org:taxname:172975	0a4fa644-9c84-46f2-aa37-807a5a84311c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	357.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Cilunculus	Cilunculus cactoides	2	1065	1274	1302	1358	379601	379608	1562	134572	172975	172975	Cilunculus cactoides	[]	505	2269	-0.75	33.9
HumanObservation	22156	SOMBASE Pycnogonids	-64.3050003052	-62.9682998657	BAS	185	155	Cilunculus cactoides	urn:lsid:marinespecies.org:taxname:172975	0aedacd5-7b83-40c4-b4a3-49d9034b538b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	170.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Cilunculus	Cilunculus cactoides	2	1065	1274	1302	1358	379601	379608	1562	134572	172975	172975	Cilunculus cactoides	['DEPTH_EXCEEDS_BATH']	99	421	-0.42	33.59
HumanObservation	39726	SOMBASE Pycnogonids	-62.7277984619	-60.4425010681	BAS	45	45	Cilunculus cactoides	urn:lsid:marinespecies.org:taxname:172975	0e2bd453-157b-4b84-ada7-e553a7e1c800	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	45.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Cilunculus	Cilunculus cactoides	2	1065	1274	1302	1358	379601	379608	1562	134572	172975	172975	Cilunculus cactoides	[]	134	962	-0.42	33.94
HumanObservation	22147	SOMBASE Pycnogonids	-64.7949981689	-64.1176986694	BAS	100	100	Cilunculus cactoides	urn:lsid:marinespecies.org:taxname:172975	0ec2e253-1f3d-426f-b2cb-8dc1f70c7e85	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	100.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Cilunculus	Cilunculus cactoides	2	1065	1274	1302	1358	379601	379608	1562	134572	172975	172975	Cilunculus cactoides	[]	157	1150	-0.55	33.16
HumanObservation	22150	SOMBASE Pycnogonids	-64.7799987793	-64.0883026123	BAS	81	54	Cilunculus cactoides	urn:lsid:marinespecies.org:taxname:172975	0fdb7ba5-ac5e-4148-a170-25426b4f306d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	67.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Cilunculus	Cilunculus cactoides	2	1065	1274	1302	1358	379601	379608	1562	134572	172975	172975	Cilunculus cactoides	[]	89	385	-0.55	33.16
HumanObservation	22134	SOMBASE Pycnogonids	-56.2666015625	-27.5	BAS	307	208	Cilunculus cactoides	urn:lsid:marinespecies.org:taxname:172975	17cbe994-d0e0-49a9-9e6e-9440272561ca	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	257.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Cilunculus	Cilunculus cactoides	2	1065	1274	1302	1358	379601	379608	1562	134572	172975	172975	Cilunculus cactoides	[]	652	4029	-0.46	33.65
