basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetName	day	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	geodeticDatum	institutionCode	kingdom	language	locationID	maximumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	minimumDepthInMeters	recordedBy	samplingProtocol	associatedReferences	bibliographicCitation	dynamicProperties	identifiedBy	individualCount	locality	waterBody	date_start	date_mid	date_end	date_year
PreservedSpecimen	4964	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection	21	-43.5533	175.9733	21/10/1979	Ammotheidae	POINT (175.9733 -43.5533)	Cilunculus	WGS84	NIWA Invertebrate Collection	Animalia	en	S129	355	8/04/2022	10	5d7f56ee-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Unknown = 1	Cilunculus sewelli	Calman, 1938	urn:lsid:marinespecies.org:taxname:239727	female	sewelli	1979	00b19719-9901-4e2e-afdc-f23b5ace87a2	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	355.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus sewelli	2	1065	1274	1302	1358	379601	379608	1562	134572	239727	239727	Cilunculus sewelli	[]	352	222237	13.05	34.68														
HumanObservation	34080	Pycnogonida	SOMBASE Pycnogonids						-35.5983009338	174.846603394		Ammotheidae		Cilunculus		BAS	Animalia			149					Pantopoda	Arthropoda		Cilunculus sewelli		urn:lsid:marinespecies.org:taxname:239727				07928f3a-cc93-4164-a569-ece10d432d45	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	144.5	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus sewelli	2	1065	1274	1302	1358	379601	379608	1562	134572	239727	239727	Cilunculus sewelli	[]	142	12181	17.94	35.54	140.0													
HumanObservation	34077	Pycnogonida	SOMBASE Pycnogonids						-44.6833000183	174.348297119		Ammotheidae		Cilunculus		BAS	Animalia			859					Pantopoda	Arthropoda		Cilunculus sewelli		urn:lsid:marinespecies.org:taxname:239727				1d5a9092-f2dc-44e2-92b6-fb7fb6aafb5c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	859.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus sewelli	2	1065	1274	1302	1358	379601	379608	1562	134572	239727	239727	Cilunculus sewelli	[]	881	136825	10.81	34.37	859.0													
HumanObservation	34078	Pycnogonida	SOMBASE Pycnogonids						-39.6665992737	172.875		Ammotheidae		Cilunculus		BAS	Animalia			163					Pantopoda	Arthropoda		Cilunculus sewelli		urn:lsid:marinespecies.org:taxname:239727				2000b11e-e21b-4026-9623-0b142e6c244f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	163.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus sewelli	2	1065	1274	1302	1358	379601	379608	1562	134572	239727	239727	Cilunculus sewelli	[]	151	83583	15.75	35.22	163.0													
PreservedSpecimen	4967	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection	26	-45.7667	174.4083	26/10/1979	Ammotheidae	POINT (174.4083 -45.7667)	Cilunculus	WGS84	NIWA Invertebrate Collection	Animalia	en	S150	1640	8/04/2022	10	5f7bd9cc-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Unknown = 1	Cilunculus sewelli	Calman, 1938	urn:lsid:marinespecies.org:taxname:239727	male	sewelli	1979	2af58d50-17d5-41d3-a659-efe0495622b2	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1640.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus sewelli	2	1065	1274	1302	1358	379601	379608	1562	134572	239727	239727	Cilunculus sewelli	[]	1628	236440	10.52	34.3	1640.0	NZOI	Sled, epibenthic											
PreservedSpecimen	122417.87477	Pycnogonida	Invertebrate Zoology: Crustacea			South Africa		8	-29.75	31.6669998169	1964-09-08T12:00:00Z	Ammotheidae		Cilunculus		USNM	Animalia			440		9			Pantopoda	Arthropoda	Alcohol (Ethanol)	Cilunculus sewelli	Calman	urn:lsid:marinespecies.org:taxname:239727	male; female		1964	353ef043-6f4f-4622-912c-b64b95db21de	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	440.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus sewelli	2	1065	1274	1302	1358	379601	379608	1562	134572	239727	239727	Cilunculus sewelli	[]	415	48990	23.9	35.28	440.0			National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=4;	Stock, Jan H.	4.0	SE Of Durban	Indian Ocean	-167702400000.0	-167702400000.0	-167702400000.0	1964.0
PreservedSpecimen	4965	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection	4	-35.5983	174.8467	4/05/1975	Ammotheidae	POINT (174.8467 -35.5983)	Cilunculus	WGS84	NIWA Invertebrate Collection	Animalia	en	I13	149	8/04/2022	5	6022aa68-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Unknown = 1	Cilunculus sewelli	Calman, 1938	urn:lsid:marinespecies.org:taxname:239727	female	sewelli	1975	54ef59f0-c7a9-4481-8a31-fee02d742c66	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	149.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus sewelli	2	1065	1274	1302	1358	379601	379608	1562	134572	239727	239727	Cilunculus sewelli	[]	142	12189	17.94	35.54		NZOI	Trawl, Beam											
HumanObservation	34081	Pycnogonida	SOMBASE Pycnogonids						-43.5532989502	175.973297119		Ammotheidae		Cilunculus		BAS	Animalia			355					Pantopoda	Arthropoda		Cilunculus sewelli		urn:lsid:marinespecies.org:taxname:239727				58815b08-0c1f-4a6d-8aae-b2cbcaa1732f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	355.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus sewelli	2	1065	1274	1302	1358	379601	379608	1562	134572	239727	239727	Cilunculus sewelli	[]	352	222237	13.05	34.68	355.0													
PreservedSpecimen	4962	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection	21	-43.5933	175.9633	21/10/1979	Ammotheidae	POINT (175.9633 -43.5933)	Cilunculus	WGS84	NIWA Invertebrate Collection	Animalia	en	S131	355	8/04/2022	10	5ce0d0e6-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Unknown = 1	Cilunculus sewelli	Calman, 1938	urn:lsid:marinespecies.org:taxname:239727	female	sewelli	1979	696b4f0a-421f-4c45-a7e6-7ca88596b5cd	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	355.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus sewelli	2	1065	1274	1302	1358	379601	379608	1562	134572	239727	239727	Cilunculus sewelli	[]	336	224061	12.95	34.64		NZOI	Trawl, Manihiki											
PreservedSpecimen	4960	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection	4	-39.6667	173.0833	4/09/1959	Ammotheidae	POINT (173.0833 -39.6667)	Cilunculus	WGS84	NIWA Invertebrate Collection	Animalia	en	C172	139	8/04/2022	9	5ebae190-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Unknown = 3	Cilunculus sewelli	Calman, 1938	urn:lsid:marinespecies.org:taxname:239727	mixed	sewelli	1959	6f09b2b7-1e6a-4fd9-b0e9-f4a34518c0c8	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	139.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus sewelli	2	1065	1274	1302	1358	379601	379608	1562	134572	239727	239727	Cilunculus sewelli	[]	127	67105	15.71	35.21		NZOI	Trawl, Agassiz small											
