associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	datasetName	eventID	eventTime	fieldNumber	footprintSRS	language	modified	occurrenceID	occurrenceRemarks	occurrenceStatus	recordedBy	samplingProtocol	specificEpithet	superdomain	superdomainid	country	coordinateUncertaintyInMeters	footprintWKT	organismQuantity	organismQuantityType	sex	taxonRank
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	155222.118620	Invertebrate Zoology: Crustacea	12	37.1416702271	-74.3649978638	observedindividualcount=1;	1975-09-12T12:00:00Z	Child, C. Allan	1.0	USNM	Norfolk Canyon	1725.0	1595	9	Alcohol (Ethanol)	Colossendeis arcuata	Olsen	urn:lsid:marinespecies.org:taxname:183070	North Atlantic Ocean	1975	0d8954ef-e323-4c05-80e3-08b7f429c68f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1660	179712000000.0	179712000000.0	179712000000.0	1975.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis arcuata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134660	134660	Colossendeis michaelsarsi	[]	1601	119017	18.39	34.98																							
	HumanObservation		35695	bio_dba	1	47.0	-8.0		1980-05-01T00:00:00+00:00	STOCK Jan			Golfe de Gascogne	1970.0	1970	5		Colossendeis arcuata		urn:lsid:marinespecies.org:taxname:134660		1980	24e78614-3e8e-413d-9382-8b13dc7ce417	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1970	325987200000.0	325987200000.0	325987200000.0	1980.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis arcuata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134660	134660	Colossendeis arcuata	[]	4442	261836	14.83	35.65	https://marineinfo.org/id/dataset/490	Bigood	Beam trawl_198051_CP / CPH-34_NA	00:00:00+00:00	CP / CPH-34	EPSG:4326	en	2022-01-18 09:29:51	Ifremer_bio_dba_35695	Envoye a H. LE GUYADER le 22/01/2001 pour ADN	present	DESBRUYERES Daniel	Beam trawl	arcuata	Biota	1.0							
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	38301.254785	Invertebrate Zoology: Crustacea	2	41.8829994202	-65.5830001831	observedindividualcount=1;	1883-09-02T12:00:00Z	Hedgpeth, J. W.	1.0	USNM	Off Georges Bank	1569.0	1569	9	Alcohol (Ethanol)	Colossendeis arcuata	Olsen	urn:lsid:marinespecies.org:taxname:183070	North Atlantic Ocean	1883	258d3ddb-cf58-4aaa-8507-b508dec26a6c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1569	-2724364800000.0	-2724364800000.0	-2724364800000.0	1883.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis arcuata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134660	134660	Colossendeis michaelsarsi	['DEPTH_EXCEEDS_BATH']	1167	167567	11.61	32.19																	United States						
	HumanObservation		25593	bio_dba	1	35.0	-7.0		1984-06-01T00:00:00+00:00	STOCK Jan			Detroit de Gibraltar	1998.0	1998	6		Colossendeis arcuata		urn:lsid:marinespecies.org:taxname:134660		1984	313da0a5-7561-49cf-8e66-85aa45d3519f	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1998	454896000000.0	454896000000.0	454896000000.0	1984.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis arcuata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134660	134660	Colossendeis arcuata	['DEPTH_EXCEEDS_BATH']	764	64170	19.85	36.45	https://marineinfo.org/id/dataset/490	Bigood	Beam trawl_198461_CP / CPH-68_NA	00:00:00+00:00	CP / CPH-68	EPSG:4326	en	2022-01-18 09:29:51	Ifremer_bio_dba_25593		present	BOUCHET Philippe	Beam trawl	arcuata	Biota	1.0							
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	172297.129151	Invertebrate Zoology: Crustacea	3	24.2600002289	-77.313331604	observedindividualcount=1;	1974-02-03T12:00:00Z	Stock, Jan H.	1.0	USNM	Tongue Of The Ocean	1447.0	1447	2	Alcohol (Ethanol)	Colossendeis arcuata	Olsen	urn:lsid:marinespecies.org:taxname:183070	North Atlantic Ocean	1974	3b838265-c30b-4fde-a028-8aaf298e4224	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1447	129081600000.0	129081600000.0	129081600000.0	1974.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis arcuata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134660	134660	Colossendeis michaelsarsi	[]	1498	27475	27.0	36.49																	Bahamas						
	PreservedSpecimen		J61803	co119		-44.45	147.23		1997-01-28		1	NMV	"99.6 km SSE of South East Cape, ""W"" seamount"	1715.0	1715			Colossendeis arcuata		urn:lsid:marinespecies.org:taxname:134660			3cb334bd-b6bc-49d4-a9ef-03a4f0c8561c	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	1715	854409600000.0	854409600000.0	854409600000.0	1997.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis arcuata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134660	134660	Colossendeis arcuata	[]	2343	68624	13.67	35.16								2017-02-09T10:28:33	J61803		present			arcuata				1000	POINT (147.23000 -44.45000)	1	individuals	Unknown	species
	HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_9025	Deep-sea Fauna of European Seas: Pycnogonida		59.03	-10.91		1979/1999			P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	“Challenger”, St. AT 247		2084			Colossendeis arcuata	Milne-Edwards, 1885	urn:lsid:marinespecies.org:taxname:134660			3ccc1862-ae83-448f-90e0-d076da4dc71d	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2084	283996800000.0	615254400000.0	946598400000.0	1989.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis arcuata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134660	134660	Colossendeis arcuata	[]	1991	187252	11.04	35.37	https://marineinfo.org/id/dataset/5146							2016-03-24 10:26:12	Deepsea_Pycnogonida_9025		present				Biota	1.0							
	HumanObservation		39967	SOMBASE Pycnogonids		-42.6258010864	148.149200439					BAS		16.0	10			Colossendeis arcuata		urn:lsid:marinespecies.org:taxname:134660			4d3c12d6-73d2-4a3d-8288-df62e724484d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	13					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis arcuata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134660	134660	Colossendeis arcuata	[]	-2	480	14.52	35.29																							
	HumanObservation			CMAR_SS199701		-44.42416	147.22667		1997-01-28T07:36:00Z			CSIRO, Australia	Survey area	2333.0	2333			Colossendeis arcuata	A. Milne Edwards, 1885	urn:lsid:marinespecies.org:taxname:134660			4e5c89bc-0637-4692-b6d1-7e5d18a82c31	62658cbe-5420-4c6f-91cd-0acb6d8bc03a	['2a57cd59-6799-4579-955e-27c9af97aea4']	2333	854409600000.0	854409600000.0	854409600000.0	1997.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis arcuata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134660	134660	Colossendeis arcuata	[]	2224	65807	13.67	35.16			SS199701:46		SS199701:46			2022-08-23T23:53:36	CC-SS199701-46-660849-33014020	Occurrence Type: Catch composition Catch method: Catch  many	present						Australia	500	LINE (147.2283  -44.4517, 147.2250  -44.3967)		individuals		
	HumanObservation		20963	bio_dba	1	47.0	-8.0		1974-10-01T00:00:00+00:00	STOCK Jan			Golfe de Gascogne	2177.0	2177	10		Colossendeis arcuata		urn:lsid:marinespecies.org:taxname:183070		1974	568bd937-d683-4e52-9ca1-04da55220464	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2177	149817600000.0	149817600000.0	149817600000.0	1974.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis arcuata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134660	134660	Colossendeis michaelsarsi	[]	4442	261836	14.83	35.65	https://marineinfo.org/id/dataset/490	Bigood	Beam trawl_1974101_CP / CPH-8_NA	00:00:00+00:00	CP / CPH-8	EPSG:4326	en	2022-01-18 09:29:51	Ifremer_bio_dba_20963		present	LAUBIER Lucien	Beam trawl	michaelsarsi	Biota	1.0							
